DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-02-28,NEXTMEDIA, EQ,5.1,4.95,5.35,4.85, 5.30,5.3,4.91,2794,0.14,27, 2764, 98.93
2023-03-01,NEXTMEDIA, EQ,5.3,5.3,5.55,5.05, 5.10,5.2,5.34,10378,0.55,57, 8183, 78.85
2023-03-02,NEXTMEDIA, EQ,5.2,5.2,5.45,5.15, 5.45,5.45,5.16,1034,0.05,6, 1000, 96.71
2023-03-03,NEXTMEDIA, EQ,5.45,5.45,5.5,5.2, 5.50,5.45,5.41,3719,0.2,21, 3719, 100.00
2023-03-06,NEXTMEDIA, EQ,5.45,5.6,5.6,5.2, 5.20,5.25,5.21,5266,0.27,30, 4858, 92.25
2023-03-08,NEXTMEDIA, EQ,5.25,5.5,5.5,5.0, 5.00,5.05,5.05,4351,0.22,43, 3533, 81.20
2023-03-09,NEXTMEDIA, EQ,5.05,5.25,5.25,4.9, 5.00,4.95,5.09,19759,1.01,71, 17049, 86.28
2023-03-10,NEXTMEDIA, EQ,4.95,5.0,5.05,4.7, 5.05,4.95,4.95,13421,0.66,43, 12103, 90.18
2023-03-13,NEXTMEDIA, EQ,4.95,5.05,5.05,4.7, 4.80,4.8,4.86,2391,0.12,24, 2291, 95.82
2023-03-14,NEXTMEDIA, EQ,4.8,5.0,5.0,4.6, 4.90,4.85,4.89,6757,0.33,787, 6520, 96.49
2023-03-15,NEXTMEDIA, EQ,4.85,5.05,5.05,4.65, 4.90,4.9,4.95,4105,0.2,34, 3953, 96.30
2023-03-16,NEXTMEDIA, EQ,4.9,4.9,4.9,4.65, 4.90,4.9,4.71,22023,1.04,18, 21411, 97.22
2023-03-17,NEXTMEDIA, EQ,4.9,5.05,5.05,4.7, 4.90,4.9,4.95,1941,0.1,15, 1941, 100.00
2023-03-20,NEXTMEDIA, EQ,4.9,4.9,4.95,4.65,4.9,4.9,4.75,511,0.02,23, 511, 100.00
2023-03-21,NEXTMEDIA, EQ,4.9,4.9,5.05,4.65, 4.90,4.9,4.78,2800,0.13,41, 2206, 78.79
2023-03-22,NEXTMEDIA, EQ,4.9,4.9,5.1,4.65, 4.90,4.9,4.84,12163,0.59,45, 9178, 75.46
2023-03-23,NEXTMEDIA, EQ,4.9,4.9,5.05,4.65, 4.95,4.9,4.8,6898,0.33,29, 5466, 79.24
2023-03-24,NEXTMEDIA, EQ,4.9,4.7,4.9,4.7, 4.70,4.7,4.77,921,0.04,12, 617, 66.99
2023-03-27,NEXTMEDIA, EQ,4.7,4.5,4.85,4.5, 4.50,4.5,4.72,2306,0.11,14, 2306, 100.00
