DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NH, EQ,760.45,764.7,767.6,747.05, 749.00,748.85,754.86,126976,958.49,7642, 92650, 72.97
2023-01-03,NH, EQ,748.85,752.6,757.4,747.0, 750.00,749.65,751.67,64813,487.18,5995, 33344, 51.45
2023-01-04,NH, EQ,749.65,749.75,753.35,726.6, 731.10,729.8,735.38,121470,893.27,8326, 72392, 59.60
2023-01-05,NH, EQ,729.8,731.15,737.0,716.55,725.5,724.3,722.98,158561,1146.36,10027, 95476, 60.21
2023-01-06,NH, EQ,724.3,726.1,729.7,705.1,712.15,712.7,717.3,88602,635.54,5919, 48070, 54.25
2023-01-09,NH, EQ,712.7,712.7,723.0,708.1,720.4,719.85,717.53,157951,1133.35,7337, 112280, 71.09
2023-01-10,NH, EQ,719.85,723.0,744.4,717.8,726.6,734.3,727.81,73607,535.72,5767, 34353, 46.67
2023-01-11,NH, EQ,734.3,730.95,736.8,720.65, 723.70,724.4,727.91,88193,641.96,7680, 45133, 51.18
2023-01-12,NH, EQ,724.4,725.65,742.0,723.5, 732.00,733.9,733.38,82750,606.87,8280, 42136, 50.92
2023-01-13,NH, EQ,733.9,735.0,751.85,730.85,735.05,737.85,738.53,57724,426.31,4494, 22068, 38.23
2023-01-16,NH, EQ,737.85,740.0,740.65,711.0, 730.00,727.6,723.55,145826,1055.13,9629, 73973, 50.73
2023-01-17,NH, EQ,727.6,727.85,739.4,722.05,726.0,727.45,731.25,52023,380.42,5305, 21906, 42.11
2023-01-18,NH, EQ,727.45,728.15,758.6,728.15,750.0,748.5,749.1,184123,1379.27,7917, 104188, 56.59
2023-01-19,NH, EQ,748.5,753.0,759.15,740.4, 744.20,744.75,749.57,92744,695.18,11787, 47302, 51.00
2023-01-20,NH, EQ,744.75,746.6,748.1,725.5,736.0,728.3,734.58,97262,714.47,13617, 56871, 58.47
2023-01-23,NH, EQ,728.3,730.55,739.75,725.0,728.0,729.7,732.38,41523,304.11,4791, 16155, 38.91
2023-01-24,NH, EQ,729.7,728.9,733.0,723.0,724.1,726.95,728.31,40570,295.47,3235, 23054, 56.83
2023-01-25,NH, EQ,726.95,726.95,729.0,717.0, 718.30,724.15,723.08,25378,183.5,3394, 13110, 51.66
2023-01-27,NH, EQ,724.15,722.0,733.65,717.0, 728.80,721.8,727.28,99785,725.71,11753, 57510, 57.63
2023-01-30,NH, EQ,721.8,723.9,735.9,715.85, 720.50,723.3,726.99,76164,553.71,9540, 44796, 58.82
2023-01-31,NH, EQ,723.3,725.3,735.0,721.25,724.9,726.4,729.76,75140,548.35,8474, 45297, 60.28
2023-02-01,NH, EQ,726.4,733.1,743.0,710.2, 713.95,712.15,724.11,102922,745.27,8889, 69353, 67.38
2023-02-02,NH, EQ,712.15,712.15,744.6,710.3, 721.00,721.6,730.21,152540,1113.86,13340, 82164, 53.86
2023-02-03,NH, EQ,721.6,721.6,729.55,712.45, 714.50,714.8,719.32,92576,665.92,10073, 54381, 58.74
2023-02-06,NH, EQ,714.8,712.45,728.85,711.85, 720.90,724.3,721.19,61558,443.95,6764, 30158, 48.99
2023-02-07,NH, EQ,724.3,725.6,733.35,724.75, 732.00,731.15,729.41,138711,1011.77,17448, 85710, 61.79
2023-02-08,NH, EQ,731.15,731.5,733.4,720.5, 727.00,726.85,726.38,95526,693.88,18049, 62447, 65.37
2023-02-09,NH, EQ,726.85,734.15,739.0,720.15, 724.00,724.05,727.72,432463,3147.14,11972, 339125, 78.42
2023-02-10,NH, EQ,724.05,731.3,731.3,712.0, 719.90,719.1,720.11,81400,586.17,6357, 42079, 51.69
2023-02-13,NH, EQ,719.1,721.35,729.5,711.25,720.0,719.9,719.09,88484,636.28,6200, 53290, 60.23
2023-02-14,NH, EQ,719.9,715.1,729.0,715.1,727.0,724.95,723.94,84451,611.37,4216, 55667, 65.92
2023-02-15,NH, EQ,724.95,724.7,726.7,715.25, 719.80,718.75,720.21,57594,414.8,6868, 33852, 58.78
2023-02-16,NH, EQ,718.75,723.6,732.0,719.85, 730.00,729.5,729.89,174269,1271.98,6900, 104390, 59.90
2023-02-17,NH, EQ,729.5,727.0,737.35,725.15, 732.00,728.0,731.71,101202,740.5,2697, 81595, 80.63
2023-02-20,NH, EQ,728.0,730.75,737.25,725.0, 727.50,729.95,730.46,194167,1418.31,3387, 169224, 87.15
2023-02-21,NH, EQ,729.95,732.0,740.4,729.75, 739.50,738.85,733.73,382930,2809.66,5534, 349235, 91.20
2023-02-22,NH, EQ,738.85,738.0,746.95,721.4, 741.00,741.45,738.61,613221,4529.33,11344, 459952, 75.01
2023-02-23,NH, EQ,741.45,741.45,744.65,736.2,743.1,741.65,739.55,350403,2591.39,4309, 319914, 91.30
2023-02-24,NH, EQ,741.65,745.0,759.0,741.9, 752.65,750.15,750.82,114292,858.12,8353, 44577, 39.00
2023-02-27,NH, EQ,750.15,750.15,757.15,744.95, 750.00,749.7,749.85,119183,893.69,8103, 40596, 34.06
2023-02-28,NH, EQ,749.7,749.7,766.15,732.95, 748.00,749.1,743.43,419268,3116.98,22646, 295479, 70.47
2023-03-01,NH, EQ,749.1,748.95,748.95,737.0, 741.50,742.9,741.14,92443,685.13,9777, 50248, 54.36
2023-03-02,NH, EQ,742.9,743.0,771.5,740.05, 761.20,768.7,759.4,166315,1263.0,17036, 77577, 46.64
2023-03-03,NH, EQ,768.7,769.9,783.5,761.1, 776.95,777.1,777.2,240784,1871.37,20370, 128976, 53.57
2023-03-06,NH, EQ,777.1,788.0,796.1,783.7, 789.65,789.6,789.83,420572,3321.82,30326, 266527, 63.37
2023-03-08,NH, EQ,789.6,789.6,810.0,772.0, 783.00,781.35,791.11,250809,1984.19,28345, 148645, 59.27
2023-03-09,NH, EQ,781.35,785.3,793.1,771.35, 780.00,786.2,781.01,102871,803.43,9853, 49264, 47.89
