DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NIF100BEES, EQ,190.13,191.0,191.0,188.14, 190.96,190.9,190.54,2994,5.7,191, 1921, 64.16
2023-01-03,NIF100BEES, EQ,190.9,189.01,191.49,189.01, 191.38,191.29,191.01,4441,8.48,173, 3640, 81.96
2023-01-04,NIF100BEES, EQ,191.29,191.3,191.99,188.95, 190.45,189.08,189.78,4253,8.07,225, 2879, 67.69
2023-01-05,NIF100BEES, EQ,189.08,190.99,196.67,187.75,196.67,191.92,189.9,8278,15.72,242, 5926, 71.59
2023-01-06,NIF100BEES, EQ,191.92,193.92,193.92,187.01,191.0,187.67,187.84,17990,33.79,481, 11437, 63.57
2023-01-09,NIF100BEES, EQ,187.67,189.97,189.97,187.68,189.05,189.31,189.23,4099,7.76,171, 2652, 64.70
2023-01-10,NIF100BEES, EQ,189.31,191.29,191.29,187.5,188.36,187.9,188.37,19474,36.68,266, 14511, 74.51
2023-01-11,NIF100BEES, EQ,187.9,187.9,188.8,187.2, 188.13,188.04,188.02,2967,5.58,162, 2155, 72.63
2023-01-12,NIF100BEES, EQ,188.04,189.97,189.97,186.39, 187.85,187.15,187.25,9916,18.57,201, 8422, 84.93
2023-01-13,NIF100BEES, EQ,187.15,186.51,188.85,186.51,188.75,188.69,187.86,23476,44.1,179, 14101, 60.07
2023-01-16,NIF100BEES, EQ,188.69,188.69,188.96,187.08, 187.38,188.11,188.09,9173,17.25,189, 5393, 58.79
2023-01-17,NIF100BEES, EQ,188.11,188.12,189.77,188.0,188.79,189.42,188.35,73325,138.11,148, 71264, 97.19
2023-01-18,NIF100BEES, EQ,189.42,188.96,190.17,188.9,189.95,189.78,189.82,2053,3.9,131, 1097, 53.43
2023-01-19,NIF100BEES, EQ,189.78,189.46,190.99,189.25, 189.25,189.49,189.82,2580,4.9,135, 1406, 54.50
2023-01-20,NIF100BEES, EQ,189.49,190.0,190.59,188.13,189.06,188.68,189.32,4052,7.67,195, 1221, 30.13
2023-01-23,NIF100BEES, EQ,188.68,189.15,190.28,188.8,189.89,190.0,189.67,2910,5.52,141, 1563, 53.71
2023-01-24,NIF100BEES, EQ,190.0,191.97,191.97,188.89,188.89,189.02,189.58,4283,8.12,224, 2670, 62.34
2023-01-25,NIF100BEES, EQ,189.02,189.99,190.5,187.0, 190.50,187.15,187.66,4441,8.33,272, 2407, 54.20
2023-01-27,NIF100BEES, EQ,187.15,186.31,188.98,182.0, 185.50,183.4,184.28,30132,55.53,882, 20678, 68.62
2023-01-30,NIF100BEES, EQ,183.4,183.51,185.37,180.36, 182.30,181.54,181.84,31892,57.99,534, 20092, 63.00
2023-01-31,NIF100BEES, EQ,181.54,182.0,183.6,181.01,183.6,182.96,182.65,10248,18.72,245, 6825, 66.60
2023-02-01,NIF100BEES, EQ,182.96,184.95,188.38,180.11, 186.00,182.54,184.26,12924,23.81,386, 5550, 42.94
2023-02-02,NIF100BEES, EQ,182.54,183.99,183.99,180.8, 182.10,181.48,181.62,4773,8.67,287, 3162, 66.25
2023-02-03,NIF100BEES, EQ,181.48,181.01,184.94,179.45, 183.10,183.17,181.93,15900,28.93,320, 10429, 65.59
2023-02-06,NIF100BEES, EQ,183.17,183.1,185.18,180.8, 183.50,182.36,182.79,11987,21.91,328, 8143, 67.93
2023-02-07,NIF100BEES, EQ,182.36,184.35,184.37,180.3, 181.20,181.86,182.66,6740,12.31,278, 4544, 67.42
2023-02-08,NIF100BEES, EQ,181.86,180.51,184.95,180.24, 184.50,183.88,183.19,4605,8.44,229, 2337, 50.75
2023-02-09,NIF100BEES, EQ,183.88,182.59,184.44,182.59, 183.45,183.68,183.47,3368,6.18,156, 2425, 72.00
2023-02-10,NIF100BEES, EQ,183.68,185.67,185.67,182.96, 183.40,183.56,183.86,2771,5.09,161, 1212, 43.74
2023-02-13,NIF100BEES, EQ,183.56,183.0,185.48,181.9,182.88,182.62,182.97,3273,5.99,291, 2367, 72.32
2023-02-14,NIF100BEES, EQ,182.62,182.63,184.0,182.63,183.5,183.5,183.43,3607,6.62,138, 1570, 43.53
2023-02-15,NIF100BEES, EQ,183.5,183.46,185.0,183.46, 185.00,184.7,184.37,5919,10.91,139, 5219, 88.17
2023-02-16,NIF100BEES, EQ,184.7,184.99,186.7,183.95, 185.30,185.24,185.38,8013,14.85,229, 4606, 57.48
2023-02-17,NIF100BEES, EQ,185.24,184.0,186.97,183.25, 184.30,184.29,184.57,4835,8.92,173, 2509, 51.89
2023-02-20,NIF100BEES, EQ,184.29,184.3,186.28,182.45, 183.69,183.29,184.81,55162,101.95,275, 40616, 73.63
2023-02-21,NIF100BEES, EQ,183.29,182.01,184.34,182.01, 182.20,183.47,183.5,13587,24.93,156, 10855, 79.89
2023-02-22,NIF100BEES, EQ,183.47,183.01,183.03,180.5, 180.70,180.91,181.29,11857,21.49,378, 8388, 70.74
2023-02-23,NIF100BEES, EQ,180.91,180.76,180.9,179.02,180.05,179.91,180.2,13351,24.06,250, 8632, 64.65
2023-02-24,NIF100BEES, EQ,179.91,181.97,181.98,179.2, 179.75,179.76,179.98,7410,13.34,216, 4254, 57.41
2023-02-27,NIF100BEES, EQ,179.76,179.77,180.99,177.78, 179.00,178.75,178.25,10197,18.18,416, 6515, 63.89
2023-02-28,NIF100BEES, EQ,178.75,180.74,180.74,177.52, 178.15,178.24,178.5,9095,16.23,312, 3608, 39.67
2023-03-01,NIF100BEES, EQ,178.24,178.31,179.49,177.8, 179.00,179.01,178.53,5145,9.19,196, 2815, 54.71
2023-03-02,NIF100BEES, EQ,179.01,177.61,179.99,176.45, 178.55,178.59,178.02,10716,19.08,268, 4496, 41.96
2023-03-03,NIF100BEES, EQ,178.59,180.58,180.95,179.8, 180.20,180.55,180.27,3382,6.1,185, 2551, 75.43
2023-03-06,NIF100BEES, EQ,180.55,182.78,183.0,181.0, 182.40,182.18,182.37,3685,6.72,233, 2392, 64.91
2023-03-08,NIF100BEES, EQ,182.18,183.49,185.95,181.39, 183.10,182.12,182.23,4587,8.36,204, 2414, 52.63
2023-03-09,NIF100BEES, EQ,182.12,182.27,182.99,179.3, 179.30,181.19,181.67,6691,12.16,211, 3219, 48.11
2023-03-10,NIF100BEES, EQ,181.19,178.17,182.77,178.17, 179.70,179.66,179.44,8957,16.07,263, 4499, 50.23
2023-03-13,NIF100BEES, EQ,179.66,180.27,180.27,175.0, 176.50,176.52,177.28,16334,28.96,597, 8889, 54.42
2023-03-14,NIF100BEES, EQ,176.52,178.48,178.48,174.5, 175.00,175.08,175.85,17727,31.17,676, 9772, 55.12
2023-03-15,NIF100BEES, EQ,175.08,175.92,177.87,173.0, 173.00,175.0,176.75,114096,201.66,385, 67980, 59.58
2023-03-16,NIF100BEES, EQ,175.0,176.97,180.5,174.01, 175.70,175.57,175.14,13130,23.0,336, 7630, 58.11
2023-03-17,NIF100BEES, EQ,175.57,177.56,177.56,175.5, 176.55,176.38,176.35,15262,26.91,269, 9338, 61.18
2023-03-20,NIF100BEES, EQ,176.38,177.97,177.97,174.02,175.49,175.44,174.97,14309,25.04,493, 11162, 78.01
2023-03-21,NIF100BEES, EQ,175.44,175.15,177.09,174.94, 176.84,176.47,176.88,34648,61.29,219, 17069, 49.26
2023-03-22,NIF100BEES, EQ,176.47,177.01,177.99,176.81, 177.20,177.19,177.33,2628,4.66,132, 1224, 46.58
2023-03-23,NIF100BEES, EQ,177.19,177.03,177.2,176.27, 176.60,177.01,177.02,2350,4.16,131, 1345, 57.23
2023-03-24,NIF100BEES, EQ,177.01,177.02,177.99,175.26, 177.00,175.68,176.44,7781,13.73,310, 5247, 67.43
2023-03-27,NIF100BEES, EQ,175.68,175.0,177.67,171.0, 175.11,175.47,175.51,5609,9.84,253, 2953, 52.65
2023-03-28,NIF100BEES, EQ,175.47,176.01,176.01,174.17, 175.10,174.91,174.93,3971,6.95,248, 2655, 66.86
2023-03-29,NIF100BEES, EQ,174.91,175.81,175.98,174.9, 175.90,175.76,175.31,4192,7.35,126, 3534, 84.30
2023-03-31,NIF100BEES, EQ,175.76,177.75,178.97,175.01, 178.40,178.32,177.95,6946,12.36,257, 3825, 55.07
2023-04-03,NIF100BEES, EQ,178.32,181.5,181.5,178.01, 178.70,178.6,178.65,6830,12.2,254, 4295, 62.88
2023-04-05,NIF100BEES, EQ,178.6,178.5,187.0,178.5, 182.82,181.43,180.98,25357,45.89,493, 21407, 84.42
2023-04-06,NIF100BEES, EQ,181.43,180.89,181.7,179.44, 181.35,181.3,180.86,39833,72.04,528, 6246, 15.68
2023-04-10,NIF100BEES, EQ,181.3,181.36,182.97,179.77, 181.23,180.88,181.0,26978,48.83,290, 23953, 88.79
2023-04-11,NIF100BEES, EQ,180.88,181.16,182.09,181.16, 181.77,181.87,181.89,6169,11.22,164, 5359, 86.87
2023-04-12,NIF100BEES, EQ,181.87,183.49,183.49,180.06, 182.67,182.68,182.59,3691,6.74,187, 2663, 72.15
2023-04-13,NIF100BEES, EQ,182.68,182.42,183.49,182.42, 182.92,182.83,182.78,7403,13.53,142, 5654, 76.37
2023-04-17,NIF100BEES, EQ,182.83,183.99,183.99,181.0, 183.90,182.48,181.96,14168,25.78,247, 9637, 68.02
2023-04-18,NIF100BEES, EQ,182.48,182.91,182.99,181.72, 182.00,182.12,182.21,1635,2.98,120, 971, 59.39
2023-04-19,NIF100BEES, EQ,182.12,181.95,182.06,180.77, 180.81,180.97,181.11,31119,56.36,175, 29303, 94.16
2023-04-20,NIF100BEES, EQ,180.97,181.0,182.0,180.86, 181.74,181.76,181.61,8546,15.52,143, 6819, 79.79
2023-04-21,NIF100BEES, EQ,181.76,181.16,181.99,180.56, 181.49,181.4,181.27,2024,3.67,169, 961, 47.48
2023-04-24,NIF100BEES, EQ,181.4,181.2,182.15,180.8, 182.00,181.97,181.06,38357,69.45,168, 36031, 93.94
2023-04-25,NIF100BEES, EQ,181.97,181.83,182.99,181.83,182.3,182.33,182.46,1328,2.42,146, 874, 65.81
2023-04-26,NIF100BEES, EQ,182.33,182.17,183.42,182.17, 183.32,183.08,182.8,4033,7.37,121, 2410, 59.76
2023-04-27,NIF100BEES, EQ,183.08,182.8,184.53,182.8, 183.90,184.18,183.58,3695,6.78,128, 2711, 73.37
2023-04-28,NIF100BEES, EQ,184.18,183.96,185.9,183.96, 185.90,185.26,185.0,6965,12.89,163, 4965, 71.28
2023-05-02,NIF100BEES, EQ,185.26,185.9,189.0,185.61, 187.25,186.93,186.64,20823,38.86,281, 16148, 77.55
2023-05-03,NIF100BEES, EQ,186.93,186.9,186.9,185.51,185.95,186.05,186.09,5320,9.9,202, 3921, 73.70
2023-05-04,NIF100BEES, EQ,186.05,186.04,188.4,186.0, 187.90,188.04,186.84,59187,110.59,227, 56632, 95.68
2023-05-05,NIF100BEES, EQ,188.04,187.68,188.07,185.79, 186.74,186.47,187.33,6499,12.17,295, 5236, 80.57
2023-05-08,NIF100BEES, EQ,186.47,188.12,188.12,186.48, 187.00,187.87,187.6,3818,7.16,186, 3023, 79.18
2023-05-09,NIF100BEES, EQ,187.87,188.05,188.95,187.59,188.01,187.9,188.32,5583,10.51,239, 4621, 82.77
2023-05-10,NIF100BEES, EQ,187.9,188.11,188.59,187.46,188.32,188.17,188.13,2793,5.25,137, 2095, 75.01
2023-05-11,NIF100BEES, EQ,188.17,186.18,189.41,186.18, 187.80,188.24,188.49,26914,50.73,175, 25514, 94.80
2023-05-12,NIF100BEES, EQ,188.24,187.95,188.98,187.3, 188.69,188.61,188.31,7194,13.55,165, 6112, 84.96
2023-05-15,NIF100BEES, EQ,188.61,190.58,190.58,188.54, 189.09,189.28,189.27,4835,9.15,231, 3793, 78.45
2023-05-16,NIF100BEES, EQ,189.28,189.29,190.0,187.3,187.8,188.37,189.12,156549,296.06,278, 145020, 92.64
2023-05-17,NIF100BEES, EQ,188.37,189.49,189.49,186.99, 187.50,187.77,187.75,4929,9.25,182, 3207, 65.06
2023-05-18,NIF100BEES, EQ,187.77,189.0,189.17,186.61, 187.58,186.96,187.77,4435,8.33,149, 2312, 52.13
2023-05-19,NIF100BEES, EQ,186.96,188.49,188.49,186.24,188.28,188.08,187.35,4336,8.12,187, 3024, 69.74
2023-05-22,NIF100BEES, EQ,188.08,186.15,189.89,186.15,189.31,188.89,188.87,3445,6.51,155, 2428, 70.48
2023-05-23,NIF100BEES, EQ,188.89,190.01,190.1,188.92, 189.98,189.13,189.62,4704,8.92,129, 3636, 77.30
2023-05-24,NIF100BEES, EQ,189.13,189.0,190.07,189.0, 189.45,189.01,189.5,2543,4.82,123, 2090, 82.19
2023-05-25,NIF100BEES, EQ,189.01,189.01,189.92,188.05, 189.92,189.18,188.9,3168,5.98,157, 2168, 68.43
2023-05-26,NIF100BEES, EQ,189.18,189.18,191.0,189.18,190.86,190.9,190.25,10027,19.08,186, 8754, 87.30
2023-05-29,NIF100BEES, EQ,190.9,191.99,192.77,191.82, 192.26,192.26,192.18,8196,15.75,215, 6302, 76.89
2023-05-30,NIF100BEES, EQ,192.26,192.26,192.92,192.07, 192.16,192.36,192.44,3835,7.38,173, 3233, 84.30
2023-05-31,NIF100BEES, EQ,192.36,192.36,193.03,190.88, 193.03,192.28,191.39,42819,81.95,226, 32531, 75.97
2023-06-01,NIF100BEES, EQ,192.28,192.28,192.48,191.43, 192.20,191.95,191.97,4100,7.87,184, 3006, 73.32
2023-06-02,NIF100BEES, EQ,191.95,192.01,192.99,191.68, 192.35,192.33,192.23,4943,9.5,165, 4129, 83.53
2023-06-05,NIF100BEES, EQ,192.33,194.28,194.28,192.28, 192.30,192.58,192.62,21902,42.19,243, 18368, 83.86
2023-06-06,NIF100BEES, EQ,192.58,193.2,193.2,192.51,193.09,192.96,192.75,2597,5.01,133, 1997, 76.90
2023-06-07,NIF100BEES, EQ,192.96,192.91,195.0,192.91, 195.00,194.08,193.7,5153,9.98,164, 2519, 48.88
2023-06-08,NIF100BEES, EQ,194.08,198.4,198.4,193.0, 193.00,193.42,194.12,3966,7.7,169, 2787, 70.27
2023-06-09,NIF100BEES, EQ,193.42,195.48,195.48,192.78, 193.06,193.13,193.18,5963,11.52,194, 4168, 69.90
2023-06-12,NIF100BEES, EQ,193.13,198.9,198.9,192.5, 192.65,192.95,192.99,6589,12.72,186, 4659, 70.71
2023-06-13,NIF100BEES, EQ,192.95,194.97,194.97,192.5, 193.93,194.11,193.99,4921,9.55,195, 3279, 66.63
2023-06-14,NIF100BEES, EQ,194.11,194.99,195.0,194.02, 194.31,194.67,194.59,1642,3.2,120, 930, 56.64
2023-06-15,NIF100BEES, EQ,194.67,194.05,195.0,194.05, 194.69,194.62,194.68,4465,8.69,196, 2787, 62.42
2023-06-16,NIF100BEES, EQ,194.62,194.8,196.0,194.63, 195.25,195.62,195.25,4950,9.66,135, 4220, 85.25
2023-06-19,NIF100BEES, EQ,195.62,197.58,197.58,194.75, 195.00,194.96,195.69,4069,7.96,238, 3142, 77.22
2023-06-20,NIF100BEES, EQ,194.96,196.95,196.95,193.96, 195.52,195.59,195.01,3016,5.88,150, 1840, 61.01
2023-06-21,NIF100BEES, EQ,195.59,195.89,196.75,195.56, 196.00,195.89,196.17,1896,3.72,122, 1163, 61.34
2023-06-22,NIF100BEES, EQ,195.89,195.9,196.51,195.0,195.6,195.34,195.59,2855,5.58,177, 1391, 48.72
2023-06-23,NIF100BEES, EQ,195.34,196.5,197.28,193.51, 194.10,193.9,194.28,3489,6.78,218, 2151, 61.65
2023-06-26,NIF100BEES, EQ,193.9,195.88,195.88,193.01, 193.78,194.18,194.03,2746,5.33,174, 1482, 53.97
2023-06-27,NIF100BEES, EQ,194.18,195.01,195.75,194.01, 194.90,194.78,194.56,52148,101.46,162, 50494, 96.83
2023-06-28,NIF100BEES, EQ,194.78,194.78,197.42,194.78, 196.95,197.24,196.46,6465,12.7,256, 4568, 70.66
2023-06-30,NIF100BEES, EQ,197.24,197.25,199.46,197.24, 199.36,199.2,198.14,8839,17.51,259, 6683, 75.61
2023-07-03,NIF100BEES, EQ,199.2,199.2,201.97,199.01, 200.75,200.04,200.19,14736,29.5,385, 8205, 55.68
2023-07-04,NIF100BEES, EQ,200.04,201.98,201.98,200.04, 200.97,200.62,200.67,13169,26.43,254, 5279, 40.09
2023-07-05,NIF100BEES, EQ,200.62,202.48,202.48,199.03,201.54,201.3,201.14,7153,14.39,260, 5597, 78.25
2023-07-06,NIF100BEES, EQ,201.3,201.86,202.84,200.97,202.5,201.21,201.44,187643,377.99,353, 69308, 36.94
2023-07-07,NIF100BEES, EQ,201.21,203.48,203.48,199.61, 200.64,200.43,201.71,6747,13.61,208, 5586, 82.79
2023-07-10,NIF100BEES, EQ,200.43,202.37,202.37,199.41,200.02,200.4,200.5,6883,13.8,208, 5893, 85.62
2023-07-11,NIF100BEES, EQ,200.4,200.4,202.01,200.4, 201.75,201.32,201.53,4143,8.35,148, 3162, 76.32
2023-07-12,NIF100BEES, EQ,201.32,219.0,219.0,200.48, 200.48,201.18,201.81,5075,10.24,223, 4068, 80.16
2023-07-13,NIF100BEES, EQ,201.18,201.31,202.99,199.6, 200.00,200.3,201.17,8701,17.5,198, 5524, 63.49
2023-07-14,NIF100BEES, EQ,200.3,201.41,203.42,201.21,203.37,202.51,201.36,52879,106.48,209, 51317, 97.05
2023-07-17,NIF100BEES, EQ,202.51,204.59,204.59,202.01,204.15,203.14,203.26,21420,43.54,272, 17513, 81.76
2023-07-18,NIF100BEES, EQ,203.14,205.13,205.33,203.92, 204.02,204.91,204.82,38508,78.87,222, 25388, 65.93
2023-07-19,NIF100BEES, EQ,204.91,204.92,206.39,204.19, 204.84,204.79,204.51,6149,12.58,204, 4171, 67.83
