DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-02-21,NINSYS, EQ,273.65,301.0,301.0,265.55, 289.00,281.25,284.86,3627,10.33,380, 1999, 55.11
2023-02-22,NINSYS, EQ,281.25,300.0,309.35,292.25, 309.35,309.35,304.86,9811,29.91,532, 6535, 66.61
2023-02-23,NINSYS, EQ,309.35,324.95,340.25,318.65,340.25,340.25,335.53,20583,69.06,857, 10410, 50.58
2023-02-24,NINSYS, EQ,340.25,357.25,357.25,355.6, 357.25,357.25,357.18,9052,32.33,311, 7493, 82.78
2023-02-27,NINSYS, EQ,357.25,374.0,375.1,373.35, 375.10,375.1,374.72,3123,11.7,117, 2739, 87.70
2023-02-28,NINSYS, EQ,375.1,393.85,393.85,356.35, 356.35,356.35,380.89,6514,24.81,406, 4447, 68.27
2023-03-01,NINSYS, EQ,356.35,338.55,338.55,338.55, 338.55,338.55,338.55,612,2.07,93, 612, 100.00
2023-03-02,NINSYS, EQ,338.55,321.65,321.65,321.65, 321.65,321.65,321.65,720,2.32,105, 720, 100.00
2023-03-03,NINSYS, EQ,321.65,305.6,305.6,305.6, 305.60,305.6,305.6,984,3.01,117, 984, 100.00
2023-03-06,NINSYS, EQ,305.6,290.5,290.5,290.35, 290.35,290.35,290.35,1916,5.56,127, 1916, 100.00
2023-03-08,NINSYS, EQ,290.35,275.85,275.85,275.85, 275.85,275.85,275.85,926,2.55,143, 926, 100.00
2023-03-09,NINSYS, EQ,275.85,262.05,289.6,262.05, 289.60,289.6,275.66,6371,17.56,354, 3603, 56.55
2023-03-10,NINSYS, EQ,289.6,304.0,304.05,304.0, 304.05,304.05,304.04,1639,4.98,31, 1639, 100.00
2023-03-13,NINSYS, EQ,304.05,319.25,319.25,319.25, 319.25,319.25,319.25,278,0.89,14, 278, 100.00
2023-03-14,NINSYS, EQ,319.25,329.0,335.0,303.3, 303.30,303.3,316.24,2589,8.19,230, 2343, 90.50
2023-03-15,NINSYS, EQ,303.3,288.15,288.15,288.15, 288.15,288.15,288.15,2128,6.13,200, 2126, 99.91
2023-03-16,NINSYS, EQ,288.15,273.75,288.95,273.75, 273.75,273.75,276.04,4296,11.86,355, 3012, 70.11
2023-03-17,NINSYS, EQ,273.75,273.75,273.75,260.1, 264.25,263.95,265.57,7586,20.15,857, 3439, 45.33
2023-03-20,NINSYS, EQ,263.95,276.85,276.95,255.05,270.0,266.75,266.71,5350,14.27,482, 2566, 47.96
2023-03-21,NINSYS, EQ,266.75,274.4,280.05,270.25, 280.05,280.05,277.0,4220,11.69,419, 2518, 59.67
2023-03-22,NINSYS, EQ,280.05,294.0,294.05,274.0, 294.05,294.05,291.33,5872,17.11,391, 3745, 63.78
2023-03-23,NINSYS, EQ,294.05,290.0,293.85,279.35, 279.35,279.35,282.32,1549,4.37,150, 955, 61.65
2023-03-24,NINSYS, EQ,279.35,265.4,277.85,265.4, 270.00,267.75,267.02,4081,10.9,361, 2564, 62.83
2023-03-27,NINSYS, EQ,267.75,273.65,273.65,258.0, 263.15,260.6,261.3,1194,3.12,170, 746, 62.48
2023-03-28,NINSYS, EQ,260.6,269.95,269.95,247.6, 247.60,250.2,259.55,1629,4.23,301, 872, 53.53
2023-03-29,NINSYS, EQ,250.2,249.05,260.0,246.0, 246.10,248.15,251.45,1392,3.5,271, 691, 49.64
2023-03-31,NINSYS, EQ,248.15,260.5,260.55,250.55, 260.55,260.55,259.31,943,2.45,153, 689, 73.06
2023-04-03,NINSYS, EQ,260.55,272.0,273.55,266.3, 273.55,273.55,272.69,1653,4.51,153, 1334, 80.70
2023-04-05,NINSYS, EQ,273.55,279.1,287.2,279.1, 287.20,287.2,285.06,1878,5.35,181, 1584, 84.35
2023-04-06,NINSYS, EQ,287.2,300.0,301.55,300.0, 301.55,301.55,301.41,1053,3.17,68, 953, 90.50
2023-04-10,NINSYS, EQ,301.55,315.0,316.6,286.6, 316.60,316.1,308.67,3811,11.76,502, 2228, 58.46
2023-04-11,NINSYS, EQ,316.1,330.0,331.9,306.0, 331.90,331.85,325.56,3578,11.65,403, 1676, 46.84
2023-04-12,NINSYS, EQ,331.85,340.0,348.4,328.05, 348.40,348.4,342.99,3780,12.97,206, 3048, 80.63
2023-04-13,NINSYS, EQ,348.4,365.8,365.8,355.0, 365.80,365.8,364.64,3156,11.51,274, 2400, 76.05
2023-04-17,NINSYS, EQ,365.8,382.0,384.05,381.85, 384.05,384.05,383.31,1068,4.09,74, 902, 84.46
2023-04-18,NINSYS, EQ,384.05,403.25,403.25,386.0, 403.25,403.25,399.16,3920,15.65,266, 2750, 70.15
2023-04-19,NINSYS, EQ,403.25,420.5,423.4,407.1, 423.40,423.4,421.93,6137,25.89,272, 3942, 64.23
2023-05-23,NINSYS, EQ,413.4,428.4,428.4,393.0, 402.00,401.8,399.77,1932,7.72,228, 1491, 77.17
2023-05-24,NINSYS, EQ,401.8,402.0,402.0,383.0, 399.00,397.9,392.29,956,3.75,148, 687, 71.86
2023-05-25,NINSYS, EQ,397.9,385.0,406.95,385.0, 391.60,391.6,395.29,775,3.06,172, 588, 75.87
2023-05-26,NINSYS, EQ,391.6,389.75,404.0,389.75,402.9,403.2,401.51,884,3.55,132, 704, 79.64
2023-05-29,NINSYS, EQ,403.2,418.0,418.0,395.0, 410.00,408.05,408.45,1542,6.3,155, 1248, 80.93
