DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NPBET, EQ,221.71,221.71,225.0,220.1, 222.58,222.53,222.84,534,1.19,49, 327, 61.24
2023-01-03,NPBET, EQ,222.53,226.48,226.48,218.45, 225.62,225.62,223.29,453,1.01,37, 265, 58.50
2023-01-04,NPBET, EQ,225.62,221.0,229.25,221.0, 222.96,222.96,224.51,426,0.96,42, 281, 65.96
2023-01-05,NPBET, EQ,222.96,218.75,226.98,218.75,219.79,220.81,220.8,989,2.18,31, 340, 34.38
2023-01-06,NPBET, EQ,220.81,220.81,220.81,216.66,217.83,217.82,219.0,581,1.27,54, 336, 57.83
2023-01-09,NPBET, EQ,217.82,217.82,221.14,217.82,219.28,219.57,219.95,132,0.29,33, 77, 58.33
2023-01-10,NPBET, EQ,219.57,219.0,219.64,216.61,218.62,218.62,218.72,87,0.19,22, 78, 89.66
2023-01-11,NPBET, EQ,218.62,222.35,222.35,216.99, 219.52,219.52,218.14,92,0.2,30, 51, 55.43
2023-01-12,NPBET, EQ,219.52,219.52,219.52,215.49, 217.14,217.17,217.2,378,0.82,48, 235, 62.17
2023-01-13,NPBET, EQ,217.17,221.98,221.98,216.51,220.07,219.94,217.72,66,0.14,27, 37, 56.06
2023-01-16,NPBET, EQ,219.94,224.7,224.7,218.0, 219.10,218.93,219.54,175,0.38,37, 158, 90.29
2023-01-17,NPBET, EQ,218.93,218.0,219.0,216.33,217.9,218.19,217.72,440,0.96,29, 326, 74.09
2023-01-18,NPBET, EQ,218.19,224.45,224.45,217.8,219.0,219.0,219.65,51,0.11,20, 34, 66.67
2023-01-19,NPBET, EQ,219.0,219.0,219.8,217.93, 219.32,219.3,218.63,152,0.33,17, 131, 86.18
2023-01-20,NPBET, EQ,219.3,212.73,223.0,212.73,219.08,219.08,219.87,126,0.28,31, 68, 53.97
2023-01-23,NPBET, EQ,219.08,220.6,222.44,220.13,220.13,220.15,220.82,3066,6.77,27, 2998, 97.78
