DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NUCLEUS, EQ,384.65,386.6,394.0,385.65, 391.65,391.0,389.74,9948,38.77,880, 5485, 55.14
2023-01-03,NUCLEUS, EQ,391.0,391.0,393.4,388.3, 390.50,389.3,390.97,8456,33.06,630, 5229, 61.84
2023-01-04,NUCLEUS, EQ,389.3,389.8,389.8,383.4, 385.95,384.3,385.47,6200,23.9,700, 3849, 62.08
2023-01-05,NUCLEUS, EQ,384.3,384.3,389.35,383.05,386.5,387.5,386.82,6670,25.8,430, 5087, 76.27
2023-01-06,NUCLEUS, EQ,387.5,386.3,389.4,383.5,385.3,385.65,385.22,5811,22.39,442, 3723, 64.07
2023-01-09,NUCLEUS, EQ,385.65,386.7,391.1,382.6,384.5,384.55,387.75,12750,49.44,561, 9063, 71.08
2023-01-10,NUCLEUS, EQ,384.55,388.3,388.3,378.0,383.4,382.6,383.21,4566,17.5,479, 2456, 53.79
2023-01-11,NUCLEUS, EQ,382.6,384.55,387.4,382.05, 383.00,385.2,385.21,6372,24.55,606, 2793, 43.83
2023-01-12,NUCLEUS, EQ,385.2,385.2,396.0,382.95, 383.75,383.95,387.11,8758,33.9,1062, 2297, 26.23
2023-01-13,NUCLEUS, EQ,383.95,385.9,388.75,381.95,387.0,385.9,385.2,11374,43.81,1231, 4949, 43.51
2023-01-16,NUCLEUS, EQ,385.9,385.9,389.5,384.95, 386.40,386.7,387.2,11215,43.42,1476, 5478, 48.85
2023-01-17,NUCLEUS, EQ,386.7,386.4,454.0,386.0,439.0,444.8,437.03,277055,1210.82,10727, 104517, 37.72
2023-01-18,NUCLEUS, EQ,444.8,434.95,435.5,416.95,419.55,420.0,425.37,100990,429.58,6515, 33503, 33.17
2023-01-19,NUCLEUS, EQ,420.0,419.7,424.95,411.95, 412.00,413.35,418.11,24554,102.66,1690, 11249, 45.81
2023-01-20,NUCLEUS, EQ,413.35,414.9,419.4,410.35,410.35,414.85,415.16,28376,117.81,4209, 11260, 39.68
2023-01-23,NUCLEUS, EQ,414.85,416.95,418.45,408.55,418.0,415.85,413.45,13595,56.21,1549, 6949, 51.11
2023-01-24,NUCLEUS, EQ,415.85,418.95,426.95,411.35,415.5,415.7,419.89,30740,129.07,2877, 8856, 28.81
2023-01-25,NUCLEUS, EQ,415.7,415.5,429.95,407.75, 421.00,424.0,418.76,31224,130.75,3246, 11051, 35.39
2023-01-27,NUCLEUS, EQ,424.0,424.0,425.6,385.25, 405.00,404.0,403.43,42867,172.94,4521, 19866, 46.34
2023-01-30,NUCLEUS, EQ,404.0,403.5,411.1,395.15, 397.00,397.35,401.29,11782,47.28,1480, 5450, 46.26
2023-01-31,NUCLEUS, EQ,397.35,397.9,407.0,395.65,405.0,404.15,401.63,16657,66.9,2144, 6738, 40.45
2023-02-01,NUCLEUS, EQ,404.15,406.0,411.4,389.65, 395.00,394.6,399.51,8898,35.55,1169, 3656, 41.09
2023-02-02,NUCLEUS, EQ,394.6,396.6,402.05,390.6, 400.00,393.55,396.15,9885,39.16,1123, 3864, 39.09
2023-02-03,NUCLEUS, EQ,393.55,397.45,403.55,393.55, 396.10,396.6,397.69,10840,43.11,1076, 4876, 44.98
