DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NURECA, EQ,498.15,500.95,502.95,490.05, 493.95,491.8,494.16,157663,779.1,6302, 45271, 28.71
2023-01-03,NURECA, EQ,491.8,490.05,503.2,490.0, 495.50,495.3,494.58,150588,744.78,6710, 36044, 23.94
2023-01-04,NURECA, EQ,495.3,495.5,496.9,490.0, 490.90,491.15,492.5,70421,346.82,3670, 22779, 32.35
2023-01-05,NURECA, EQ,491.15,495.95,495.95,488.0,492.5,491.95,490.53,91108,446.91,3949, 28018, 30.75
2023-01-06,NURECA, EQ,491.95,490.0,494.0,480.0,482.0,482.35,486.37,87186,424.05,4382, 35578, 40.81
2023-01-09,NURECA, EQ,482.35,486.4,487.75,455.0,458.0,460.0,468.48,256805,1203.09,11931, 85604, 33.33
2023-01-10,NURECA, EQ,460.0,456.05,463.0,430.8,433.0,433.55,439.9,328580,1445.43,15429, 97905, 29.80
2023-01-11,NURECA, EQ,433.55,434.0,435.95,417.55, 421.35,421.35,424.64,311370,1322.21,12693, 56459, 18.13
2023-01-12,NURECA, EQ,421.35,424.0,424.2,407.1, 409.00,408.95,413.54,193630,800.74,8193, 48496, 25.05
2023-01-13,NURECA, EQ,408.95,408.95,410.0,401.0,404.9,404.4,404.21,230219,930.56,9555, 40899, 17.77
2023-01-16,NURECA, EQ,404.4,400.1,404.0,394.05, 396.95,397.9,399.9,134086,536.21,5403, 38607, 28.79
2023-01-17,NURECA, EQ,397.9,400.95,400.95,380.0,382.95,383.7,386.57,216008,835.03,8477, 69281, 32.07
2023-01-18,NURECA, EQ,383.7,378.5,378.8,360.35,362.5,364.55,369.98,310293,1148.02,12355, 89098, 28.71
2023-01-19,NURECA, EQ,364.55,354.5,357.9,332.55, 334.50,334.7,344.85,435363,1501.35,16282, 119387, 27.42
2023-01-20,NURECA, EQ,334.7,324.05,401.6,315.15,401.6,401.6,375.85,4321142,16240.98,97122, 435666, 10.08
2023-01-23,NURECA, EQ,401.6,409.0,473.45,382.5,450.0,457.3,437.63,8783183,38437.87,154280, 322286, 3.67
2023-01-24,NURECA, EQ,457.3,448.5,481.9,441.05,452.1,458.15,466.6,3068671,14318.45,64380, 219427, 7.15
2023-01-25,NURECA, EQ,458.15,455.0,467.7,435.5, 438.00,440.4,456.85,856952,3915.0,21868, 91548, 10.68
2023-01-27,NURECA, EQ,440.4,440.4,446.3,383.85, 391.80,390.2,413.46,588572,2433.5,19453, 114519, 19.46
2023-01-30,NURECA, EQ,390.2,390.9,403.8,377.25, 384.90,385.0,389.23,397160,1545.85,16082, 41635, 10.48
2023-01-31,NURECA, EQ,385.0,388.0,394.9,384.1,387.0,386.5,389.16,113114,440.2,6140, 26807, 23.70
2023-02-01,NURECA, EQ,386.5,391.8,428.05,379.0, 391.50,393.6,411.32,621279,2555.43,24004, 65292, 10.51
2023-02-02,NURECA, EQ,393.6,390.0,408.45,388.0, 393.75,393.1,397.06,138905,551.53,7336, 26693, 19.22
2023-02-03,NURECA, EQ,393.1,398.4,398.4,372.3, 377.15,380.0,383.33,118810,455.43,6424, 39437, 33.19
2023-02-06,NURECA, EQ,380.0,368.1,384.7,365.0, 371.50,372.25,374.94,108820,408.01,7079, 20891, 19.20
2023-02-07,NURECA, EQ,372.25,372.5,377.45,360.0, 362.50,363.0,366.35,89232,326.91,6163, 31119, 34.87
2023-02-08,NURECA, EQ,363.0,353.0,369.0,353.0, 362.50,360.8,361.88,129126,467.28,8321, 25888, 20.05
2023-02-09,NURECA, EQ,360.8,366.0,386.75,359.4, 375.90,374.45,375.82,199920,751.33,11074, 33222, 16.62
2023-02-10,NURECA, EQ,374.45,373.0,376.8,365.05, 370.00,367.85,369.78,55355,204.69,3694, 17706, 31.99
2023-02-13,NURECA, EQ,367.85,367.9,374.9,359.3,366.0,362.75,367.13,43805,160.82,3456, 12478, 28.49
2023-02-14,NURECA, EQ,362.75,372.95,372.95,356.0,358.35,359.0,360.09,53096,191.19,3611, 10515, 19.80
2023-02-15,NURECA, EQ,359.0,360.0,364.95,358.1, 359.00,360.35,361.24,29647,107.1,2721, 9245, 31.18
2023-02-16,NURECA, EQ,360.35,364.5,410.0,360.35, 388.00,386.95,394.17,524269,2066.5,23416, 78665, 15.00
2023-02-17,NURECA, EQ,386.95,390.0,394.3,378.0, 387.25,385.6,385.47,91764,353.73,6572, 21428, 23.35
2023-02-20,NURECA, EQ,385.6,388.0,393.6,371.0, 373.70,373.65,382.69,54005,206.67,3100, 17859, 33.07
2023-02-21,NURECA, EQ,373.65,371.55,377.0,368.85, 370.40,371.35,373.56,36544,136.51,3141, 13154, 35.99
2023-02-22,NURECA, EQ,371.35,370.0,371.1,360.5, 366.00,363.15,366.08,31795,116.4,3327, 13042, 41.02
2023-02-23,NURECA, EQ,363.15,366.0,367.8,350.95,353.0,354.1,357.33,54035,193.08,4065, 23433, 43.37
2023-02-24,NURECA, EQ,354.1,354.5,360.3,347.0, 347.50,350.25,354.56,42578,150.96,3586, 12901, 30.30
2023-02-27,NURECA, EQ,350.25,347.0,349.9,339.55, 342.95,341.3,342.92,28455,97.58,3141, 10561, 37.11
2023-02-28,NURECA, EQ,341.3,344.9,348.2,338.25, 339.20,340.25,342.73,36588,125.4,3754, 12851, 35.12
2023-03-01,NURECA, EQ,340.25,343.9,374.0,340.25, 353.50,354.1,360.89,141247,509.74,9854, 28328, 20.06
2023-03-02,NURECA, EQ,354.1,356.4,361.8,347.95, 353.05,353.65,356.38,61637,219.66,3923, 15237, 24.72
2023-03-03,NURECA, EQ,353.65,355.1,370.0,354.0, 355.50,356.95,361.59,73050,264.14,4615, 20568, 28.16
2023-03-06,NURECA, EQ,356.95,358.05,363.8,355.85, 356.30,356.85,358.96,38782,139.21,3027, 17415, 44.90
2023-03-08,NURECA, EQ,356.85,352.0,357.0,350.6, 354.00,353.5,353.39,32394,114.48,2577, 12004, 37.06
2023-03-09,NURECA, EQ,353.5,354.9,369.0,353.95, 360.00,357.3,359.26,52988,190.37,4060, 16362, 30.88
2023-03-10,NURECA, EQ,357.3,356.4,359.7,350.2, 354.85,354.65,355.18,24915,88.49,2102, 9931, 39.86
2023-03-13,NURECA, EQ,354.65,357.4,358.35,336.1, 339.85,338.95,345.43,41498,143.35,3574, 20491, 49.38
2023-03-14,NURECA, EQ,338.95,344.0,350.1,331.3, 334.15,333.0,338.36,41722,141.17,3521, 16851, 40.39
2023-03-15,NURECA, EQ,333.0,338.4,343.95,324.25, 325.80,325.95,333.5,46590,155.38,3792, 26882, 57.70
2023-03-16,NURECA, EQ,325.95,327.8,334.45,318.4, 321.45,321.3,323.99,56057,181.62,4534, 23513, 41.94
2023-03-17,NURECA, EQ,321.3,329.0,329.0,319.0, 321.70,320.7,323.4,36265,117.28,2637, 17824, 49.15
2023-03-20,NURECA, EQ,320.7,316.2,324.8,309.15,310.75,310.75,313.23,47753,149.57,3313, 30314, 63.48
2023-03-21,NURECA, EQ,310.75,316.25,319.0,314.0, 314.50,315.25,316.32,33538,106.09,2542, 13990, 41.71
2023-03-22,NURECA, EQ,315.25,318.35,334.7,311.0, 324.70,324.15,321.47,73819,237.31,5534, 24466, 33.14
2023-03-23,NURECA, EQ,324.15,328.0,349.85,325.15, 337.20,337.8,341.92,227925,779.31,15182, 46726, 20.50
2023-03-24,NURECA, EQ,337.8,341.8,344.75,318.0, 320.00,319.95,331.22,68330,226.32,5491, 25523, 37.35
2023-03-27,NURECA, EQ,319.95,327.9,328.0,318.05, 320.05,320.75,321.62,48259,155.21,3544, 20716, 42.93
2023-03-28,NURECA, EQ,320.75,322.95,327.85,295.1, 299.65,300.95,308.22,71039,218.96,6543, 36076, 50.78
2023-03-29,NURECA, EQ,300.95,301.85,309.1,299.4, 300.00,301.3,303.67,70834,215.1,4787, 35047, 49.48
2023-03-31,NURECA, EQ,301.3,306.4,311.2,296.95, 301.00,299.55,305.43,82108,250.78,4572, 41859, 50.98
2023-04-03,NURECA, EQ,299.55,304.0,314.9,304.0, 309.70,309.15,309.25,43960,135.95,3300, 15368, 34.96
2023-04-05,NURECA, EQ,309.15,310.0,321.0,310.0, 315.55,314.35,316.13,44229,139.82,3638, 16144, 36.50
2023-04-06,NURECA, EQ,314.35,316.0,345.0,312.05, 334.50,334.35,333.98,184783,617.14,13023, 54984, 29.76
2023-04-10,NURECA, EQ,334.35,337.7,345.0,332.4, 332.50,334.2,339.24,69451,235.61,4618, 23785, 34.25
2023-04-11,NURECA, EQ,334.2,332.5,341.35,332.0, 334.95,334.1,335.69,29031,97.46,2209, 9757, 33.61
2023-04-12,NURECA, EQ,334.1,337.0,355.9,335.0, 340.00,338.75,346.92,161608,560.66,10366, 38619, 23.90
2023-04-13,NURECA, EQ,338.75,340.0,345.5,335.75, 340.95,339.4,340.45,34174,116.34,2943, 11970, 35.03
2023-04-17,NURECA, EQ,339.4,338.9,338.9,331.2, 337.00,336.1,334.72,34004,113.82,2306, 12775, 37.57
2023-04-18,NURECA, EQ,336.1,336.0,342.0,335.5, 336.50,337.45,338.8,23220,78.67,1747, 10827, 46.63
2023-04-19,NURECA, EQ,337.45,337.45,340.95,333.95, 337.00,336.2,337.4,21015,70.9,1799, 11497, 54.71
2023-04-20,NURECA, EQ,336.2,336.2,340.0,330.0, 333.30,331.75,333.89,29489,98.46,2327, 13995, 47.46
2023-04-21,NURECA, EQ,331.75,333.25,339.9,330.0, 333.00,332.2,333.89,34344,114.67,2018, 12533, 36.49
2023-04-24,NURECA, EQ,332.2,334.65,337.5,328.25, 330.00,330.95,333.07,22677,75.53,1462, 10198, 44.97
2023-04-25,NURECA, EQ,330.95,331.55,335.9,330.15,331.2,331.15,332.16,24934,82.82,1196, 10074, 40.40
2023-04-26,NURECA, EQ,331.15,348.7,348.7,337.2, 338.00,339.35,341.97,83073,284.09,3898, 29857, 35.94
2023-04-27,NURECA, EQ,339.35,342.05,348.0,332.8, 333.00,333.75,339.31,54422,184.66,3259, 25404, 46.68
2023-04-28,NURECA, EQ,333.75,335.4,339.7,330.35, 334.30,333.85,334.51,34131,114.17,3516, 14457, 42.36
2023-05-02,NURECA, EQ,333.85,333.85,336.9,331.1, 333.25,332.5,333.25,31566,105.19,2296, 17908, 56.73
2023-05-03,NURECA, EQ,332.5,332.0,343.9,329.65,338.0,337.35,338.7,62379,211.28,4437, 17934, 28.75
2023-05-04,NURECA, EQ,337.35,339.0,341.8,337.0, 338.30,338.25,338.57,34065,115.33,2239, 16596, 48.72
2023-05-05,NURECA, EQ,338.25,337.05,344.95,335.0, 338.20,337.05,338.54,48577,164.45,3529, 17272, 35.56
2023-05-08,NURECA, EQ,337.05,340.0,343.0,334.0, 336.00,335.45,337.2,39327,132.61,2598, 15326, 38.97
2023-05-09,NURECA, EQ,335.45,336.1,338.6,332.85,333.5,333.65,335.39,28742,96.4,1780, 16122, 56.09
2023-05-10,NURECA, EQ,333.65,335.0,336.35,330.6,332.5,332.0,333.2,21727,72.39,1639, 10052, 46.27
2023-05-11,NURECA, EQ,332.0,334.0,339.5,332.0, 335.70,335.5,336.01,41444,139.26,2708, 16676, 40.24
2023-05-12,NURECA, EQ,335.5,335.25,337.2,331.55, 332.55,332.3,333.39,19637,65.47,1722, 10420, 53.06
2023-05-15,NURECA, EQ,332.3,332.3,338.9,332.0, 333.95,334.35,335.67,34239,114.93,1529, 17580, 51.34
2023-05-16,NURECA, EQ,334.35,334.35,336.5,331.0,331.6,331.3,333.24,26084,86.92,2321, 11951, 45.82
2023-05-17,NURECA, EQ,331.3,332.0,334.2,329.25, 331.00,330.25,330.88,28243,93.45,1795, 18048, 63.90
2023-05-18,NURECA, EQ,330.25,332.7,334.65,323.3, 329.50,327.6,330.33,27511,90.88,1782, 12817, 46.59
2023-05-19,NURECA, EQ,327.6,329.9,330.0,325.0,329.9,327.5,327.2,20268,66.32,1387, 9921, 48.95
2023-05-22,NURECA, EQ,327.5,323.2,329.55,323.2,326.8,326.15,326.56,20193,65.94,1811, 9762, 48.34
2023-05-23,NURECA, EQ,326.15,328.0,337.35,325.0, 328.00,327.2,331.71,66008,218.96,3631, 17035, 25.81
2023-05-24,NURECA, EQ,327.2,319.05,323.7,311.05, 318.15,317.6,318.57,56262,179.24,3097, 24904, 44.26
2023-05-25,NURECA, EQ,317.6,324.95,324.95,313.65, 317.00,315.5,316.16,51301,162.19,2731, 18718, 36.49
2023-05-26,NURECA, EQ,315.5,316.5,324.0,316.5,318.45,318.35,319.37,26112,83.39,2202, 12986, 49.73
2023-05-29,NURECA, EQ,318.35,323.95,323.95,315.1, 318.45,316.9,318.67,26818,85.46,2436, 11485, 42.83
2023-05-30,NURECA, EQ,316.9,317.0,319.45,313.0, 315.50,314.05,315.52,27321,86.2,1874, 16434, 60.15
2023-05-31,NURECA, EQ,314.05,316.5,317.7,314.15, 315.10,315.6,315.67,24407,77.05,1386, 11456, 46.94
2023-06-01,NURECA, EQ,315.6,316.0,378.7,316.0, 378.70,378.7,358.38,1298735,4654.44,29146, 256918, 19.78
2023-06-02,NURECA, EQ,378.7,405.95,443.9,401.05, 413.30,423.55,424.82,5610862,23835.91,102840, 324778, 5.79
2023-06-05,NURECA, EQ,423.55,417.7,427.95,407.45, 408.50,410.85,417.17,686652,2864.52,20515, 108773, 15.84
2023-06-06,NURECA, EQ,410.85,408.0,408.9,384.05,388.9,388.45,394.76,265484,1048.02,12923, 83691, 31.52
2023-06-07,NURECA, EQ,388.45,392.7,423.5,392.05, 407.55,410.15,413.33,593448,2452.92,19703, 111808, 18.84
