DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,NV20BEES, EQ,103.07,103.24,103.24,101.85, 102.85,102.52,102.47,5453,5.59,162, 2591, 47.52
2023-01-03,NV20BEES, EQ,102.52,104.57,104.57,102.37, 102.80,102.85,102.84,3075,3.16,76, 1706, 55.48
2023-01-04,NV20BEES, EQ,102.85,102.38,102.5,101.15, 101.54,101.54,101.69,13358,13.58,170, 6096, 45.64
2023-01-05,NV20BEES, EQ,101.54,101.54,102.21,101.14,102.21,101.66,101.67,5104,5.19,98, 3045, 59.66
2023-01-06,NV20BEES, EQ,101.66,102.98,102.99,100.19,102.99,101.35,101.53,4555,4.62,122, 3335, 73.22
2023-01-09,NV20BEES, EQ,101.35,101.36,103.06,101.36,102.7,102.53,102.7,2638,2.71,82, 1873, 71.00
2023-01-10,NV20BEES, EQ,102.53,102.34,104.02,101.74,104.02,102.36,102.18,3367,3.44,80, 2859, 84.91
2023-01-11,NV20BEES, EQ,102.36,102.5,103.08,101.78, 102.30,102.2,102.6,5294,5.43,84, 4036, 76.24
2023-01-12,NV20BEES, EQ,102.2,104.0,104.0,101.75, 102.38,102.37,102.13,4333,4.43,86, 2565, 59.20
2023-01-13,NV20BEES, EQ,102.37,102.4,103.49,101.71,103.28,103.27,103.02,2658,2.74,82, 2072, 77.95
2023-01-16,NV20BEES, EQ,103.27,102.91,104.48,102.61, 103.52,103.5,103.37,6860,7.09,118, 5527, 80.57
2023-01-17,NV20BEES, EQ,103.5,104.0,106.42,103.66,104.4,104.2,104.31,19493,20.33,130, 10682, 54.80
2023-01-18,NV20BEES, EQ,104.2,107.35,107.35,104.21,104.91,104.94,104.77,10036,10.51,76, 9540, 95.06
2023-01-19,NV20BEES, EQ,104.94,104.51,104.99,104.51, 104.70,104.7,104.81,2915,3.06,59, 2542, 87.20
2023-01-20,NV20BEES, EQ,104.7,104.99,105.49,103.87,104.38,103.98,104.28,20849,21.74,86, 18337, 87.95
2023-01-23,NV20BEES, EQ,103.98,103.99,104.99,103.99,104.99,104.89,104.59,4249,4.44,104, 2624, 61.76
2023-01-24,NV20BEES, EQ,104.89,103.01,105.49,103.01,104.89,105.01,105.14,9702,10.2,70, 8241, 84.94
2023-01-25,NV20BEES, EQ,105.01,106.27,106.27,104.02, 105.50,105.26,104.56,15156,15.85,103, 11256, 74.27
2023-01-27,NV20BEES, EQ,105.26,106.47,106.47,103.28, 104.35,104.4,104.73,8304,8.7,141, 4006, 48.24
2023-01-30,NV20BEES, EQ,104.4,101.25,109.9,101.25, 109.90,106.61,104.57,4682,4.9,118, 3545, 75.72
2023-01-31,NV20BEES, EQ,106.61,105.49,105.49,103.97,104.89,104.93,104.54,8593,8.98,139, 6415, 74.65
2023-02-01,NV20BEES, EQ,104.93,104.93,107.0,104.0, 106.06,105.18,105.01,9634,10.12,138, 4683, 48.61
2023-02-02,NV20BEES, EQ,105.18,106.48,106.82,104.73, 106.60,106.59,106.38,7067,7.52,141, 5061, 71.61
2023-02-03,NV20BEES, EQ,106.59,106.6,107.51,105.99, 106.99,107.03,106.89,40119,42.88,121, 29232, 72.86
2023-02-06,NV20BEES, EQ,107.03,107.5,107.5,105.01, 107.01,107.0,106.77,2890,3.09,121, 1713, 59.27
2023-02-07,NV20BEES, EQ,107.0,101.0,108.99,101.0, 105.33,105.86,105.78,16339,17.28,132, 12849, 78.64
2023-02-08,NV20BEES, EQ,105.86,107.18,107.18,105.71, 106.80,106.8,106.72,3910,4.17,94, 3015, 77.11
2023-02-09,NV20BEES, EQ,106.8,111.62,111.62,106.58, 108.00,107.29,107.12,18194,19.49,108, 15131, 83.16
2023-02-10,NV20BEES, EQ,107.29,105.01,107.29,105.01, 106.03,106.13,106.29,6699,7.12,136, 4757, 71.01
2023-02-13,NV20BEES, EQ,106.13,107.0,107.48,105.25,106.0,106.0,106.01,7070,7.49,131, 6297, 89.07
2023-02-14,NV20BEES, EQ,106.0,106.07,107.22,105.91,106.98,106.66,106.95,2957,3.16,77, 2391, 80.86
2023-02-15,NV20BEES, EQ,106.66,107.98,107.98,106.31, 107.50,107.34,106.75,1929,2.06,82, 1288, 66.77
