DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,OBCL, EQ,77.45,78.0,85.0,77.95, 78.35,78.85,81.29,118038,95.95,3244, 72435, 61.37
2023-01-03,OBCL, EQ,78.85,78.75,79.9,76.35, 77.05,77.05,78.2,18096,14.15,500, 11842, 65.44
2023-01-04,OBCL, EQ,77.05,77.75,81.3,77.4, 79.60,79.45,79.01,29087,22.98,718, 10977, 37.74
2023-01-05,OBCL, EQ,79.45,79.0,88.0,79.0,86.5,86.3,83.13,89627,74.51,2434, 46964, 52.40
2023-01-06,OBCL, EQ,86.3,86.3,94.0,86.05,88.0,88.7,90.76,146032,132.54,2507, 56876, 38.95
2023-01-09,OBCL, EQ,88.7,89.0,93.3,89.0,90.3,89.85,90.86,25436,23.11,657, 14048, 55.23
2023-01-10,OBCL, EQ,89.85,91.95,91.95,86.9,87.3,88.1,90.12,40271,36.29,1819, 24123, 59.90
2023-01-11,OBCL, EQ,88.1,88.6,90.75,87.05, 87.10,87.4,88.83,29434,26.15,4240, 5904, 20.06
2023-01-12,OBCL, EQ,87.4,88.2,89.85,86.1, 86.10,86.6,87.9,32393,28.47,4506, 13543, 41.81
2023-01-13,OBCL, EQ,86.6,88.0,88.9,86.45,88.0,87.85,87.78,18334,16.09,1042, 8281, 45.17
2023-01-16,OBCL, EQ,87.85,88.0,91.95,86.1, 86.10,86.6,88.81,58827,52.24,5412, 33917, 57.66
2023-01-17,OBCL, EQ,86.6,87.95,88.55,84.1,84.25,85.4,86.79,15479,13.43,1085, 8376, 54.11
2023-01-18,OBCL, EQ,85.4,84.9,89.95,84.85,89.95,89.45,87.19,36659,31.96,2605, 19781, 53.96
2023-01-19,OBCL, EQ,89.45,89.0,89.9,85.25, 85.35,86.3,87.67,18052,15.83,1962, 9769, 54.12
2023-01-20,OBCL, EQ,86.3,86.35,92.0,86.3,87.4,87.2,88.14,35808,31.56,1901, 11865, 33.14
2023-01-23,OBCL, EQ,87.2,87.25,88.45,84.55,84.55,85.55,87.05,31855,27.73,714, 20169, 63.32
2023-01-24,OBCL, EQ,85.55,85.7,86.3,84.0,84.45,84.3,84.99,30640,26.04,855, 20729, 67.65
2023-01-25,OBCL, EQ,84.3,84.65,85.5,80.15, 81.80,81.0,82.22,14279,11.74,604, 7786, 54.53
2023-01-27,OBCL, EQ,81.0,82.5,84.1,75.0, 77.80,76.25,80.41,41251,33.17,2540, 15501, 37.58
2023-01-30,OBCL, EQ,76.25,77.95,81.0,77.2, 79.75,79.0,78.85,11381,8.97,793, 4663, 40.97
2023-01-31,OBCL, EQ,79.0,80.7,80.9,76.3,79.4,78.9,78.22,30002,23.47,2700, 9308, 31.02
2023-02-01,OBCL, EQ,78.9,79.95,79.95,75.05, 77.95,76.2,77.77,9325,7.25,289, 5692, 61.04
2023-02-02,OBCL, EQ,76.2,77.75,79.0,75.0, 75.00,75.3,77.21,15977,12.34,1856, 11350, 71.04
2023-02-03,OBCL, EQ,75.3,76.7,76.7,72.1, 72.10,73.15,73.55,18851,13.86,1257, 9177, 48.68
2023-02-06,OBCL, EQ,73.15,74.0,74.45,71.25, 72.55,73.2,72.75,31691,23.06,2103, 14239, 44.93
2023-02-07,OBCL, EQ,73.2,73.7,74.9,71.05, 72.50,72.45,72.74,52117,37.91,2066, 32490, 62.34
2023-02-08,OBCL, EQ,72.45,73.7,74.05,72.0, 72.50,72.7,73.18,18935,13.86,437, 12422, 65.60
2023-02-09,OBCL, EQ,72.7,73.7,79.8,73.1, 76.85,78.05,76.64,29986,22.98,832, 22440, 74.83
2023-02-10,OBCL, EQ,78.05,82.5,82.5,75.15, 75.60,76.3,79.01,34133,26.97,1295, 17828, 52.23
2023-02-13,OBCL, EQ,76.3,76.35,77.85,72.9,73.5,73.7,74.16,23034,17.08,978, 15533, 67.44
2023-02-14,OBCL, EQ,73.7,73.95,75.7,71.55,74.35,73.4,73.39,23910,17.55,2788, 8270, 34.59
2023-02-15,OBCL, EQ,73.4,73.45,76.5,70.9, 71.45,71.1,73.15,36701,26.85,3284, 14095, 38.40
2023-02-16,OBCL, EQ,71.1,71.45,72.8,66.5, 67.50,67.5,69.71,47752,33.29,2622, 23638, 49.50
2023-02-17,OBCL, EQ,67.5,69.95,69.95,66.2, 67.75,67.9,68.63,16566,11.37,1649, 6498, 39.22
2023-02-20,OBCL, EQ,67.9,68.35,68.65,58.15, 60.00,59.9,61.34,105309,64.59,2663, 53930, 51.21
2023-02-21,OBCL, EQ,59.9,61.0,65.8,59.65, 61.00,62.3,62.86,109635,68.91,3939, 44673, 40.75
2023-02-22,OBCL, EQ,62.3,62.0,62.3,53.2, 56.90,54.95,55.7,333352,185.68,3290, 65658, 19.70
2023-02-23,OBCL, EQ,54.95,56.0,58.0,53.6,56.5,56.6,55.94,57778,32.32,2298, 19397, 33.57
2023-02-24,OBCL, EQ,56.6,57.0,57.4,55.05, 55.85,55.4,56.52,41189,23.28,1058, 27018, 65.60
2023-02-27,OBCL, EQ,55.4,55.5,56.0,46.9, 48.85,48.95,51.17,113410,58.03,2197, 66058, 58.25
2023-02-28,OBCL, EQ,48.95,50.0,50.95,46.5, 47.65,47.4,49.57,60278,29.88,1123, 39758, 65.96
2023-03-01,OBCL, EQ,47.4,48.95,51.2,48.1, 51.20,50.9,49.46,45323,22.42,874, 32052, 70.72
2023-03-02,OBCL, EQ,50.9,51.2,53.95,47.5, 48.20,51.3,49.75,111743,55.59,1974, 60883, 54.48
2023-03-03,OBCL, EQ,51.3,50.95,50.95,48.0, 48.70,48.55,49.45,50492,24.97,835, 36083, 71.46
