DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ONGC, EQ,146.75,147.3,150.8,147.25, 150.65,150.45,149.52,9631496,14400.55,61270, 3759412, 39.03
2023-01-03,ONGC, EQ,150.45,149.7,150.6,148.0, 149.60,149.55,149.24,14991139,22372.42,88539, 7314324, 48.79
2023-01-04,ONGC, EQ,149.55,148.8,148.85,145.0, 146.40,146.25,146.39,13535874,19815.57,61856, 7631425, 56.38
2023-01-05,ONGC, EQ,146.25,145.85,147.0,144.15,146.45,146.5,146.03,16320559,23832.14,63651, 9161480, 56.13
2023-01-06,ONGC, EQ,146.5,146.7,148.1,146.3,147.5,147.35,147.21,16804116,24736.73,55582, 11278894, 67.12
2023-01-09,ONGC, EQ,147.35,149.3,150.2,147.8,148.6,148.15,148.87,18660445,27779.97,55884, 10932058, 58.58
2023-01-10,ONGC, EQ,148.15,148.6,150.3,148.6,149.1,149.35,149.35,18490715,27615.27,56948, 13081714, 70.75
2023-01-11,ONGC, EQ,149.35,149.5,150.0,146.25, 146.70,146.8,147.52,12538238,18496.95,64614, 7701712, 61.43
2023-01-12,ONGC, EQ,146.8,147.7,148.25,145.75, 146.35,146.15,146.68,13270422,19464.9,54953, 7953138, 59.93
2023-01-13,ONGC, EQ,146.15,146.4,147.5,145.9,147.0,146.95,146.99,8854484,13014.93,37727, 5499641, 62.11
2023-01-16,ONGC, EQ,146.95,147.7,147.8,146.0, 147.50,147.6,147.15,9696320,14268.35,51370, 5994905, 61.83
2023-01-17,ONGC, EQ,147.6,148.3,149.0,146.65,147.45,147.85,147.63,18484595,27288.28,57338, 10282248, 55.63
2023-01-18,ONGC, EQ,147.85,148.25,149.75,148.2,149.2,149.25,149.27,12139643,18120.5,56615, 6625723, 54.58
2023-01-19,ONGC, EQ,149.25,148.05,152.1,148.05, 151.40,151.75,151.04,18437610,27847.26,76474, 11269323, 61.12
2023-01-20,ONGC, EQ,151.75,152.0,152.5,150.55,151.85,151.6,151.69,17512691,26564.39,69050, 11431377, 65.27
2023-01-23,ONGC, EQ,151.6,152.55,153.1,151.35,152.2,152.35,152.24,16742252,25488.24,56925, 11704962, 69.91
2023-01-24,ONGC, EQ,152.35,152.35,153.2,151.6,151.8,152.15,152.6,8276792,12630.43,49438, 4605684, 55.65
2023-01-25,ONGC, EQ,152.15,151.25,153.4,151.15, 153.10,152.45,151.85,9827342,14922.82,65386, 6605841, 67.22
2023-01-27,ONGC, EQ,152.45,152.45,154.15,146.6, 147.70,147.65,148.77,13052535,19418.15,84901, 7395930, 56.66
2023-01-30,ONGC, EQ,147.65,147.5,148.85,143.25, 145.15,144.9,145.28,12688399,18433.08,86848, 6447755, 50.82
2023-01-31,ONGC, EQ,144.9,145.15,147.9,144.25,144.9,144.9,145.76,19050398,27768.39,76655, 11415835, 59.92
2023-02-01,ONGC, EQ,144.9,145.8,146.0,142.35, 144.50,144.25,144.48,11526089,16652.98,65201, 6331464, 54.93
2023-02-02,ONGC, EQ,144.25,143.0,145.0,140.65, 143.30,143.45,142.29,11886667,16914.13,74958, 6167141, 51.88
2023-02-03,ONGC, EQ,143.45,143.5,145.35,140.1, 145.00,144.3,142.48,9250428,13180.43,58385, 4497593, 48.62
