DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ORBTEXP, EQ,157.85,158.5,159.95,153.8, 158.45,155.35,156.43,14768,23.1,1077, 9544, 64.63
2023-01-03,ORBTEXP, EQ,155.35,155.8,157.45,155.5, 155.50,156.05,156.3,4302,6.72,171, 2950, 68.57
2023-01-04,ORBTEXP, EQ,156.05,158.1,165.45,155.8, 160.00,159.5,160.19,48171,77.16,1631, 24794, 51.47
2023-01-05,ORBTEXP, EQ,159.5,163.85,163.85,155.8,156.6,156.9,158.87,15147,24.06,701, 7442, 49.13
2023-01-06,ORBTEXP, EQ,156.9,162.0,162.0,154.0,157.1,158.2,158.35,27245,43.14,754, 12563, 46.11
2023-01-09,ORBTEXP, EQ,158.2,158.2,159.9,153.0,153.4,153.85,155.8,23866,37.18,654, 16365, 68.57
2023-01-10,ORBTEXP, EQ,153.85,154.0,154.95,148.3,151.75,149.9,150.48,47803,71.93,1007, 33664, 70.42
2023-01-11,ORBTEXP, EQ,149.9,150.4,155.75,150.35, 153.00,152.35,152.87,27983,42.78,936, 10018, 35.80
2023-01-12,ORBTEXP, EQ,152.35,152.35,152.95,145.1, 146.50,146.7,147.97,55620,82.3,1135, 36301, 65.27
2023-01-13,ORBTEXP, EQ,146.7,146.7,148.75,146.7,147.4,147.7,147.82,7072,10.45,242, 3435, 48.57
2023-01-16,ORBTEXP, EQ,147.7,146.05,151.95,146.05, 149.40,149.7,150.32,28416,42.72,1221, 16266, 57.24
2023-01-17,ORBTEXP, EQ,149.7,150.0,153.45,148.5,152.25,151.45,151.35,50845,76.95,2307, 11005, 21.64
2023-01-18,ORBTEXP, EQ,151.45,151.45,153.6,150.5,151.6,151.7,152.16,12058,18.35,521, 8129, 67.42
2023-01-19,ORBTEXP, EQ,151.7,150.0,153.75,150.0, 153.75,153.2,152.05,9957,15.14,271, 6653, 66.82
2023-01-20,ORBTEXP, EQ,153.2,153.2,160.0,151.6,158.5,159.15,156.52,37169,58.18,915, 21271, 57.23
2023-01-23,ORBTEXP, EQ,159.15,157.5,164.7,157.5,161.3,161.1,162.09,34254,55.52,975, 18912, 55.21
2023-01-24,ORBTEXP, EQ,161.1,159.05,161.0,153.2,157.95,157.1,157.38,63548,100.01,1451, 29854, 46.98
2023-01-25,ORBTEXP, EQ,157.1,155.25,156.2,152.4, 152.50,152.5,154.08,14209,21.89,479, 7948, 55.94
2023-01-27,ORBTEXP, EQ,152.5,152.6,152.95,147.25, 147.25,148.2,149.45,23137,34.58,562, 14588, 63.05
2023-01-30,ORBTEXP, EQ,148.2,149.25,149.75,141.6, 144.00,144.85,146.3,30087,44.02,786, 19466, 64.70
2023-01-31,ORBTEXP, EQ,144.85,144.55,149.7,144.55,149.0,149.15,148.1,11654,17.26,322, 7990, 68.56
2023-02-01,ORBTEXP, EQ,149.15,147.6,151.9,146.0, 147.50,147.9,148.99,11628,17.32,328, 6155, 52.93
2023-02-02,ORBTEXP, EQ,147.9,145.1,149.6,145.1, 147.50,147.75,148.59,6194,9.2,194, 3789, 61.17
2023-02-03,ORBTEXP, EQ,147.75,147.6,149.7,145.0, 145.00,145.45,146.93,11095,16.3,482, 7090, 63.90
2023-02-06,ORBTEXP, EQ,145.45,148.4,161.9,145.05, 154.80,154.05,155.71,52126,81.17,1158, 20978, 40.24
2023-02-07,ORBTEXP, EQ,154.05,154.05,154.75,153.0, 153.00,153.35,153.88,5113,7.87,121, 3371, 65.93
2023-02-08,ORBTEXP, EQ,153.35,152.6,153.45,149.15, 150.50,151.0,151.38,31869,48.24,553, 5616, 17.62
2023-02-09,ORBTEXP, EQ,151.0,151.0,152.6,146.05, 146.05,146.6,147.93,16145,23.88,407, 10498, 65.02
2023-02-10,ORBTEXP, EQ,146.6,146.85,148.5,146.2, 147.15,147.7,147.55,4253,6.28,161, 2366, 55.63
2023-02-13,ORBTEXP, EQ,147.7,148.65,148.75,144.5,145.05,145.05,145.94,5884,8.59,179, 3977, 67.59
2023-02-14,ORBTEXP, EQ,145.05,144.5,146.75,141.5,141.55,142.35,143.99,7722,11.12,239, 3728, 48.28
2023-02-15,ORBTEXP, EQ,142.35,141.65,144.15,141.5, 143.45,143.15,142.76,4562,6.51,153, 3164, 69.36
2023-02-16,ORBTEXP, EQ,143.15,144.25,146.15,143.55, 145.30,144.8,144.8,4466,6.47,176, 2375, 53.18
2023-02-17,ORBTEXP, EQ,144.8,144.8,144.8,141.15, 141.55,142.3,143.61,3823,5.49,137, 3115, 81.48
2023-02-20,ORBTEXP, EQ,142.3,141.75,144.45,141.7, 142.00,143.45,142.66,2904,4.14,79, 1967, 67.73
2023-02-21,ORBTEXP, EQ,143.45,143.5,143.7,140.2, 140.60,141.15,141.79,4174,5.92,183, 2525, 60.49
2023-02-22,ORBTEXP, EQ,141.15,140.6,141.0,134.2, 136.75,135.95,136.96,12297,16.84,392, 8749, 71.15
2023-02-23,ORBTEXP, EQ,135.95,135.9,136.45,133.05,135.5,135.35,134.34,8515,11.44,194, 4938, 57.99
2023-02-24,ORBTEXP, EQ,135.35,135.75,155.8,134.05, 140.75,142.45,139.25,9803,13.65,243, 5180, 52.84
2023-02-27,ORBTEXP, EQ,142.45,142.55,142.55,133.6, 135.05,136.15,136.39,12689,17.31,490, 6737, 53.09
2023-02-28,ORBTEXP, EQ,136.15,136.7,137.25,134.5, 135.00,134.95,135.74,3113,4.23,87, 2108, 67.72
2023-03-01,ORBTEXP, EQ,134.95,136.2,137.25,132.6, 134.00,134.25,135.0,4519,6.1,215, 2865, 63.40
2023-03-02,ORBTEXP, EQ,134.25,132.2,136.2,132.2, 136.20,136.0,135.59,2326,3.15,106, 1549, 66.60
2023-03-03,ORBTEXP, EQ,136.0,136.25,141.2,135.3, 138.50,139.05,138.59,7727,10.71,319, 4616, 59.74
2023-03-06,ORBTEXP, EQ,139.05,138.6,140.0,137.0, 139.90,139.0,138.66,5390,7.47,131, 3565, 66.14
2023-03-08,ORBTEXP, EQ,139.0,139.75,143.75,139.0, 141.80,141.0,141.67,9479,13.43,194, 3261, 34.40
2023-03-09,ORBTEXP, EQ,141.0,144.7,144.7,138.7, 139.00,139.4,140.46,2940,4.13,149, 1665, 56.63
2023-03-10,ORBTEXP, EQ,139.4,139.0,140.7,138.1, 140.50,139.8,139.34,2542,3.54,128, 1388, 54.60
2023-03-13,ORBTEXP, EQ,139.8,138.0,139.0,129.2, 131.15,131.3,134.78,12464,16.8,387, 7505, 60.21
2023-03-14,ORBTEXP, EQ,131.3,132.25,134.5,131.55, 132.60,132.15,133.07,5037,6.7,141, 3103, 61.60
2023-03-15,ORBTEXP, EQ,132.15,133.75,134.75,131.0, 131.05,131.2,132.71,4144,5.5,104, 2971, 71.69
2023-03-16,ORBTEXP, EQ,131.2,131.55,132.6,127.1, 127.50,127.5,128.51,18608,23.91,201, 17207, 92.47
2023-03-17,ORBTEXP, EQ,127.5,129.25,131.7,125.1, 126.00,126.3,127.38,20637,26.29,383, 11831, 57.33
2023-03-20,ORBTEXP, EQ,126.3,126.4,127.75,121.5,123.6,122.2,124.25,10110,12.56,328, 7528, 74.46
2023-03-21,ORBTEXP, EQ,122.2,121.6,125.05,121.5, 124.25,123.4,122.85,3517,4.32,99, 1908, 54.25
2023-03-22,ORBTEXP, EQ,123.4,124.25,124.7,122.0, 122.50,122.9,122.8,6329,7.77,149, 4462, 70.50
2023-03-23,ORBTEXP, EQ,122.9,124.25,124.75,121.5, 121.50,122.15,123.57,8417,10.4,150, 6843, 81.30
2023-03-24,ORBTEXP, EQ,122.15,122.5,128.4,121.3, 126.00,124.4,123.38,50978,62.9,483, 33343, 65.41
2023-03-27,ORBTEXP, EQ,124.4,125.05,125.05,118.55, 119.00,119.95,121.34,25770,31.27,416, 21129, 81.99
2023-03-28,ORBTEXP, EQ,119.95,119.95,120.55,116.05, 116.05,116.65,117.54,9839,11.56,298, 7297, 74.16
2023-03-29,ORBTEXP, EQ,116.65,116.65,125.15,114.75, 117.00,117.6,116.31,36772,42.77,1501, 28501, 77.51
2023-03-31,ORBTEXP, EQ,117.6,117.9,118.0,114.05, 115.55,116.3,116.81,16497,19.27,343, 12751, 77.29
2023-04-03,ORBTEXP, EQ,116.3,114.6,121.75,114.6, 121.75,121.15,119.1,8400,10.0,238, 5623, 66.94
2023-04-05,ORBTEXP, EQ,121.15,120.0,130.4,120.0, 124.55,124.65,125.81,22128,27.84,588, 11815, 53.39
2023-04-06,ORBTEXP, EQ,124.65,124.5,126.75,124.25, 126.00,126.25,125.86,1949,2.45,77, 1210, 62.08
2023-04-10,ORBTEXP, EQ,126.25,126.25,129.45,126.25, 128.00,127.95,127.9,3648,4.67,166, 2355, 64.56
2023-04-11,ORBTEXP, EQ,127.95,128.75,131.9,127.05, 129.10,128.4,129.77,8903,11.55,293, 5020, 56.39
2023-04-12,ORBTEXP, EQ,128.4,128.4,130.75,127.0, 127.00,127.55,128.98,7006,9.04,595, 3740, 53.38
2023-04-13,ORBTEXP, EQ,127.55,128.1,130.25,127.55, 130.00,129.4,128.91,5656,7.29,164, 3534, 62.48
2023-04-17,ORBTEXP, EQ,129.4,129.95,132.25,129.05, 131.00,131.75,130.89,3472,4.54,120, 2543, 73.24
2023-04-18,ORBTEXP, EQ,131.75,132.0,135.0,130.6, 135.00,133.35,132.38,4824,6.39,145, 3373, 69.92
2023-04-19,ORBTEXP, EQ,133.35,133.35,149.0,133.35, 147.00,146.8,143.53,48141,69.1,727, 26686, 55.43
2023-04-20,ORBTEXP, EQ,146.8,147.0,152.2,140.35, 141.10,142.05,147.17,31655,46.59,787, 15390, 48.62
2023-04-21,ORBTEXP, EQ,142.05,143.6,144.0,137.05, 139.00,139.3,140.2,7903,11.08,258, 4418, 55.90
2023-04-24,ORBTEXP, EQ,139.3,140.6,146.6,140.0, 146.00,145.2,143.21,11892,17.03,360, 7827, 65.82
2023-04-25,ORBTEXP, EQ,145.2,144.95,147.7,144.55,146.3,146.7,146.1,9890,14.45,196, 5224, 52.82
2023-04-26,ORBTEXP, EQ,146.7,147.0,148.25,146.0, 147.30,146.2,147.07,4599,6.76,137, 3506, 76.23
2023-04-27,ORBTEXP, EQ,146.2,146.6,146.6,144.0, 144.00,144.8,145.21,4037,5.86,107, 2909, 72.06
2023-04-28,ORBTEXP, EQ,144.8,145.75,145.75,139.6, 142.95,141.85,142.44,7361,10.49,291, 4386, 59.58
