DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ORIENTALTL, EQ,8.25,8.7,8.7,8.1, 8.10,8.35,8.43,21409,1.8,169, 17569, 82.06
2023-01-03,ORIENTALTL, EQ,8.35,8.55,8.6,8.25, 8.30,8.4,8.44,48159,4.06,142, 33573, 69.71
2023-01-04,ORIENTALTL, EQ,8.4,8.55,8.55,8.25, 8.35,8.35,8.4,31594,2.65,98, 20532, 64.99
2023-01-05,ORIENTALTL, EQ,8.35,8.35,8.45,8.15,8.15,8.2,8.25,25734,2.12,114, 20149, 78.30
2023-01-06,ORIENTALTL, EQ,8.2,8.2,8.35,8.15,8.15,8.25,8.25,11326,0.93,75, 9148, 80.77
2023-01-09,ORIENTALTL, EQ,8.25,8.25,8.35,8.1,8.3,8.15,8.21,43650,3.58,156, 26594, 60.93
2023-01-10,ORIENTALTL, EQ,8.15,8.1,8.5,8.1,8.3,8.3,8.35,22661,1.89,110, 16451, 72.60
2023-01-11,ORIENTALTL, EQ,8.3,8.4,8.4,8.15, 8.20,8.25,8.21,4396,0.36,61, 4175, 94.97
2023-01-12,ORIENTALTL, EQ,8.25,8.45,8.45,8.0, 8.20,8.1,8.22,24368,2.0,101, 18981, 77.89
2023-01-13,ORIENTALTL, EQ,8.1,8.2,8.3,8.0,8.05,8.1,8.14,34241,2.79,114, 24776, 72.36
2023-01-16,ORIENTALTL, EQ,8.1,8.3,8.3,8.05, 8.15,8.15,8.17,9311,0.76,68, 6753, 72.53
2023-01-17,ORIENTALTL, EQ,8.15,8.2,8.3,7.9,8.05,8.1,8.13,24676,2.0,102, 19444, 78.80
2023-01-18,ORIENTALTL, EQ,8.1,8.1,8.15,8.05,8.15,8.15,8.13,9274,0.75,59, 5569, 60.05
2023-01-19,ORIENTALTL, EQ,8.15,8.15,8.15,7.95, 8.05,8.0,8.03,30719,2.47,125, 25783, 83.93
2023-01-20,ORIENTALTL, EQ,8.0,8.05,8.15,7.9,7.9,7.95,8.01,32304,2.59,115, 22158, 68.59
2023-01-23,ORIENTALTL, EQ,7.95,8.15,8.15,7.9,8.0,7.95,7.99,19320,1.54,122, 17738, 91.81
2023-01-24,ORIENTALTL, EQ,7.95,8.1,8.3,7.75,7.85,8.05,7.93,79252,6.29,282, 62141, 78.41
2023-01-25,ORIENTALTL, EQ,8.05,7.95,8.1,7.2, 7.90,7.8,7.82,72908,5.7,218, 38233, 52.44
2023-01-27,ORIENTALTL, EQ,7.8,7.85,7.85,7.25, 7.30,7.35,7.36,59162,4.35,174, 40169, 67.90
2023-01-30,ORIENTALTL, EQ,7.35,7.35,7.65,7.35, 7.60,7.5,7.44,29527,2.2,130, 21164, 71.68
2023-01-31,ORIENTALTL, EQ,7.5,7.4,7.6,7.3,7.55,7.6,7.57,10209,0.77,89, 8998, 88.14
2023-02-01,ORIENTALTL, EQ,7.6,7.75,8.15,7.35, 7.55,7.6,7.8,52735,4.11,247, 38111, 72.27
2023-02-02,ORIENTALTL, EQ,7.6,7.65,7.8,7.5, 7.60,7.65,7.62,9732,0.74,111, 6596, 67.78
2023-02-03,ORIENTALTL, EQ,7.65,7.65,7.7,7.45, 7.45,7.55,7.57,15319,1.16,121, 12099, 78.98
2023-02-06,ORIENTALTL, EQ,7.55,7.75,7.85,7.2, 7.45,7.5,7.42,17900,1.33,141, 11862, 66.27
2023-02-07,ORIENTALTL, EQ,7.5,7.5,7.6,7.4, 7.55,7.45,7.48,5672,0.42,59, 4834, 85.23
2023-02-08,ORIENTALTL, EQ,7.45,7.6,7.6,7.4, 7.55,7.55,7.53,14502,1.09,147, 10440, 71.99
2023-02-09,ORIENTALTL, EQ,7.55,7.6,7.95,7.4, 7.55,7.6,7.7,22193,1.71,129, 16848, 75.92
2023-02-10,ORIENTALTL, EQ,7.6,8.2,8.2,7.5, 7.85,7.75,7.74,14921,1.15,298, 6168, 41.34
2023-02-13,ORIENTALTL, EQ,7.75,7.75,8.1,7.45,7.5,7.5,7.55,42416,3.2,237, 31294, 73.78
2023-02-14,ORIENTALTL, EQ,7.5,7.55,7.85,7.05,7.35,7.2,7.38,89965,6.64,428, 47207, 52.47
2023-02-15,ORIENTALTL, EQ,7.2,7.45,7.45,7.0, 7.00,7.1,7.13,61064,4.35,184, 30530, 50.00
2023-02-16,ORIENTALTL, EQ,7.1,7.35,7.35,7.05, 7.05,7.05,7.12,23194,1.65,352, 15870, 68.42
2023-02-17,ORIENTALTL, EQ,7.05,7.05,7.2,6.95, 7.05,7.0,7.05,23437,1.65,101, 20103, 85.77
2023-02-20,ORIENTALTL, EQ,7.0,7.15,7.2,6.7, 6.70,6.75,6.89,48090,3.31,313, 34691, 72.14
2023-02-21,ORIENTALTL, EQ,6.75,7.0,7.05,6.65, 6.70,6.75,6.83,57267,3.91,298, 36891, 64.42
2023-02-22,ORIENTALTL, EQ,6.75,6.85,6.9,6.4, 6.70,6.6,6.57,72590,4.77,457, 44330, 61.07
2023-02-23,ORIENTALTL, EQ,6.6,6.45,7.7,6.45,7.3,7.35,7.38,186752,13.78,871, 114884, 61.52
2023-02-24,ORIENTALTL, EQ,7.35,7.65,7.95,7.05, 7.15,7.15,7.5,81140,6.09,1114, 56698, 69.88
2023-02-27,ORIENTALTL, EQ,7.15,7.3,7.4,6.7, 6.85,6.85,6.97,22634,1.58,177, 15111, 66.76
2023-02-28,ORIENTALTL, EQ,6.85,6.85,7.15,6.8, 6.90,6.85,6.87,11721,0.81,182, 9064, 77.33
2023-03-01,ORIENTALTL, EQ,6.85,6.95,7.15,6.85, 6.90,7.0,6.95,35812,2.49,129, 25498, 71.20
2023-03-02,ORIENTALTL, EQ,7.0,7.0,7.2,6.6, 6.85,6.9,6.85,53790,3.68,217, 41836, 77.78
2023-03-03,ORIENTALTL, EQ,6.9,7.0,7.05,6.8, 6.85,6.85,6.86,123965,8.51,202, 105200, 84.86
2023-03-06,ORIENTALTL, EQ,6.85,6.7,6.9,6.7, 6.90,6.85,6.83,26635,1.82,101, 18880, 70.88
2023-03-08,ORIENTALTL, EQ,6.85,6.9,6.9,6.7, 6.80,6.8,6.77,20502,1.39,145, 17615, 85.92
2023-03-09,ORIENTALTL, EQ,6.8,6.85,6.95,6.0, 6.60,6.5,6.4,217975,13.96,611, 135982, 62.38
2023-03-10,ORIENTALTL, EQ,6.5,6.55,6.55,6.2, 6.50,6.45,6.42,34634,2.22,194, 25280, 72.99
2023-03-13,ORIENTALTL, EQ,6.45,6.5,7.1,6.3, 6.45,6.45,6.6,46246,3.05,181, 40322, 87.19
2023-03-14,ORIENTALTL, EQ,6.45,6.35,6.7,6.35, 6.40,6.45,6.49,21240,1.38,104, 16923, 79.68
2023-03-15,ORIENTALTL, EQ,6.45,6.6,6.85,6.15, 6.20,6.35,6.57,31868,2.1,133, 28054, 88.03
2023-03-16,ORIENTALTL, EQ,6.35,6.6,6.75,6.3, 6.30,6.35,6.49,72609,4.72,156, 62483, 86.05
2023-03-17,ORIENTALTL, EQ,6.35,6.5,6.6,6.25, 6.25,6.3,6.37,35320,2.25,269, 21078, 59.68
2023-03-20,ORIENTALTL, EQ,6.3,6.3,6.5,6.1,6.35,6.35,6.4,29520,1.89,108, 26247, 88.91
2023-03-21,ORIENTALTL, EQ,6.35,6.5,6.55,6.3, 6.50,6.45,6.42,20298,1.3,107, 16039, 79.02
2023-03-22,ORIENTALTL, EQ,6.45,6.6,6.65,6.2, 6.30,6.3,6.35,29908,1.9,335, 21369, 71.45
2023-03-23,ORIENTALTL, EQ,6.3,6.4,6.5,6.2, 6.35,6.35,6.32,32196,2.03,119, 15588, 48.42
2023-03-24,ORIENTALTL, EQ,6.35,6.35,6.35,6.15, 6.20,6.2,6.22,25700,1.6,90, 21089, 82.06
2023-03-27,ORIENTALTL, EQ,6.2,6.2,6.5,6.05, 6.05,6.1,6.17,16344,1.01,84, 11302, 69.15
2023-03-28,ORIENTALTL, EQ,6.1,6.1,6.15,5.8, 5.80,5.95,5.93,39341,2.33,164, 25708, 65.35
2023-03-29,ORIENTALTL, EQ,5.95,5.9,6.15,5.55, 5.80,5.7,5.8,47903,2.78,268, 34627, 72.29
2023-03-31,ORIENTALTL, EQ,5.7,5.7,6.15,5.7, 6.05,6.0,5.97,34025,2.03,125, 28194, 82.86
2023-04-03,ORIENTALTL, EQ,6.0,6.05,6.15,5.9, 6.10,6.0,6.03,21634,1.3,94, 18086, 83.60
2023-04-05,ORIENTALTL, EQ,6.0,6.0,6.35,5.95, 6.30,6.3,6.24,27858,1.74,147, 24338, 87.36
2023-04-06,ORIENTALTL, EQ,6.3,6.45,6.55,6.15, 6.20,6.25,6.39,43928,2.81,161, 37297, 84.90
2023-04-10,ORIENTALTL, EQ,6.25,6.5,6.55,6.15, 6.40,6.35,6.35,15112,0.96,125, 12801, 84.71
2023-04-11,ORIENTALTL, EQ,6.35,6.55,6.55,6.0, 6.25,6.35,6.26,27187,1.7,131, 17308, 63.66
2023-04-12,ORIENTALTL, EQ,6.35,6.5,6.5,6.1, 6.40,6.3,6.24,31006,1.94,102, 23171, 74.73
2023-04-13,ORIENTALTL, EQ,6.3,6.3,6.4,6.15, 6.15,6.2,6.31,7551,0.48,68, 6129, 81.17
2023-04-17,ORIENTALTL, EQ,6.2,6.35,6.35,6.05, 6.30,6.2,6.21,13031,0.81,110, 8370, 64.23
2023-04-18,ORIENTALTL, EQ,6.2,6.45,6.45,6.2, 6.30,6.35,6.32,15304,0.97,122, 10883, 71.11
2023-04-19,ORIENTALTL, EQ,6.35,6.6,6.6,6.1, 6.30,6.25,6.35,25447,1.62,113, 12947, 50.88
2023-04-20,ORIENTALTL, EQ,6.25,6.55,7.5,6.25, 6.80,6.85,7.08,418367,29.6,1063, 155844, 37.25
2023-04-21,ORIENTALTL, EQ,6.85,7.2,7.25,6.8, 6.85,6.9,6.97,61484,4.29,246, 40442, 65.78
2023-04-24,ORIENTALTL, EQ,6.9,7.0,7.0,6.8, 6.80,6.85,6.86,13212,0.91,80, 9107, 68.93
2023-04-25,ORIENTALTL, EQ,6.85,6.95,7.5,6.7,6.7,6.75,6.99,87616,6.12,196, 57859, 66.04
2023-04-26,ORIENTALTL, EQ,6.75,6.85,7.1,6.7, 6.85,6.85,6.9,34899,2.41,145, 23313, 66.80
2023-04-27,ORIENTALTL, EQ,6.85,6.85,7.2,6.7, 6.80,6.8,6.91,45642,3.15,105, 35767, 78.36
2023-04-28,ORIENTALTL, EQ,6.8,6.8,7.6,6.8, 7.00,7.0,7.12,97734,6.96,173, 74300, 76.02
2023-05-02,ORIENTALTL, EQ,7.0,6.95,7.2,6.0, 6.70,6.8,6.55,100249,6.57,304, 61309, 61.16
2023-05-03,ORIENTALTL, EQ,6.8,6.75,6.95,6.5,6.8,6.75,6.78,35338,2.4,156, 16263, 46.02
2023-05-04,ORIENTALTL, EQ,6.75,6.9,7.05,6.75, 6.90,6.95,6.92,24579,1.7,114, 23062, 93.83
2023-05-05,ORIENTALTL, EQ,6.95,6.9,7.1,6.9, 6.90,6.9,6.97,17418,1.21,82, 16079, 92.31
2023-05-08,ORIENTALTL, EQ,6.9,7.1,7.25,6.85, 7.10,7.0,6.98,25416,1.77,122, 16658, 65.54
2023-05-09,ORIENTALTL, EQ,7.0,7.2,8.0,7.0,7.65,7.65,7.49,227266,17.02,390, 138955, 61.14
2023-05-10,ORIENTALTL, EQ,7.65,7.7,8.15,7.55,7.65,7.7,7.79,140361,10.93,358, 66664, 47.49
2023-05-11,ORIENTALTL, EQ,7.7,7.7,8.0,7.4, 7.70,7.65,7.74,31092,2.41,157, 11078, 35.63
2023-05-12,ORIENTALTL, EQ,7.65,8.0,8.0,7.4, 7.60,7.5,7.59,29485,2.24,140, 19209, 65.15
2023-05-15,ORIENTALTL, EQ,7.5,7.9,7.9,7.05, 7.30,7.35,7.37,61677,4.54,199, 33433, 54.21
2023-05-16,ORIENTALTL, EQ,7.35,7.2,8.15,7.2,7.55,7.7,7.63,62381,4.76,199, 38814, 62.22
2023-05-17,ORIENTALTL, EQ,7.7,7.7,7.8,7.4, 7.80,7.7,7.63,19027,1.45,145, 13651, 71.75
2023-05-18,ORIENTALTL, EQ,7.7,7.7,7.7,7.35, 7.50,7.4,7.5,16853,1.26,133, 10340, 61.35
2023-05-19,ORIENTALTL, EQ,7.4,7.45,7.65,7.2,7.25,7.3,7.32,26926,1.97,154, 22155, 82.28
2023-05-22,ORIENTALTL, EQ,7.3,7.4,7.45,7.1,7.25,7.15,7.23,19742,1.43,133, 12399, 62.81
2023-05-23,ORIENTALTL, EQ,7.15,7.35,7.35,7.0, 7.15,7.2,7.16,29943,2.15,151, 16101, 53.77
2023-05-24,ORIENTALTL, EQ,7.2,7.0,7.4,7.0, 7.40,7.35,7.3,14618,1.07,86, 8072, 55.22
2023-05-25,ORIENTALTL, EQ,7.35,7.35,7.35,6.9, 7.00,7.0,7.08,70444,4.99,224, 47060, 66.80
2023-05-26,ORIENTALTL, EQ,7.0,7.1,7.15,6.8,7.0,6.95,6.94,37149,2.58,180, 24790, 66.73
2023-05-29,ORIENTALTL, EQ,6.95,7.1,7.2,6.75, 6.90,6.85,6.88,64271,4.42,178, 42355, 65.90
2023-05-30,ORIENTALTL, EQ,6.85,6.85,7.05,6.75, 7.00,6.9,6.96,11159,0.78,72, 7608, 68.18
2023-05-31,ORIENTALTL, EQ,6.9,6.9,7.0,6.8, 6.85,6.85,6.88,17004,1.17,110, 9969, 58.63
2023-06-01,ORIENTALTL, EQ,6.85,6.85,6.95,6.05, 6.75,6.65,6.61,129019,8.53,359, 81998, 63.55
2023-06-02,ORIENTALTL, EQ,6.65,6.65,6.85,6.55, 6.85,6.8,6.78,28430,1.93,104, 24177, 85.04
2023-06-05,ORIENTALTL, EQ,6.8,6.85,7.0,6.65, 6.80,6.8,6.88,50223,3.45,179, 26676, 53.12
2023-06-06,ORIENTALTL, EQ,6.8,6.8,6.95,6.65,6.85,6.85,6.88,26103,1.8,93, 20476, 78.44
2023-06-07,ORIENTALTL, EQ,6.85,6.95,7.1,6.65, 6.70,6.85,6.93,136476,9.45,232, 112156, 82.18
2023-06-08,ORIENTALTL, EQ,6.85,6.7,6.9,6.45, 6.50,6.5,6.59,386733,25.47,480, 334293, 86.44
2023-06-09,ORIENTALTL, EQ,6.5,6.5,6.65,6.2, 6.35,6.4,6.37,175094,11.16,405, 126290, 72.13
2023-06-12,ORIENTALTL, EQ,6.4,6.5,6.55,6.3, 6.35,6.4,6.47,64391,4.16,170, 49162, 76.35
