DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,OSIAHYPER, EQ,269.65,275.15,275.15,264.05, 272.50,272.3,271.31,2212,6.0,85, 1440, 65.10
2023-01-03,OSIAHYPER, EQ,272.3,273.0,285.9,261.85, 263.00,262.65,268.52,6663,17.89,298, 2397, 35.97
2023-01-04,OSIAHYPER, EQ,262.65,273.9,274.15,265.0, 273.50,273.05,270.0,2094,5.65,74, 1589, 75.88
2023-01-05,OSIAHYPER, EQ,273.05,273.05,277.0,270.0,274.0,273.95,274.28,2450,6.72,124, 1607, 65.59
2023-01-06,OSIAHYPER, EQ,273.95,277.7,277.7,265.05,270.0,269.55,270.93,1764,4.78,128, 1183, 67.06
2023-01-09,OSIAHYPER, EQ,269.55,270.15,278.95,270.0,274.75,274.5,273.37,3583,9.79,167, 2299, 64.16
2023-01-10,OSIAHYPER, EQ,274.5,270.6,278.3,262.0,265.5,267.85,270.93,1341,3.63,94, 706, 52.65
2023-01-11,OSIAHYPER, EQ,267.85,280.0,280.0,261.1, 265.80,264.1,268.05,2555,6.85,138, 1562, 61.14
2023-01-12,OSIAHYPER, EQ,264.1,270.8,270.8,260.15, 261.15,261.0,264.25,995,2.63,67, 572, 57.49
2023-01-13,OSIAHYPER, EQ,261.0,262.1,265.0,255.45,265.0,261.7,260.81,509,1.33,72, 266, 52.26
2023-01-16,OSIAHYPER, EQ,261.7,264.75,266.9,256.55, 258.00,259.35,260.35,2452,6.38,139, 1591, 64.89
2023-01-17,OSIAHYPER, EQ,259.35,264.9,269.85,260.15,268.0,267.75,266.39,4091,10.9,234, 1646, 40.23
2023-01-18,OSIAHYPER, EQ,267.75,272.5,272.5,262.55,272.1,267.8,266.28,3568,9.5,232, 549, 15.39
2023-01-19,OSIAHYPER, EQ,267.8,263.45,269.95,263.45, 264.80,264.8,266.0,652,1.73,53, 453, 69.48
2023-01-20,OSIAHYPER, EQ,264.8,263.95,268.45,261.5,265.0,265.0,264.69,2402,6.36,189, 784, 32.64
2023-01-23,OSIAHYPER, EQ,265.0,276.0,276.0,265.0,268.0,267.0,268.0,3636,9.74,305, 1607, 44.20
2023-01-24,OSIAHYPER, EQ,267.0,266.0,268.4,260.8,264.2,264.2,264.69,1151,3.05,115, 294, 25.54
2023-01-25,OSIAHYPER, EQ,264.2,263.35,271.4,257.0, 263.00,260.5,266.03,4051,10.78,311, 669, 16.51
2023-01-27,OSIAHYPER, EQ,260.5,248.05,256.4,247.5, 248.00,248.2,248.67,6226,15.48,256, 4780, 76.77
2023-01-30,OSIAHYPER, EQ,248.2,248.2,248.2,236.2, 244.00,238.6,241.56,3115,7.52,197, 1425, 45.75
2023-01-31,OSIAHYPER, EQ,238.6,239.75,242.55,235.0,236.55,236.45,237.61,2050,4.87,95, 1233, 60.15
2023-02-01,OSIAHYPER, EQ,236.45,245.0,245.0,230.1, 231.50,231.5,238.47,3891,9.28,227, 1316, 33.82
2023-02-02,OSIAHYPER, EQ,231.5,231.3,243.05,229.65, 232.00,233.4,238.4,6191,14.76,153, 4586, 74.08
2023-02-03,OSIAHYPER, EQ,233.4,226.75,237.0,221.75, 225.00,228.3,226.74,6770,15.35,218, 2484, 36.69
2023-02-06,OSIAHYPER, EQ,228.3,228.95,234.85,222.1, 223.00,224.15,227.2,5734,13.03,296, 1171, 20.42
2023-02-07,OSIAHYPER, EQ,224.15,225.8,232.85,222.95, 229.00,228.25,229.38,9178,21.05,94, 8396, 91.48
2023-02-08,OSIAHYPER, EQ,228.25,222.6,235.0,217.6, 221.55,221.85,224.07,25453,57.03,262, 13264, 52.11
2023-02-09,OSIAHYPER, EQ,221.85,233.8,233.8,219.85, 221.00,221.5,224.7,4389,9.86,170, 2414, 55.00
2023-02-10,OSIAHYPER, EQ,221.5,233.5,233.5,220.7, 225.00,225.0,226.32,8696,19.68,114, 6730, 77.39
2023-02-13,OSIAHYPER, EQ,225.0,225.0,234.8,214.1,215.1,217.7,225.61,13013,29.36,249, 8382, 64.41
2023-02-14,OSIAHYPER, EQ,217.7,217.9,217.9,201.1,213.85,214.85,210.68,7120,15.0,411, 4058, 56.99
2023-02-15,OSIAHYPER, EQ,214.85,219.15,225.05,215.1, 217.75,216.85,220.76,16393,36.19,247, 14348, 87.53
2023-02-16,OSIAHYPER, EQ,216.85,205.95,221.95,205.15, 209.80,207.6,212.06,9512,20.17,500, 6431, 67.61
2023-02-17,OSIAHYPER, EQ,207.6,206.95,213.0,206.95, 210.00,210.0,210.55,12561,26.45,403, 8018, 63.83
2023-02-20,OSIAHYPER, EQ,210.0,219.25,222.95,207.05, 209.00,210.45,211.53,7583,16.04,122, 5576, 73.53
2023-02-21,OSIAHYPER, EQ,210.45,205.0,214.95,201.15, 206.10,210.45,211.8,8966,18.99,333, 3870, 43.16
2023-02-22,OSIAHYPER, EQ,210.45,214.0,219.75,199.0, 213.00,212.3,212.29,7503,15.93,393, 2555, 34.05
2023-02-23,OSIAHYPER, EQ,212.3,207.95,224.95,206.1,206.1,208.8,211.65,7649,16.19,285, 3493, 45.67
2023-02-24,OSIAHYPER, EQ,208.8,214.7,229.65,200.55, 229.65,229.65,225.17,29949,67.44,512, 17818, 59.49
2023-02-27,OSIAHYPER, EQ,229.65,242.0,248.0,230.3, 244.50,243.35,239.52,19114,45.78,1441, 8939, 46.77
2023-02-28,OSIAHYPER, EQ,243.35,250.0,267.65,240.1, 257.10,252.1,260.8,117548,306.57,9170, 33413, 28.42
2023-03-01,OSIAHYPER, EQ,252.1,259.05,267.6,245.3, 264.00,260.3,259.2,12724,32.98,617, 5802, 45.60
2023-03-02,OSIAHYPER, EQ,260.3,260.3,279.8,260.3, 279.80,276.25,270.83,18482,50.05,518, 11698, 63.29
2023-03-03,OSIAHYPER, EQ,276.25,282.0,286.4,280.0, 281.00,281.25,282.28,23292,65.75,482, 18102, 77.72
2023-03-06,OSIAHYPER, EQ,281.25,289.0,290.95,280.15, 283.20,282.75,285.63,15536,44.38,585, 9541, 61.41
2023-03-08,OSIAHYPER, EQ,282.75,288.45,296.85,281.3, 296.85,296.85,291.76,28960,84.49,461, 16717, 57.72
2023-03-09,OSIAHYPER, EQ,296.85,308.9,311.65,298.05, 311.65,311.65,309.95,50166,155.49,658, 39912, 79.56
2023-03-10,OSIAHYPER, EQ,311.65,320.0,327.2,313.4, 327.20,327.2,326.36,161078,525.69,2226, 82240, 51.06
2023-03-13,OSIAHYPER, EQ,327.2,32.55,34.3,32.05, 34.30,34.3,33.87,227058,76.9,220, 155891, 68.66
2023-03-14,OSIAHYPER, EQ,34.3,36.0,36.0,32.6, 35.35,35.45,34.49,5020885,1731.73,30296, 865044, 17.23
2023-03-15,OSIAHYPER, EQ,35.45,36.2,37.2,34.1, 36.00,36.8,36.53,2234364,816.16,4235, 708953, 31.73
2023-03-16,OSIAHYPER, EQ,36.8,37.1,37.65,35.0, 35.00,35.0,35.8,425406,152.31,1999, 166030, 39.03
2023-03-17,OSIAHYPER, EQ,35.0,33.6,34.0,33.25, 33.25,33.25,33.31,241005,80.29,802, 135987, 56.42
2023-03-20,OSIAHYPER, EQ,33.25,34.0,34.0,31.6,31.6,31.6,31.65,162598,51.46,301, 99323, 61.09
2023-03-21,OSIAHYPER, EQ,31.6,30.05,33.15,30.05, 33.15,33.15,32.25,443266,142.96,1163, 180339, 40.68
2023-03-22,OSIAHYPER, EQ,33.15,33.95,34.8,33.7, 34.80,34.8,34.58,91692,31.71,399, 52355, 57.10
2023-03-23,OSIAHYPER, EQ,34.8,36.5,36.5,33.1, 33.10,33.5,36.02,429286,154.63,1868, 244730, 57.01
2023-03-24,OSIAHYPER, EQ,33.5,33.5,34.2,31.85, 31.85,31.9,32.52,272182,88.52,749, 115196, 42.32
2023-03-27,OSIAHYPER, EQ,31.9,30.4,33.45,30.4, 33.45,33.4,33.02,812034,268.14,1633, 494391, 60.88
2023-03-28,OSIAHYPER, EQ,33.4,33.3,34.7,32.75, 34.70,34.3,34.1,280333,95.6,996, 38559, 13.75
2023-03-29,OSIAHYPER, EQ,34.3,32.75,35.7,32.75, 34.00,33.9,34.66,471252,163.34,1172, 143845, 30.52
2023-03-31,OSIAHYPER, EQ,33.9,33.9,35.55,33.9, 35.55,35.55,35.47,1171017,415.41,1962, 337225, 28.80
2023-04-03,OSIAHYPER, EQ,35.55,35.6,37.3,35.1, 35.20,35.9,36.72,188491,69.22,476, 60802, 32.26
2023-04-05,OSIAHYPER, EQ,35.9,36.85,37.2,34.1, 34.10,34.4,35.7,321118,114.64,504, 60734, 18.91
2023-04-06,OSIAHYPER, EQ,34.4,35.85,36.1,33.15, 36.10,36.1,34.3,920644,315.79,724, 598407, 65.00
2023-04-10,OSIAHYPER, EQ,36.1,37.0,37.2,34.8, 34.80,35.25,36.12,202704,73.23,596, 61137, 30.16
2023-04-11,OSIAHYPER, EQ,35.25,34.8,34.95,33.8, 34.50,34.15,34.58,290278,100.39,473, 42828, 14.75
2023-04-12,OSIAHYPER, EQ,34.15,35.0,35.0,32.55, 34.95,33.65,33.91,318110,107.87,552, 54129, 17.02
2023-04-13,OSIAHYPER, EQ,33.65,32.95,34.5,32.0, 32.65,33.0,32.93,809254,266.5,1699, 167928, 20.75
2023-04-17,OSIAHYPER, EQ,33.0,32.7,32.7,31.35, 31.35,31.45,31.45,298252,93.8,910, 134324, 45.04
2023-04-18,OSIAHYPER, EQ,31.45,32.05,32.05,29.9, 29.90,29.9,30.31,333016,100.94,1263, 188754, 56.68
2023-04-19,OSIAHYPER, EQ,29.9,30.45,31.35,29.85, 31.35,31.35,30.62,107858,33.03,787, 70230, 65.11
2023-04-20,OSIAHYPER, EQ,31.35,32.8,32.9,32.35, 32.65,32.7,32.79,232625,76.27,930, 175764, 75.56
