DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,OSWALAGRO, EQ,40.3,40.95,42.2,40.05, 41.95,41.95,41.54,227024,94.3,1260, 157057, 69.18
2023-01-03,OSWALAGRO, EQ,41.95,42.05,42.2,40.35, 41.25,41.1,41.52,81088,33.67,833, 52050, 64.19
2023-01-04,OSWALAGRO, EQ,41.1,41.1,41.6,39.8, 40.05,39.95,40.37,116117,46.87,971, 58343, 50.25
2023-01-05,OSWALAGRO, EQ,39.95,40.2,41.2,39.8,41.0,40.9,40.66,96772,39.35,878, 49900, 51.56
2023-01-06,OSWALAGRO, EQ,40.9,41.4,41.5,40.2,40.25,40.45,40.66,179768,73.09,798, 139102, 77.38
2023-01-09,OSWALAGRO, EQ,40.45,40.45,40.95,39.8,40.2,40.0,40.25,45035,18.12,452, 28722, 63.78
2023-01-10,OSWALAGRO, EQ,40.0,40.4,40.4,38.95,39.2,39.15,39.33,39963,15.72,433, 26127, 65.38
2023-01-11,OSWALAGRO, EQ,39.15,39.15,40.45,39.15, 39.40,39.3,39.49,149257,58.94,634, 127731, 85.58
2023-01-12,OSWALAGRO, EQ,39.3,39.5,40.0,39.05, 39.50,39.3,39.45,110221,43.48,661, 89679, 81.36
2023-01-13,OSWALAGRO, EQ,39.3,39.5,40.0,39.15,39.45,39.35,39.53,36707,14.51,475, 20521, 55.90
2023-01-16,OSWALAGRO, EQ,39.35,40.0,40.1,39.1, 39.30,39.5,39.52,38788,15.33,357, 25741, 66.36
2023-01-17,OSWALAGRO, EQ,39.5,39.9,39.9,39.25,39.5,39.3,39.37,25574,10.07,273, 19877, 77.72
2023-01-18,OSWALAGRO, EQ,39.3,39.1,40.0,38.5,38.85,38.9,39.15,43528,17.04,433, 25735, 59.12
2023-01-19,OSWALAGRO, EQ,38.9,38.85,39.55,38.4, 38.70,38.6,38.71,51033,19.75,541, 30878, 60.51
