DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PAGEIND, EQ,42836.7,43070.0,43189.95,41825.0, 41980.00,41921.05,42208.92,21542,9092.65,8270, 11874, 55.12
2023-01-03,PAGEIND, EQ,41921.05,42140.0,42398.8,41800.0, 42150.00,42166.35,42114.3,16770,7062.57,6959, 7130, 42.52
2023-01-04,PAGEIND, EQ,42166.35,42170.0,42384.95,41730.65, 42198.00,42159.9,42131.66,23911,10074.1,8215, 14886, 62.26
2023-01-05,PAGEIND, EQ,42159.9,42198.0,42385.0,41900.0,42202.8,42302.9,42106.66,29884,12583.15,7735, 21048, 70.43
2023-01-06,PAGEIND, EQ,42302.9,42302.9,42302.9,41410.0,41724.0,41710.15,41680.63,16269,6781.02,7840, 7381, 45.37
2023-01-09,PAGEIND, EQ,41710.15,41990.0,41990.0,41105.0,41400.0,41397.5,41486.24,16084,6672.65,9431, 8592, 53.42
2023-01-10,PAGEIND, EQ,41397.5,41469.8,41524.9,40800.0,41114.0,41038.4,41128.58,17183,7067.12,9914, 9830, 57.21
2023-01-11,PAGEIND, EQ,41038.4,41114.0,41299.3,40721.95, 41120.00,41004.2,40949.75,24460,10016.31,11647, 13631, 55.73
2023-01-12,PAGEIND, EQ,41004.2,41190.0,41548.0,40565.05, 40649.00,40639.05,40940.24,19141,7836.37,12245, 10663, 55.71
2023-01-13,PAGEIND, EQ,40639.05,40800.0,40800.0,40052.0,40260.0,40250.25,40263.53,16099,6482.03,8458, 8920, 55.41
2023-01-16,PAGEIND, EQ,40250.25,40400.0,40735.65,40005.55, 40050.00,40095.4,40105.31,14824,5945.21,5526, 10531, 71.04
2023-01-17,PAGEIND, EQ,40095.4,40066.0,40424.95,39939.05,40424.95,40269.55,40128.99,18785,7538.23,5680, 13984, 74.44
2023-01-18,PAGEIND, EQ,40269.55,40425.0,40870.05,40270.0,40700.0,40624.1,40625.54,25444,10336.76,6439, 18925, 74.38
2023-01-19,PAGEIND, EQ,40624.1,40673.0,41150.0,40400.0, 40699.00,40651.95,40728.84,7912,3222.47,4930, 2999, 37.90
2023-01-20,PAGEIND, EQ,40651.95,40700.0,40847.85,40050.0,40228.0,40235.3,40322.51,20059,8088.29,8890, 10795, 53.82
2023-01-23,PAGEIND, EQ,40235.3,40300.0,40724.1,40273.95,40625.05,40601.4,40547.73,11963,4850.72,5852, 7182, 60.04
2023-01-24,PAGEIND, EQ,40601.4,40602.1,40787.95,40050.0,40140.0,40116.65,40394.56,6841,2763.39,3878, 3052, 44.61
2023-01-25,PAGEIND, EQ,40116.65,40110.0,40110.0,39450.0, 39800.00,39854.9,39701.11,10399,4128.52,5650, 4822, 46.37
2023-01-27,PAGEIND, EQ,39854.9,39990.0,40210.85,39170.2, 39890.00,39871.75,39586.81,30613,12118.71,13928, 15613, 51.00
2023-01-30,PAGEIND, EQ,39871.75,39969.95,40494.9,39512.6, 40312.50,40242.55,40095.17,16241,6511.86,6730, 10725, 66.04
2023-01-31,PAGEIND, EQ,40242.55,40250.0,40443.9,39972.65,40145.0,40036.5,40063.95,26189,10492.35,11942, 18156, 69.33
2023-02-01,PAGEIND, EQ,40036.5,40209.7,40950.0,39900.0, 40400.00,40447.1,40393.77,13744,5551.72,6127, 6398, 46.55
2023-02-02,PAGEIND, EQ,40447.1,40640.0,40675.0,39960.0, 40100.00,40052.55,40158.97,11865,4764.86,6254, 6546, 55.17
2023-02-03,PAGEIND, EQ,40052.55,40229.2,40352.0,39700.2, 39800.15,39815.75,39869.0,15291,6096.37,8600, 8230, 53.82
2023-02-06,PAGEIND, EQ,39815.75,39815.75,39829.2,39105.25, 39591.00,39528.4,39413.04,35378,13943.55,10116, 24344, 68.81
