DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PANAMAPET, EQ,346.3,346.55,351.0,344.45, 349.20,348.7,348.23,47012,163.71,2438, 16557, 35.22
2023-01-03,PANAMAPET, EQ,348.7,347.95,357.7,347.95, 352.35,353.4,353.41,69753,246.52,4033, 26361, 37.79
2023-01-04,PANAMAPET, EQ,353.4,354.8,354.8,341.1, 344.00,344.4,347.09,61801,214.51,2939, 32222, 52.14
2023-01-05,PANAMAPET, EQ,344.4,343.5,357.4,343.5,355.95,354.5,350.95,83497,293.04,5062, 48110, 57.62
2023-01-06,PANAMAPET, EQ,354.5,355.8,358.5,349.75,352.0,352.6,354.05,68958,244.14,4340, 27797, 40.31
2023-01-09,PANAMAPET, EQ,352.6,354.35,368.3,353.0,360.55,360.75,362.69,169567,615.0,10477, 74169, 43.74
2023-01-10,PANAMAPET, EQ,360.75,360.8,360.8,351.1,352.05,352.0,354.99,43881,155.77,3347, 18485, 42.13
2023-01-11,PANAMAPET, EQ,352.0,353.4,368.7,350.05, 367.50,366.8,361.41,112440,406.37,6017, 57041, 50.73
2023-01-12,PANAMAPET, EQ,366.8,364.0,364.95,352.2, 363.00,362.55,361.38,64578,233.37,3725, 24618, 38.12
2023-01-13,PANAMAPET, EQ,362.55,363.6,364.45,356.05,357.45,356.9,358.81,38326,137.52,2638, 16747, 43.70
2023-01-16,PANAMAPET, EQ,356.9,358.5,358.5,350.0, 352.05,351.25,352.53,32061,113.02,1755, 16126, 50.30
2023-01-17,PANAMAPET, EQ,351.25,352.25,352.25,342.3,347.55,346.15,348.06,40113,139.62,2000, 19847, 49.48
2023-01-18,PANAMAPET, EQ,346.15,346.15,353.65,345.7,349.0,349.05,350.73,97901,343.37,2752, 75293, 76.91
2023-01-19,PANAMAPET, EQ,349.05,347.25,355.8,346.5, 347.25,348.1,350.46,40753,142.82,2136, 22712, 55.73
2023-01-20,PANAMAPET, EQ,348.1,349.5,353.8,340.9,349.5,348.1,347.07,54882,190.48,2700, 30131, 54.90
2023-01-23,PANAMAPET, EQ,348.1,345.0,349.45,334.3,337.0,337.05,338.6,74916,253.66,4388, 40499, 54.06
2023-01-24,PANAMAPET, EQ,337.05,335.0,339.85,329.0,330.45,330.4,332.17,79394,263.73,5171, 40094, 50.50
2023-01-25,PANAMAPET, EQ,330.4,327.0,330.55,321.0, 324.00,322.05,325.15,75171,244.42,4033, 37101, 49.36
2023-01-27,PANAMAPET, EQ,322.05,323.65,328.65,310.1, 319.80,313.8,315.88,121126,382.62,4729, 61125, 50.46
2023-01-30,PANAMAPET, EQ,313.8,308.5,320.9,308.5, 317.45,316.55,314.26,98153,308.46,5771, 42468, 43.27
2023-01-31,PANAMAPET, EQ,316.55,316.1,326.0,314.25,325.95,322.9,320.61,46464,148.97,2623, 21506, 46.29
2023-02-01,PANAMAPET, EQ,322.9,324.55,333.05,314.0, 320.00,317.75,321.2,97830,314.23,4696, 40484, 41.38
2023-02-02,PANAMAPET, EQ,317.75,319.35,329.85,318.05, 329.85,328.6,324.14,57280,185.67,3178, 28170, 49.18
2023-02-03,PANAMAPET, EQ,328.6,330.0,330.15,321.0, 326.45,325.25,324.92,31190,101.34,2253, 14307, 45.87
2023-02-06,PANAMAPET, EQ,325.25,321.6,326.9,315.1, 317.35,316.8,319.32,50936,162.65,3020, 20848, 40.93
2023-02-07,PANAMAPET, EQ,316.8,319.0,333.0,315.0, 329.70,327.85,325.33,86495,281.4,4626, 37357, 43.19
2023-02-08,PANAMAPET, EQ,327.85,327.85,331.95,322.8, 323.70,324.0,326.24,56941,185.76,3308, 34170, 60.01
2023-02-09,PANAMAPET, EQ,324.0,325.65,326.0,294.1, 304.80,305.55,305.15,376246,1148.12,11074, 104230, 27.70
2023-02-10,PANAMAPET, EQ,305.55,307.1,309.45,297.45, 303.90,302.9,303.71,79115,240.28,3716, 41491, 52.44
2023-02-13,PANAMAPET, EQ,302.9,305.0,305.8,293.0,294.6,294.9,299.45,75579,226.32,5833, 43872, 58.05
2023-02-14,PANAMAPET, EQ,294.9,296.2,298.75,291.55,296.4,294.45,295.1,57632,170.07,4686, 27914, 48.43
2023-02-15,PANAMAPET, EQ,294.45,295.2,302.2,291.4, 296.00,296.0,296.64,53806,159.61,3357, 27947, 51.94
2023-02-16,PANAMAPET, EQ,296.0,296.5,302.65,294.2, 301.50,299.65,297.32,39572,117.66,2091, 20458, 51.70
2023-02-17,PANAMAPET, EQ,299.65,299.65,309.95,299.65, 308.20,307.5,306.39,71441,218.89,3646, 32287, 45.19
2023-02-20,PANAMAPET, EQ,307.5,308.8,313.0,301.55, 308.70,308.2,305.87,50510,154.49,2430, 22987, 45.51
2023-02-21,PANAMAPET, EQ,308.2,307.5,311.95,304.0, 308.50,309.95,307.91,39740,122.36,2254, 19536, 49.16
2023-02-22,PANAMAPET, EQ,309.95,309.5,309.5,301.35, 305.60,303.05,304.0,51434,156.36,2077, 33425, 64.99
2023-02-23,PANAMAPET, EQ,303.05,304.3,310.05,301.05,307.7,306.65,306.46,32400,99.29,1810, 12618, 38.94
2023-02-24,PANAMAPET, EQ,306.65,306.65,309.5,302.6, 305.00,305.1,305.69,38979,119.16,1957, 21369, 54.82
2023-02-27,PANAMAPET, EQ,305.1,305.1,305.15,295.1, 301.65,297.9,299.26,48725,145.81,2189, 26106, 53.58
2023-02-28,PANAMAPET, EQ,297.9,297.9,300.45,296.0, 296.25,297.3,297.57,24752,73.66,1543, 12299, 49.69
2023-03-01,PANAMAPET, EQ,297.3,297.35,308.7,296.55, 306.95,307.0,303.59,33570,101.92,2021, 17814, 53.07
2023-03-02,PANAMAPET, EQ,307.0,308.3,322.8,305.5, 320.00,320.45,316.2,149961,474.18,5047, 66548, 44.38
2023-03-03,PANAMAPET, EQ,320.45,321.0,332.7,321.0, 329.20,327.85,326.87,103092,336.98,3876, 49449, 47.97
2023-03-06,PANAMAPET, EQ,327.85,329.35,338.4,325.15, 338.40,336.3,331.15,88433,292.85,3236, 44438, 50.25
2023-03-08,PANAMAPET, EQ,336.3,336.3,339.05,331.0, 332.00,332.85,335.87,99902,335.54,3072, 64015, 64.08
2023-03-09,PANAMAPET, EQ,332.85,332.85,332.85,320.65, 322.65,321.65,325.82,45192,147.24,2319, 25111, 55.57
2023-03-10,PANAMAPET, EQ,321.65,319.45,320.0,312.65, 314.80,314.3,315.48,32800,103.48,1545, 15830, 48.26
2023-03-13,PANAMAPET, EQ,314.3,314.3,314.3,303.1, 305.00,304.75,307.23,53409,164.09,2302, 25781, 48.27
2023-03-14,PANAMAPET, EQ,304.75,302.15,311.95,299.3, 309.50,308.9,306.72,37068,113.7,1667, 16413, 44.28
2023-03-15,PANAMAPET, EQ,308.9,300.0,307.0,288.55, 303.50,300.75,298.65,251297,750.5,7627, 99215, 39.48
2023-03-16,PANAMAPET, EQ,300.75,299.0,301.05,268.0, 276.50,276.45,282.13,245494,692.62,7890, 127280, 51.85
2023-03-17,PANAMAPET, EQ,276.45,277.05,286.85,275.0, 278.00,277.75,280.45,156074,437.7,5165, 67851, 43.47
2023-03-20,PANAMAPET, EQ,277.75,277.65,286.0,274.0,285.0,282.45,278.79,77512,216.09,4635, 40672, 52.47
2023-03-21,PANAMAPET, EQ,282.45,283.9,292.3,280.6, 288.50,290.2,286.92,62653,179.77,2175, 35670, 56.93
2023-03-22,PANAMAPET, EQ,290.2,291.7,302.0,289.0, 300.00,296.35,294.58,42728,125.87,1572, 27826, 65.12
2023-03-23,PANAMAPET, EQ,296.35,296.1,296.2,290.0, 290.00,291.65,293.11,27007,79.16,1464, 17118, 63.38
2023-03-24,PANAMAPET, EQ,291.65,291.9,291.9,282.0, 282.95,283.1,285.85,29393,84.02,1426, 18935, 64.42
2023-03-27,PANAMAPET, EQ,283.1,283.65,284.2,275.0, 277.00,276.4,277.9,31417,87.31,1335, 22964, 73.09
2023-03-28,PANAMAPET, EQ,276.4,277.8,284.65,270.0, 270.00,270.85,272.41,67933,185.05,2502, 38757, 57.05
