DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PDMJEPAPER, EQ,47.95,47.5,48.65,47.45, 47.90,47.85,47.99,237995,114.21,1823, 102084, 42.89
2023-01-03,PDMJEPAPER, EQ,47.85,47.55,48.5,47.5, 48.10,47.95,47.96,221762,106.36,1590, 105766, 47.69
2023-01-04,PDMJEPAPER, EQ,47.95,48.25,49.0,46.8, 46.85,47.0,47.58,272560,129.7,1849, 106904, 39.22
2023-01-05,PDMJEPAPER, EQ,47.0,47.2,48.75,46.55,47.8,47.65,47.67,386535,184.26,2639, 118532, 30.67
2023-01-06,PDMJEPAPER, EQ,47.65,47.95,48.25,46.8,46.95,47.05,47.33,234649,111.05,1330, 140675, 59.95
2023-01-09,PDMJEPAPER, EQ,47.05,47.6,48.8,47.2,47.6,47.7,47.94,489028,234.43,2278, 143790, 29.40
2023-01-10,PDMJEPAPER, EQ,47.7,47.95,48.9,46.65,46.85,46.8,47.85,468043,223.98,2064, 166526, 35.58
2023-01-11,PDMJEPAPER, EQ,46.8,46.55,47.35,46.35, 46.35,46.55,46.85,122675,57.47,1197, 55173, 44.97
2023-01-12,PDMJEPAPER, EQ,46.55,46.85,47.2,46.2, 46.50,46.65,46.67,148406,69.25,1251, 56382, 37.99
2023-01-13,PDMJEPAPER, EQ,46.65,46.9,48.25,46.5,47.6,47.25,47.32,232947,110.24,1601, 100933, 43.33
2023-01-16,PDMJEPAPER, EQ,47.25,47.4,47.95,47.1, 47.35,47.25,47.42,145079,68.8,1129, 96180, 66.29
2023-01-17,PDMJEPAPER, EQ,47.25,47.1,47.45,45.8,46.0,46.1,46.43,309403,143.66,2790, 157571, 50.93
2023-01-18,PDMJEPAPER, EQ,46.1,45.65,46.7,45.65,45.95,45.95,46.1,169719,78.24,1075, 92866, 54.72
2023-01-19,PDMJEPAPER, EQ,45.95,46.1,46.75,45.15, 45.65,45.35,45.95,214981,98.78,1565, 88892, 41.35
2023-01-20,PDMJEPAPER, EQ,45.35,45.85,46.75,45.5,46.2,46.25,46.08,238872,110.07,1365, 78162, 32.72
2023-01-23,PDMJEPAPER, EQ,46.25,46.45,46.45,45.1,45.3,45.35,45.59,102663,46.81,1052, 59800, 58.25
2023-01-24,PDMJEPAPER, EQ,45.35,45.8,45.9,44.55,45.65,45.65,45.21,161688,73.1,979, 96461, 59.66
2023-01-25,PDMJEPAPER, EQ,45.65,45.8,45.8,43.65, 43.90,43.9,44.12,338157,149.2,2159, 184912, 54.68
2023-01-27,PDMJEPAPER, EQ,43.9,43.95,44.35,41.2, 42.00,42.0,42.5,411889,175.04,2840, 193253, 46.92
2023-01-30,PDMJEPAPER, EQ,42.0,42.6,43.45,41.9, 43.00,43.0,42.8,243348,104.16,1885, 94621, 38.88
2023-01-31,PDMJEPAPER, EQ,43.0,43.5,46.3,43.0,45.45,45.25,44.98,707200,318.12,4012, 240135, 33.96
2023-02-01,PDMJEPAPER, EQ,45.25,45.95,46.15,43.75, 44.30,44.7,45.13,294071,132.72,2347, 142858, 48.58
2023-02-02,PDMJEPAPER, EQ,44.7,45.0,45.75,44.2, 45.10,45.0,44.9,208358,93.55,1304, 81803, 39.26
2023-02-03,PDMJEPAPER, EQ,45.0,45.45,45.85,43.65, 44.80,44.6,44.48,149569,66.52,1241, 63532, 42.48
2023-02-06,PDMJEPAPER, EQ,44.6,42.05,43.0,41.55, 42.85,42.65,42.32,380748,161.14,2410, 186539, 48.99
2023-02-07,PDMJEPAPER, EQ,42.65,42.9,43.65,41.9, 42.10,42.2,42.61,257668,109.8,1753, 111788, 43.38
2023-02-08,PDMJEPAPER, EQ,42.2,42.85,42.95,40.9, 41.65,41.55,41.86,241812,101.22,1797, 116644, 48.24
2023-02-09,PDMJEPAPER, EQ,41.55,41.9,42.4,41.15, 42.20,41.85,41.87,154508,64.7,1329, 60217, 38.97
2023-02-10,PDMJEPAPER, EQ,41.85,41.9,42.4,41.55, 41.75,41.75,41.96,135764,56.97,1024, 65509, 48.25
2023-02-13,PDMJEPAPER, EQ,41.75,41.5,41.65,40.1,40.2,40.35,40.8,224274,91.5,1727, 138371, 61.70
2023-02-14,PDMJEPAPER, EQ,40.35,40.15,40.65,39.2,39.7,39.75,39.78,137212,54.58,1237, 72849, 53.09
2023-02-15,PDMJEPAPER, EQ,39.75,39.7,41.0,39.5, 40.20,40.2,40.25,93802,37.75,801, 47761, 50.92
2023-02-16,PDMJEPAPER, EQ,40.2,40.6,41.1,40.1, 40.75,40.6,40.56,116445,47.23,866, 47090, 40.44
