DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PENIND, EQ,56.6,57.25,59.6,56.95, 58.70,58.6,58.42,493791,288.47,3571, 183091, 37.08
2023-01-03,PENIND, EQ,58.6,59.0,59.5,57.4, 58.15,57.85,58.37,326363,190.5,2641, 143521, 43.98
2023-01-04,PENIND, EQ,57.85,58.2,58.6,56.2, 56.90,57.0,57.09,334643,191.06,2980, 139498, 41.69
2023-01-05,PENIND, EQ,57.0,57.1,58.8,56.65,57.1,57.55,57.56,332780,191.54,2723, 158945, 47.76
2023-01-06,PENIND, EQ,57.55,57.0,57.85,55.6,56.3,56.25,56.66,295977,167.7,3169, 139293, 47.06
2023-01-09,PENIND, EQ,56.25,56.95,57.8,56.35,57.1,56.7,57.17,229408,131.16,3075, 94831, 41.34
2023-01-10,PENIND, EQ,56.7,56.95,57.25,55.5,55.85,55.8,56.44,171431,96.75,2763, 68816, 40.14
2023-01-11,PENIND, EQ,55.8,55.7,58.5,55.7, 57.45,57.2,57.68,419254,241.82,3684, 148881, 35.51
2023-01-12,PENIND, EQ,57.2,57.85,60.3,56.7, 60.30,59.8,58.99,807828,476.55,6651, 422189, 52.26
2023-01-13,PENIND, EQ,59.8,60.5,63.45,59.25,60.5,60.8,61.78,2084861,1288.1,11069, 574719, 27.57
2023-01-16,PENIND, EQ,60.8,61.2,61.7,59.4, 59.60,59.85,60.39,440277,265.86,4264, 187365, 42.56
2023-01-17,PENIND, EQ,59.85,60.25,60.25,58.0,58.5,58.4,58.75,332908,195.57,2628, 148460, 44.59
2023-01-18,PENIND, EQ,58.4,58.75,60.5,58.4,59.1,59.15,59.52,407921,242.8,3597, 138506, 33.95
2023-01-19,PENIND, EQ,59.15,58.8,60.65,58.5, 59.80,59.05,59.44,325007,193.2,3646, 132472, 40.76
2023-01-20,PENIND, EQ,59.05,59.7,59.7,56.8,57.5,57.4,58.05,314954,182.83,2852, 176885, 56.16
2023-01-23,PENIND, EQ,57.4,58.2,59.1,56.8,57.05,57.0,57.23,241251,138.06,1898, 126963, 52.63
2023-01-24,PENIND, EQ,57.0,57.6,58.2,56.15,56.4,56.55,57.14,230352,131.62,2007, 114208, 49.58
2023-01-25,PENIND, EQ,56.55,56.45,56.6,55.1, 56.10,56.1,55.88,272381,152.21,2718, 110054, 40.40
2023-01-27,PENIND, EQ,56.1,56.5,57.2,53.25, 55.40,55.05,54.58,722124,394.17,5154, 375800, 52.04
2023-01-30,PENIND, EQ,55.05,54.95,56.4,53.1, 53.65,53.85,54.32,609121,330.9,6469, 313759, 51.51
2023-01-31,PENIND, EQ,53.85,54.2,55.2,53.8,55.2,54.85,54.56,300956,164.2,3137, 161416, 53.63
2023-02-01,PENIND, EQ,54.85,55.25,56.55,53.0, 53.95,53.35,54.74,445831,244.05,3427, 182725, 40.99
