DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PETRONET, EQ,215.45,214.95,217.1,212.75, 216.95,216.6,214.35,1633559,3501.47,18497, 838207, 51.31
2023-01-03,PETRONET, EQ,216.6,216.6,217.2,214.65, 215.80,216.1,215.96,1173568,2534.49,17236, 721107, 61.45
2023-01-04,PETRONET, EQ,216.1,216.9,219.8,214.25, 215.95,216.55,216.87,3685593,7992.98,30668, 1501768, 40.75
2023-01-05,PETRONET, EQ,216.55,217.8,221.0,215.6,221.0,220.5,219.08,3054569,6692.05,33412, 1915286, 62.70
2023-01-06,PETRONET, EQ,220.5,221.0,221.75,216.4,217.75,217.9,218.86,1592524,3485.37,17604, 823257, 51.70
2023-01-09,PETRONET, EQ,217.9,219.75,220.25,217.05,218.75,219.3,218.68,789323,1726.06,20635, 372747, 47.22
2023-01-10,PETRONET, EQ,219.3,219.3,221.35,217.8,220.2,219.85,219.6,1077675,2366.55,15981, 580081, 53.83
2023-01-11,PETRONET, EQ,219.85,220.7,223.5,219.5, 220.50,220.5,221.16,1604601,3548.8,19640, 813368, 50.69
2023-01-12,PETRONET, EQ,220.5,221.8,221.8,216.85, 219.30,218.9,218.64,1865692,4079.2,23598, 1089251, 58.38
2023-01-13,PETRONET, EQ,218.9,221.0,222.4,219.0,221.0,221.05,220.71,1576515,3479.47,16766, 847037, 53.73
2023-01-16,PETRONET, EQ,221.05,222.0,222.5,218.0, 218.90,219.2,219.49,994409,2182.65,16288, 506079, 50.89
2023-01-17,PETRONET, EQ,219.2,219.2,220.85,217.55,219.95,219.7,219.42,938064,2058.26,12098, 457836, 48.81
2023-01-18,PETRONET, EQ,219.7,219.95,222.4,219.8,221.3,222.0,221.31,1270865,2812.55,12723, 836871, 65.85
2023-01-19,PETRONET, EQ,222.0,221.9,224.35,220.6, 223.40,222.95,222.52,1707061,3798.63,20761, 1159380, 67.92
2023-01-20,PETRONET, EQ,222.95,223.4,225.0,222.05,222.7,222.95,223.57,1581886,3536.7,22878, 852447, 53.89
2023-01-23,PETRONET, EQ,222.95,223.95,227.2,219.75,226.5,226.6,225.05,3390465,7630.21,28754, 2001024, 59.02
2023-01-24,PETRONET, EQ,226.6,227.9,230.95,227.5,229.8,230.05,229.36,3315569,7604.69,32229, 1567768, 47.29
2023-01-25,PETRONET, EQ,230.05,230.0,230.75,223.85, 226.40,225.25,226.92,1176777,2670.33,20081, 467646, 39.74
2023-01-27,PETRONET, EQ,225.25,226.55,228.25,222.2, 225.10,225.55,225.65,2105185,4750.25,31269, 1348728, 64.07
2023-01-30,PETRONET, EQ,225.55,226.95,226.95,218.05, 219.75,219.5,220.63,1966136,4337.94,25665, 1082832, 55.07
2023-01-31,PETRONET, EQ,219.5,219.95,221.35,216.8,217.85,217.25,218.3,2395004,5228.27,38037, 1611259, 67.28
2023-02-01,PETRONET, EQ,217.25,218.55,219.75,214.1, 216.20,216.4,217.28,1285362,2792.83,18985, 769527, 59.87
2023-02-02,PETRONET, EQ,216.4,215.1,215.7,210.1, 211.50,210.95,211.61,2026062,4287.3,23588, 1176878, 58.09
2023-02-03,PETRONET, EQ,210.95,212.1,212.4,207.0, 208.90,209.05,208.7,1905425,3976.67,34290, 1186562, 62.27
2023-02-06,PETRONET, EQ,209.05,209.05,212.95,207.4, 212.70,212.55,210.36,3000925,6312.75,32472, 2102106, 70.05
2023-02-07,PETRONET, EQ,212.55,213.95,220.0,212.7, 219.20,218.75,216.41,3962276,8574.61,45725, 2081556, 52.53
2023-02-08,PETRONET, EQ,218.75,219.8,225.4,219.4, 225.35,224.85,223.22,2885392,6440.69,48065, 1457347, 50.51
2023-02-09,PETRONET, EQ,224.85,225.45,226.2,221.7, 224.30,223.65,223.6,2418073,5406.83,30629, 1130488, 46.75
2023-02-10,PETRONET, EQ,223.65,222.45,224.6,221.05, 221.75,222.3,222.41,790630,1758.42,18495, 449484, 56.85
