DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PFC, EQ,141.15,142.45,150.55,141.15, 149.65,149.7,147.18,13657303,20100.43,56734, 5426054, 39.73
2023-01-03,PFC, EQ,149.7,150.9,157.8,149.65, 156.25,156.0,155.29,30696297,47668.4,129208, 8279520, 26.97
2023-01-04,PFC, EQ,156.0,157.0,157.1,151.7, 154.40,154.5,154.63,14214008,21979.75,82640, 5272495, 37.09
2023-01-05,PFC, EQ,154.5,154.5,158.0,152.6,157.0,156.9,155.45,11390782,17706.7,80695, 5313233, 46.65
2023-01-06,PFC, EQ,156.9,157.65,160.8,154.2,156.95,157.15,158.12,21314945,33703.53,97932, 9093793, 42.66
2023-01-09,PFC, EQ,157.15,159.1,161.8,157.85,159.1,159.3,159.59,15993509,25523.85,85050, 7740993, 48.40
2023-01-10,PFC, EQ,159.3,160.0,160.0,153.65,154.85,155.1,155.84,10481587,16334.44,57643, 4665839, 44.51
2023-01-11,PFC, EQ,155.1,154.6,155.25,150.2, 152.30,151.8,152.0,11156443,16957.55,58336, 4274546, 38.31
2023-01-12,PFC, EQ,151.8,152.35,152.95,147.35, 149.10,149.25,149.87,9893243,14827.46,44222, 3055386, 30.88
2023-01-13,PFC, EQ,149.25,149.25,153.75,147.5,152.25,152.75,151.99,10335562,15708.6,64194, 3945761, 38.18
2023-01-16,PFC, EQ,152.75,153.25,154.95,149.85, 150.15,150.5,151.85,7390220,11221.77,41265, 2333326, 31.57
2023-01-17,PFC, EQ,150.5,151.0,152.4,148.5,150.1,149.95,150.25,7673614,11529.47,45661, 2035473, 26.53
2023-01-18,PFC, EQ,149.95,150.3,152.0,149.8,151.8,151.7,151.21,5661773,8561.15,29801, 2679393, 47.32
2023-01-19,PFC, EQ,151.7,151.5,152.75,150.35, 152.10,152.05,151.72,4888841,7417.43,21622, 2085496, 42.66
2023-01-20,PFC, EQ,152.05,152.5,152.7,150.0,150.1,150.4,151.46,4604156,6973.57,22078, 1639542, 35.61
2023-01-23,PFC, EQ,150.4,150.85,152.0,150.5,151.0,151.0,151.16,2526337,3818.86,17915, 1043406, 41.30
2023-01-24,PFC, EQ,151.0,151.4,151.8,148.85,149.75,149.35,149.84,2669892,4000.58,19417, 1005841, 37.67
2023-01-25,PFC, EQ,149.35,149.35,149.4,142.4, 143.65,143.45,144.51,16020537,23150.53,78812, 8009549, 50.00
2023-01-27,PFC, EQ,143.45,143.65,144.0,133.05, 135.85,136.1,136.59,17440386,23822.18,88324, 6366177, 36.50
2023-01-30,PFC, EQ,136.1,136.45,139.8,134.1, 136.10,135.75,136.06,7320674,9960.51,60038, 2399102, 32.77
2023-01-31,PFC, EQ,135.75,136.85,142.0,134.55,142.0,141.45,139.07,9501416,13213.44,54431, 4625929, 48.69
2023-02-01,PFC, EQ,141.45,142.0,144.25,134.7, 135.95,136.35,140.0,7854818,10996.64,32906, 3313837, 42.19
2023-02-02,PFC, EQ,136.35,135.9,140.05,134.2, 138.50,138.45,138.35,4900051,6779.2,28504, 1560628, 31.85
2023-02-03,PFC, EQ,138.45,139.0,141.85,135.65, 141.55,141.5,138.67,5885945,8162.31,22534, 1950690, 33.14
2023-02-06,PFC, EQ,141.5,141.65,143.8,141.4, 142.90,143.4,142.91,2878065,4113.08,21025, 1157510, 40.22
2023-02-07,PFC, EQ,143.4,143.25,145.85,142.15, 143.35,143.3,143.81,5464542,7858.47,28780, 2310191, 42.28
2023-02-08,PFC, EQ,143.3,143.6,144.0,141.75, 143.65,143.6,143.1,2315839,3313.86,15542, 1004981, 43.40
2023-02-09,PFC, EQ,143.6,143.6,145.85,141.0, 145.70,145.35,143.92,4575492,6584.97,20690, 2022998, 44.21
2023-02-10,PFC, EQ,145.35,145.05,146.55,144.75, 146.05,145.8,145.6,2253572,3281.1,13831, 799949, 35.50
2023-02-13,PFC, EQ,145.8,145.5,146.45,139.55,141.2,141.35,142.01,7730299,10977.65,34960, 3738738, 48.36
2023-02-14,PFC, EQ,141.35,142.9,144.35,136.7,143.75,143.6,141.22,10422666,14718.8,50380, 2590837, 24.86
2023-02-15,PFC, EQ,143.6,143.55,149.25,142.95, 148.45,148.35,145.96,6427779,9381.81,33420, 2449042, 38.10
2023-02-16,PFC, EQ,148.35,148.5,151.25,147.75, 149.60,150.25,149.76,6202606,9289.19,37783, 2169609, 34.98
