DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PFIZER, EQ,4431.7,4436.0,4438.95,4401.0, 4401.00,4406.95,4414.87,3311,146.18,1253, 1676, 50.62
2023-01-03,PFIZER, EQ,4406.95,4425.0,4430.1,4387.0, 4401.50,4393.45,4410.31,4820,212.58,1749, 1633, 33.88
2023-01-04,PFIZER, EQ,4393.45,4421.6,4421.65,4350.0, 4350.05,4361.55,4379.84,6052,265.07,1370, 3483, 57.55
2023-01-05,PFIZER, EQ,4361.55,4361.55,4383.95,4351.0,4372.0,4370.95,4369.15,2496,109.05,736, 1638, 65.63
2023-01-06,PFIZER, EQ,4370.95,4363.15,4368.0,4321.0,4324.0,4331.7,4343.94,2404,104.43,778, 1200, 49.92
2023-01-09,PFIZER, EQ,4331.7,4338.0,4351.0,4318.2,4332.0,4328.25,4332.51,4983,215.89,1907, 2639, 52.96
2023-01-10,PFIZER, EQ,4328.25,4351.0,4351.0,4285.0,4300.0,4310.7,4307.69,5812,250.36,2147, 3115, 53.60
2023-01-11,PFIZER, EQ,4310.7,4329.0,4329.0,4278.0, 4280.00,4285.35,4290.48,3144,134.89,1063, 1689, 53.72
2023-01-12,PFIZER, EQ,4285.35,4281.0,4305.95,4244.0, 4259.00,4254.3,4267.34,3434,146.54,960, 1774, 51.66
2023-01-13,PFIZER, EQ,4254.3,4255.0,4298.1,4190.0,4214.85,4214.1,4240.58,6167,261.52,1618, 3102, 50.30
2023-01-16,PFIZER, EQ,4214.1,4245.7,4245.7,4125.0, 4130.00,4128.8,4158.89,10094,419.8,2090, 5097, 50.50
2023-01-17,PFIZER, EQ,4128.8,4133.0,4185.0,4129.0,4179.0,4175.6,4158.35,4370,181.72,1693, 2021, 46.25
2023-01-18,PFIZER, EQ,4175.6,4175.6,4185.0,4125.1,4131.0,4135.15,4150.53,8286,343.91,2299, 4733, 57.12
2023-01-19,PFIZER, EQ,4135.15,4135.15,4175.0,4135.0, 4135.00,4149.25,4156.58,2786,115.8,931, 1443, 51.79
2023-01-20,PFIZER, EQ,4149.25,4136.05,4160.55,4127.0,4130.25,4138.05,4138.33,3723,154.07,998, 1991, 53.48
2023-01-23,PFIZER, EQ,4138.05,4115.5,4134.75,4095.0,4099.0,4107.65,4112.65,6588,270.94,1647, 2569, 39.00
2023-01-24,PFIZER, EQ,4107.65,4107.65,4114.0,4062.0,4065.0,4075.05,4090.64,6975,285.32,1624, 4566, 65.46
2023-01-25,PFIZER, EQ,4075.05,4065.0,4075.1,4001.0, 4016.90,4010.95,4032.44,6420,258.88,1649, 4192, 65.30
2023-01-27,PFIZER, EQ,4010.95,4032.1,4043.85,3985.0, 3999.00,4001.55,4001.26,9503,380.24,2160, 4865, 51.19
2023-01-30,PFIZER, EQ,4001.55,4039.95,4039.95,3930.0, 3940.00,3945.8,3970.54,11665,463.16,3476, 7192, 61.65
2023-01-31,PFIZER, EQ,3945.8,3940.0,3953.95,3850.05,3868.9,3869.15,3884.54,20021,777.72,5146, 9465, 47.28
2023-02-01,PFIZER, EQ,3869.15,3884.35,3899.0,3800.0, 3819.90,3821.15,3855.15,11869,457.57,3046, 5337, 44.97
2023-02-02,PFIZER, EQ,3821.15,3841.3,3890.0,3810.05, 3850.00,3854.85,3851.16,31758,1223.05,1964, 27941, 87.98
2023-02-03,PFIZER, EQ,3854.85,3854.95,3890.0,3852.25, 3883.85,3872.65,3866.11,5795,224.04,1797, 2303, 39.74
2023-02-06,PFIZER, EQ,3872.65,3885.0,3920.0,3853.05, 3855.50,3860.8,3882.74,5259,204.19,1801, 2473, 47.02
2023-02-07,PFIZER, EQ,3860.8,3855.65,3887.85,3850.0, 3870.00,3863.25,3866.54,4213,162.9,1375, 2307, 54.76
2023-02-08,PFIZER, EQ,3863.25,3870.9,3882.95,3849.15, 3860.00,3861.15,3860.85,4566,176.29,1087, 2827, 61.91
2023-02-09,PFIZER, EQ,3861.15,3878.5,3899.9,3850.0, 3852.20,3861.4,3869.6,6209,240.26,1875, 3347, 53.91
2023-02-10,PFIZER, EQ,3861.4,3898.7,4004.0,3817.55, 3977.55,3972.4,3933.92,21304,838.08,4587, 7004, 32.88
2023-02-13,PFIZER, EQ,3972.4,4000.0,4000.0,3750.0,3780.0,3815.1,3869.02,13293,514.31,3331, 7067, 53.16
2023-02-14,PFIZER, EQ,3815.1,3815.1,3855.85,3815.0,3815.0,3829.35,3834.45,5912,226.69,1873, 2741, 46.36
2023-02-15,PFIZER, EQ,3829.35,3820.0,3850.0,3815.05, 3847.00,3844.95,3838.57,3698,141.95,995, 1705, 46.11
2023-02-16,PFIZER, EQ,3844.95,3850.0,3874.95,3838.9, 3844.10,3853.4,3857.05,4872,187.92,1961, 2626, 53.90
2023-02-17,PFIZER, EQ,3853.4,3855.0,3870.0,3848.15, 3869.00,3860.4,3861.8,3561,137.52,906, 2355, 66.13
2023-02-20,PFIZER, EQ,3860.4,3860.0,3878.9,3820.0, 3827.00,3827.3,3837.14,5031,193.05,1562, 2681, 53.29
2023-02-21,PFIZER, EQ,3827.3,3834.95,3839.9,3812.0, 3816.00,3820.45,3826.48,3261,124.78,1039, 1868, 57.28
2023-02-22,PFIZER, EQ,3820.45,3816.65,3840.0,3789.8, 3840.00,3837.05,3817.59,5010,191.26,1487, 2638, 52.65
2023-02-23,PFIZER, EQ,3837.05,3825.0,3913.55,3800.0,3800.0,3810.65,3844.16,6464,248.49,1901, 3247, 50.23
2023-02-24,PFIZER, EQ,3810.65,3781.0,3833.95,3781.0, 3796.50,3807.7,3809.48,4028,153.45,1302, 2184, 54.22
2023-02-27,PFIZER, EQ,3807.7,3808.0,3825.95,3780.0, 3805.00,3805.25,3802.72,4760,181.01,1514, 1954, 41.05
2023-02-28,PFIZER, EQ,3805.25,3796.55,3832.0,3768.05, 3782.00,3794.2,3800.24,7427,282.24,1813, 3795, 51.10
2023-03-01,PFIZER, EQ,3794.2,3804.0,3825.85,3790.0, 3808.25,3811.2,3808.78,3138,119.52,1112, 1612, 51.37
2023-03-02,PFIZER, EQ,3811.2,3829.85,3829.85,3764.0, 3783.00,3785.65,3788.79,7007,265.48,2052, 5328, 76.04
2023-03-03,PFIZER, EQ,3785.65,3789.5,3804.95,3765.0, 3773.00,3782.65,3790.69,11203,424.67,1357, 8869, 79.17
2023-03-06,PFIZER, EQ,3782.65,3799.95,3821.9,3765.0, 3770.35,3773.05,3783.03,9411,356.02,2325, 6098, 64.80
2023-03-08,PFIZER, EQ,3773.05,3775.05,3778.4,3730.0, 3738.00,3740.65,3745.59,9520,356.58,2741, 5381, 56.52
2023-03-09,PFIZER, EQ,3740.65,3741.0,3765.0,3725.0, 3725.10,3728.75,3738.85,9964,372.54,2358, 5499, 55.19
2023-03-10,PFIZER, EQ,3728.75,3725.35,3749.0,3705.0, 3723.95,3714.35,3726.08,7502,279.53,1689, 4291, 57.20
2023-03-13,PFIZER, EQ,3714.35,3714.95,3767.9,3670.0, 3701.00,3705.25,3722.33,12576,468.12,3084, 6565, 52.20
2023-03-14,PFIZER, EQ,3705.25,3709.95,3726.0,3652.0, 3662.00,3665.65,3681.33,7465,274.81,2316, 3462, 46.38
2023-03-15,PFIZER, EQ,3665.65,3668.0,3683.0,3600.1, 3629.85,3617.95,3640.02,9138,332.63,2725, 5017, 54.90
2023-03-16,PFIZER, EQ,3617.95,3641.35,3641.35,3579.1, 3607.00,3600.9,3593.77,8681,311.98,2284, 4838, 55.73
2023-03-17,PFIZER, EQ,3600.9,3624.95,3624.95,3550.0, 3553.50,3559.9,3575.88,10125,362.06,3283, 6243, 61.66
2023-03-20,PFIZER, EQ,3559.9,3559.9,3584.95,3515.0,3550.0,3533.9,3533.86,6559,231.79,1716, 3848, 58.67
2023-03-21,PFIZER, EQ,3533.9,3546.55,3552.0,3505.0, 3510.00,3530.95,3524.09,7757,273.36,2104, 4600, 59.30
2023-03-22,PFIZER, EQ,3530.95,3540.0,3540.0,3504.4, 3540.00,3525.45,3523.25,7663,269.99,1928, 3705, 48.35
2023-03-23,PFIZER, EQ,3525.45,3516.0,3551.95,3502.1, 3513.05,3520.55,3526.38,9331,329.05,2856, 5208, 55.81
2023-03-24,PFIZER, EQ,3520.55,3521.5,3546.1,3514.0, 3530.00,3523.2,3525.27,5759,203.02,1267, 2987, 51.87
