DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-05-17,PIGL, EQ,89.0,93.45,93.45,84.55, 86.25,84.95,87.38,456396,398.8,1261, 241800, 52.98
2023-05-18,PIGL, EQ,84.95,87.0,89.15,81.4, 89.10,89.05,88.18,70298,61.99,1134, 29354, 41.76
2023-05-19,PIGL, EQ,89.05,92.95,92.95,84.6,84.6,84.6,85.08,305895,260.25,1423, 171302, 56.00
2023-05-22,PIGL, EQ,84.6,86.25,86.25,80.4,80.4,80.4,80.44,220653,177.5,431, 105503, 47.81
2023-05-23,PIGL, EQ,80.4,81.75,81.9,76.4, 81.45,81.7,78.36,32624,25.56,864, 9331, 28.60
2023-05-24,PIGL, EQ,81.7,81.45,85.75,77.65, 77.65,77.75,79.82,115723,92.37,1830, 33941, 29.33
2023-05-25,PIGL, EQ,77.75,74.3,80.95,73.9, 73.90,73.9,74.34,81056,60.26,626, 27550, 33.99
2023-05-26,PIGL, EQ,73.9,72.0,77.55,70.2,77.55,77.55,73.41,146028,107.21,818, 46644, 31.94
2023-05-29,PIGL, EQ,77.55,78.5,80.65,73.7, 75.80,76.6,75.84,103371,78.39,785, 30176, 29.19
2023-05-30,PIGL, EQ,76.6,76.6,80.0,73.7, 79.60,79.4,77.66,53568,41.6,866, 16233, 30.30
2023-05-31,PIGL, EQ,79.4,80.9,80.9,75.45, 75.45,75.45,75.56,294187,222.3,582, 243434, 82.75
2023-06-01,PIGL, EQ,75.45,71.7,71.7,71.7, 71.70,71.7,71.7,38670,27.73,72, 38667, 99.99
2023-06-02,PIGL, EQ,71.7,68.15,73.0,68.15, 68.15,68.15,68.29,91758,62.66,290, 70403, 76.73
2023-06-05,PIGL, EQ,68.15,64.75,64.75,64.75, 64.75,64.75,64.75,41321,26.76,116, 36293, 87.83
2023-06-06,PIGL, EQ,64.75,61.55,67.95,61.55,67.95,67.95,66.96,646839,433.15,4089, 130879, 20.23
2023-06-07,PIGL, EQ,67.95,66.95,71.0,65.1, 65.15,67.05,68.15,84281,57.44,942, 40286, 47.80
2023-06-08,PIGL, EQ,67.05,66.4,73.75,66.4, 71.00,72.25,72.42,331218,239.88,2423, 78900, 23.82
2023-06-09,PIGL, EQ,72.25,71.5,78.7,65.05, 65.05,65.05,66.34,1187795,788.03,2672, 421242, 35.46
2023-06-12,PIGL, EQ,65.05,60.3,62.8,58.55, 58.55,58.55,59.28,742596,440.24,3116, 330962, 44.57
2023-06-13,PIGL, EQ,58.55,60.0,60.7,53.75, 54.65,54.85,56.72,151083,85.7,2270, 78346, 51.86
2023-06-14,PIGL, EQ,54.85,54.95,60.3,54.95, 60.25,60.2,59.3,193603,114.81,1582, 90763, 46.88
2023-06-15,PIGL, EQ,60.2,59.9,64.95,56.95, 61.95,61.6,60.05,123983,74.45,1346, 45211, 36.47
2023-06-16,PIGL, EQ,61.6,62.85,65.1,59.25, 61.30,60.05,61.55,81794,50.35,670, 51932, 63.49
2023-06-19,PIGL, EQ,60.05,60.6,61.9,55.15, 57.25,58.25,58.19,231462,134.68,1740, 100280, 43.32
2023-06-20,PIGL, EQ,58.25,57.2,57.75,55.9, 56.55,57.1,56.93,52603,29.95,922, 31786, 60.43
2023-06-21,PIGL, EQ,57.1,57.0,58.6,55.25, 55.55,55.8,56.65,57034,32.31,685, 35844, 62.85
2023-06-22,PIGL, EQ,55.8,56.85,57.75,54.0,54.0,54.75,55.7,31727,17.67,463, 22938, 72.30
2023-06-23,PIGL, EQ,54.75,56.9,56.9,52.55, 52.55,53.1,53.82,31316,16.85,540, 23067, 73.66
2023-06-26,PIGL, EQ,53.1,54.95,54.95,50.05, 51.00,51.45,51.98,63892,33.21,1082, 22832, 35.74
2023-06-27,PIGL, EQ,51.45,50.0,51.0,46.3, 46.30,46.3,47.68,459261,218.99,2082, 252703, 55.02
2023-06-28,PIGL, EQ,46.3,45.45,45.45,44.0, 44.00,44.0,44.16,238192,105.18,689, 122118, 51.27
2023-06-30,PIGL, EQ,44.0,42.5,42.55,41.8, 41.80,41.8,42.16,131515,55.45,523, 91783, 69.79
