DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PLASTIBLEN, EQ,178.7,183.95,188.25,180.15, 187.90,187.2,186.13,43585,81.12,1466, 25767, 59.12
2023-01-03,PLASTIBLEN, EQ,187.2,187.2,189.0,184.2, 188.50,187.75,186.92,10905,20.38,425, 6421, 58.88
2023-01-04,PLASTIBLEN, EQ,187.75,188.45,189.0,184.05, 184.40,184.5,186.59,8333,15.55,258, 6063, 72.76
2023-01-05,PLASTIBLEN, EQ,184.5,185.5,186.95,182.0,182.4,182.95,183.87,6265,11.52,423, 3753, 59.90
2023-01-06,PLASTIBLEN, EQ,182.95,183.95,185.2,182.0,182.0,182.25,183.2,6713,12.3,170, 5114, 76.18
2023-01-09,PLASTIBLEN, EQ,182.25,185.0,187.0,178.1,180.65,179.9,183.19,18143,33.24,616, 10152, 55.96
2023-01-10,PLASTIBLEN, EQ,179.9,183.95,183.95,179.0,179.2,179.25,180.3,4850,8.74,185, 3479, 71.73
2023-01-11,PLASTIBLEN, EQ,179.25,180.4,182.9,178.25, 181.00,181.15,179.77,15990,28.75,452, 11332, 70.87
2023-01-12,PLASTIBLEN, EQ,181.15,182.1,187.0,176.0, 177.55,180.55,181.62,79313,144.05,1373, 29283, 36.92
2023-01-13,PLASTIBLEN, EQ,180.55,176.0,177.5,172.9,176.25,175.6,175.28,25977,45.53,956, 12107, 46.61
2023-01-16,PLASTIBLEN, EQ,175.6,174.15,177.85,173.0, 173.05,173.35,175.27,22349,39.17,966, 8593, 38.45
2023-01-17,PLASTIBLEN, EQ,173.35,173.05,175.75,171.4,174.5,172.4,173.27,8298,14.38,435, 5835, 70.32
2023-01-18,PLASTIBLEN, EQ,172.4,171.5,174.05,171.4,171.4,171.6,172.42,6613,11.4,295, 4851, 73.36
2023-01-19,PLASTIBLEN, EQ,171.6,173.45,173.95,168.0, 168.00,169.6,170.0,17150,29.15,492, 13958, 81.39
2023-01-20,PLASTIBLEN, EQ,169.6,173.0,173.0,166.0,166.0,166.7,168.25,11044,18.58,449, 8107, 73.41
2023-01-23,PLASTIBLEN, EQ,166.7,169.0,169.0,161.95,163.6,163.65,164.07,17456,28.64,684, 11371, 65.14
2023-01-24,PLASTIBLEN, EQ,163.65,164.95,167.4,157.7,158.95,159.65,162.38,22663,36.8,690, 18061, 79.69
2023-01-25,PLASTIBLEN, EQ,159.65,158.8,161.05,156.0, 160.00,157.8,158.21,18842,29.81,703, 13584, 72.09
2023-01-27,PLASTIBLEN, EQ,157.8,160.0,161.15,153.3, 156.00,155.5,157.22,12051,18.95,507, 8103, 67.24
2023-01-30,PLASTIBLEN, EQ,155.5,158.7,159.0,155.0, 157.10,157.1,157.04,8859,13.91,415, 6044, 68.22
2023-01-31,PLASTIBLEN, EQ,157.1,157.1,167.45,157.1,161.05,162.95,162.44,19225,31.23,577, 12207, 63.50
2023-02-01,PLASTIBLEN, EQ,162.95,163.05,166.15,158.5, 158.90,160.1,162.92,13426,21.87,420, 9911, 73.82
2023-02-02,PLASTIBLEN, EQ,160.1,160.1,164.0,160.0, 160.00,160.35,162.01,7118,11.53,267, 3750, 52.68
2023-02-03,PLASTIBLEN, EQ,160.35,161.9,163.45,159.8, 160.50,160.3,160.8,5117,8.23,163, 3429, 67.01
2023-02-06,PLASTIBLEN, EQ,160.3,162.0,164.0,161.0, 161.50,161.65,162.16,5100,8.27,202, 3297, 64.65
2023-02-07,PLASTIBLEN, EQ,161.65,161.55,164.0,160.0, 160.05,161.1,161.99,5579,9.04,258, 2930, 52.52
2023-02-08,PLASTIBLEN, EQ,161.1,160.2,162.75,160.2, 162.00,161.75,161.59,3478,5.62,122, 2337, 67.19
2023-02-09,PLASTIBLEN, EQ,161.75,161.75,163.75,160.05, 161.75,161.9,161.89,5338,8.64,138, 3541, 66.34
2023-02-10,PLASTIBLEN, EQ,161.9,162.1,166.9,161.85, 165.10,165.55,165.39,8969,14.83,244, 6710, 74.81
2023-02-13,PLASTIBLEN, EQ,165.55,166.6,170.35,166.6,167.7,168.35,168.32,7528,12.67,279, 4020, 53.40
2023-02-14,PLASTIBLEN, EQ,168.35,168.35,168.9,163.65,163.65,165.05,165.57,6289,10.41,230, 4726, 75.15
2023-02-15,PLASTIBLEN, EQ,165.05,165.1,165.95,163.9, 164.65,164.6,164.6,2488,4.1,115, 1732, 69.61
2023-02-16,PLASTIBLEN, EQ,164.6,164.4,166.45,163.55, 163.55,164.1,165.25,5214,8.62,164, 4115, 78.92
2023-02-17,PLASTIBLEN, EQ,164.1,161.05,166.25,161.05, 165.40,164.7,164.74,3450,5.68,154, 1901, 55.10
2023-02-20,PLASTIBLEN, EQ,164.7,167.0,167.0,164.25, 164.65,164.4,165.33,2003,3.31,132, 1212, 60.51
2023-02-21,PLASTIBLEN, EQ,164.4,164.9,165.7,164.55, 164.60,164.55,164.61,3714,6.11,67, 3340, 89.93
2023-02-22,PLASTIBLEN, EQ,164.55,164.8,165.15,162.0, 162.70,162.85,163.27,5026,8.21,234, 3476, 69.16
2023-02-23,PLASTIBLEN, EQ,162.85,166.1,166.1,158.0,158.05,158.75,160.38,4938,7.92,215, 3267, 66.16
2023-02-24,PLASTIBLEN, EQ,158.75,158.75,160.8,156.0, 158.80,158.25,157.82,15457,24.39,269, 13456, 87.05
2023-02-27,PLASTIBLEN, EQ,158.25,158.25,158.25,153.65, 153.80,155.2,155.34,37978,59.0,308, 35521, 93.53
2023-02-28,PLASTIBLEN, EQ,155.2,153.65,156.8,153.0, 153.10,153.75,154.4,5604,8.65,218, 4582, 81.76
2023-03-01,PLASTIBLEN, EQ,153.75,154.0,155.8,152.9, 154.80,154.9,154.83,6642,10.28,281, 4747, 71.47
2023-03-02,PLASTIBLEN, EQ,154.9,155.0,169.0,153.95, 162.20,163.15,163.31,26468,43.22,833, 13261, 50.10
2023-03-03,PLASTIBLEN, EQ,163.15,163.7,165.7,161.0, 161.80,161.65,163.22,10929,17.84,606, 5148, 47.10
2023-03-06,PLASTIBLEN, EQ,161.65,163.35,167.0,162.0, 163.00,163.05,163.75,16607,27.19,417, 12308, 74.11
2023-03-08,PLASTIBLEN, EQ,163.05,160.55,164.5,158.6, 160.00,160.2,161.46,8788,14.19,293, 6070, 69.07
2023-03-09,PLASTIBLEN, EQ,160.2,161.2,162.45,159.0, 159.70,160.0,160.68,10458,16.8,267, 8889, 85.00
2023-03-10,PLASTIBLEN, EQ,160.0,158.9,161.85,158.55, 160.00,159.9,159.78,25776,41.19,222, 23757, 92.17
2023-03-13,PLASTIBLEN, EQ,159.9,159.9,163.0,156.3, 156.65,157.2,159.53,7250,11.57,166, 5824, 80.33
2023-03-14,PLASTIBLEN, EQ,157.2,157.05,158.45,153.6, 155.40,154.75,155.9,3991,6.22,314, 2246, 56.28
2023-03-15,PLASTIBLEN, EQ,154.75,155.55,158.0,155.35, 156.10,156.6,156.48,9022,14.12,193, 7414, 82.18
2023-03-16,PLASTIBLEN, EQ,156.6,155.05,155.55,150.35, 151.70,151.65,153.05,13048,19.97,418, 10325, 79.13
2023-03-17,PLASTIBLEN, EQ,151.65,153.8,157.95,153.65, 156.00,155.75,154.07,6453,9.94,157, 5224, 80.95
2023-03-20,PLASTIBLEN, EQ,155.75,154.05,155.0,150.0,150.05,150.65,152.01,9125,13.87,501, 7060, 77.37
2023-03-21,PLASTIBLEN, EQ,150.65,152.75,153.65,150.6, 151.25,152.0,151.89,10971,16.66,654, 6890, 62.80
2023-03-22,PLASTIBLEN, EQ,152.0,152.05,154.2,151.85, 152.40,152.9,153.31,8661,13.28,167, 7602, 87.77
2023-03-23,PLASTIBLEN, EQ,152.9,152.3,154.7,151.55, 154.00,152.9,152.93,4113,6.29,171, 3082, 74.93
2023-03-24,PLASTIBLEN, EQ,152.9,153.7,153.95,149.0, 150.00,149.85,151.52,10301,15.61,256, 9051, 87.87
2023-03-27,PLASTIBLEN, EQ,149.85,149.85,151.4,142.0, 142.10,143.65,146.5,15657,22.94,573, 11002, 70.27
2023-03-28,PLASTIBLEN, EQ,143.65,145.0,145.0,138.55, 144.50,140.4,141.26,15801,22.32,573, 11492, 72.73
2023-03-29,PLASTIBLEN, EQ,140.4,140.6,152.0,140.6, 151.25,150.5,149.89,84389,126.49,365, 80337, 95.20
2023-03-31,PLASTIBLEN, EQ,150.5,154.0,158.45,146.3, 146.30,151.0,153.69,18007,27.67,643, 10298, 57.19
2023-04-03,PLASTIBLEN, EQ,151.0,154.0,163.3,154.0, 159.50,158.95,158.58,12634,20.04,420, 6690, 52.95
2023-04-05,PLASTIBLEN, EQ,158.95,161.0,167.0,157.6, 163.50,163.25,162.78,15683,25.53,436, 9133, 58.24
2023-04-06,PLASTIBLEN, EQ,163.25,162.8,163.3,160.4, 161.20,160.7,161.53,4109,6.64,125, 3044, 74.08
2023-04-10,PLASTIBLEN, EQ,160.7,162.15,164.95,161.45, 163.05,163.55,163.54,5058,8.27,211, 3838, 75.88
2023-04-11,PLASTIBLEN, EQ,163.55,163.75,164.95,154.95, 159.40,158.7,158.3,21310,33.73,748, 13181, 61.85
2023-04-12,PLASTIBLEN, EQ,158.7,158.7,161.05,157.0, 159.00,158.8,158.38,10028,15.88,257, 7501, 74.80
2023-04-13,PLASTIBLEN, EQ,158.8,159.9,164.6,156.05, 164.30,163.3,160.55,8781,14.1,312, 5084, 57.90
2023-04-17,PLASTIBLEN, EQ,163.3,163.3,163.3,158.05, 159.50,159.3,159.38,7229,11.52,210, 4985, 68.96
2023-04-18,PLASTIBLEN, EQ,159.3,160.9,163.0,158.5, 161.00,159.75,160.46,9024,14.48,244, 5099, 56.50
2023-04-19,PLASTIBLEN, EQ,159.75,159.85,163.9,159.05, 161.15,161.0,161.51,4513,7.29,189, 2136, 47.33
2023-04-20,PLASTIBLEN, EQ,161.0,162.85,163.45,160.0, 161.15,161.6,162.05,3962,6.42,211, 2404, 60.68
2023-04-21,PLASTIBLEN, EQ,161.6,162.4,163.0,159.2, 161.25,160.4,160.82,3203,5.15,134, 2110, 65.88
2023-04-24,PLASTIBLEN, EQ,160.4,161.2,161.2,160.0, 160.00,160.4,160.68,828,1.33,64, 518, 62.56
2023-04-25,PLASTIBLEN, EQ,160.4,161.5,167.45,160.25,165.8,165.45,165.06,17582,29.02,459, 11882, 67.58
2023-04-26,PLASTIBLEN, EQ,165.45,165.4,168.95,162.25, 167.95,167.15,166.64,14285,23.8,362, 10913, 76.39
2023-04-27,PLASTIBLEN, EQ,167.15,169.0,169.0,165.5, 166.15,166.35,166.85,3918,6.54,171, 2645, 67.51
2023-04-28,PLASTIBLEN, EQ,166.35,165.0,168.0,163.05, 166.15,164.75,165.18,11725,19.37,418, 6783, 57.85
2023-05-02,PLASTIBLEN, EQ,164.75,163.0,170.0,163.0, 165.30,166.35,167.52,15446,25.87,468, 11053, 71.56
2023-05-03,PLASTIBLEN, EQ,166.35,167.85,177.95,167.0,175.0,174.5,173.48,46840,81.26,992, 22339, 47.69
2023-05-04,PLASTIBLEN, EQ,174.5,179.0,180.1,174.5, 177.00,177.2,177.6,71154,126.37,1705, 37237, 52.33
2023-05-05,PLASTIBLEN, EQ,177.2,177.6,178.25,174.1, 174.60,175.35,175.23,14821,25.97,506, 9915, 66.90
2023-05-08,PLASTIBLEN, EQ,175.35,175.35,177.45,172.9, 174.60,174.35,175.35,5720,10.03,203, 4294, 75.07
2023-05-09,PLASTIBLEN, EQ,174.35,176.6,176.6,172.0,174.35,172.65,173.09,11530,19.96,304, 7926, 68.74
2023-05-10,PLASTIBLEN, EQ,172.65,172.0,174.0,171.05,173.45,173.05,172.41,9274,15.99,319, 6760, 72.89
2023-05-11,PLASTIBLEN, EQ,173.05,173.45,176.9,172.6, 172.60,173.9,174.9,6845,11.97,228, 4758, 69.51
2023-05-12,PLASTIBLEN, EQ,173.9,171.85,174.95,171.2, 171.90,172.4,172.76,6524,11.27,194, 4376, 67.08
