DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PNBGILTS, EQ,63.95,63.95,65.25,63.75, 64.65,64.6,64.6,186626,120.56,1841, 77931, 41.76
2023-01-03,PNBGILTS, EQ,64.6,64.95,65.0,64.1, 64.35,64.25,64.45,80792,52.07,1125, 49593, 61.38
2023-01-04,PNBGILTS, EQ,64.25,64.7,64.95,63.3, 63.75,63.65,63.97,141007,90.21,1569, 80172, 56.86
2023-01-05,PNBGILTS, EQ,63.65,64.0,64.0,62.75,63.45,63.25,63.24,144364,91.3,1615, 85490, 59.22
2023-01-06,PNBGILTS, EQ,63.25,63.5,63.65,62.75,63.05,62.95,63.14,133665,84.4,1570, 74556, 55.78
2023-01-09,PNBGILTS, EQ,62.95,63.95,64.4,63.15,64.1,63.95,63.94,171013,109.35,1396, 102769, 60.09
2023-01-10,PNBGILTS, EQ,63.95,64.35,64.6,63.45,63.7,63.6,63.88,113282,72.37,1030, 68462, 60.44
2023-01-11,PNBGILTS, EQ,63.6,63.9,64.3,63.25, 63.55,63.65,63.92,116433,74.42,1198, 66631, 57.23
2023-01-12,PNBGILTS, EQ,63.65,64.0,64.5,63.7, 63.75,63.85,64.04,80351,51.45,1055, 43958, 54.71
2023-01-13,PNBGILTS, EQ,63.85,63.9,64.2,63.5,63.8,63.9,63.93,65402,41.81,889, 36658, 56.05
2023-01-16,PNBGILTS, EQ,63.9,64.5,65.35,64.15, 64.25,64.25,64.57,182354,117.75,1700, 87050, 47.74
2023-01-17,PNBGILTS, EQ,64.25,64.45,64.5,64.0,64.25,64.2,64.19,68834,44.19,829, 44167, 64.16
2023-01-18,PNBGILTS, EQ,64.2,64.25,64.5,63.8,63.85,64.0,64.17,95433,61.24,1166, 58498, 61.30
2023-01-19,PNBGILTS, EQ,64.0,64.0,64.95,63.7, 64.50,64.45,64.35,100909,64.93,1096, 59339, 58.80
2023-01-20,PNBGILTS, EQ,64.45,64.6,64.75,63.7,64.35,64.2,64.16,100975,64.79,1297, 54412, 53.89
2023-01-23,PNBGILTS, EQ,64.2,64.2,69.25,63.85,66.55,66.9,67.24,1762841,1185.37,8266, 441092, 25.02
2023-01-24,PNBGILTS, EQ,66.9,66.45,66.45,63.85,64.3,64.4,64.6,562888,363.6,4680, 258899, 45.99
2023-01-25,PNBGILTS, EQ,64.4,64.4,64.4,62.85, 63.30,63.05,63.51,201430,127.93,1987, 149819, 74.38
