DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,PNCINFRA, EQ,288.35,289.7,314.0,289.7, 311.00,309.65,305.54,2487832,7601.44,38626, 843365, 33.90
2023-01-03,PNCINFRA, EQ,309.65,311.2,321.5,304.25, 305.75,307.6,312.03,1835619,5727.69,32830, 526390, 28.68
2023-01-04,PNCINFRA, EQ,307.6,308.0,312.95,300.05, 302.95,302.55,304.65,577248,1758.61,12281, 186990, 32.39
2023-01-05,PNCINFRA, EQ,302.55,303.0,313.95,300.5,302.9,304.35,307.28,691708,2125.5,14750, 198587, 28.71
2023-01-06,PNCINFRA, EQ,304.35,305.3,321.25,302.0,316.1,317.1,314.14,1782102,5598.26,31711, 536190, 30.09
2023-01-09,PNCINFRA, EQ,317.1,322.1,332.85,312.0,313.6,314.2,323.26,2608874,8433.47,42138, 777822, 29.81
2023-01-10,PNCINFRA, EQ,314.2,314.0,319.7,310.2,311.7,311.85,315.09,721327,2272.81,13805, 229080, 31.76
2023-01-11,PNCINFRA, EQ,311.85,312.4,318.7,311.5, 317.95,314.8,315.0,702969,2214.35,12085, 230018, 32.72
2023-01-12,PNCINFRA, EQ,314.8,315.4,329.0,315.4, 325.20,326.8,324.38,2101839,6817.87,25214, 509318, 24.23
2023-01-13,PNCINFRA, EQ,326.8,326.0,332.65,322.1,329.45,330.25,327.02,1063953,3479.35,20480, 386406, 36.32
2023-01-16,PNCINFRA, EQ,330.25,329.3,335.0,323.6, 328.35,329.55,330.07,875248,2888.97,17225, 320712, 36.64
2023-01-17,PNCINFRA, EQ,329.55,326.1,328.0,320.0,320.5,321.55,322.83,563424,1818.92,12688, 239226, 42.46
2023-01-18,PNCINFRA, EQ,321.55,322.35,327.6,317.45,326.1,326.05,323.65,943381,3053.28,8448, 705838, 74.82
2023-01-19,PNCINFRA, EQ,326.05,323.0,330.95,322.8, 323.30,324.65,326.95,294737,963.65,7095, 106747, 36.22
2023-01-20,PNCINFRA, EQ,324.65,326.5,329.7,321.85,324.8,324.75,325.38,268866,874.83,6282, 102569, 38.15
2023-01-23,PNCINFRA, EQ,324.75,326.9,328.5,322.4,325.1,323.8,325.19,214002,695.92,7726, 89546, 41.84
2023-01-24,PNCINFRA, EQ,323.8,324.0,329.3,316.7,318.45,318.55,322.88,243030,784.69,7157, 106271, 43.73
2023-01-25,PNCINFRA, EQ,318.55,317.75,323.95,312.75, 315.85,316.05,316.32,249271,788.49,6637, 83303, 33.42
2023-01-27,PNCINFRA, EQ,316.05,317.0,317.95,303.3, 309.25,311.05,308.97,361168,1115.91,10504, 137577, 38.09
2023-01-30,PNCINFRA, EQ,311.05,311.05,320.0,308.65, 317.80,316.7,316.74,269559,853.79,10695, 90115, 33.43
2023-01-31,PNCINFRA, EQ,316.7,318.3,330.0,316.95,329.2,328.55,326.88,832951,2722.75,20191, 310830, 37.32
2023-02-01,PNCINFRA, EQ,328.55,334.85,344.0,321.45, 334.00,334.4,336.11,1411584,4744.54,30319, 587934, 41.65
2023-02-02,PNCINFRA, EQ,334.4,335.0,351.95,327.6, 348.00,349.55,346.91,1749346,6068.57,45687, 862020, 49.28
2023-02-03,PNCINFRA, EQ,349.55,352.0,352.0,335.2, 336.00,337.1,341.73,594885,2032.93,14680, 179408, 30.16
2023-02-06,PNCINFRA, EQ,337.1,337.75,344.2,335.55, 339.40,339.45,340.16,253199,861.29,7912, 97681, 38.58
2023-02-07,PNCINFRA, EQ,339.45,340.2,342.25,329.0, 330.00,330.2,332.77,237916,791.71,7721, 90490, 38.03
2023-02-08,PNCINFRA, EQ,330.2,330.35,333.25,322.1, 323.55,324.7,326.67,314531,1027.48,6102, 157851, 50.19
2023-02-09,PNCINFRA, EQ,324.7,322.25,334.8,322.25, 333.50,331.15,329.33,391269,1288.56,10249, 187489, 47.92
2023-02-10,PNCINFRA, EQ,331.15,333.5,341.9,331.0, 334.40,334.45,335.39,302742,1015.37,8699, 97138, 32.09
2023-02-13,PNCINFRA, EQ,334.45,335.7,341.0,328.15,332.5,333.25,334.27,250053,835.86,8628, 86547, 34.61
2023-02-14,PNCINFRA, EQ,333.25,333.0,334.6,325.0,327.55,327.7,328.92,306058,1006.68,4496, 228348, 74.61
2023-02-15,PNCINFRA, EQ,327.7,334.0,335.8,326.65, 333.00,331.95,330.62,599839,1983.18,14407, 175294, 29.22
2023-02-16,PNCINFRA, EQ,331.95,332.9,334.5,323.2, 323.50,324.95,328.43,429410,1410.31,8364, 269624, 62.79
2023-02-17,PNCINFRA, EQ,324.95,325.0,325.9,311.5, 315.00,315.15,318.66,305888,974.74,9930, 149196, 48.77
2023-02-20,PNCINFRA, EQ,315.15,316.45,324.0,311.1, 312.00,313.35,317.15,432282,1370.99,15624, 189846, 43.92
2023-02-21,PNCINFRA, EQ,313.35,310.5,314.4,307.0, 308.00,308.7,310.37,443349,1376.04,18421, 290378, 65.50
2023-02-22,PNCINFRA, EQ,308.7,307.0,311.5,302.0, 305.20,304.45,306.48,182714,559.98,7611, 67430, 36.90
2023-02-23,PNCINFRA, EQ,304.45,307.5,310.2,301.0,306.0,305.65,305.9,333462,1020.06,6346, 222286, 66.66
2023-02-24,PNCINFRA, EQ,305.65,308.7,309.0,292.05, 293.10,293.95,299.0,383271,1145.99,9793, 242415, 63.25
2023-02-27,PNCINFRA, EQ,293.95,293.0,295.5,273.0, 287.00,281.85,281.11,1241111,3488.92,32203, 607567, 48.95
2023-02-28,PNCINFRA, EQ,281.85,287.0,289.45,270.3, 274.70,273.7,274.91,723942,1990.2,19634, 268306, 37.06
2023-03-01,PNCINFRA, EQ,273.7,275.9,278.0,270.1, 271.45,271.5,271.99,645215,1754.93,19024, 295015, 45.72
2023-03-02,PNCINFRA, EQ,271.5,271.9,279.9,271.9, 276.00,276.55,276.44,728157,2012.91,21222, 330713, 45.42
2023-03-03,PNCINFRA, EQ,276.55,278.0,289.65,277.95, 282.85,282.65,283.71,929051,2635.82,25890, 365582, 39.35
2023-03-06,PNCINFRA, EQ,282.65,285.95,295.0,282.0, 292.90,290.95,289.42,1030672,2983.0,19091, 558932, 54.23
2023-03-08,PNCINFRA, EQ,290.95,290.85,291.75,282.45, 284.10,284.5,285.61,447384,1277.79,16240, 231325, 51.71
2023-03-09,PNCINFRA, EQ,284.5,286.1,292.0,284.65, 286.25,286.45,288.0,349407,1006.28,9943, 125608, 35.95
2023-03-10,PNCINFRA, EQ,286.45,294.5,298.6,287.05, 290.45,290.75,293.65,2661908,7816.66,34337, 380251, 14.28
2023-03-13,PNCINFRA, EQ,290.75,292.2,292.2,278.6, 285.90,284.5,285.37,505883,1443.65,13448, 192006, 37.95
2023-03-14,PNCINFRA, EQ,284.5,289.3,292.0,281.0, 284.65,284.75,285.78,514440,1470.15,10295, 132368, 25.73
2023-03-15,PNCINFRA, EQ,284.75,297.0,297.0,285.8, 287.00,288.6,291.57,1206084,3516.54,19709, 152050, 12.61
2023-03-16,PNCINFRA, EQ,288.6,287.5,289.7,281.0, 285.05,284.6,284.43,268657,764.14,6853, 65894, 24.53
2023-03-17,PNCINFRA, EQ,284.6,285.65,291.0,283.75, 286.10,287.05,286.41,348741,998.84,7882, 127695, 36.62
2023-03-20,PNCINFRA, EQ,287.05,295.8,295.8,283.0,285.5,284.85,285.85,247246,706.76,7509, 72411, 29.29
2023-03-21,PNCINFRA, EQ,284.85,291.0,292.0,285.0, 286.25,285.85,288.02,339290,977.24,5494, 80625, 23.76
2023-03-22,PNCINFRA, EQ,285.85,289.45,289.85,283.65, 284.75,284.35,286.07,164381,470.24,3860, 66671, 40.56
2023-03-23,PNCINFRA, EQ,284.35,281.05,287.4,281.05, 283.80,284.3,285.05,155172,442.32,4959, 50691, 32.67
2023-03-24,PNCINFRA, EQ,284.3,284.35,286.4,276.0, 277.00,277.95,281.52,171593,483.07,4358, 82343, 47.99
2023-03-27,PNCINFRA, EQ,277.95,277.95,279.45,261.0, 265.00,265.1,271.5,540524,1467.55,17232, 315427, 58.36
2023-03-28,PNCINFRA, EQ,265.1,272.0,289.6,271.15, 282.00,282.0,283.12,8770562,24831.6,100682, 927055, 10.57
2023-03-29,PNCINFRA, EQ,282.0,278.3,293.5,273.7, 288.00,289.25,283.17,1070984,3032.72,19224, 174771, 16.32
2023-03-31,PNCINFRA, EQ,289.25,291.0,294.2,287.25, 288.50,288.9,290.8,518381,1507.45,11843, 187157, 36.10
2023-04-03,PNCINFRA, EQ,288.9,300.25,301.0,282.1, 286.25,285.0,292.16,1257044,3672.58,21733, 376082, 29.92
2023-04-05,PNCINFRA, EQ,285.0,287.0,289.0,282.6, 287.65,286.25,285.45,766185,2187.07,11937, 194784, 25.42
2023-04-06,PNCINFRA, EQ,286.25,289.4,294.65,286.5, 287.00,287.8,290.05,562349,1631.08,9857, 212844, 37.85
2023-04-10,PNCINFRA, EQ,287.8,294.0,295.6,287.65, 291.50,290.25,292.26,673422,1968.16,15463, 179623, 26.67
2023-04-11,PNCINFRA, EQ,290.25,291.5,291.85,286.9, 287.95,288.0,288.24,265186,764.38,5324, 119445, 45.04
2023-04-12,PNCINFRA, EQ,288.0,288.1,289.0,284.25, 285.90,285.6,286.08,303330,867.77,5093, 189057, 62.33
2023-04-13,PNCINFRA, EQ,285.6,285.7,286.9,284.0, 286.00,285.6,285.41,163763,467.4,5195, 82556, 50.41
2023-04-17,PNCINFRA, EQ,285.6,284.5,288.85,284.0, 286.85,285.4,285.64,203891,582.4,6214, 109460, 53.69
2023-04-18,PNCINFRA, EQ,285.4,286.4,287.95,283.8, 285.00,284.8,285.43,210889,601.95,9675, 130657, 61.96
2023-04-19,PNCINFRA, EQ,284.8,284.9,285.9,279.5, 280.00,280.15,282.42,274678,775.73,8806, 158424, 57.68
2023-04-20,PNCINFRA, EQ,280.15,281.0,281.35,275.15, 278.60,277.0,277.12,294638,816.5,6886, 152562, 51.78
2023-04-21,PNCINFRA, EQ,277.0,278.35,285.0,276.35, 280.75,282.45,280.67,662519,1859.53,15540, 261482, 39.47
2023-04-24,PNCINFRA, EQ,282.45,283.25,285.95,278.4, 280.00,279.6,281.02,305210,857.69,8794, 130187, 42.65
2023-04-25,PNCINFRA, EQ,279.6,279.75,284.65,278.55,282.0,281.8,281.91,318384,897.55,6573, 194684, 61.15
2023-04-26,PNCINFRA, EQ,281.8,281.75,283.8,279.5, 282.50,281.9,281.31,178140,501.13,5275, 82136, 46.11
2023-04-27,PNCINFRA, EQ,281.9,281.95,288.4,281.5, 283.15,282.55,285.0,345311,984.15,8205, 137596, 39.85
2023-04-28,PNCINFRA, EQ,282.55,283.0,285.7,281.75, 282.90,283.4,284.12,304290,864.56,7192, 180692, 59.38
2023-05-02,PNCINFRA, EQ,283.4,284.9,287.35,284.0, 286.10,286.35,285.6,219272,626.24,4846, 131049, 59.77
2023-05-03,PNCINFRA, EQ,286.35,285.75,294.9,279.4,294.7,293.1,290.91,670791,1951.43,12446, 257344, 38.36
2023-05-04,PNCINFRA, EQ,293.1,295.0,309.65,295.0, 306.60,306.55,304.53,1640880,4996.92,26673, 544720, 33.20
2023-05-05,PNCINFRA, EQ,306.55,308.8,315.45,302.3, 305.10,304.05,309.69,821184,2543.14,15502, 300550, 36.60
2023-05-08,PNCINFRA, EQ,304.05,312.1,320.0,308.25, 313.00,313.9,314.11,1218450,3827.26,20246, 279002, 22.90
2023-05-09,PNCINFRA, EQ,313.9,313.0,316.5,306.5,308.9,308.15,310.73,234457,728.53,6055, 102611, 43.77
2023-05-10,PNCINFRA, EQ,308.15,309.65,310.3,303.7,310.0,308.95,307.57,216292,665.25,5677, 83892, 38.79
2023-05-11,PNCINFRA, EQ,308.95,309.55,315.35,308.35, 311.10,312.25,313.36,496951,1557.24,12830, 165045, 33.21
2023-05-12,PNCINFRA, EQ,312.25,311.5,311.5,305.65, 307.35,307.0,308.52,120362,371.34,3577, 47062, 39.10
2023-05-15,PNCINFRA, EQ,307.0,305.0,314.2,305.0, 312.50,310.9,310.24,190993,592.53,5875, 87411, 45.77
2023-05-16,PNCINFRA, EQ,310.9,313.55,325.5,311.05,319.8,319.05,320.92,1211099,3886.72,21879, 515034, 42.53
2023-05-17,PNCINFRA, EQ,319.05,323.2,327.5,316.0, 320.00,319.15,321.55,525522,1689.84,13024, 190472, 36.24
2023-05-18,PNCINFRA, EQ,319.15,320.95,323.0,315.2, 317.85,316.95,319.3,161264,514.91,4051, 68565, 42.52
2023-05-19,PNCINFRA, EQ,316.95,316.0,324.25,312.6,321.35,322.55,320.04,352705,1128.79,7107, 145441, 41.24
2023-05-22,PNCINFRA, EQ,322.55,323.0,323.95,317.5,319.6,318.9,320.29,155586,498.32,4556, 71413, 45.90
2023-05-23,PNCINFRA, EQ,318.9,319.6,322.6,315.75, 319.00,317.15,318.59,131937,420.33,4044, 52138, 39.52
2023-05-24,PNCINFRA, EQ,317.15,315.55,318.15,312.0, 312.00,312.75,314.74,182158,573.33,4615, 93297, 51.22
2023-05-25,PNCINFRA, EQ,312.75,313.55,313.55,308.25, 311.95,311.5,310.55,162510,504.67,5421, 71820, 44.19
2023-05-26,PNCINFRA, EQ,311.5,312.05,316.9,311.25,315.0,315.25,314.53,162079,509.79,5214, 76570, 47.24
2023-05-29,PNCINFRA, EQ,315.25,305.15,314.0,304.85, 306.60,306.5,309.65,457230,1415.81,16222, 233834, 51.14
2023-05-30,PNCINFRA, EQ,306.5,308.05,310.8,306.0, 308.10,307.7,308.09,219601,676.57,7079, 112508, 51.23
2023-05-31,PNCINFRA, EQ,307.7,310.0,316.5,308.7, 312.50,313.9,313.7,263832,827.64,8272, 129593, 49.12
2023-06-01,PNCINFRA, EQ,313.9,315.5,318.5,304.05, 307.00,311.05,313.48,214713,673.09,5083, 129238, 60.19
2023-06-02,PNCINFRA, EQ,311.05,306.0,318.8,306.0, 317.00,316.55,314.68,304521,958.28,7936, 136569, 44.85
2023-06-05,PNCINFRA, EQ,316.55,318.0,322.0,312.75, 314.00,314.05,318.91,487186,1553.69,8811, 333643, 68.48
2023-06-06,PNCINFRA, EQ,314.05,321.8,324.95,315.85,316.55,318.05,320.56,543299,1741.6,11281, 159118, 29.29
2023-06-07,PNCINFRA, EQ,318.05,324.0,324.0,319.25, 322.15,322.85,321.88,260012,836.93,5666, 124294, 47.80
2023-06-08,PNCINFRA, EQ,322.85,324.4,326.3,318.4, 320.00,320.0,322.51,324187,1045.54,6551, 163876, 50.55
2023-06-09,PNCINFRA, EQ,320.0,320.8,321.9,316.5, 317.00,318.8,319.37,164584,525.64,4020, 94491, 57.41
2023-06-12,PNCINFRA, EQ,318.8,319.95,320.35,316.05, 316.10,317.05,318.3,155154,493.86,4350, 72842, 46.95
2023-06-13,PNCINFRA, EQ,317.05,316.2,319.6,315.45, 316.50,316.6,317.55,123577,392.42,3467, 69679, 56.39
2023-06-14,PNCINFRA, EQ,316.6,317.95,320.65,313.8, 318.00,318.65,318.07,251785,800.84,7642, 125134, 49.70
2023-06-15,PNCINFRA, EQ,318.65,330.0,339.95,321.35, 322.40,323.65,332.2,2778983,9231.89,39592, 695811, 25.04
2023-06-16,PNCINFRA, EQ,323.65,325.75,338.0,323.1, 337.80,336.75,331.06,1053068,3486.29,17001, 659479, 62.62
2023-06-19,PNCINFRA, EQ,336.75,338.0,341.1,330.0, 332.00,331.75,336.0,477316,1603.79,11194, 200328, 41.97
2023-06-20,PNCINFRA, EQ,331.75,332.0,334.75,328.05, 330.50,330.95,331.66,348378,1155.44,7137, 197630, 56.73
2023-06-21,PNCINFRA, EQ,330.95,331.5,334.7,328.0, 330.00,329.45,330.3,366271,1209.8,8686, 123009, 33.58
2023-06-22,PNCINFRA, EQ,329.45,332.85,338.0,330.5,333.0,332.75,332.67,1471254,4894.46,10809, 1177866, 80.06
2023-06-23,PNCINFRA, EQ,332.75,332.75,332.9,325.25, 326.80,327.2,329.34,183228,603.45,5999, 86195, 47.04
2023-06-26,PNCINFRA, EQ,327.2,327.15,329.95,322.0, 326.25,326.75,326.24,171649,559.99,6869, 85127, 49.59
2023-06-27,PNCINFRA, EQ,326.75,326.7,339.1,326.0, 335.50,336.35,334.29,505368,1689.39,11957, 200762, 39.73
2023-06-28,PNCINFRA, EQ,336.35,338.5,339.0,327.7, 329.25,329.2,332.76,232858,774.86,7366, 108027, 46.39
2023-06-30,PNCINFRA, EQ,329.2,329.3,333.45,326.3, 327.05,327.7,329.63,231283,762.39,11504, 99117, 42.86
2023-07-03,PNCINFRA, EQ,327.7,329.4,332.1,326.65, 329.50,329.55,329.41,272505,897.67,6459, 129988, 47.70
2023-07-04,PNCINFRA, EQ,329.55,329.55,331.2,325.65, 327.30,328.5,328.7,136003,447.04,5494, 63834, 46.94
2023-07-05,PNCINFRA, EQ,328.5,328.5,339.7,327.6,339.6,337.85,334.41,373776,1249.96,8656, 217852, 58.28
2023-07-06,PNCINFRA, EQ,337.85,337.9,368.0,337.9,354.4,354.35,356.53,3717340,13253.28,60110, 880691, 23.69
2023-07-07,PNCINFRA, EQ,354.35,354.0,357.8,347.3, 351.55,351.4,352.54,433150,1527.02,12209, 116373, 26.87
2023-07-10,PNCINFRA, EQ,351.4,351.4,353.65,340.0,344.8,347.1,347.37,219035,760.87,8537, 79084, 36.11
2023-07-11,PNCINFRA, EQ,347.1,348.7,351.0,343.25, 346.25,347.9,348.19,212701,740.6,7895, 85252, 40.08
