DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,POLYCAB, EQ,2569.1,2570.2,2609.0,2546.05, 2583.95,2580.0,2576.48,194548,5012.48,15924, 66108, 33.98
2023-01-03,POLYCAB, EQ,2580.0,2591.5,2608.9,2578.0, 2590.20,2590.9,2593.82,132642,3440.5,11884, 48856, 36.83
2023-01-04,POLYCAB, EQ,2590.9,2594.0,2609.0,2565.0, 2590.00,2596.6,2585.36,177544,4590.15,15889, 90391, 50.91
2023-01-05,POLYCAB, EQ,2596.6,2600.0,2655.95,2592.25,2645.45,2648.45,2631.59,336238,8848.39,26671, 87205, 25.94
2023-01-06,POLYCAB, EQ,2648.45,2648.45,2669.3,2608.0,2626.0,2620.35,2640.68,200467,5293.69,16449, 45341, 22.62
2023-01-09,POLYCAB, EQ,2620.35,2646.0,2659.0,2615.0,2657.0,2653.7,2640.61,155269,4100.05,12800, 43915, 28.28
2023-01-10,POLYCAB, EQ,2653.7,2660.0,2686.8,2630.8,2675.0,2680.8,2663.49,199227,5306.39,19039, 69734, 35.00
2023-01-11,POLYCAB, EQ,2680.8,2684.55,2708.0,2662.05, 2668.10,2671.1,2682.75,188157,5047.79,15810, 47133, 25.05
2023-01-12,POLYCAB, EQ,2671.1,2675.0,2718.5,2667.8, 2670.05,2677.05,2692.63,263295,7089.56,19743, 112742, 42.82
2023-01-13,POLYCAB, EQ,2677.05,2685.4,2693.4,2651.55,2662.0,2663.7,2664.65,115048,3065.62,13824, 47591, 41.37
2023-01-16,POLYCAB, EQ,2663.7,2674.8,2705.0,2665.0, 2670.50,2673.55,2682.55,151524,4064.71,13479, 46700, 30.82
2023-01-17,POLYCAB, EQ,2673.55,2665.25,2733.55,2655.25,2726.0,2717.35,2691.99,163033,4388.83,18234, 81001, 49.68
2023-01-18,POLYCAB, EQ,2717.35,2731.65,2764.85,2720.5,2749.0,2753.6,2743.93,275059,7547.44,17294, 94997, 34.54
2023-01-19,POLYCAB, EQ,2753.6,2740.05,2843.85,2722.85, 2819.00,2828.6,2803.57,633130,17750.22,42944, 120172, 18.98
2023-01-20,POLYCAB, EQ,2828.6,2850.0,2851.2,2751.35,2761.15,2761.2,2787.71,479592,13369.62,35512, 105980, 22.10
2023-01-23,POLYCAB, EQ,2761.2,2762.0,2820.1,2757.7,2800.0,2800.45,2790.9,354518,9894.24,27588, 123703, 34.89
2023-01-24,POLYCAB, EQ,2800.45,2811.95,2849.0,2805.0,2812.0,2817.35,2825.38,396428,11200.61,39583, 156132, 39.38
2023-01-25,POLYCAB, EQ,2817.35,2810.35,2826.15,2790.0, 2819.05,2817.7,2810.91,232210,6527.22,18190, 107903, 46.47
2023-01-27,POLYCAB, EQ,2817.7,2820.0,2841.95,2737.7, 2778.00,2777.3,2783.82,270275,7523.96,24241, 91152, 33.73
2023-01-30,POLYCAB, EQ,2777.3,2780.0,2868.0,2748.3, 2831.00,2819.2,2828.41,426921,12075.06,42539, 163699, 38.34
2023-01-31,POLYCAB, EQ,2819.2,2847.0,2934.65,2835.15,2930.0,2921.25,2890.09,545851,15775.61,65396, 259166, 47.48
2023-02-01,POLYCAB, EQ,2921.25,2949.0,3045.0,2913.3, 3000.00,2995.4,3002.27,936089,28103.96,68331, 263497, 28.15
2023-02-02,POLYCAB, EQ,2995.4,3000.0,3088.6,2981.1, 3011.05,3001.5,3040.76,716169,21777.0,58893, 275220, 38.43
2023-02-03,POLYCAB, EQ,3001.5,3030.0,3030.0,2925.0, 2950.00,2949.15,2961.12,378428,11205.69,35284, 130684, 34.53
2023-02-06,POLYCAB, EQ,2949.15,2950.0,2998.0,2940.0, 2962.00,2965.65,2971.69,255641,7596.86,22603, 95601, 37.40
2023-02-07,POLYCAB, EQ,2965.65,2980.5,2994.0,2959.45, 2994.00,2987.4,2978.14,186102,5542.38,19729, 101497, 54.54
2023-02-08,POLYCAB, EQ,2987.4,2983.5,3010.8,2971.6, 2978.85,2978.85,2989.8,278608,8329.82,26822, 132166, 47.44
2023-02-09,POLYCAB, EQ,2978.85,2970.0,3001.95,2955.1, 2999.65,2995.7,2980.76,172603,5144.89,12454, 79755, 46.21
2023-02-10,POLYCAB, EQ,2995.7,2987.0,3004.0,2976.0, 2984.50,2985.0,2992.2,136904,4096.44,15262, 46550, 34.00
2023-02-13,POLYCAB, EQ,2985.0,2988.0,2988.0,2904.75,2944.0,2947.55,2942.7,196259,5775.32,22318, 55239, 28.15
2023-02-14,POLYCAB, EQ,2947.55,2948.9,2994.9,2936.85,2975.3,2981.85,2977.59,204187,6079.85,22401, 75856, 37.15
2023-02-15,POLYCAB, EQ,2981.85,2967.95,3030.1,2952.0, 3024.00,3006.45,2984.97,216658,6467.19,23247, 103949, 47.98
2023-02-16,POLYCAB, EQ,3006.45,3032.3,3059.9,3017.75, 3036.00,3046.1,3038.7,351094,10668.69,45113, 155643, 44.33
2023-02-17,POLYCAB, EQ,3046.1,3030.0,3143.4,2991.0, 3010.00,3014.8,3071.02,1067039,32769.02,76495, 153020, 14.34
2023-02-20,POLYCAB, EQ,3014.8,3010.0,3037.5,2965.3, 3005.00,3002.65,3003.18,218449,6560.41,18601, 33848, 15.49
2023-02-21,POLYCAB, EQ,3002.65,3009.9,3065.8,2991.55, 3044.70,3041.35,3036.34,211481,6421.29,17907, 48328, 22.85
2023-02-22,POLYCAB, EQ,3041.35,3041.35,3065.5,2994.2, 3022.00,3013.25,3034.93,328540,9970.95,31168, 112093, 34.12
2023-02-23,POLYCAB, EQ,3013.25,3008.0,3088.05,3004.05,3086.0,3069.65,3053.48,364256,11122.49,29047, 167617, 46.02
2023-02-24,POLYCAB, EQ,3069.65,3097.5,3113.0,3040.4, 3060.00,3072.85,3077.98,460091,14161.52,38181, 147757, 32.11
2023-02-27,POLYCAB, EQ,3072.85,3060.0,3060.0,2969.0, 2999.00,2995.95,3007.06,283462,8523.88,24297, 82391, 29.07
2023-02-28,POLYCAB, EQ,2995.95,2993.0,3099.95,2975.0, 3090.00,3081.35,3044.21,362293,11028.97,29833, 150294, 41.48
