DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,POLYMED, EQ,897.85,902.05,915.0,891.0, 915.00,906.85,902.58,20487,184.91,2740, 8446, 41.23
2023-01-03,POLYMED, EQ,906.85,911.35,914.8,900.0, 909.00,906.6,906.24,15327,138.9,1875, 6588, 42.98
2023-01-04,POLYMED, EQ,906.6,900.15,918.6,900.0, 906.00,902.15,905.64,20835,188.69,2364, 9271, 44.50
2023-01-05,POLYMED, EQ,902.15,897.65,910.8,897.65,907.9,905.4,905.19,13615,123.24,2154, 8232, 60.46
2023-01-06,POLYMED, EQ,905.4,906.4,918.0,905.0,908.0,907.8,910.64,14890,135.59,4023, 8050, 54.06
2023-01-09,POLYMED, EQ,907.8,906.45,935.5,906.45,919.0,926.05,926.58,67163,622.32,8487, 19269, 28.69
2023-01-10,POLYMED, EQ,926.05,926.0,928.55,902.0,916.65,908.45,913.9,12820,117.16,2186, 5579, 43.52
2023-01-11,POLYMED, EQ,908.45,915.8,919.6,900.25, 907.00,903.95,907.51,7857,71.3,2105, 3158, 40.19
2023-01-12,POLYMED, EQ,903.95,903.95,914.15,891.0, 901.95,897.75,899.24,18023,162.07,3875, 8643, 47.96
2023-01-13,POLYMED, EQ,897.75,904.75,910.15,890.0,895.0,893.8,899.79,15804,142.2,4203, 7133, 45.13
2023-01-16,POLYMED, EQ,893.8,894.9,899.5,870.1, 875.00,874.2,882.59,13611,120.13,2092, 7738, 56.85
2023-01-17,POLYMED, EQ,874.2,880.0,884.0,864.05,873.0,869.9,874.04,31110,271.91,5523, 10382, 33.37
2023-01-18,POLYMED, EQ,869.9,881.95,881.95,868.55,870.6,874.9,874.21,8331,72.83,2292, 3645, 43.75
2023-01-19,POLYMED, EQ,874.9,874.9,875.2,860.8, 863.65,866.1,865.59,10363,89.7,2282, 4210, 40.63
