DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,POWERGRID, EQ,213.7,214.55,215.5,213.0, 215.20,215.05,214.54,4469546,9588.82,45693, 2311073, 51.71
2023-01-03,POWERGRID, EQ,215.05,215.25,216.2,214.35, 215.40,215.6,215.16,2154833,4636.41,32183, 1056247, 49.02
2023-01-04,POWERGRID, EQ,215.6,215.4,215.4,210.5, 211.15,211.05,212.11,7465907,15836.22,57483, 5037553, 67.47
2023-01-05,POWERGRID, EQ,211.05,211.9,211.9,206.6,209.0,208.8,208.45,15955132,33258.09,87266, 11259414, 70.57
2023-01-06,POWERGRID, EQ,208.8,208.15,210.3,207.55,208.3,208.1,208.57,8632854,18005.63,61992, 6424875, 74.42
2023-01-09,POWERGRID, EQ,208.1,209.2,211.95,204.25,209.1,209.1,206.59,39363845,81321.44,101945, 32692599, 83.05
2023-01-10,POWERGRID, EQ,209.1,209.9,212.45,209.0,211.85,211.8,211.0,12936245,27296.09,89691, 7689306, 59.44
2023-01-11,POWERGRID, EQ,211.8,212.2,213.05,210.1, 211.75,211.95,211.7,6873271,14550.87,69930, 4214697, 61.32
2023-01-12,POWERGRID, EQ,211.95,213.55,213.9,211.4, 213.50,213.5,212.74,15884667,33793.61,68460, 13222190, 83.24
2023-01-13,POWERGRID, EQ,213.5,213.6,215.35,213.3,214.1,214.0,214.26,4920184,10542.05,39838, 3108441, 63.18
2023-01-16,POWERGRID, EQ,214.0,215.0,215.9,212.7, 215.65,215.65,214.55,6271646,13455.79,47286, 4723866, 75.32
2023-01-17,POWERGRID, EQ,215.65,215.65,218.7,214.9,218.25,218.4,217.55,9750429,21212.53,53564, 7098413, 72.80
2023-01-18,POWERGRID, EQ,218.4,218.3,220.15,216.4,219.35,219.35,218.47,8378527,18304.81,60583, 5723466, 68.31
2023-01-19,POWERGRID, EQ,219.35,218.8,221.25,218.65, 221.15,220.75,220.09,8690112,19126.27,51145, 6795296, 78.20
2023-01-20,POWERGRID, EQ,220.75,221.0,223.9,221.0,223.35,223.25,223.02,7584484,16914.9,60139, 5288196, 69.72
2023-01-23,POWERGRID, EQ,223.25,224.0,228.3,223.55,224.55,225.1,226.33,10795208,24432.79,75864, 6493361, 60.15
2023-01-24,POWERGRID, EQ,225.1,226.25,226.6,220.5,220.9,220.95,221.98,4613170,10240.15,52228, 2832494, 61.40
2023-01-25,POWERGRID, EQ,220.95,220.7,221.25,217.8, 218.85,219.4,219.3,4342749,9523.71,52017, 2771723, 63.82
2023-01-27,POWERGRID, EQ,219.4,219.3,221.45,217.0, 219.20,219.25,218.62,7843953,17148.54,74997, 5302057, 67.59
2023-01-30,POWERGRID, EQ,219.25,218.0,218.85,210.55, 212.05,211.85,212.18,18216133,38651.63,126127, 13063003, 71.71
2023-01-31,POWERGRID, EQ,211.85,212.6,220.2,212.15,218.0,216.65,217.19,15748160,34203.15,99268, 10772102, 68.40
2023-02-01,POWERGRID, EQ,216.65,225.0,225.0,213.6, 216.00,216.55,218.47,15184777,33174.31,95846, 9293048, 61.20
2023-02-02,POWERGRID, EQ,216.55,216.0,217.1,211.35, 212.85,212.7,213.67,9615498,20545.16,65796, 6398469, 66.54
2023-02-03,POWERGRID, EQ,212.7,213.2,215.15,210.4, 215.00,214.85,212.88,8111765,17267.96,72107, 5414530, 66.75
2023-02-06,POWERGRID, EQ,214.85,213.45,217.35,213.05, 217.30,217.05,215.71,5211151,11240.83,49948, 3520195, 67.55
2023-02-07,POWERGRID, EQ,217.05,218.0,218.2,215.1, 217.30,216.85,216.54,7526645,16298.23,45421, 5605602, 74.48
2023-02-08,POWERGRID, EQ,216.85,212.85,213.25,210.45, 212.40,212.0,212.08,9324540,19775.09,70236, 6040884, 64.78
2023-02-09,POWERGRID, EQ,212.0,212.0,213.95,212.0, 212.85,212.85,213.03,5258312,11201.63,51834, 3614985, 68.75
2023-02-10,POWERGRID, EQ,212.85,211.9,214.45,211.85, 213.65,214.1,213.7,8169120,17457.22,55941, 6364149, 77.90
2023-02-13,POWERGRID, EQ,214.1,214.1,216.5,214.0,215.85,216.0,215.38,5782600,12454.65,52741, 4218386, 72.95
2023-02-14,POWERGRID, EQ,216.0,217.05,217.05,212.75,215.15,215.0,214.13,4508011,9653.08,55718, 3036409, 67.36
2023-02-15,POWERGRID, EQ,215.0,213.25,215.2,213.0, 214.40,214.5,213.92,6080623,13007.92,47980, 4602467, 75.69
2023-02-16,POWERGRID, EQ,214.5,216.9,216.9,214.0, 214.85,214.6,214.7,2972337,6381.6,36227, 1850731, 62.27
2023-02-17,POWERGRID, EQ,214.6,214.0,215.9,213.0, 213.55,213.8,214.1,4868362,10423.16,39272, 3535578, 72.62
2023-02-20,POWERGRID, EQ,213.8,215.6,217.0,214.2, 216.15,215.8,215.8,5131438,11073.47,52334, 2396435, 46.70
2023-02-21,POWERGRID, EQ,215.8,217.55,218.75,216.05, 217.60,217.2,217.4,5026076,10926.8,57949, 3175679, 63.18
2023-02-22,POWERGRID, EQ,217.2,216.0,217.3,213.0, 214.95,214.65,214.41,6846495,14679.62,72069, 5015813, 73.26
2023-02-23,POWERGRID, EQ,214.65,215.0,215.9,212.6,213.2,213.25,213.97,7759406,16603.06,62914, 5586748, 72.00
2023-02-24,POWERGRID, EQ,213.25,212.4,215.4,212.4, 214.95,215.05,214.06,7356623,15747.37,42582, 6090914, 82.79
2023-02-27,POWERGRID, EQ,215.05,216.45,219.95,214.55, 219.70,219.2,216.33,13322714,28820.92,86364, 8482142, 63.67
2023-02-28,POWERGRID, EQ,219.2,220.6,223.0,218.75, 222.00,222.25,221.0,27419459,60596.15,112318, 21496667, 78.40
2023-03-01,POWERGRID, EQ,222.25,221.55,222.25,217.4, 218.80,218.9,218.68,9672064,21151.22,78389, 6147519, 63.56
2023-03-02,POWERGRID, EQ,218.9,218.0,221.0,215.8, 220.55,220.35,217.5,59781419,130022.0,91617, 53866510, 90.11
2023-03-03,POWERGRID, EQ,220.35,220.4,225.45,220.4, 222.25,222.1,223.68,7463902,16695.52,73072, 2950787, 39.53
2023-03-06,POWERGRID, EQ,222.1,224.0,228.8,223.0, 227.25,227.15,227.15,11744968,26678.56,120152, 7014676, 59.72
2023-03-08,POWERGRID, EQ,227.15,226.95,228.35,225.7, 227.55,228.05,227.19,8693622,19751.18,95240, 5702101, 65.59
2023-03-09,POWERGRID, EQ,228.05,229.0,230.45,225.5, 226.25,225.8,227.64,10456240,23802.27,56572, 7589599, 72.58
2023-03-10,POWERGRID, EQ,225.8,222.25,228.15,222.25, 226.65,226.55,225.93,7204076,16276.32,86419, 5026850, 69.78
2023-03-13,POWERGRID, EQ,226.55,228.05,230.05,225.4, 226.55,226.1,227.61,9907240,22549.95,89340, 6894672, 69.59
2023-03-14,POWERGRID, EQ,226.1,225.15,227.75,224.0, 225.45,225.2,225.85,7187554,16233.11,74944, 4355007, 60.59
2023-03-15,POWERGRID, EQ,225.2,226.6,230.05,225.7, 228.45,228.3,228.3,9171052,20937.26,124317, 6564035, 71.57
2023-03-16,POWERGRID, EQ,228.3,229.45,232.9,228.35, 231.80,232.15,231.47,13828363,32008.15,123712, 10059871, 72.75
2023-03-17,POWERGRID, EQ,232.15,233.95,234.0,228.3, 229.40,229.7,231.27,25283269,58473.71,120170, 17400015, 68.82
2023-03-20,POWERGRID, EQ,229.7,225.3,229.4,225.3,227.4,227.5,227.08,6961059,15807.52,61620, 4353098, 62.53
2023-03-21,POWERGRID, EQ,227.5,227.25,227.7,222.45, 223.10,223.15,223.81,8454591,18922.4,63435, 5321666, 62.94
2023-03-22,POWERGRID, EQ,223.15,223.0,224.7,220.8, 224.05,224.1,222.67,5692385,12675.47,44556, 3351176, 58.87
2023-03-23,POWERGRID, EQ,224.1,224.0,224.5,221.25, 222.00,222.15,223.0,12818474,28585.81,43985, 9560681, 74.59
2023-03-24,POWERGRID, EQ,222.15,223.0,224.25,220.8, 222.45,222.4,222.56,7778750,17312.37,43987, 5570504, 71.61
2023-03-27,POWERGRID, EQ,222.4,222.9,226.25,219.55, 219.90,220.1,223.36,14987800,33476.96,47090, 12102694, 80.75
2023-03-28,POWERGRID, EQ,220.1,221.25,223.1,218.7, 221.85,222.1,220.97,6516875,14400.5,45753, 4262290, 65.40
2023-03-29,POWERGRID, EQ,222.1,222.1,223.7,220.55, 223.50,222.45,222.29,14807444,32915.37,73688, 10851469, 73.28
2023-03-31,POWERGRID, EQ,222.45,224.0,226.75,223.0, 225.50,225.7,225.28,7651544,17237.2,58908, 5353590, 69.97
2023-04-03,POWERGRID, EQ,225.7,227.35,227.35,223.85, 224.50,224.6,224.87,5732411,12890.72,62097, 4119919, 71.87
2023-04-05,POWERGRID, EQ,224.6,226.6,226.6,223.7, 226.00,225.65,224.92,9014537,20275.85,57789, 7532162, 83.56
2023-04-06,POWERGRID, EQ,225.65,227.2,227.4,224.65, 224.90,225.25,225.75,3212157,7251.48,34193, 1552184, 48.32
2023-04-10,POWERGRID, EQ,225.25,225.2,229.4,225.0, 228.90,229.05,228.12,3109233,7092.67,37848, 1336782, 42.99
2023-04-11,POWERGRID, EQ,229.05,228.9,232.0,228.45, 231.25,231.35,230.34,3829952,8822.07,48167, 1846095, 48.20
2023-04-12,POWERGRID, EQ,231.35,231.4,231.55,227.05, 227.50,227.3,228.32,6839097,15615.23,51827, 4981194, 72.83
2023-04-13,POWERGRID, EQ,227.3,227.3,231.65,227.0, 231.65,231.2,229.25,8571466,19650.44,52636, 6649297, 77.57
2023-04-17,POWERGRID, EQ,231.2,232.6,239.9,232.3, 236.20,236.65,236.87,16361286,38755.12,105809, 7948200, 48.58
2023-04-18,POWERGRID, EQ,236.65,236.9,237.5,229.65, 230.90,230.3,231.76,10112125,23436.06,80892, 6195007, 61.26
2023-04-19,POWERGRID, EQ,230.3,229.0,231.4,228.65, 230.90,229.95,230.34,6198143,14276.64,60209, 3743479, 60.40
2023-04-20,POWERGRID, EQ,229.95,230.85,232.9,229.65, 230.50,230.9,231.3,5481563,12679.1,66039, 3106869, 56.68
2023-04-21,POWERGRID, EQ,230.9,231.8,232.35,229.6, 231.75,231.55,230.95,3772988,8713.67,37604, 2427877, 64.35
2023-04-24,POWERGRID, EQ,231.55,231.0,232.3,229.95, 232.00,231.95,231.1,4293801,9923.15,45842, 2922345, 68.06
2023-04-25,POWERGRID, EQ,231.95,231.3,233.9,230.65,233.0,232.9,232.97,6254028,14569.92,50531, 4447547, 71.11
2023-04-26,POWERGRID, EQ,232.9,234.05,239.5,232.0, 239.00,238.3,236.25,10185764,24063.49,80456, 6910526, 67.84
2023-04-27,POWERGRID, EQ,238.3,238.0,238.3,233.5, 236.40,235.95,235.69,7345843,17313.55,65298, 4417712, 60.14
2023-04-28,POWERGRID, EQ,235.95,236.95,237.95,233.1, 236.35,237.25,235.69,7939116,18711.38,52736, 5453364, 68.69
2023-05-02,POWERGRID, EQ,237.25,238.7,241.15,238.25, 239.90,240.1,239.81,5049681,12109.44,85576, 3322793, 65.80
2023-05-03,POWERGRID, EQ,240.1,240.0,242.0,238.8,239.65,239.7,240.21,3591913,8628.18,53500, 2065442, 57.50
2023-05-04,POWERGRID, EQ,239.7,239.65,240.7,234.95, 238.00,238.85,237.37,6892338,16360.67,77848, 3878225, 56.27
2023-05-05,POWERGRID, EQ,238.85,238.8,241.5,238.2, 240.75,241.05,240.0,2922331,7013.55,54760, 1586508, 54.29
2023-05-08,POWERGRID, EQ,241.05,241.85,246.25,241.1, 244.50,244.75,244.9,6568741,16086.67,77646, 4113577, 62.62
2023-05-09,POWERGRID, EQ,244.75,244.05,246.9,242.7,242.95,243.4,244.41,6875206,16803.64,80369, 5115070, 74.40
2023-05-10,POWERGRID, EQ,243.4,245.15,247.95,244.6,247.45,247.65,246.55,7267057,17917.08,70731, 4859707, 66.87
