DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-06-09,PTCIL, EQ,3015.7,3090.0,3149.95,2950.0, 3070.00,3070.15,3085.79,7308,225.51,777, 5295, 72.45
2023-06-12,PTCIL, EQ,3070.15,3132.0,3684.15,3129.95, 3684.15,3684.15,3531.56,28360,1001.55,1921, 17986, 63.42
2023-06-13,PTCIL, EQ,3684.15,3768.0,3975.0,3550.0, 3739.95,3655.65,3756.44,44403,1667.97,6085, 14946, 33.66
2023-06-14,PTCIL, EQ,3655.65,3787.95,3787.95,3450.0, 3470.00,3491.45,3600.13,8669,312.1,1800, 4405, 50.81
2023-06-15,PTCIL, EQ,3491.45,3525.0,3840.55,3484.05, 3740.00,3726.95,3781.74,56911,2152.23,5325, 14586, 25.63
2023-06-16,PTCIL, EQ,3726.95,3750.0,3784.8,3672.0, 3711.10,3737.25,3746.16,9569,358.47,1973, 4396, 45.94
2023-06-19,PTCIL, EQ,3737.25,3783.0,4050.0,3750.0, 4050.00,4032.35,3931.01,21915,861.48,4879, 12163, 55.50
2023-06-20,PTCIL, EQ,4032.35,4048.0,4297.65,3955.0, 4220.00,4212.2,4166.71,17679,736.63,3506, 7332, 41.47
2023-06-21,PTCIL, EQ,4212.2,4250.0,4633.4,4232.15, 4452.65,4454.1,4507.68,52319,2358.37,7741, 16830, 32.17
2023-06-22,PTCIL, EQ,4454.1,4490.0,4674.3,4335.0,4545.0,4527.25,4503.19,21867,984.71,6002, 10247, 46.86
2023-06-23,PTCIL, EQ,4527.25,4527.25,4600.0,4352.7, 4550.00,4518.85,4500.11,9082,408.7,1661, 5539, 60.99
2023-06-26,PTCIL, EQ,4518.85,4552.0,4650.0,4333.3, 4612.00,4602.2,4480.39,14958,670.18,2116, 9839, 65.78
2023-06-27,PTCIL, EQ,4602.2,4586.0,4640.2,4552.0, 4588.05,4592.85,4590.33,2561,117.56,625, 1365, 53.30
2023-06-28,PTCIL, EQ,4592.85,4560.0,4626.45,4480.0, 4580.00,4598.75,4587.26,4926,225.97,753, 3433, 69.69
2023-06-30,PTCIL, EQ,4598.75,4700.0,4700.0,4551.0, 4600.00,4602.15,4604.11,4133,190.29,864, 2562, 61.99
2023-07-03,PTCIL, EQ,4602.15,4585.05,4586.05,4491.0, 4510.00,4519.5,4546.09,2726,123.93,572, 1402, 51.43
2023-07-04,PTCIL, EQ,4519.5,4485.0,4500.0,4311.35, 4322.00,4350.75,4401.58,4928,216.91,931, 3104, 62.99
2023-07-05,PTCIL, EQ,4350.75,4280.0,4313.95,4133.25,4140.0,4140.75,4181.71,6327,264.58,1259, 3635, 57.45
2023-07-06,PTCIL, EQ,4140.75,4304.9,4304.9,3935.05,3953.5,3949.5,3999.05,10074,402.86,1469, 6290, 62.44
2023-07-07,PTCIL, EQ,3949.5,3930.0,3979.9,3850.0, 3870.00,3870.75,3875.38,5507,213.42,939, 3735, 67.82
2023-07-10,PTCIL, EQ,3870.75,3860.0,4064.25,3755.0,4064.25,4064.25,3993.82,4942,197.37,711, 3368, 68.15
2023-07-11,PTCIL, EQ,4064.25,4240.0,4267.45,4127.55, 4142.10,4166.55,4209.27,7093,298.56,1224, 3619, 51.02
2023-07-12,PTCIL, EQ,4166.55,4170.0,4304.0,4102.7, 4220.00,4234.05,4253.16,3690,156.94,684, 2739, 74.23
2023-07-13,PTCIL, EQ,4234.05,4318.75,4318.75,4100.0, 4169.60,4142.55,4181.03,2442,102.1,564, 1545, 63.27
2023-07-14,PTCIL, EQ,4142.55,4081.05,4166.95,3935.45,4000.1,4014.75,3986.09,6129,244.31,1317, 3061, 49.94
2023-07-17,PTCIL, EQ,4014.75,4015.0,4070.0,3990.0,4042.45,4030.05,4028.28,1200,48.34,360, 812, 67.67
2023-07-18,PTCIL, EQ,4030.05,4123.25,4123.25,3950.0, 3967.90,3993.0,4029.61,2235,90.06,692, 1352, 60.49
2023-07-19,PTCIL, EQ,3993.0,4055.0,4086.0,3965.0, 3965.25,3977.1,4014.4,1430,57.41,413, 1011, 70.70
