DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,QGOLDHALF, EQ,46.57,46.6,47.08,46.6, 47.07,47.04,46.97,118899,55.85,529, 63205, 53.16
2023-01-03,QGOLDHALF, EQ,47.04,47.08,47.59,47.08, 47.39,47.38,47.4,28092,13.31,385, 8766, 31.20
2023-01-04,QGOLDHALF, EQ,47.38,47.39,47.89,47.39, 47.76,47.74,47.68,36923,17.6,365, 24716, 66.94
2023-01-05,QGOLDHALF, EQ,47.74,47.89,47.89,47.48,47.55,47.54,47.62,14209,6.77,248, 8928, 62.83
2023-01-06,QGOLDHALF, EQ,47.54,47.68,47.68,47.24,47.28,47.26,47.3,16853,7.97,248, 10546, 62.58
2023-01-09,QGOLDHALF, EQ,47.26,48.18,48.18,47.67,47.9,47.85,47.87,60247,28.84,342, 50444, 83.73
2023-01-10,QGOLDHALF, EQ,47.85,47.99,47.99,47.63,47.75,47.72,47.75,15042,7.18,366, 4358, 28.97
2023-01-11,QGOLDHALF, EQ,47.72,47.87,47.99,47.59, 47.99,47.95,47.92,57246,27.43,313, 48916, 85.45
2023-01-12,QGOLDHALF, EQ,47.95,48.0,48.0,47.69, 47.69,47.7,47.72,12636,6.03,203, 7932, 62.77
2023-01-13,QGOLDHALF, EQ,47.7,47.62,48.0,47.62,48.0,47.97,47.89,17192,8.23,196, 8064, 46.91
2023-01-16,QGOLDHALF, EQ,47.97,48.01,48.5,47.96, 48.48,48.45,48.29,46553,22.48,410, 18649, 40.06
2023-01-17,QGOLDHALF, EQ,48.45,48.58,48.91,48.21,48.3,48.29,48.34,47138,22.79,212, 38753, 82.21
2023-01-18,QGOLDHALF, EQ,48.29,48.28,48.28,48.01,48.26,48.24,48.23,121606,58.65,201, 118587, 97.52
2023-01-19,QGOLDHALF, EQ,48.24,48.48,48.48,47.87, 48.20,48.22,48.13,79722,38.37,296, 76054, 95.40
2023-01-20,QGOLDHALF, EQ,48.22,48.78,48.78,48.21,48.49,48.49,48.49,48403,23.47,224, 42390, 87.58
2023-01-23,QGOLDHALF, EQ,48.49,48.84,48.84,48.21,48.53,48.52,48.52,30316,14.71,258, 24237, 79.95
2023-01-24,QGOLDHALF, EQ,48.52,48.93,48.93,48.62,48.74,48.74,48.74,19934,9.72,210, 17461, 87.59
2023-01-25,QGOLDHALF, EQ,48.74,48.89,48.89,48.41, 48.46,48.5,48.57,11073,5.38,245, 5853, 52.86
2023-01-27,QGOLDHALF, EQ,48.5,48.46,48.66,48.36, 48.53,48.51,48.56,6100,2.96,209, 4725, 77.46
2023-01-30,QGOLDHALF, EQ,48.51,48.79,48.79,48.21, 48.54,48.55,48.67,65432,31.85,293, 55006, 84.07
2023-01-31,QGOLDHALF, EQ,48.55,48.78,48.78,48.32,48.44,48.43,48.47,17627,8.54,166, 13494, 76.55
2023-02-01,QGOLDHALF, EQ,48.43,48.78,49.18,48.46, 49.16,49.15,49.05,23889,11.72,258, 18561, 77.70
