DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-04,RADIANTCMS, EQ,94.0,103.0,116.8,98.1, 106.50,104.9,105.57,18928432,19983.42,115282, 4161397, 21.98
2023-01-05,RADIANTCMS, EQ,104.9,106.4,108.8,103.25,105.5,106.1,106.03,3563069,3778.03,28970, 1280096, 35.93
2023-01-06,RADIANTCMS, EQ,106.1,106.0,109.9,104.05,108.2,107.85,106.41,1209553,1287.05,8637, 456469, 37.74
2023-01-09,RADIANTCMS, EQ,107.85,108.95,111.1,105.2,105.95,105.75,107.88,885982,955.78,7475, 407067, 45.95
2023-01-10,RADIANTCMS, EQ,105.75,105.0,105.7,103.5,104.5,104.4,104.4,767918,801.71,8330, 399302, 52.00
2023-01-11,RADIANTCMS, EQ,104.4,105.0,105.0,101.2, 104.50,103.0,104.08,533423,555.2,5407, 220193, 41.28
2023-01-12,RADIANTCMS, EQ,103.0,103.2,105.0,101.5, 104.00,102.75,103.63,358933,371.95,5702, 155432, 43.30
2023-01-13,RADIANTCMS, EQ,102.75,102.5,105.0,102.3,103.0,103.95,103.94,383975,399.11,6051, 194893, 50.76
2023-01-16,RADIANTCMS, EQ,103.95,103.95,104.5,100.2, 100.50,101.15,102.58,246042,252.39,2522, 118768, 48.27
2023-01-17,RADIANTCMS, EQ,101.15,102.15,102.5,98.05,101.2,100.45,99.71,534543,532.98,5374, 282058, 52.77
2023-01-18,RADIANTCMS, EQ,100.45,101.8,102.2,98.05,98.9,98.6,99.56,197827,196.95,3225, 78351, 39.61
2023-01-19,RADIANTCMS, EQ,98.6,98.2,99.2,97.55, 98.00,97.8,98.2,179953,176.71,2778, 70536, 39.20
2023-01-20,RADIANTCMS, EQ,97.8,98.2,98.75,93.3,94.75,95.05,96.35,241979,233.15,3120, 82870, 34.25
2023-01-23,RADIANTCMS, EQ,95.05,95.05,95.8,92.05,93.7,93.0,93.35,304355,284.12,3534, 88622, 29.12
2023-01-24,RADIANTCMS, EQ,93.0,92.5,102.6,92.5,95.0,94.55,97.31,902497,878.24,9881, 386537, 42.83
2023-01-25,RADIANTCMS, EQ,94.55,95.6,98.85,90.3, 92.55,93.0,96.09,847265,814.1,9891, 265608, 31.35
2023-01-27,RADIANTCMS, EQ,93.0,94.15,94.5,88.65, 92.00,91.1,91.52,533686,488.45,7449, 270856, 50.75
2023-01-30,RADIANTCMS, EQ,91.1,93.75,94.8,90.55, 92.45,91.75,92.57,546019,505.44,6925, 209637, 38.39
2023-01-31,RADIANTCMS, EQ,91.75,91.9,98.2,91.6,96.2,96.35,95.24,266583,253.88,3364, 156849, 58.84
2023-02-01,RADIANTCMS, EQ,96.35,97.95,100.0,94.2, 95.50,95.85,97.35,482354,469.59,6248, 285404, 59.17
2023-02-02,RADIANTCMS, EQ,95.85,94.1,97.0,92.5, 96.75,96.4,94.82,226127,214.42,3735, 90416, 39.98
2023-02-03,RADIANTCMS, EQ,96.4,97.35,98.2,95.4, 96.50,96.45,96.26,114705,110.42,1513, 82104, 71.58
2023-02-06,RADIANTCMS, EQ,96.45,96.45,102.75,96.0, 101.00,101.4,100.55,496568,499.31,6873, 319987, 64.44
2023-02-07,RADIANTCMS, EQ,101.4,101.4,106.25,99.55, 103.00,102.8,103.19,553463,571.1,6306, 370075, 66.87
2023-02-08,RADIANTCMS, EQ,102.8,102.75,107.8,101.0, 105.00,105.0,104.63,591197,618.54,5391, 448793, 75.91
2023-02-09,RADIANTCMS, EQ,105.0,103.55,107.4,103.55, 104.65,104.6,105.94,140511,148.86,2420, 75005, 53.38
2023-02-10,RADIANTCMS, EQ,104.6,103.6,107.0,102.4, 106.35,106.45,105.46,152162,160.48,1994, 114029, 74.94
2023-02-13,RADIANTCMS, EQ,106.45,106.45,106.45,102.1,102.1,103.55,104.63,107843,112.84,2071, 69269, 64.23
2023-02-14,RADIANTCMS, EQ,103.55,104.8,104.95,96.25,99.2,99.85,99.01,230669,228.38,5227, 124521, 53.98
2023-02-15,RADIANTCMS, EQ,99.85,101.6,101.6,98.0, 98.00,99.05,99.57,82865,82.51,1217, 62453, 75.37
2023-02-16,RADIANTCMS, EQ,99.05,99.9,100.0,96.8, 100.00,99.0,98.52,101882,100.37,1475, 69960, 68.67
2023-02-17,RADIANTCMS, EQ,99.0,100.4,100.4,97.0, 97.50,97.7,98.45,42404,41.75,1187, 21577, 50.88
2023-02-20,RADIANTCMS, EQ,97.7,99.65,99.7,97.5, 98.65,98.2,98.52,29946,29.5,1023, 19448, 64.94
2023-02-21,RADIANTCMS, EQ,98.2,97.15,100.7,97.15, 97.35,97.7,99.09,80948,80.21,1518, 53761, 66.41
2023-02-22,RADIANTCMS, EQ,97.7,97.5,99.3,95.35, 96.85,97.9,97.47,166117,161.91,3684, 97851, 58.90
2023-02-23,RADIANTCMS, EQ,97.9,97.9,99.0,97.0,97.0,97.3,97.98,35779,35.05,1007, 19813, 55.38
2023-02-24,RADIANTCMS, EQ,97.3,98.9,98.9,94.5, 96.00,96.95,96.31,45404,43.73,1721, 26113, 57.51
2023-02-27,RADIANTCMS, EQ,96.95,97.7,99.0,95.0, 99.00,98.1,97.0,63807,61.9,1686, 42553, 66.69
2023-02-28,RADIANTCMS, EQ,98.1,100.0,100.65,96.6, 97.00,97.55,98.7,89913,88.74,2406, 42650, 47.43
2023-03-01,RADIANTCMS, EQ,97.55,98.5,99.0,97.6, 98.40,98.4,98.41,20447,20.12,622, 12403, 60.66
2023-03-02,RADIANTCMS, EQ,98.4,100.4,100.4,97.3, 98.00,97.75,98.61,25341,24.99,747, 15826, 62.45
2023-03-03,RADIANTCMS, EQ,97.75,98.95,98.95,97.45, 97.80,97.75,97.85,20992,20.54,772, 9863, 46.98
2023-03-06,RADIANTCMS, EQ,97.75,98.5,98.75,96.9, 97.00,97.2,97.37,27792,27.06,695, 15759, 56.70
