DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,RADICO, EQ,1012.4,1024.0,1034.0,1017.0, 1028.00,1025.3,1025.95,132512,1359.51,8250, 38945, 29.39
2023-01-03,RADICO, EQ,1025.3,1030.45,1047.75,1021.05, 1040.00,1043.5,1037.18,225048,2334.16,15371, 109598, 48.70
2023-01-04,RADICO, EQ,1043.5,1040.05,1052.65,1022.75, 1049.00,1048.55,1039.54,171488,1782.69,12839, 76341, 44.52
2023-01-05,RADICO, EQ,1048.55,1050.0,1055.7,1008.15,1013.0,1013.6,1023.64,144103,1475.1,10551, 59358, 41.19
2023-01-06,RADICO, EQ,1013.6,1014.9,1084.8,1014.85,1068.0,1072.25,1056.02,811865,8573.44,31078, 287772, 35.45
2023-01-09,RADICO, EQ,1072.25,1065.0,1070.1,1050.0,1060.65,1066.05,1059.88,153354,1625.36,9594, 38115, 24.85
2023-01-10,RADICO, EQ,1066.05,1065.0,1079.75,1052.0,1075.95,1074.4,1068.1,144829,1546.92,9597, 43255, 29.87
2023-01-11,RADICO, EQ,1074.4,1079.0,1079.0,1065.0, 1074.00,1071.9,1070.92,83723,896.6,5056, 41150, 49.15
2023-01-12,RADICO, EQ,1071.9,1075.0,1075.0,1055.45, 1061.00,1066.4,1069.45,135258,1446.52,5147, 85921, 63.52
2023-01-13,RADICO, EQ,1066.4,1060.0,1087.0,1060.0,1067.95,1069.85,1073.3,100710,1080.92,7865, 40591, 40.30
2023-01-16,RADICO, EQ,1069.85,1070.0,1082.45,1065.0, 1070.40,1069.65,1070.38,595546,6374.59,7321, 533999, 89.67
2023-01-17,RADICO, EQ,1069.65,1070.4,1115.95,1068.45,1093.0,1099.65,1104.18,470998,5200.67,22481, 213679, 45.37
2023-01-18,RADICO, EQ,1099.65,1093.0,1117.8,1065.0,1071.45,1069.05,1083.44,466047,5049.34,18644, 287936, 61.78
2023-01-19,RADICO, EQ,1069.05,1068.0,1077.95,1042.0, 1059.95,1066.6,1067.84,138041,1474.06,4922, 93941, 68.05
2023-01-20,RADICO, EQ,1066.6,1061.9,1061.9,1045.0,1050.2,1051.0,1050.41,92183,968.3,7365, 31058, 33.69
2023-01-23,RADICO, EQ,1051.0,1059.95,1059.95,1025.5,1043.0,1041.75,1041.22,129802,1351.53,4947, 84558, 65.14
2023-01-24,RADICO, EQ,1041.75,1041.75,1041.75,1027.0,1030.0,1029.0,1034.44,97150,1004.96,4763, 65063, 66.97
2023-01-25,RADICO, EQ,1029.0,1030.95,1055.0,1027.0, 1052.00,1049.8,1043.78,195860,2044.35,7000, 99390, 50.75
2023-01-27,RADICO, EQ,1049.8,1051.95,1071.0,1038.0, 1062.90,1064.15,1058.02,268372,2839.43,9573, 132896, 49.52
2023-01-30,RADICO, EQ,1064.15,1064.15,1101.6,1056.3, 1098.00,1099.1,1093.39,621055,6790.55,11245, 493205, 79.41
2023-01-31,RADICO, EQ,1099.1,1070.0,1131.0,1070.0,1130.0,1127.35,1117.54,402447,4497.5,16283, 255330, 63.44
2023-02-01,RADICO, EQ,1127.35,1132.75,1159.6,1072.05, 1119.00,1116.65,1132.77,413888,4688.38,20061, 176564, 42.66
2023-02-02,RADICO, EQ,1116.65,1086.0,1154.0,1085.9, 1137.00,1141.3,1141.27,212952,2430.36,14471, 97621, 45.84
2023-02-03,RADICO, EQ,1141.3,1141.3,1174.0,1115.75, 1120.00,1150.45,1151.02,362554,4173.09,20057, 184650, 50.93
2023-02-06,RADICO, EQ,1150.45,1134.8,1230.0,1130.0, 1177.00,1179.2,1196.08,653000,7810.4,32069, 181669, 27.82
2023-02-07,RADICO, EQ,1179.2,1187.05,1190.15,1150.25, 1164.00,1163.55,1170.97,347924,4074.09,9955, 247410, 71.11
2023-02-08,RADICO, EQ,1163.55,1164.05,1180.0,1150.3, 1152.00,1154.4,1161.69,153123,1778.82,6228, 96576, 63.07
2023-02-09,RADICO, EQ,1154.4,1154.4,1159.65,1110.0, 1114.00,1114.65,1124.36,145367,1634.44,10835, 62805, 43.20
2023-02-10,RADICO, EQ,1114.65,1100.0,1142.0,1090.85, 1138.00,1137.2,1125.15,108444,1220.16,5959, 32044, 29.55
2023-02-13,RADICO, EQ,1137.2,1143.65,1156.0,1135.35,1142.0,1141.8,1142.73,67857,775.42,5056, 25008, 36.85
2023-02-14,RADICO, EQ,1141.8,1147.55,1151.5,1115.0,1124.0,1117.75,1125.29,73343,825.32,5397, 27266, 37.18
2023-02-15,RADICO, EQ,1117.75,1082.45,1128.0,1071.15, 1127.00,1118.15,1104.95,127851,1412.69,8485, 41193, 32.22
2023-02-16,RADICO, EQ,1118.15,1104.25,1124.75,1090.5, 1094.90,1101.45,1105.61,163326,1805.75,9214, 69716, 42.69
