DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,RAJESHEXPO, EQ,731.7,732.95,738.7,711.15, 713.00,714.65,721.57,243031,1753.63,7588, 76130, 31.33
2023-01-03,RAJESHEXPO, EQ,714.65,708.85,755.0,705.6, 747.50,749.05,736.83,553398,4077.61,19170, 73001, 13.19
2023-01-04,RAJESHEXPO, EQ,749.05,747.9,790.0,732.05, 778.00,776.55,761.0,548036,4170.57,19080, 110515, 20.17
2023-01-05,RAJESHEXPO, EQ,776.55,768.75,789.45,743.55,747.0,754.45,770.97,379136,2923.04,16718, 112381, 29.64
2023-01-06,RAJESHEXPO, EQ,754.45,750.0,822.0,732.0,798.0,796.55,788.29,788015,6211.88,23054, 122866, 15.59
2023-01-09,RAJESHEXPO, EQ,796.55,796.6,835.0,777.0,813.6,822.95,809.56,1011726,8190.49,40106, 106561, 10.53
2023-01-10,RAJESHEXPO, EQ,822.95,815.0,819.95,782.5,800.9,801.95,804.89,429138,3454.09,16666, 49150, 11.45
2023-01-11,RAJESHEXPO, EQ,801.95,806.45,830.55,795.4, 821.00,822.3,815.02,383709,3127.29,14147, 61050, 15.91
2023-01-12,RAJESHEXPO, EQ,822.3,820.0,830.95,807.1, 810.20,815.05,819.56,357603,2930.79,12242, 98749, 27.61
2023-01-13,RAJESHEXPO, EQ,815.05,817.35,819.55,793.5,803.2,802.15,806.83,163598,1319.96,8736, 21275, 13.00
2023-01-16,RAJESHEXPO, EQ,802.15,805.15,820.0,795.0, 804.20,808.85,804.12,140604,1130.62,6770, 23691, 16.85
2023-01-17,RAJESHEXPO, EQ,808.85,807.95,827.9,799.5,817.0,821.25,816.43,259225,2116.4,10037, 48837, 18.84
2023-01-18,RAJESHEXPO, EQ,821.25,817.0,850.0,810.0,824.0,832.25,829.69,406521,3372.84,13914, 82944, 20.40
2023-01-19,RAJESHEXPO, EQ,832.25,816.0,887.65,815.0, 839.20,849.4,849.57,732592,6223.85,24892, 91372, 12.47
2023-01-20,RAJESHEXPO, EQ,849.4,841.25,890.0,836.9,879.8,875.45,864.59,733396,6340.88,26113, 152680, 20.82
2023-01-23,RAJESHEXPO, EQ,875.45,882.8,883.95,823.35,830.0,834.2,857.11,617695,5294.34,19824, 133449, 21.60
2023-01-24,RAJESHEXPO, EQ,834.2,829.2,865.0,815.7,858.0,856.9,839.45,624576,5242.99,22396, 52499, 8.41
2023-01-25,RAJESHEXPO, EQ,856.9,855.0,867.8,836.15, 848.30,849.7,849.23,331251,2813.07,12373, 38912, 11.75
2023-01-27,RAJESHEXPO, EQ,849.7,853.85,853.85,827.0, 833.50,841.8,839.61,187046,1570.46,7996, 38316, 20.48
2023-01-30,RAJESHEXPO, EQ,841.8,833.9,847.4,822.0, 824.80,836.2,834.42,196921,1643.15,9251, 27640, 14.04
2023-01-31,RAJESHEXPO, EQ,836.2,826.05,889.5,826.05,873.5,874.0,860.15,612344,5267.11,20449, 131318, 21.45
2023-02-01,RAJESHEXPO, EQ,874.0,877.0,885.85,837.0, 849.90,848.45,866.5,295829,2563.37,12102, 41242, 13.94
2023-02-02,RAJESHEXPO, EQ,848.45,851.4,918.0,843.2, 904.00,898.35,883.79,451581,3991.05,15452, 80261, 17.77
2023-02-03,RAJESHEXPO, EQ,898.35,900.1,977.0,865.75, 950.00,946.85,919.36,1047556,9630.77,37861, 99821, 9.53
2023-02-06,RAJESHEXPO, EQ,946.85,947.0,1029.7,891.15, 904.70,910.15,948.15,903771,8569.06,35948, 150190, 16.62
2023-02-07,RAJESHEXPO, EQ,910.15,912.8,913.7,836.2, 842.00,850.2,872.15,519550,4531.23,22006, 117199, 22.56
2023-02-08,RAJESHEXPO, EQ,850.2,847.0,879.95,815.0, 848.00,851.4,839.49,791937,6648.27,31333, 75150, 9.49
2023-02-09,RAJESHEXPO, EQ,851.4,849.95,878.0,836.4, 854.00,862.35,854.64,486312,4156.23,18646, 66372, 13.65
2023-02-10,RAJESHEXPO, EQ,862.35,855.0,871.2,840.1, 841.45,855.2,854.44,361165,3085.92,15068, 60211, 16.67
2023-02-13,RAJESHEXPO, EQ,855.2,847.7,847.7,797.0,804.15,808.25,820.35,449600,3688.3,18271, 101909, 22.67
2023-02-14,RAJESHEXPO, EQ,808.25,801.0,835.2,775.0,780.0,785.6,806.02,798053,6432.48,24475, 64817, 8.12
2023-02-15,RAJESHEXPO, EQ,785.6,788.35,804.5,763.55, 771.20,773.0,784.23,527668,4138.11,17009, 84000, 15.92
2023-02-16,RAJESHEXPO, EQ,773.0,790.0,790.0,752.3, 759.60,763.7,763.9,504698,3855.4,17543, 79129, 15.68
2023-02-17,RAJESHEXPO, EQ,763.7,760.0,774.9,748.05, 759.90,763.75,758.77,334114,2535.14,12007, 37669, 11.27
2023-02-20,RAJESHEXPO, EQ,763.75,765.9,778.15,726.3, 728.00,737.6,749.1,324908,2433.89,12143, 72527, 22.32
2023-02-21,RAJESHEXPO, EQ,737.6,729.0,742.65,713.1, 715.85,719.65,727.56,299623,2179.94,12085, 62330, 20.80
2023-02-22,RAJESHEXPO, EQ,719.65,713.0,721.5,696.1, 704.00,705.65,706.79,180711,1277.25,9586, 39475, 21.84
2023-02-23,RAJESHEXPO, EQ,705.65,706.05,718.0,682.0,687.9,689.3,695.84,317679,2210.54,12420, 47032, 14.80
2023-02-24,RAJESHEXPO, EQ,689.3,694.85,715.0,669.0, 699.00,693.65,688.7,488041,3361.13,18847, 89264, 18.29
2023-02-27,RAJESHEXPO, EQ,693.65,693.65,707.95,652.5, 654.85,659.85,675.65,401517,2712.84,15385, 112141, 27.93
2023-02-28,RAJESHEXPO, EQ,659.85,655.45,670.0,640.1, 649.15,657.55,651.93,394924,2574.62,12738, 122660, 31.06
2023-03-01,RAJESHEXPO, EQ,657.55,653.5,674.6,641.15, 643.40,656.9,653.79,559092,3655.26,18856, 181164, 32.40
2023-03-02,RAJESHEXPO, EQ,656.9,646.05,649.85,620.1, 623.50,627.0,634.25,455094,2886.45,17689, 116670, 25.64
2023-03-03,RAJESHEXPO, EQ,627.0,628.0,644.1,620.55, 625.00,628.9,631.37,493513,3115.87,16477, 115989, 23.50
2023-03-06,RAJESHEXPO, EQ,628.9,628.0,645.5,621.0, 625.00,625.0,632.01,316366,1999.46,12500, 69057, 21.83
2023-03-08,RAJESHEXPO, EQ,625.0,623.0,639.95,612.0, 630.00,623.75,622.36,344611,2144.72,9246, 90962, 26.40
2023-03-09,RAJESHEXPO, EQ,623.75,627.25,635.1,618.4, 620.00,620.95,623.83,327736,2044.53,10765, 77556, 23.66
2023-03-10,RAJESHEXPO, EQ,620.95,617.8,630.0,613.1, 622.20,625.55,622.97,222266,1384.65,8519, 40134, 18.06
2023-03-13,RAJESHEXPO, EQ,625.55,628.5,628.55,610.0, 613.00,615.15,617.48,147800,912.63,6921, 33033, 22.35
2023-03-14,RAJESHEXPO, EQ,615.15,615.7,625.8,601.0, 604.35,607.65,613.11,249371,1528.91,9160, 31600, 12.67
2023-03-15,RAJESHEXPO, EQ,607.65,608.75,615.0,602.75, 604.55,608.65,609.47,161985,987.25,6782, 20890, 12.90
