DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,RAJRATAN, EQ,892.5,909.0,909.0,891.0, 893.95,892.6,896.08,24060,215.6,3203, 11030, 45.84
2023-01-03,RAJRATAN, EQ,892.6,892.9,901.95,878.05, 884.90,883.1,885.61,31205,276.35,3965, 17137, 54.92
2023-01-04,RAJRATAN, EQ,883.1,888.9,888.9,867.0, 870.00,869.3,873.06,27396,239.18,3737, 15115, 55.17
2023-01-05,RAJRATAN, EQ,869.3,872.0,879.0,865.0,874.0,873.15,871.56,22385,195.1,2825, 10247, 45.78
2023-01-06,RAJRATAN, EQ,873.15,876.9,888.0,865.75,883.8,883.35,878.31,35649,313.11,3914, 16526, 46.36
2023-01-09,RAJRATAN, EQ,883.35,887.8,898.3,870.0,884.0,875.95,880.06,27436,241.45,4213, 12719, 46.36
2023-01-10,RAJRATAN, EQ,875.95,875.0,883.2,854.2,868.5,866.4,866.3,26605,230.48,3620, 12145, 45.65
2023-01-11,RAJRATAN, EQ,866.4,865.0,874.0,844.0, 850.00,848.65,855.25,29969,256.31,4391, 15599, 52.05
2023-01-12,RAJRATAN, EQ,848.65,850.0,854.7,826.1, 842.00,833.85,837.11,24624,206.13,3777, 15094, 61.30
2023-01-13,RAJRATAN, EQ,833.85,838.05,839.55,822.5,829.0,827.9,829.42,36973,306.66,5065, 19454, 52.62
2023-01-16,RAJRATAN, EQ,827.9,832.05,836.75,820.0, 824.80,824.45,825.21,34787,287.06,5107, 14030, 40.33
2023-01-17,RAJRATAN, EQ,824.45,828.6,840.0,821.15,840.0,838.1,834.34,36991,308.63,4724, 18602, 50.29
2023-01-18,RAJRATAN, EQ,838.1,842.3,850.05,828.2,835.0,833.3,840.24,16163,135.81,2503, 8843, 54.71
2023-01-19,RAJRATAN, EQ,833.3,833.25,844.3,821.0, 838.40,836.9,834.74,19268,160.84,3056, 9705, 50.37
2023-01-20,RAJRATAN, EQ,836.9,836.95,839.15,818.1,820.0,821.9,827.33,27621,228.52,3779, 15486, 56.07
2023-01-23,RAJRATAN, EQ,821.9,821.9,821.9,777.0,799.9,794.05,796.19,120050,955.82,15272, 47543, 39.60
2023-01-24,RAJRATAN, EQ,794.05,767.55,785.0,751.0,771.0,772.85,767.38,170305,1306.89,18119, 87199, 51.20
2023-01-25,RAJRATAN, EQ,772.85,771.8,771.8,751.0, 752.00,754.3,760.19,41046,312.03,6132, 22020, 53.65
2023-01-27,RAJRATAN, EQ,754.3,754.3,759.75,704.0, 741.50,734.5,733.88,82288,603.9,10737, 40417, 49.12
2023-01-30,RAJRATAN, EQ,734.5,738.2,765.0,734.5, 763.00,759.25,750.51,49005,367.79,6970, 23242, 47.43
2023-01-31,RAJRATAN, EQ,759.25,774.95,798.8,764.8,798.8,789.35,779.77,54200,422.64,6623, 25527, 47.10
2023-02-01,RAJRATAN, EQ,789.35,795.0,803.7,752.0, 795.00,771.3,780.87,47930,374.27,7021, 22783, 47.53
2023-02-02,RAJRATAN, EQ,771.3,771.3,794.1,762.05, 782.55,781.4,779.89,38188,297.83,6035, 20040, 52.48
2023-02-03,RAJRATAN, EQ,781.4,785.35,790.0,767.55, 787.00,788.1,781.59,24496,191.46,4460, 11219, 45.80
2023-02-06,RAJRATAN, EQ,788.1,789.0,796.0,783.65, 787.10,789.55,790.99,19651,155.44,3663, 11673, 59.40
2023-02-07,RAJRATAN, EQ,789.55,790.0,792.0,763.0, 765.50,773.4,772.76,26294,203.19,4478, 13736, 52.24
