DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,RAMKY, EQ,285.85,289.9,315.0,288.7, 315.00,312.25,303.41,284912,864.44,7241, 120462, 42.28
2023-01-03,RAMKY, EQ,312.25,315.65,317.0,304.3, 311.40,311.45,311.55,183117,570.5,4933, 85509, 46.70
2023-01-04,RAMKY, EQ,311.45,312.9,313.9,301.0, 301.35,302.75,305.4,67691,206.73,2047, 39917, 58.97
2023-01-05,RAMKY, EQ,302.75,303.2,309.8,301.0,305.9,304.85,305.5,72771,222.32,2810, 26617, 36.58
2023-01-06,RAMKY, EQ,304.85,306.85,312.8,295.0,300.95,300.3,303.55,100294,304.44,3298, 36520, 36.41
2023-01-09,RAMKY, EQ,300.3,304.85,308.65,296.2,298.0,298.5,302.87,77985,236.19,2537, 36412, 46.69
2023-01-10,RAMKY, EQ,298.5,300.9,303.65,289.0,295.1,296.55,298.48,74246,221.61,2195, 38554, 51.93
2023-01-11,RAMKY, EQ,296.55,297.4,306.8,294.35, 302.60,303.3,302.82,131254,397.46,4455, 68572, 52.24
2023-01-12,RAMKY, EQ,303.3,304.0,308.0,298.0, 308.00,304.85,303.1,43850,132.91,2200, 24402, 55.65
2023-01-13,RAMKY, EQ,304.85,307.9,317.5,303.0,304.85,306.0,308.55,122606,378.3,4221, 60971, 49.73
2023-01-16,RAMKY, EQ,306.0,308.0,317.4,303.0, 307.00,307.05,308.78,133620,412.59,4711, 64287, 48.11
2023-01-17,RAMKY, EQ,307.05,307.8,312.45,299.1,300.0,301.75,304.82,80461,245.26,3427, 33522, 41.66
2023-01-18,RAMKY, EQ,301.75,303.45,307.95,296.95,306.5,302.35,301.72,76450,230.67,2447, 50759, 66.40
2023-01-19,RAMKY, EQ,302.35,300.0,318.0,300.0, 310.00,309.75,308.85,149045,460.33,5867, 60040, 40.28
2023-01-20,RAMKY, EQ,309.75,311.3,316.3,306.75,311.95,309.5,311.16,108593,337.9,4055, 65719, 60.52
2023-01-23,RAMKY, EQ,309.5,310.9,325.0,310.5,312.1,312.5,318.78,252393,804.58,6628, 80307, 31.82
2023-01-24,RAMKY, EQ,312.5,314.0,320.0,306.0,310.0,311.35,312.22,127761,398.89,3441, 72275, 56.57
2023-01-25,RAMKY, EQ,311.35,311.25,311.5,295.0, 298.00,297.95,300.35,90731,272.51,4099, 42973, 47.36
2023-01-27,RAMKY, EQ,297.95,299.85,301.6,273.35, 280.90,279.15,284.36,152925,434.85,6560, 63250, 41.36
2023-01-30,RAMKY, EQ,279.15,275.0,286.5,271.5, 275.35,277.2,278.33,84494,235.17,3399, 34296, 40.59
2023-01-31,RAMKY, EQ,277.2,277.3,287.45,275.7,285.0,285.9,283.47,124285,352.3,6036, 28997, 23.33
2023-02-01,RAMKY, EQ,285.9,285.95,299.75,284.0, 293.90,288.4,292.09,146918,429.13,8245, 31031, 21.12
2023-02-02,RAMKY, EQ,288.4,288.2,290.0,278.1, 280.30,281.8,284.56,56288,160.17,2817, 26102, 46.37
2023-02-03,RAMKY, EQ,281.8,283.55,288.9,275.1, 288.00,287.3,283.36,77404,219.33,3599, 45343, 58.58
2023-02-06,RAMKY, EQ,287.3,288.2,299.0,285.3, 291.90,291.7,292.72,56632,165.77,3086, 25018, 44.18
2023-02-07,RAMKY, EQ,291.7,292.95,303.9,284.15, 287.80,286.2,294.09,105465,310.16,4032, 59540, 56.45
2023-02-08,RAMKY, EQ,286.2,287.45,293.0,285.3, 288.50,287.55,288.7,33323,96.2,1973, 17769, 53.32
2023-02-09,RAMKY, EQ,287.55,288.7,292.5,280.8, 286.00,285.6,286.11,28684,82.07,2292, 12260, 42.74
2023-02-10,RAMKY, EQ,285.6,285.6,286.8,280.05, 284.00,282.7,283.37,30426,86.22,1387, 19204, 63.12
2023-02-13,RAMKY, EQ,282.7,284.95,289.0,278.55,278.7,281.3,282.06,31369,88.48,1507, 16503, 52.61
2023-02-14,RAMKY, EQ,281.3,277.0,283.45,268.0,277.0,277.1,276.66,41472,114.74,2348, 19842, 47.84
2023-02-15,RAMKY, EQ,277.1,281.95,283.05,272.55, 274.95,273.8,277.26,40687,112.81,2221, 19093, 46.93
2023-02-16,RAMKY, EQ,273.8,275.25,283.4,275.25, 275.55,276.25,278.5,42454,118.24,2113, 21764, 51.26
2023-02-17,RAMKY, EQ,276.25,277.25,277.65,272.8, 273.15,274.4,274.71,20553,56.46,1291, 11708, 56.96
2023-02-20,RAMKY, EQ,274.4,274.4,277.65,266.3, 269.75,268.9,271.39,32419,87.98,1512, 18401, 56.76
2023-02-21,RAMKY, EQ,268.9,270.15,270.6,251.5, 262.00,259.75,260.75,60867,158.71,2797, 29378, 48.27
2023-02-22,RAMKY, EQ,259.75,259.75,273.05,254.05, 271.00,271.05,265.48,110371,293.02,4741, 54455, 49.34
2023-02-23,RAMKY, EQ,271.05,273.3,283.45,265.6,282.5,281.55,278.54,186929,520.67,4846, 111373, 59.58
2023-02-24,RAMKY, EQ,281.55,284.35,289.9,279.55, 285.05,284.95,284.6,94119,267.86,2852, 54511, 57.92
2023-02-27,RAMKY, EQ,284.95,289.0,289.0,271.15, 280.50,279.95,278.2,51478,143.21,2576, 26035, 50.58
2023-02-28,RAMKY, EQ,279.95,281.0,283.55,276.25, 276.45,278.35,280.12,23546,65.96,1201, 9038, 38.38
2023-03-01,RAMKY, EQ,278.35,279.5,284.0,275.0, 277.95,276.35,278.17,23314,64.85,1313, 11779, 50.52
2023-03-02,RAMKY, EQ,276.35,277.05,278.05,271.1, 272.00,272.9,274.27,35975,98.67,1937, 19777, 54.97
2023-03-03,RAMKY, EQ,272.9,274.85,278.4,268.7, 269.05,269.6,271.89,41253,112.16,1357, 24526, 59.45
2023-03-06,RAMKY, EQ,269.6,269.6,274.85,266.5, 267.20,267.15,270.43,51016,137.96,1068, 40258, 78.91
2023-03-08,RAMKY, EQ,267.15,268.6,269.25,264.95, 267.80,267.65,266.46,73807,196.67,1245, 53255, 72.15
2023-03-09,RAMKY, EQ,267.65,271.65,276.1,269.25, 274.35,272.95,273.29,44118,120.57,1996, 20253, 45.91
2023-03-10,RAMKY, EQ,272.95,272.95,274.15,264.55, 273.95,273.6,270.86,39425,106.79,1416, 23208, 58.87
2023-03-13,RAMKY, EQ,273.6,273.85,275.0,263.7, 267.00,266.95,267.89,120143,321.85,1930, 96402, 80.24
2023-03-14,RAMKY, EQ,266.95,265.25,281.0,260.5, 272.20,274.7,269.55,159544,430.04,2388, 113562, 71.18
