DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,RECLTD, EQ,116.5,117.8,120.75,117.0, 120.30,120.4,119.17,19310744,23012.21,59940, 7233957, 37.46
2023-01-03,RECLTD, EQ,120.4,121.25,123.9,119.75, 122.90,123.0,122.36,27524213,33678.22,88043, 10829852, 39.35
2023-01-04,RECLTD, EQ,123.0,122.85,123.85,119.95, 121.90,122.2,122.14,14375149,17557.96,54937, 4281059, 29.78
2023-01-05,RECLTD, EQ,122.2,122.9,124.25,121.05,123.95,123.85,122.74,9774790,11997.7,40368, 3567888, 36.50
2023-01-06,RECLTD, EQ,123.85,124.35,126.1,122.6,123.9,123.7,124.41,15575269,19376.64,55318, 5399351, 34.67
2023-01-09,RECLTD, EQ,123.7,124.95,126.25,124.3,125.3,125.55,125.24,8916789,11167.82,40165, 3803243, 42.65
2023-01-10,RECLTD, EQ,125.55,125.65,125.8,122.1,123.15,123.15,123.59,8123881,10039.91,36838, 3361081, 41.37
2023-01-11,RECLTD, EQ,123.15,123.6,123.7,121.0, 121.80,121.75,121.94,7187284,8763.87,29397, 3039324, 42.29
2023-01-12,RECLTD, EQ,121.75,122.0,122.15,119.35, 120.65,120.65,120.7,6547602,7902.84,33519, 2372942, 36.24
2023-01-13,RECLTD, EQ,120.65,121.0,123.45,120.3,122.9,122.8,122.26,5902262,7216.24,26004, 1735852, 29.41
2023-01-16,RECLTD, EQ,122.8,123.0,124.4,122.25, 123.05,123.45,123.36,6285534,7754.09,24681, 2305860, 36.69
2023-01-17,RECLTD, EQ,123.45,123.7,124.25,121.25,123.15,123.1,123.18,6968664,8584.01,30184, 3366650, 48.31
2023-01-18,RECLTD, EQ,123.1,123.5,124.35,122.95,123.5,123.7,123.53,7636685,9433.42,26723, 2132966, 27.93
2023-01-19,RECLTD, EQ,123.7,123.5,123.8,122.5, 123.70,123.55,123.24,3815492,4702.17,14290, 1912148, 50.12
2023-01-20,RECLTD, EQ,123.55,123.95,125.5,123.35,124.0,124.1,124.55,9653692,12023.9,44608, 4693425, 48.62
2023-01-23,RECLTD, EQ,124.1,124.95,124.95,123.8,124.4,124.35,124.28,3611592,4488.33,16208, 1530381, 42.37
2023-01-24,RECLTD, EQ,124.35,124.75,124.85,122.35,123.0,122.9,123.3,3929827,4845.28,19446, 1892355, 48.15
2023-01-25,RECLTD, EQ,122.9,122.9,123.2,119.6, 120.90,120.5,120.95,10632753,12860.55,31360, 6348227, 59.70
2023-01-27,RECLTD, EQ,120.5,120.5,120.95,112.05, 115.35,115.15,115.14,17188911,19791.33,73215, 7967436, 46.35
2023-01-30,RECLTD, EQ,115.15,115.3,118.55,114.75, 116.10,115.95,116.32,7768757,9036.41,36160, 3168322, 40.78
2023-01-31,RECLTD, EQ,115.95,116.15,122.1,114.0,121.75,121.75,119.37,13672983,16321.52,56448, 6298338, 46.06
2023-02-01,RECLTD, EQ,121.75,122.9,123.0,115.95, 117.40,117.45,119.27,14504365,17299.37,53599, 7358956, 50.74
2023-02-02,RECLTD, EQ,117.45,117.4,120.25,116.25, 118.00,117.75,118.15,7459937,8813.85,28897, 3509870, 47.05
2023-02-03,RECLTD, EQ,117.75,118.25,119.0,115.5, 118.80,118.75,117.01,6938807,8118.94,32703, 2668706, 38.46
2023-02-06,RECLTD, EQ,118.75,119.35,121.5,119.0, 121.15,121.1,120.65,8742504,10548.05,32699, 4910953, 56.17
2023-02-07,RECLTD, EQ,121.1,121.45,123.35,120.2, 120.50,120.6,121.45,9355097,11362.21,43604, 4453512, 47.61
2023-02-08,RECLTD, EQ,120.6,121.25,121.5,119.75, 120.90,120.85,120.73,7409779,8945.61,19910, 4538048, 61.24
2023-02-09,RECLTD, EQ,120.85,117.55,118.55,115.95, 117.20,117.3,117.06,6545269,7661.93,28866, 2407680, 36.79
2023-02-10,RECLTD, EQ,117.3,117.0,118.2,116.5, 117.15,117.0,116.99,3526586,4125.84,18733, 1764439, 50.03
2023-02-13,RECLTD, EQ,117.0,116.8,117.25,113.35,113.95,114.05,114.74,5926426,6800.21,32279, 2567316, 43.32
2023-02-14,RECLTD, EQ,114.05,114.3,114.3,110.45,113.45,113.55,112.26,11217322,12592.05,51974, 4342073, 38.71
2023-02-15,RECLTD, EQ,113.55,113.3,116.25,113.1, 116.00,115.85,114.6,5573008,6386.91,24646, 2357877, 42.31
2023-02-16,RECLTD, EQ,115.85,116.5,117.1,115.6, 116.35,116.45,116.44,4019208,4679.96,23000, 1741845, 43.34
2023-02-17,RECLTD, EQ,116.45,115.85,116.55,114.85, 115.60,115.6,115.57,3000421,3467.62,17700, 1249645, 41.65
