DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,RESPONIND, EQ,117.2,117.8,125.2,117.5, 119.60,119.75,120.69,103457,124.87,1064, 64903, 62.73
2023-01-03,RESPONIND, EQ,119.75,119.75,122.9,119.0, 119.95,120.25,120.58,32981,39.77,837, 20096, 60.93
2023-01-04,RESPONIND, EQ,120.25,119.5,121.0,117.1, 117.70,117.4,118.27,19369,22.91,493, 9153, 47.26
2023-01-05,RESPONIND, EQ,117.4,118.0,118.1,115.85,118.1,117.4,116.69,35695,41.65,371, 23738, 66.50
2023-01-06,RESPONIND, EQ,117.4,118.0,118.0,116.05,117.25,117.85,117.15,8032,9.41,246, 4836, 60.21
2023-01-09,RESPONIND, EQ,117.85,117.0,121.0,117.0,118.0,118.45,119.15,17444,20.78,363, 11108, 63.68
2023-01-10,RESPONIND, EQ,118.45,119.5,119.5,115.7,117.0,116.85,117.73,11899,14.01,261, 6170, 51.85
2023-01-11,RESPONIND, EQ,116.85,117.05,118.8,116.0, 116.10,116.35,116.85,14385,16.81,270, 8905, 61.90
2023-01-12,RESPONIND, EQ,116.35,117.4,120.6,116.05, 120.00,119.8,118.81,34571,41.07,531, 19208, 55.56
2023-01-13,RESPONIND, EQ,119.8,120.6,122.6,118.2,122.5,121.9,120.92,34394,41.59,395, 23546, 68.46
2023-01-16,RESPONIND, EQ,121.9,121.7,124.4,121.7, 124.40,124.05,123.16,26907,33.14,346, 19531, 72.59
2023-01-17,RESPONIND, EQ,124.05,123.0,128.3,122.1,126.1,126.75,126.65,34784,44.06,828, 21686, 62.34
2023-01-18,RESPONIND, EQ,126.75,128.45,131.55,126.1,130.0,130.2,129.41,48201,62.38,1186, 31518, 65.39
2023-01-19,RESPONIND, EQ,130.2,130.8,132.0,128.4, 131.65,131.2,130.63,21594,28.21,560, 14595, 67.59
2023-01-20,RESPONIND, EQ,131.2,132.0,134.35,129.35,133.5,133.15,132.09,44648,58.97,659, 28058, 62.84
2023-01-23,RESPONIND, EQ,133.15,133.5,135.95,133.0,135.8,135.25,134.66,30330,40.84,609, 19432, 64.07
2023-01-24,RESPONIND, EQ,135.25,137.0,137.1,134.6,136.0,136.05,135.85,35970,48.86,645, 21523, 59.84
2023-01-25,RESPONIND, EQ,136.05,136.5,136.5,130.0, 131.25,130.7,131.87,26840,35.39,701, 10081, 37.56
2023-01-27,RESPONIND, EQ,130.7,131.05,132.9,113.4, 125.00,126.05,122.9,154860,190.32,3988, 43447, 28.06
2023-01-30,RESPONIND, EQ,126.05,126.05,127.5,119.3, 125.80,124.25,124.45,16421,20.44,495, 5503, 33.51
2023-01-31,RESPONIND, EQ,124.25,124.25,127.05,123.0,123.2,123.8,124.19,17233,21.4,552, 8020, 46.54
2023-02-01,RESPONIND, EQ,123.8,123.1,126.8,117.65, 119.00,119.4,122.36,30779,37.66,674, 14388, 46.75
2023-02-02,RESPONIND, EQ,119.4,120.5,122.35,118.05, 119.00,118.9,119.69,8622,10.32,303, 5961, 69.14
2023-02-03,RESPONIND, EQ,118.9,120.95,121.75,115.95, 118.00,117.75,118.61,17799,21.11,415, 8956, 50.32
2023-02-06,RESPONIND, EQ,117.75,119.9,120.9,118.0, 119.00,119.1,119.51,12969,15.5,302, 7402, 57.07
2023-02-07,RESPONIND, EQ,119.1,119.0,121.85,117.0, 117.05,118.8,118.87,14965,17.79,261, 7500, 50.12
2023-02-08,RESPONIND, EQ,118.8,120.0,120.0,117.5, 118.00,118.4,118.77,9937,11.8,234, 5981, 60.19
2023-02-09,RESPONIND, EQ,118.4,119.0,120.7,116.25, 118.00,117.9,118.56,63854,75.71,398, 56662, 88.74
2023-02-10,RESPONIND, EQ,117.9,119.7,124.5,117.5, 124.50,123.35,121.72,42399,51.61,628, 18558, 43.77
2023-02-13,RESPONIND, EQ,123.35,125.0,129.65,122.85,124.0,125.1,125.14,48852,61.13,727, 19415, 39.74
2023-02-14,RESPONIND, EQ,125.1,126.0,127.0,123.5,123.9,124.05,124.46,8447,10.51,243, 4061, 48.08
2023-02-15,RESPONIND, EQ,124.05,125.0,125.0,123.0, 123.00,123.05,123.58,7842,9.69,179, 3529, 45.00
2023-02-16,RESPONIND, EQ,123.05,123.05,127.9,122.25, 127.10,126.95,125.99,30452,38.37,639, 12431, 40.82
2023-02-17,RESPONIND, EQ,126.95,126.85,127.5,125.0, 127.50,126.8,126.3,10927,13.8,224, 6533, 59.79
2023-02-20,RESPONIND, EQ,126.8,128.0,128.45,125.65, 126.00,126.2,127.02,4286,5.44,211, 2171, 50.65
2023-02-21,RESPONIND, EQ,126.2,128.7,128.7,124.5, 125.10,125.85,126.49,8050,10.18,266, 3800, 47.20
