DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,RKDL, EQ,17.65,17.2,18.45,17.2, 18.30,18.25,18.19,12962,2.36,123, 9106, 70.25
2023-01-03,RKDL, EQ,18.25,18.25,18.75,17.85, 18.60,18.55,18.33,8887,1.63,100, 6121, 68.88
2023-01-04,RKDL, EQ,18.55,18.95,18.95,17.65, 17.90,17.9,17.83,24097,4.3,134, 13145, 54.55
2023-01-05,RKDL, EQ,17.9,18.5,18.5,17.7,17.85,18.15,18.08,8400,1.52,103, 6122, 72.88
2023-01-06,RKDL, EQ,18.15,18.7,18.7,17.4,17.7,17.7,17.64,11730,2.07,81, 9391, 80.06
2023-01-09,RKDL, EQ,17.7,18.55,18.55,17.25,18.0,17.8,17.9,9322,1.67,99, 3267, 35.05
2023-01-10,RKDL, EQ,17.8,18.2,18.2,17.4,18.0,17.95,17.86,4592,0.82,48, 2804, 61.06
2023-01-11,RKDL, EQ,17.95,17.75,17.9,17.25, 17.25,17.4,17.5,9848,1.72,88, 6400, 64.99
2023-01-12,RKDL, EQ,17.4,17.25,18.0,17.05, 17.80,17.45,17.61,15044,2.65,114, 9798, 65.13
2023-01-13,RKDL, EQ,17.45,18.15,18.15,17.2,17.2,17.4,17.42,14478,2.52,106, 13243, 91.47
2023-01-16,RKDL, EQ,17.4,17.3,17.9,17.3, 17.65,17.85,17.62,8213,1.45,81, 7331, 89.26
2023-01-17,RKDL, EQ,17.85,18.05,18.05,17.3,17.45,17.65,17.64,12709,2.24,104, 5402, 42.51
2023-01-18,RKDL, EQ,17.65,17.9,17.95,17.1,17.4,17.35,17.49,16086,2.81,99, 8354, 51.93
2023-01-19,RKDL, EQ,17.35,18.15,18.15,17.1, 17.70,17.45,17.55,6256,1.1,80, 3890, 62.18
2023-01-20,RKDL, EQ,17.45,18.15,18.15,16.75,17.25,17.25,17.33,10175,1.76,79, 7193, 70.69
2023-01-23,RKDL, EQ,17.25,18.05,18.05,16.6,17.05,17.25,17.13,4949,0.85,94, 3886, 78.52
2023-01-24,RKDL, EQ,17.25,18.0,18.0,16.55,17.2,17.2,17.09,5885,1.01,86, 4541, 77.16
2023-01-25,RKDL, EQ,17.2,17.95,17.95,16.75, 16.90,17.0,17.16,9099,1.56,88, 5054, 55.54
2023-01-27,RKDL, EQ,17.0,17.0,17.75,16.2, 16.20,16.4,16.9,24083,4.07,150, 16832, 69.89
2023-01-30,RKDL, EQ,16.4,16.5,17.2,16.5, 17.20,17.15,17.01,10553,1.79,454, 9039, 85.65
2023-01-31,RKDL, EQ,17.15,16.65,17.85,16.55,16.9,16.9,16.94,25433,4.31,147, 15062, 59.22
2023-02-01,RKDL, EQ,16.9,17.4,17.5,16.1, 16.75,16.2,16.55,27853,4.61,104, 20587, 73.91
2023-02-02,RKDL, EQ,16.2,15.75,16.45,15.6, 16.30,16.3,15.99,13650,2.18,96, 9774, 71.60
2023-02-03,RKDL, EQ,16.3,16.45,16.45,15.5, 15.75,15.55,15.64,28690,4.49,165, 21283, 74.18
2023-02-06,RKDL, EQ,15.55,15.8,15.9,14.8, 14.95,14.9,15.14,19682,2.98,169, 14084, 71.56
2023-02-07,RKDL, EQ,14.9,15.2,15.8,14.6, 14.70,14.85,15.22,9752,1.48,98, 6318, 64.79
2023-02-08,RKDL, EQ,14.85,15.25,16.3,14.9, 16.30,16.3,15.59,9049,1.41,85, 6638, 73.36
2023-02-09,RKDL, EQ,16.3,16.7,17.6,15.6, 17.40,17.3,16.9,17906,3.03,187, 12842, 71.72
2023-02-10,RKDL, EQ,17.3,18.0,18.0,17.15, 17.40,17.4,17.6,13452,2.37,125, 10406, 77.36
2023-02-13,RKDL, EQ,17.4,16.8,17.2,15.7,15.75,16.0,16.24,23307,3.78,199, 18188, 78.04
2023-02-14,RKDL, EQ,16.0,16.0,16.0,14.9,15.65,15.5,15.47,12230,1.89,132, 9078, 74.23
2023-02-15,RKDL, EQ,15.5,15.65,15.9,15.0, 15.20,15.2,15.36,12980,1.99,112, 9585, 73.84
2023-02-16,RKDL, EQ,15.2,15.5,15.5,15.0, 15.25,15.25,15.24,4333,0.66,81, 3156, 72.84
2023-02-17,RKDL, EQ,15.25,15.55,15.55,14.85, 15.30,15.1,15.13,8811,1.33,98, 5890, 66.85
2023-02-20,RKDL, EQ,15.1,14.9,15.15,14.7, 14.80,14.85,14.85,8161,1.21,94, 5254, 64.38
2023-02-21,RKDL, EQ,14.85,14.8,15.45,14.65, 15.15,15.1,15.1,5316,0.8,90, 3022, 56.85
2023-02-22,RKDL, EQ,15.1,15.1,15.3,14.5, 14.95,14.95,14.93,3512,0.52,37, 3162, 90.03
2023-02-23,RKDL, EQ,14.95,15.0,15.4,14.15,15.4,15.2,14.84,10790,1.6,102, 7637, 70.78
2023-02-24,RKDL, EQ,15.2,15.25,15.6,14.55, 15.60,15.05,15.12,7246,1.1,74, 3481, 48.04
2023-02-27,RKDL, EQ,15.05,15.35,15.5,14.65, 14.90,14.9,14.99,3833,0.57,61, 2978, 77.69
2023-02-28,RKDL, EQ,14.9,15.2,16.0,14.35, 14.75,15.2,15.21,9738,1.48,184, 5876, 60.34
2023-03-01,RKDL, EQ,15.2,15.55,16.7,14.85, 16.45,16.3,16.05,22879,3.67,192, 16465, 71.97
2023-03-02,RKDL, EQ,16.3,16.55,16.55,15.7, 16.15,15.95,16.08,5527,0.89,60, 4664, 84.39
2023-03-03,RKDL, EQ,15.95,16.35,16.5,15.6, 15.90,15.8,15.97,8763,1.4,120, 4898, 55.89
2023-03-06,RKDL, EQ,15.8,15.65,16.4,15.65, 15.75,15.75,15.81,6576,1.04,72, 4336, 65.94
2023-03-08,RKDL, EQ,15.75,15.75,16.05,15.05, 15.75,15.75,15.65,5685,0.89,64, 3480, 61.21
2023-03-09,RKDL, EQ,15.75,15.75,16.0,14.6, 15.10,15.15,15.16,12469,1.89,115, 10293, 82.55
2023-03-10,RKDL, EQ,15.15,15.55,16.5,15.1, 15.95,16.05,15.85,29951,4.75,203, 19051, 63.61
2023-03-13,RKDL, EQ,16.05,16.25,16.6,15.05, 15.10,15.05,15.33,20423,3.13,172, 11475, 56.19
2023-03-14,RKDL, EQ,15.05,14.75,15.45,14.25, 14.25,14.65,14.75,14751,2.18,132, 11070, 75.05
2023-03-15,RKDL, EQ,14.65,14.85,15.45,14.6, 15.00,15.05,14.93,8291,1.24,87, 6258, 75.48
2023-03-16,RKDL, EQ,15.05,14.8,15.6,14.1, 15.10,14.9,14.61,5739,0.84,158, 3608, 62.87
2023-03-17,RKDL, EQ,14.9,14.9,15.7,14.9, 15.55,15.35,15.33,8924,1.37,90, 4100, 45.94
