DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,ROUTE, EQ,1215.6,1220.5,1225.8,1215.0, 1215.85,1216.45,1218.59,33436,407.45,3300, 16155, 48.32
2023-01-03,ROUTE, EQ,1216.45,1221.7,1246.95,1212.0, 1224.85,1219.8,1230.82,69753,858.53,6472, 21350, 30.61
2023-01-04,ROUTE, EQ,1219.8,1225.9,1229.85,1210.0, 1214.50,1213.5,1217.31,37994,462.51,4982, 14956, 39.36
2023-01-05,ROUTE, EQ,1213.5,1223.4,1223.4,1195.75,1204.0,1207.25,1205.76,33850,408.15,4288, 16291, 48.13
2023-01-06,ROUTE, EQ,1207.25,1211.7,1211.7,1185.05,1198.0,1194.05,1195.72,32464,388.18,4496, 14608, 45.00
2023-01-09,ROUTE, EQ,1194.05,1204.7,1212.85,1185.0,1192.0,1193.45,1200.03,32007,384.09,5151, 15263, 47.69
2023-01-10,ROUTE, EQ,1193.45,1198.7,1211.8,1185.6,1191.45,1191.5,1198.72,59472,712.9,6101, 20040, 33.70
2023-01-11,ROUTE, EQ,1191.5,1196.7,1196.7,1182.05, 1196.35,1188.85,1188.86,44415,528.03,6076, 24090, 54.24
2023-01-12,ROUTE, EQ,1188.85,1215.0,1250.0,1182.7, 1194.45,1199.4,1222.32,326357,3989.14,18697, 52943, 16.22
2023-01-13,ROUTE, EQ,1199.4,1187.0,1200.0,1183.6,1196.95,1191.45,1189.92,58922,701.13,7103, 26645, 45.22
2023-01-16,ROUTE, EQ,1191.45,1197.45,1221.9,1193.2, 1212.05,1210.25,1209.25,92346,1116.7,9808, 45673, 49.46
2023-01-17,ROUTE, EQ,1210.25,1214.4,1217.25,1185.0,1199.5,1200.0,1203.64,143289,1724.69,9408, 72327, 50.48
2023-01-18,ROUTE, EQ,1200.0,1205.7,1206.95,1186.0,1190.05,1192.7,1194.14,64681,772.38,7363, 40375, 62.42
2023-01-19,ROUTE, EQ,1192.7,1185.0,1192.0,1170.05, 1176.00,1173.15,1176.08,94513,1111.55,11011, 56235, 59.50
2023-01-20,ROUTE, EQ,1173.15,1179.05,1191.7,1161.25,1175.7,1176.3,1176.84,141162,1661.25,13471, 69316, 49.10
2023-01-23,ROUTE, EQ,1176.3,1182.15,1222.45,1136.2,1138.9,1142.2,1172.88,968232,11356.2,53875, 333663, 34.46
2023-01-24,ROUTE, EQ,1142.2,1178.0,1295.35,1148.1,1226.0,1229.75,1241.34,5281952,65567.11,179899, 1020039, 19.31
2023-01-25,ROUTE, EQ,1229.75,1232.55,1287.45,1232.25, 1235.00,1246.9,1266.32,1745900,22108.77,73559, 362874, 20.78
2023-01-27,ROUTE, EQ,1246.9,1249.0,1259.55,1176.4, 1216.10,1204.95,1215.78,633503,7702.01,37154, 194890, 30.76
2023-01-30,ROUTE, EQ,1204.95,1214.7,1229.9,1157.35, 1161.90,1164.7,1183.69,254876,3016.95,18379, 85961, 33.73
2023-01-31,ROUTE, EQ,1164.7,1176.0,1268.35,1165.9,1225.9,1230.25,1231.9,1281350,15784.93,63901, 399227, 31.16
2023-02-01,ROUTE, EQ,1230.25,1233.5,1269.9,1190.0, 1208.90,1211.2,1235.8,360553,4455.72,24484, 130090, 36.08
2023-02-02,ROUTE, EQ,1211.2,1198.0,1235.75,1193.0, 1207.00,1201.55,1211.38,164891,1997.46,16068, 70385, 42.69
2023-02-03,ROUTE, EQ,1201.55,1209.0,1222.1,1166.1, 1191.00,1188.35,1185.35,216624,2567.76,15791, 87666, 40.47
2023-02-06,ROUTE, EQ,1188.35,1188.7,1207.7,1177.25, 1192.20,1192.2,1193.38,150145,1791.8,14763, 52828, 35.18
2023-02-07,ROUTE, EQ,1192.2,1192.2,1197.95,1167.0, 1175.70,1176.8,1176.07,130929,1539.81,12362, 66282, 50.62
2023-02-08,ROUTE, EQ,1176.8,1175.05,1212.0,1170.85, 1175.00,1176.4,1187.62,301309,3578.39,20087, 143624, 47.67
2023-02-09,ROUTE, EQ,1176.4,1183.0,1262.75,1168.05, 1240.00,1250.0,1225.27,859976,10537.01,34679, 414393, 48.19
2023-02-10,ROUTE, EQ,1250.0,1238.85,1288.0,1234.0, 1268.40,1269.8,1263.83,485760,6139.17,31551, 187033, 38.50
2023-02-13,ROUTE, EQ,1269.8,1275.75,1298.9,1247.2,1261.2,1260.25,1264.52,313375,3962.69,19089, 115711, 36.92
2023-02-14,ROUTE, EQ,1260.25,1258.0,1263.0,1222.5,1252.7,1248.35,1246.27,256410,3195.57,15740, 131638, 51.34
2023-02-15,ROUTE, EQ,1248.35,1248.0,1267.75,1233.0, 1251.15,1252.55,1248.65,136484,1704.2,10269, 42489, 31.13
2023-02-16,ROUTE, EQ,1252.55,1255.8,1321.0,1255.75, 1306.00,1308.4,1295.11,441585,5719.02,24601, 158147, 35.81
2023-02-17,ROUTE, EQ,1308.4,1302.0,1334.0,1292.0, 1329.80,1328.8,1321.32,442020,5840.49,19703, 182125, 41.20
2023-02-20,ROUTE, EQ,1328.8,1328.8,1360.9,1316.7, 1330.00,1325.95,1341.64,260523,3495.28,20385, 87719, 33.67
2023-02-21,ROUTE, EQ,1325.95,1329.0,1348.5,1328.0, 1331.90,1333.3,1335.83,99871,1334.11,8875, 29482, 29.52
2023-02-22,ROUTE, EQ,1333.3,1330.9,1330.9,1292.05, 1310.00,1309.7,1309.27,168354,2204.21,13476, 79441, 47.19
2023-02-23,ROUTE, EQ,1309.7,1330.0,1361.4,1303.0,1361.0,1357.6,1345.93,348767,4694.16,22949, 127002, 36.41
2023-02-24,ROUTE, EQ,1357.6,1364.4,1373.05,1324.2, 1343.00,1336.9,1355.87,223785,3034.24,15750, 78923, 35.27
2023-02-27,ROUTE, EQ,1336.9,1338.25,1346.5,1295.9, 1334.00,1339.65,1324.11,166397,2203.28,12010, 69749, 41.92
2023-02-28,ROUTE, EQ,1339.65,1343.7,1367.15,1321.2, 1349.00,1344.6,1348.25,140698,1896.96,10374, 48038, 34.14
2023-03-01,ROUTE, EQ,1344.6,1351.95,1365.7,1336.0, 1340.00,1338.85,1351.62,91312,1234.19,9483, 31203, 34.17
