DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,RPPINFRA, EQ,40.55,41.15,41.8,40.0, 41.15,41.2,41.29,87381,36.08,802, 44830, 51.30
2023-01-03,RPPINFRA, EQ,41.2,41.2,42.75,40.4, 42.20,41.9,41.8,177394,74.15,1730, 104316, 58.80
2023-01-04,RPPINFRA, EQ,41.9,42.75,44.85,41.1, 43.25,43.35,43.53,593666,258.39,4383, 180738, 30.44
2023-01-05,RPPINFRA, EQ,43.35,44.7,44.7,42.5,42.95,42.95,43.1,145960,62.9,987, 96551, 66.15
2023-01-06,RPPINFRA, EQ,42.95,43.55,43.75,41.65,42.1,42.25,42.9,139078,59.66,1206, 88599, 63.70
2023-01-09,RPPINFRA, EQ,42.25,43.5,43.85,42.3,42.95,42.65,43.11,120429,51.92,1087, 66872, 55.53
2023-01-10,RPPINFRA, EQ,42.65,43.0,45.25,42.6,44.0,44.05,44.04,321794,141.7,2395, 183702, 57.09
2023-01-11,RPPINFRA, EQ,44.05,44.8,52.85,44.7, 50.50,51.0,50.82,4868684,2474.49,20628, 1011989, 20.79
2023-01-12,RPPINFRA, EQ,51.0,50.9,50.9,46.6, 47.20,47.1,48.28,992654,479.21,8023, 389067, 39.19
2023-01-13,RPPINFRA, EQ,47.1,47.9,49.6,45.6,48.0,47.6,47.86,619354,296.41,5194, 217727, 35.15
2023-01-16,RPPINFRA, EQ,47.6,48.0,48.65,46.4, 47.00,46.85,47.33,157406,74.5,1585, 85773, 54.49
2023-01-17,RPPINFRA, EQ,46.85,47.65,47.75,45.4,46.0,45.75,46.19,127400,58.85,1456, 82853, 65.03
2023-01-18,RPPINFRA, EQ,45.75,45.75,50.9,45.75,48.4,48.5,49.08,605465,297.18,4615, 234498, 38.73
2023-01-19,RPPINFRA, EQ,48.5,47.7,50.7,47.7, 49.05,49.1,49.59,314085,155.75,2650, 181359, 57.74
2023-01-20,RPPINFRA, EQ,49.1,49.6,50.0,47.0,47.3,47.45,48.6,143318,69.65,1927, 81025, 56.54
2023-01-23,RPPINFRA, EQ,47.45,47.95,49.25,47.1,47.35,47.45,47.94,96647,46.34,1231, 54034, 55.91
2023-01-24,RPPINFRA, EQ,47.45,48.4,48.4,45.8,46.15,46.5,46.75,77923,36.43,1170, 42940, 55.11
2023-01-25,RPPINFRA, EQ,46.5,46.5,46.95,42.8, 44.25,44.3,44.49,197035,87.67,2405, 108172, 54.90
2023-01-27,RPPINFRA, EQ,44.3,44.35,45.8,42.7, 43.65,43.5,43.94,160918,70.71,1517, 95817, 59.54
2023-01-30,RPPINFRA, EQ,43.5,44.5,45.2,42.3, 43.00,43.25,43.48,80399,34.96,900, 44027, 54.76
2023-01-31,RPPINFRA, EQ,43.25,43.25,44.75,43.25,44.1,44.15,44.08,46896,20.67,674, 22480, 47.94
2023-02-01,RPPINFRA, EQ,44.15,44.8,45.3,41.85, 43.45,42.55,43.53,105414,45.89,987, 67979, 64.49
2023-02-02,RPPINFRA, EQ,42.55,43.15,44.2,41.9, 43.00,42.5,43.07,116000,49.96,1184, 48668, 41.96
2023-02-03,RPPINFRA, EQ,42.5,42.95,43.5,40.35, 41.30,41.6,41.19,115679,47.64,1770, 65423, 56.56
2023-02-06,RPPINFRA, EQ,41.6,41.6,42.3,41.05, 42.00,41.9,41.86,56818,23.78,611, 27767, 48.87
2023-02-07,RPPINFRA, EQ,41.9,42.5,42.5,40.5, 41.40,41.15,41.11,48784,20.05,654, 32199, 66.00
2023-02-08,RPPINFRA, EQ,41.15,41.6,46.4,41.1, 44.40,44.35,44.42,392559,174.37,3248, 125720, 32.03
2023-02-09,RPPINFRA, EQ,44.35,44.85,44.85,42.5, 42.55,42.6,43.2,82628,35.69,1086, 58460, 70.75
2023-02-10,RPPINFRA, EQ,42.6,43.45,43.45,42.1, 42.45,42.5,42.8,42693,18.27,885, 23538, 55.13
2023-02-13,RPPINFRA, EQ,42.5,43.5,43.5,41.55,42.15,42.0,42.42,61139,25.93,663, 32183, 52.64
2023-02-14,RPPINFRA, EQ,42.0,42.0,42.85,41.2,41.2,41.5,41.96,58958,24.74,897, 37694, 63.93
2023-02-15,RPPINFRA, EQ,41.5,41.95,41.95,40.8, 40.95,40.95,41.15,28729,11.82,365, 21953, 76.41
2023-02-16,RPPINFRA, EQ,40.95,40.8,41.7,40.5, 40.55,40.85,41.21,31081,12.81,480, 20236, 65.11
2023-02-17,RPPINFRA, EQ,40.85,44.0,46.5,43.15, 43.55,43.65,44.55,487399,217.16,4228, 161086, 33.05
2023-02-20,RPPINFRA, EQ,43.65,43.55,43.55,41.65, 42.00,41.8,42.11,75767,31.91,1053, 41121, 54.27
2023-02-21,RPPINFRA, EQ,41.8,42.4,42.5,41.5, 42.10,42.0,41.88,59206,24.8,525, 30848, 52.10
2023-02-22,RPPINFRA, EQ,42.0,42.2,42.2,40.65, 40.70,40.8,40.98,39204,16.07,558, 25172, 64.21
2023-02-23,RPPINFRA, EQ,40.8,41.2,41.35,40.4,41.35,41.25,40.95,28388,11.62,463, 17337, 61.07
2023-02-24,RPPINFRA, EQ,41.25,41.5,41.85,40.2, 40.30,40.3,40.78,42971,17.53,673, 24958, 58.08
2023-02-27,RPPINFRA, EQ,40.3,40.3,40.95,39.1, 40.10,39.75,40.04,39508,15.82,462, 27891, 70.60
2023-02-28,RPPINFRA, EQ,39.75,38.75,40.2,38.75, 39.50,39.4,39.6,28555,11.31,560, 16417, 57.49
2023-03-01,RPPINFRA, EQ,39.4,40.0,42.95,38.15, 42.50,41.85,40.92,95130,38.93,1209, 37171, 39.07
2023-03-02,RPPINFRA, EQ,41.85,41.85,41.85,41.05, 41.10,41.2,41.3,11756,4.86,303, 7573, 64.42
2023-03-03,RPPINFRA, EQ,41.2,41.2,42.7,40.55, 41.55,41.2,41.56,27700,11.51,534, 19240, 69.46
2023-03-06,RPPINFRA, EQ,41.2,41.95,42.2,40.0, 40.15,40.75,41.22,53017,21.86,541, 42382, 79.94
2023-03-08,RPPINFRA, EQ,40.75,40.85,42.2,40.25, 42.15,42.0,41.65,56735,23.63,580, 39422, 69.48
2023-03-09,RPPINFRA, EQ,42.0,42.0,43.3,41.45, 42.60,42.45,42.66,60786,25.93,701, 37663, 61.96
2023-03-10,RPPINFRA, EQ,42.45,41.6,42.55,41.5, 41.90,41.8,41.91,29017,12.16,370, 19109, 65.85
2023-03-13,RPPINFRA, EQ,41.8,41.95,42.0,40.5, 40.55,40.7,41.17,51568,21.23,501, 42222, 81.88
2023-03-14,RPPINFRA, EQ,40.7,41.25,41.45,40.25, 40.55,40.75,40.82,42738,17.44,525, 30825, 72.13
2023-03-15,RPPINFRA, EQ,40.75,40.75,42.0,40.55, 41.25,40.8,40.93,58749,24.05,628, 41620, 70.84
2023-03-16,RPPINFRA, EQ,40.8,40.55,41.55,39.05, 40.95,40.1,40.58,38044,15.44,614, 19590, 51.49
2023-03-17,RPPINFRA, EQ,40.1,41.25,41.25,39.5, 39.80,39.75,40.0,18967,7.59,384, 12644, 66.66
2023-03-20,RPPINFRA, EQ,39.75,39.95,41.25,38.45,38.8,39.0,39.3,87189,34.26,800, 57410, 65.85
2023-03-21,RPPINFRA, EQ,39.0,39.2,40.5,38.8, 39.10,39.45,39.61,33942,13.44,691, 20806, 61.30
2023-03-22,RPPINFRA, EQ,39.45,39.45,40.15,39.25, 39.85,39.5,39.53,29204,11.54,456, 22861, 78.28
2023-03-23,RPPINFRA, EQ,39.5,39.4,45.5,39.1, 43.55,43.7,43.54,487017,212.06,2857, 189257, 38.86
2023-03-24,RPPINFRA, EQ,43.7,44.4,44.4,40.5, 41.00,40.85,42.35,133649,56.6,1164, 81383, 60.89
2023-03-27,RPPINFRA, EQ,40.85,41.25,41.95,38.2, 38.40,38.95,39.96,92072,36.8,1195, 70651, 76.73
2023-03-28,RPPINFRA, EQ,38.95,39.0,39.85,38.4, 38.40,38.8,38.97,97199,37.88,897, 66469, 68.38
2023-03-29,RPPINFRA, EQ,38.8,40.7,40.8,39.0, 39.85,39.65,39.93,152824,61.02,1661, 68726, 44.97
2023-03-31,RPPINFRA, EQ,39.65,39.95,41.1,39.25, 39.25,39.8,40.18,70874,28.48,781, 46753, 65.97
2023-04-03,RPPINFRA, EQ,39.8,40.25,42.1,39.55, 40.65,40.95,41.09,119795,49.23,1138, 46571, 38.88
2023-04-05,RPPINFRA, EQ,40.95,40.9,44.55,40.5, 42.25,42.1,43.0,327949,141.01,2563, 86206, 26.29
