DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-27,SAH, EQ,83.65,86.6,92.8,83.0, 84.00,83.8,87.24,1658348,1446.79,5533, 661462, 39.89
2023-01-30,SAH, EQ,83.8,84.25,87.45,82.35, 82.90,83.0,84.24,180248,151.84,2827, 104934, 58.22
2023-01-31,SAH, EQ,83.0,84.7,88.0,83.05,84.5,83.85,85.49,490832,419.59,4434, 224403, 45.72
2023-02-01,SAH, EQ,83.85,84.75,87.4,83.0, 85.40,84.85,85.77,334016,286.48,3853, 147834, 44.26
2023-02-02,SAH, EQ,84.85,84.55,88.5,83.6, 84.85,84.2,86.65,550303,476.84,5053, 259051, 47.07
2023-02-03,SAH, EQ,84.2,84.95,86.5,82.45, 84.00,84.8,84.98,149955,127.43,2027, 91750, 61.19
2023-02-06,SAH, EQ,84.8,84.65,85.5,83.5, 83.50,84.1,84.32,179284,151.18,1709, 92695, 51.70
2023-02-07,SAH, EQ,84.1,85.7,85.7,82.0, 83.00,82.45,83.42,100511,83.85,2096, 60999, 60.69
2023-02-08,SAH, EQ,82.45,83.45,83.45,79.55, 81.50,81.0,81.68,119369,97.51,2555, 80126, 67.12
2023-02-09,SAH, EQ,81.0,80.25,82.8,80.25, 81.45,82.0,81.44,54630,44.49,1351, 29070, 53.21
2023-02-10,SAH, EQ,82.0,81.95,83.5,81.0, 82.90,81.4,82.39,107371,88.46,1852, 71840, 66.91
2023-02-13,SAH, EQ,81.4,80.1,83.05,78.0,80.95,80.1,81.16,87139,70.72,2071, 41373, 47.48
2023-02-14,SAH, EQ,80.1,81.95,81.95,75.7,75.95,76.35,77.81,121854,94.81,3594, 62598, 51.37
2023-02-15,SAH, EQ,76.35,77.4,79.55,75.8, 78.20,78.5,78.19,91418,71.48,2298, 24352, 26.64
2023-02-16,SAH, EQ,78.5,79.3,82.7,78.5, 81.70,80.85,81.38,483951,393.84,5878, 195247, 40.34
2023-02-17,SAH, EQ,80.85,81.65,85.8,80.75, 82.75,82.2,83.4,1313813,1095.77,8642, 627926, 47.79
2023-02-20,SAH, EQ,82.2,80.55,84.9,80.55, 81.10,81.15,81.87,447791,366.6,4396, 190651, 42.58
2023-02-21,SAH, EQ,81.15,82.25,83.0,79.85, 80.90,80.6,81.45,459516,374.29,3905, 258588, 56.27
2023-02-22,SAH, EQ,80.6,81.45,81.45,77.75, 78.50,78.35,79.85,239561,191.29,2471, 157283, 65.65
2023-02-23,SAH, EQ,78.35,77.95,79.4,77.05,78.8,77.9,77.96,210496,164.09,2663, 119298, 56.67
2023-02-24,SAH, EQ,77.9,79.4,79.4,76.05, 76.50,77.45,77.83,344265,267.95,1967, 141561, 41.12
2023-02-27,SAH, EQ,77.45,77.9,77.9,70.9, 71.80,72.05,73.32,410289,300.81,3394, 298532, 72.76
2023-02-28,SAH, EQ,72.05,71.0,76.7,70.55, 75.00,75.45,73.49,404607,297.34,3106, 221582, 54.76
2023-03-01,SAH, EQ,75.45,77.0,78.0,75.05, 75.20,75.25,76.2,337297,257.01,3577, 190664, 56.53
2023-03-02,SAH, EQ,75.25,75.25,78.8,74.9, 78.20,78.35,77.21,295580,228.21,2591, 177093, 59.91
2023-03-03,SAH, EQ,78.35,79.7,79.7,75.4, 76.90,77.0,77.44,441805,342.15,2725, 284561, 64.41
2023-03-06,SAH, EQ,77.0,78.9,80.45,78.4, 80.45,80.2,79.07,354303,280.15,2387, 156464, 44.16
2023-03-08,SAH, EQ,80.2,81.75,81.85,78.9, 80.00,79.2,80.12,181180,145.17,1818, 79460, 43.86
2023-03-09,SAH, EQ,79.2,78.55,80.3,77.05, 78.50,78.4,79.14,124738,98.71,1991, 36686, 29.41
2023-03-10,SAH, EQ,78.4,79.65,80.75,78.05, 78.75,78.9,79.38,176299,139.95,2325, 61827, 35.07
2023-03-13,SAH, EQ,78.9,80.4,80.4,76.15, 77.00,76.8,77.38,100894,78.07,1659, 21316, 21.13
2023-03-14,SAH, EQ,76.8,78.85,78.85,74.25, 75.30,74.7,75.13,126353,94.93,1577, 47639, 37.70
2023-03-15,SAH, EQ,74.7,76.7,76.7,74.9, 75.70,75.3,75.82,82547,62.58,1087, 9589, 11.62
2023-03-16,SAH, EQ,75.3,75.75,77.1,73.75, 74.20,74.65,74.43,94146,70.08,1477, 13888, 14.75
2023-03-17,SAH, EQ,74.65,75.05,76.45,72.7, 73.30,73.15,73.8,102913,75.95,1423, 21806, 21.19
2023-03-20,SAH, EQ,73.15,73.15,75.45,70.8,75.0,74.45,72.66,216040,156.97,2503, 101309, 46.89
2023-03-21,SAH, EQ,74.45,76.0,76.0,71.8, 72.30,72.15,73.04,104071,76.02,1865, 20118, 19.33
2023-03-22,SAH, EQ,72.15,73.9,74.4,72.25, 73.70,74.0,73.11,109600,80.13,1574, 12599, 11.50
2023-03-23,SAH, EQ,74.0,73.9,74.9,72.0, 74.05,73.7,73.92,155572,115.01,2251, 46270, 29.74
2023-03-24,SAH, EQ,73.7,74.65,74.65,71.05, 72.50,72.0,72.49,113156,82.03,1270, 36265, 32.05
2023-03-27,SAH, EQ,72.0,73.45,73.45,68.65, 69.50,69.35,70.39,88388,62.22,1056, 15847, 17.93
2023-03-28,SAH, EQ,69.35,69.95,70.65,69.05, 69.05,69.45,69.85,58057,40.56,1205, 22252, 38.33
2023-03-29,SAH, EQ,69.45,67.55,71.7,67.25, 67.25,69.9,70.27,150491,105.75,2212, 43594, 28.97
2023-03-31,SAH, EQ,69.9,70.9,71.15,69.3, 69.55,69.85,70.04,74181,51.96,1114, 28633, 38.60
2023-04-03,SAH, EQ,69.85,71.0,74.85,70.05, 74.05,73.2,71.62,51495,36.88,815, 15506, 30.11
2023-04-05,SAH, EQ,73.2,74.45,78.25,73.55, 76.60,76.7,76.34,92674,70.74,1372, 35995, 38.84
