DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SALASAR, EQ,51.7,51.95,54.25,51.95, 53.90,53.85,53.71,2226997,1196.19,4505, 895477, 40.21
2023-01-03,SALASAR, EQ,53.85,54.05,55.25,52.15, 52.45,52.8,53.49,1353288,723.85,3380, 801005, 59.19
2023-01-04,SALASAR, EQ,52.8,52.05,53.35,50.2, 50.70,50.5,50.72,2050914,1040.2,4240, 1111942, 54.22
2023-01-05,SALASAR, EQ,50.5,50.9,51.5,48.85,50.0,49.9,50.12,595092,298.25,3657, 378237, 63.56
2023-01-06,SALASAR, EQ,49.9,50.0,50.25,48.1,48.9,48.95,49.1,510870,250.82,2663, 261541, 51.20
2023-01-09,SALASAR, EQ,48.95,49.4,51.35,49.35,51.15,51.3,51.11,1992490,1018.37,3892, 1105394, 55.48
2023-01-10,SALASAR, EQ,51.3,53.0,53.2,51.1,51.7,51.5,51.91,2521453,1308.91,4602, 1861374, 73.82
2023-01-11,SALASAR, EQ,51.5,50.9,51.65,49.2, 50.50,50.2,50.6,1178944,596.55,4744, 397624, 33.73
2023-01-12,SALASAR, EQ,50.2,50.55,52.4,49.75, 51.30,51.75,50.91,1275542,649.35,4203, 436007, 34.18
2023-01-13,SALASAR, EQ,51.75,50.85,53.4,50.7,50.8,50.9,51.74,849744,439.63,3451, 374080, 44.02
2023-01-16,SALASAR, EQ,50.9,51.1,51.7,49.45, 50.00,50.25,50.55,971202,490.97,2868, 554136, 57.06
2023-01-17,SALASAR, EQ,50.25,50.4,50.4,49.2,49.5,49.65,49.54,821737,407.06,2185, 577363, 70.26
2023-01-18,SALASAR, EQ,49.65,49.65,52.1,49.4,52.05,52.1,51.71,2944630,1522.7,5462, 1243249, 42.22
2023-01-19,SALASAR, EQ,52.1,51.6,53.85,51.05, 51.90,51.85,52.57,1366351,718.29,5127, 717525, 52.51
2023-01-20,SALASAR, EQ,51.85,52.0,52.3,50.05,50.2,50.3,50.6,783719,396.54,2943, 484707, 61.85
2023-01-23,SALASAR, EQ,50.3,50.75,50.75,48.95,49.4,49.45,49.41,660075,326.11,2534, 442879, 67.10
2023-01-24,SALASAR, EQ,49.45,49.05,49.8,48.2,49.0,48.6,48.89,723581,353.74,2528, 494495, 68.34
2023-01-25,SALASAR, EQ,48.6,48.65,48.65,46.7, 47.40,47.4,47.44,512277,243.02,2438, 283939, 55.43
2023-01-27,SALASAR, EQ,47.4,48.0,48.0,45.05, 45.05,45.05,45.47,995887,452.82,2682, 707058, 71.00
2023-01-30,SALASAR, EQ,45.05,44.95,47.3,44.0, 46.55,45.7,45.68,639242,292.02,2829, 241546, 37.79
2023-01-31,SALASAR, EQ,45.7,46.3,47.95,46.25,47.95,47.85,47.49,302510,143.66,1655, 162218, 53.62
2023-02-01,SALASAR, EQ,47.85,48.65,48.95,45.45, 46.15,45.9,47.4,331306,157.04,1892, 208621, 62.97
2023-02-02,SALASAR, EQ,45.9,45.95,47.3,43.9, 44.35,44.55,45.22,463746,209.69,2248, 284396, 61.33
2023-02-03,SALASAR, EQ,44.55,45.4,46.35,42.9, 45.00,45.6,45.47,1740570,791.5,2343, 1567732, 90.07
2023-02-06,SALASAR, EQ,45.6,45.6,47.2,45.05, 46.00,46.05,45.9,1414603,649.3,1772, 1259751, 89.05
2023-02-07,SALASAR, EQ,46.05,46.4,46.85,43.0, 43.30,43.8,44.86,822981,369.22,2233, 669950, 81.41
2023-02-08,SALASAR, EQ,43.8,44.45,44.65,42.85, 43.85,43.35,43.44,927093,402.74,2494, 727063, 78.42
2023-02-09,SALASAR, EQ,43.35,43.9,45.3,42.95, 43.55,43.7,44.0,712393,313.43,1842, 612343, 85.96
2023-02-10,SALASAR, EQ,43.7,43.95,45.25,43.6, 44.65,44.6,44.28,313091,138.65,1487, 211720, 67.62
2023-02-13,SALASAR, EQ,44.6,46.3,46.75,40.15,42.45,41.05,42.59,972507,414.22,5267, 463888, 47.70
2023-02-14,SALASAR, EQ,41.05,41.95,42.9,41.75,42.8,42.5,42.5,926387,393.76,1838, 794267, 85.74
2023-02-15,SALASAR, EQ,42.5,42.85,43.7,41.65, 43.25,42.65,42.74,370024,158.16,1910, 242399, 65.51
2023-02-16,SALASAR, EQ,42.65,43.0,46.4,42.4, 45.20,45.25,44.96,2163484,972.61,4670, 1711511, 79.11
2023-02-17,SALASAR, EQ,45.25,46.0,46.8,45.0, 46.20,46.1,46.1,654627,301.77,2986, 442863, 67.65
2023-02-20,SALASAR, EQ,46.1,46.45,46.45,44.5, 45.00,45.0,45.26,314626,142.4,1879, 200323, 63.67
2023-02-21,SALASAR, EQ,45.0,45.0,45.3,44.0, 44.60,44.4,44.2,1012368,447.45,1619, 940180, 92.87
2023-02-22,SALASAR, EQ,44.4,44.65,44.9,43.5, 43.80,43.65,43.79,1283208,561.88,1245, 1199356, 93.47
2023-02-23,SALASAR, EQ,43.65,44.0,44.0,43.0,43.2,43.3,43.39,1466307,636.3,1195, 1394101, 95.08
2023-02-24,SALASAR, EQ,43.3,43.4,44.0,42.9, 43.15,43.15,43.57,183618,80.01,1262, 116057, 63.21
2023-02-27,SALASAR, EQ,43.15,43.3,43.7,41.0, 43.50,42.65,42.17,241715,101.94,2230, 121879, 50.42
2023-02-28,SALASAR, EQ,42.65,43.5,44.2,41.05, 42.25,42.3,43.02,928380,399.35,2869, 579981, 62.47
2023-03-01,SALASAR, EQ,42.3,42.3,43.65,41.85, 42.95,42.8,42.91,1317197,565.25,1479, 1194760, 90.70
2023-03-02,SALASAR, EQ,42.8,43.0,43.2,41.8, 42.00,42.1,42.53,186499,79.32,1262, 117090, 62.78
2023-03-03,SALASAR, EQ,42.1,42.25,43.4,42.25, 42.75,42.9,42.92,161864,69.47,1156, 101292, 62.58
2023-03-06,SALASAR, EQ,42.9,43.0,47.15,41.9, 47.15,47.15,46.46,1196712,555.94,4469, 867040, 72.45
