DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SARLAPOLY, EQ,44.15,47.0,49.4,46.0, 47.65,47.5,47.72,573741,273.81,4822, 285435, 49.75
2023-01-03,SARLAPOLY, EQ,47.5,47.95,47.95,46.5, 46.65,46.85,47.03,128819,60.59,1160, 97198, 75.45
2023-01-04,SARLAPOLY, EQ,46.85,46.25,47.2,45.1, 45.15,45.4,45.96,137588,63.23,1170, 103158, 74.98
2023-01-05,SARLAPOLY, EQ,45.4,45.7,45.85,44.9,45.6,45.25,45.21,87706,39.65,992, 61820, 70.49
2023-01-06,SARLAPOLY, EQ,45.25,45.85,46.9,45.6,46.55,46.6,46.4,133600,61.98,1273, 92321, 69.10
2023-01-09,SARLAPOLY, EQ,46.6,47.1,47.4,45.0,45.65,45.45,46.41,123558,57.34,1360, 84443, 68.34
2023-01-10,SARLAPOLY, EQ,45.45,45.9,45.9,44.5,45.0,44.9,45.23,73549,33.27,767, 42704, 58.06
2023-01-11,SARLAPOLY, EQ,44.9,45.2,45.4,44.75, 44.85,44.95,45.1,45233,20.4,439, 31846, 70.40
2023-01-12,SARLAPOLY, EQ,44.95,45.4,47.7,45.1, 46.15,46.05,46.31,118648,54.95,1283, 59119, 49.83
2023-01-13,SARLAPOLY, EQ,46.05,46.4,46.4,45.65,45.65,45.95,46.05,56016,25.79,888, 37105, 66.24
2023-01-16,SARLAPOLY, EQ,45.95,46.65,47.4,46.0, 46.30,46.5,46.59,343834,160.2,1359, 276211, 80.33
2023-01-17,SARLAPOLY, EQ,46.5,47.0,47.0,45.7,45.75,45.9,46.12,46385,21.39,610, 30326, 65.38
2023-01-18,SARLAPOLY, EQ,45.9,46.5,46.5,45.4,45.85,45.55,45.65,38958,17.78,398, 30430, 78.11
2023-01-19,SARLAPOLY, EQ,45.55,45.7,46.95,45.25, 45.70,45.75,46.13,61099,28.19,618, 37813, 61.89
2023-01-20,SARLAPOLY, EQ,45.75,45.7,46.45,45.1,45.25,45.25,45.62,54268,24.75,607, 32590, 60.05
2023-01-23,SARLAPOLY, EQ,45.25,45.5,45.85,44.8,45.05,45.25,45.27,29336,13.28,473, 19176, 65.37
2023-01-24,SARLAPOLY, EQ,45.25,45.35,45.85,43.85,43.9,44.2,44.63,86086,38.42,728, 60662, 70.47
2023-01-25,SARLAPOLY, EQ,44.2,44.4,45.3,43.6, 44.95,44.85,44.42,63485,28.2,616, 37243, 58.66
2023-01-27,SARLAPOLY, EQ,44.85,44.3,45.8,43.35, 43.85,43.65,43.99,87093,38.31,895, 59608, 68.44
2023-01-30,SARLAPOLY, EQ,43.65,42.6,43.0,40.8, 41.30,41.1,41.65,232579,96.87,1839, 145519, 62.57
2023-01-31,SARLAPOLY, EQ,41.1,41.8,41.8,41.0,41.6,41.4,41.35,129742,53.65,625, 105587, 81.38
2023-02-01,SARLAPOLY, EQ,41.4,41.8,42.35,40.55, 40.65,40.8,41.64,138963,57.86,792, 72771, 52.37
2023-02-02,SARLAPOLY, EQ,40.8,40.4,41.4,38.1, 38.10,39.0,39.7,203900,80.94,1553, 150469, 73.80
2023-02-03,SARLAPOLY, EQ,39.0,38.5,39.3,36.05, 38.80,38.5,37.67,311978,117.53,2851, 165612, 53.08
2023-02-06,SARLAPOLY, EQ,38.5,38.9,39.25,38.15, 39.00,38.65,38.7,65501,25.35,692, 36311, 55.44
2023-02-07,SARLAPOLY, EQ,38.65,39.1,39.4,38.5, 39.00,39.1,38.93,62378,24.29,603, 41556, 66.62
2023-02-08,SARLAPOLY, EQ,39.1,40.45,40.45,38.35, 38.70,38.8,39.04,82817,32.33,793, 51761, 62.50
2023-02-09,SARLAPOLY, EQ,38.8,39.1,39.45,38.3, 38.75,38.8,38.88,41878,16.28,624, 22168, 52.93
2023-02-10,SARLAPOLY, EQ,38.8,39.1,39.4,38.55, 39.00,38.9,39.14,59237,23.19,485, 46921, 79.21
2023-02-13,SARLAPOLY, EQ,38.9,39.8,39.8,38.4,38.85,38.7,38.92,37142,14.46,386, 25327, 68.19
2023-02-14,SARLAPOLY, EQ,38.7,38.95,39.7,37.4,38.15,38.05,38.57,52977,20.43,533, 32720, 61.76
2023-02-15,SARLAPOLY, EQ,38.05,38.8,39.5,38.1, 39.45,38.95,38.69,25901,10.02,316, 13173, 50.86
2023-02-16,SARLAPOLY, EQ,38.95,39.45,39.45,38.5, 38.80,38.75,38.98,42517,16.57,476, 22745, 53.50
2023-02-17,SARLAPOLY, EQ,38.75,38.85,40.1,38.15, 38.15,38.3,38.98,49285,19.21,646, 27219, 55.23
2023-02-20,SARLAPOLY, EQ,38.3,38.55,38.7,37.8, 37.90,37.95,38.08,26377,10.05,403, 17346, 65.76
2023-02-21,SARLAPOLY, EQ,37.95,38.8,39.4,37.45, 37.85,37.75,38.07,56183,21.39,568, 29931, 53.27
2023-02-22,SARLAPOLY, EQ,37.75,37.7,38.05,37.0, 37.50,37.5,37.52,37256,13.98,508, 26838, 72.04
2023-02-23,SARLAPOLY, EQ,37.5,37.5,38.85,36.8,38.75,38.5,37.8,37689,14.24,507, 19181, 50.89
2023-02-24,SARLAPOLY, EQ,38.5,38.4,38.9,37.15, 37.40,37.3,37.75,59986,22.65,665, 44555, 74.28
2023-02-27,SARLAPOLY, EQ,37.3,37.8,37.8,36.6, 37.00,37.05,36.97,46844,17.32,420, 35336, 75.43
2023-02-28,SARLAPOLY, EQ,37.05,37.25,38.25,37.05, 37.60,37.35,37.62,30437,11.45,548, 16515, 54.26
2023-03-01,SARLAPOLY, EQ,37.35,37.35,38.2,37.3, 38.00,38.0,37.91,29954,11.35,482, 20739, 69.24
2023-03-02,SARLAPOLY, EQ,38.0,38.6,38.6,37.0, 37.30,37.3,37.67,54710,20.61,425, 44314, 81.00
