DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SATIN, EQ,156.8,158.7,164.5,158.05, 163.20,163.1,161.59,215251,347.81,4770, 131856, 61.26
2023-01-03,SATIN, EQ,163.1,163.1,165.5,161.95, 163.80,163.35,164.22,93636,153.77,1817, 55681, 59.47
2023-01-04,SATIN, EQ,163.35,165.65,165.65,158.05, 161.60,161.55,161.36,124755,201.3,2725, 73930, 59.26
2023-01-05,SATIN, EQ,161.55,164.0,164.0,159.15,161.55,161.05,161.14,72234,116.4,2527, 46062, 63.77
2023-01-06,SATIN, EQ,161.05,163.45,163.45,154.1,155.9,156.55,157.75,176299,278.11,3135, 102969, 58.41
2023-01-09,SATIN, EQ,156.55,164.4,164.4,157.15,159.5,159.25,159.48,85852,136.92,2052, 49448, 57.60
2023-01-10,SATIN, EQ,159.25,159.25,161.95,156.5,158.75,157.8,157.74,52132,82.23,1440, 26453, 50.74
2023-01-11,SATIN, EQ,157.8,161.95,161.95,153.1, 155.30,155.2,155.53,108676,169.02,2398, 75443, 69.42
2023-01-12,SATIN, EQ,155.2,154.5,157.8,153.05, 154.95,154.55,155.25,46491,72.18,1866, 20343, 43.76
2023-01-13,SATIN, EQ,154.55,154.35,157.0,153.3,157.0,156.2,155.57,65288,101.57,1778, 44858, 68.71
2023-01-16,SATIN, EQ,156.2,158.9,158.9,154.2, 157.45,156.2,155.99,34147,53.27,1277, 20077, 58.80
2023-01-17,SATIN, EQ,156.2,157.1,157.95,154.95,155.1,155.25,156.1,30518,47.64,1166, 14568, 47.74
2023-01-18,SATIN, EQ,155.25,155.0,157.95,153.5,154.75,154.8,154.46,27277,42.13,732, 16493, 60.46
2023-01-19,SATIN, EQ,154.8,156.5,156.5,151.15, 154.75,154.05,153.63,63031,96.84,1772, 33630, 53.35
2023-01-20,SATIN, EQ,154.05,155.5,155.5,151.85,154.2,153.05,153.28,96667,148.18,1986, 57259, 59.23
2023-01-23,SATIN, EQ,153.05,153.05,166.0,153.05,156.1,159.1,161.49,1159163,1871.92,19875, 251389, 21.69
2023-01-24,SATIN, EQ,159.1,157.25,158.05,155.1,155.8,155.85,156.4,156756,245.17,3090, 82994, 52.94
2023-01-25,SATIN, EQ,155.85,155.0,156.3,150.55, 154.00,154.15,153.3,100564,154.17,3370, 46707, 46.45
2023-01-27,SATIN, EQ,154.15,157.8,157.8,136.85, 148.00,146.85,145.45,349529,508.37,11853, 161314, 46.15
2023-01-30,SATIN, EQ,146.85,146.9,151.0,143.05, 145.30,144.85,145.87,141919,207.02,2761, 101495, 71.52
2023-01-31,SATIN, EQ,144.85,144.85,147.35,144.35,145.3,146.05,146.02,52185,76.2,1688, 32703, 62.67
2023-02-01,SATIN, EQ,146.05,152.0,152.0,145.05, 150.00,147.0,148.71,139885,208.02,3561, 75081, 53.67
2023-02-02,SATIN, EQ,147.0,147.45,151.9,143.05, 148.20,147.45,147.94,70449,104.22,2321, 37009, 52.53
2023-02-03,SATIN, EQ,147.45,147.1,149.85,143.0, 148.95,147.25,146.94,171735,252.35,7828, 80469, 46.86
2023-02-06,SATIN, EQ,147.25,149.45,149.45,144.35, 146.95,145.9,146.59,56523,82.86,1626, 25183, 44.55
2023-02-07,SATIN, EQ,145.9,147.0,147.0,144.1, 146.00,145.5,145.34,47466,68.99,1383, 29368, 61.87
2023-02-08,SATIN, EQ,145.5,145.7,146.85,142.8, 145.15,145.45,145.22,37232,54.07,1243, 18139, 48.72
2023-02-09,SATIN, EQ,145.45,145.45,145.85,140.0, 144.90,143.9,143.78,76591,110.12,1380, 47872, 62.50
2023-02-10,SATIN, EQ,143.9,144.4,144.9,140.35, 143.75,143.6,143.09,45353,64.89,991, 19956, 44.00
2023-02-13,SATIN, EQ,143.6,141.45,144.95,140.1,140.6,141.2,141.51,57722,81.68,5425, 29690, 51.44
2023-02-14,SATIN, EQ,141.2,140.95,141.4,135.25,135.85,136.1,137.17,104374,143.17,3470, 72670, 69.62
2023-02-15,SATIN, EQ,136.1,136.35,140.95,136.35, 139.05,138.2,138.19,68836,95.12,2995, 39279, 57.06
2023-02-16,SATIN, EQ,138.2,138.2,144.9,137.2, 140.00,139.7,139.35,92027,128.24,3628, 46004, 49.99
2023-02-17,SATIN, EQ,139.7,139.7,143.15,135.8, 138.75,137.7,137.45,110258,151.55,3071, 64530, 58.53
2023-02-20,SATIN, EQ,137.7,143.1,144.7,133.0, 135.00,134.9,135.65,120860,163.95,4409, 69512, 57.51
2023-02-21,SATIN, EQ,134.9,136.25,137.0,132.15, 134.80,134.5,134.52,67835,91.25,1810, 43184, 63.66
2023-02-22,SATIN, EQ,134.5,133.45,134.0,130.3, 132.00,131.7,131.89,62780,82.8,2977, 31177, 49.66
2023-02-23,SATIN, EQ,131.7,131.4,133.05,128.9,130.0,130.15,130.77,77451,101.29,2046, 47719, 61.61
2023-02-24,SATIN, EQ,130.15,132.1,132.1,128.5, 130.95,130.75,130.19,51197,66.65,1880, 30852, 60.26
2023-02-27,SATIN, EQ,130.75,132.0,132.05,127.3, 130.00,129.45,129.09,113277,146.23,2298, 74313, 65.60
2023-02-28,SATIN, EQ,129.45,130.0,131.0,128.95, 130.90,130.2,129.95,31517,40.96,949, 17031, 54.04
2023-03-01,SATIN, EQ,130.2,129.0,136.9,129.0, 134.95,134.7,134.22,78223,104.99,2606, 43660, 55.81
2023-03-02,SATIN, EQ,134.7,139.0,139.0,133.1, 134.00,133.7,134.12,39389,52.83,936, 17444, 44.29
2023-03-03,SATIN, EQ,133.7,136.0,136.0,132.05, 134.50,133.95,134.47,55691,74.89,1175, 30087, 54.02
2023-03-06,SATIN, EQ,133.95,135.95,138.4,134.0, 136.40,137.05,136.37,63881,87.11,1341, 42626, 66.73
2023-03-08,SATIN, EQ,137.05,137.05,137.75,133.75, 135.35,134.85,135.35,24452,33.1,724, 14952, 61.15
2023-03-09,SATIN, EQ,134.85,138.0,138.0,132.55, 134.75,134.6,134.96,44911,60.61,907, 24026, 53.50
2023-03-10,SATIN, EQ,134.6,134.55,134.55,130.3, 131.15,131.3,132.01,72076,95.15,3181, 43110, 59.81
2023-03-13,SATIN, EQ,131.3,129.0,131.15,127.75, 128.55,128.6,129.02,50602,65.29,1305, 29110, 57.53
2023-03-14,SATIN, EQ,128.6,128.55,129.9,126.25, 129.20,128.9,128.04,48229,61.75,1236, 30486, 63.21
2023-03-15,SATIN, EQ,128.9,132.0,132.0,126.35, 128.95,128.05,127.49,96782,123.39,1226, 73277, 75.71
2023-03-16,SATIN, EQ,128.05,127.55,128.85,124.8, 127.25,127.75,127.17,48768,62.02,1509, 35164, 72.10
2023-03-17,SATIN, EQ,127.75,128.4,129.65,127.0, 128.40,127.3,128.5,17840,22.92,364, 12464, 69.87
2023-03-20,SATIN, EQ,127.3,128.25,128.4,122.1,125.15,125.65,125.12,24827,31.06,847, 14219, 57.27
2023-03-21,SATIN, EQ,125.65,129.0,129.0,125.3, 126.50,126.45,126.59,48495,61.39,1172, 29138, 60.08
2023-03-22,SATIN, EQ,126.45,128.45,128.7,126.45, 128.00,127.85,127.58,46133,58.86,2463, 29249, 63.40
2023-03-23,SATIN, EQ,127.85,129.0,129.0,125.0, 126.00,125.8,126.3,34952,44.15,938, 19647, 56.21
2023-03-24,SATIN, EQ,125.8,126.8,126.8,119.45, 121.10,122.9,122.41,108025,132.24,2332, 72736, 67.33
2023-03-27,SATIN, EQ,122.9,124.0,125.0,116.4, 119.10,119.5,120.77,86666,104.67,2231, 58986, 68.06
2023-03-28,SATIN, EQ,119.5,120.95,121.05,114.25, 117.80,119.25,118.1,135079,159.52,4147, 82246, 60.89
2023-03-29,SATIN, EQ,119.25,119.25,122.1,117.4, 120.95,120.85,119.86,74540,89.34,2244, 51231, 68.73
2023-03-31,SATIN, EQ,120.85,125.0,131.45,121.95, 128.05,127.35,127.32,121282,154.42,3629, 71864, 59.25
2023-04-03,SATIN, EQ,127.35,132.95,133.5,126.95, 129.50,129.5,129.0,101790,131.31,3587, 48801, 47.94
2023-04-05,SATIN, EQ,129.5,128.35,142.6,127.05, 139.10,138.7,136.23,134264,182.9,3799, 65467, 48.76
2023-04-06,SATIN, EQ,138.7,139.7,143.45,137.05, 139.05,140.6,140.41,80668,113.26,2644, 31006, 38.44
2023-04-10,SATIN, EQ,140.6,140.55,141.45,138.9, 140.25,140.15,140.15,30932,43.35,1203, 16114, 52.09
