DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SBIETFQLTY, EQ,149.7,159.6,159.6,148.75, 148.75,148.79,149.11,2077,3.1,98, 1348, 64.90
2023-01-03,SBIETFQLTY, EQ,148.79,148.99,149.74,148.99, 149.64,149.68,149.5,3097,4.63,60, 2610, 84.28
2023-01-04,SBIETFQLTY, EQ,149.68,149.69,149.69,148.53, 148.64,148.74,149.09,3591,5.35,75, 2823, 78.61
2023-01-05,SBIETFQLTY, EQ,148.74,149.0,149.7,148.75,149.01,148.99,149.09,1553,2.32,62, 704, 45.33
2023-01-06,SBIETFQLTY, EQ,148.99,149.11,149.6,148.0,148.0,148.15,148.66,2426,3.61,98, 1687, 69.54
2023-01-09,SBIETFQLTY, EQ,148.15,149.0,150.0,149.0,150.0,149.98,149.7,842,1.26,70, 507, 60.21
2023-01-10,SBIETFQLTY, EQ,149.98,149.5,149.55,148.75,149.0,149.0,149.15,1111,1.66,57, 1086, 97.75
2023-01-11,SBIETFQLTY, EQ,149.0,149.14,149.5,148.19, 148.19,148.26,148.49,1858,2.76,63, 1628, 87.62
2023-01-12,SBIETFQLTY, EQ,148.26,148.01,149.06,147.5, 147.50,147.95,148.2,2724,4.04,99, 1422, 52.20
2023-01-13,SBIETFQLTY, EQ,147.95,147.8,148.54,147.01,148.5,147.93,147.88,2398,3.55,74, 1038, 43.29
2023-01-16,SBIETFQLTY, EQ,147.93,148.06,148.74,147.78, 148.49,148.48,148.27,1045,1.55,48, 628, 60.10
2023-01-17,SBIETFQLTY, EQ,148.48,151.0,151.0,148.15,149.2,149.2,148.22,17919,26.56,32, 17816, 99.43
2023-01-18,SBIETFQLTY, EQ,149.2,150.05,150.05,149.52,150.0,149.94,149.77,960,1.44,31, 718, 74.79
2023-01-19,SBIETFQLTY, EQ,149.94,150.0,150.4,149.2, 149.50,149.5,149.73,1344,2.01,42, 1268, 94.35
2023-01-20,SBIETFQLTY, EQ,149.5,149.31,149.31,148.0,148.0,148.43,148.7,1863,2.77,69, 1257, 67.47
