DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SCHNEIDER, EQ,165.0,165.65,165.9,161.9, 165.05,164.6,164.12,209779,344.28,6905, 99376, 47.37
2023-01-03,SCHNEIDER, EQ,164.6,165.0,165.3,162.6, 163.40,163.25,163.77,199711,327.06,4315, 106418, 53.29
2023-01-04,SCHNEIDER, EQ,163.25,164.0,173.65,161.0, 171.75,171.75,169.12,1549048,2619.69,17599, 527970, 34.08
2023-01-05,SCHNEIDER, EQ,171.75,173.0,188.0,171.75,185.9,186.25,181.37,5177713,9391.0,50877, 1220735, 23.58
2023-01-06,SCHNEIDER, EQ,186.25,184.0,186.35,178.2,180.0,179.85,181.76,2516117,4573.29,30742, 559560, 22.24
2023-01-09,SCHNEIDER, EQ,179.85,181.15,182.85,176.2,177.1,178.0,179.12,463293,829.84,7750, 131497, 28.38
2023-01-10,SCHNEIDER, EQ,178.0,176.05,205.6,176.05,202.9,203.25,198.64,16885695,33542.59,125029, 1951719, 11.56
2023-01-11,SCHNEIDER, EQ,203.25,200.9,208.85,197.0, 205.50,206.45,203.08,8312191,16880.03,73088, 710746, 8.55
2023-01-12,SCHNEIDER, EQ,206.45,203.6,208.4,199.1, 201.00,201.2,203.62,3217321,6551.03,29818, 494613, 15.37
2023-01-13,SCHNEIDER, EQ,201.2,201.7,204.45,197.05,198.3,198.45,200.74,1183095,2374.92,11887, 217837, 18.41
2023-01-16,SCHNEIDER, EQ,198.45,202.2,209.9,199.1, 200.50,201.4,204.81,3662618,7501.42,37380, 663607, 18.12
2023-01-17,SCHNEIDER, EQ,201.4,201.0,205.0,191.05,192.6,193.6,194.87,903227,1760.09,12293, 314378, 34.81
2023-01-18,SCHNEIDER, EQ,193.6,194.55,196.0,188.1,195.0,193.05,192.25,733370,1409.88,10925, 253729, 34.60
2023-01-19,SCHNEIDER, EQ,193.05,194.05,205.0,194.05, 198.50,198.85,200.51,1577652,3163.39,18809, 348451, 22.09
2023-01-20,SCHNEIDER, EQ,198.85,199.6,201.9,192.5,194.0,194.55,196.1,582045,1141.38,7749, 193785, 33.29
2023-01-23,SCHNEIDER, EQ,194.55,197.7,197.7,191.05,191.75,192.0,193.04,301550,582.12,5382, 167128, 55.42
2023-01-24,SCHNEIDER, EQ,192.0,192.1,194.3,188.05,188.65,188.8,190.54,287173,547.17,4768, 125039, 43.54
2023-01-25,SCHNEIDER, EQ,188.8,188.8,192.7,182.4, 188.10,186.4,186.21,410452,764.32,5769, 224332, 54.65
2023-01-27,SCHNEIDER, EQ,186.4,187.05,187.8,173.8, 176.40,175.85,178.01,528915,941.51,11590, 314484, 59.46
2023-01-30,SCHNEIDER, EQ,175.85,175.2,184.3,171.05, 181.75,181.7,177.23,385311,682.9,10168, 189098, 49.08
2023-01-31,SCHNEIDER, EQ,181.7,185.8,186.95,177.6,184.0,183.95,182.41,380766,694.56,6178, 171732, 45.10
2023-02-01,SCHNEIDER, EQ,183.95,184.6,187.7,171.95, 179.00,179.4,181.54,373668,678.35,6338, 179220, 47.96
2023-02-02,SCHNEIDER, EQ,179.4,176.0,183.0,174.5, 177.35,176.8,177.8,173146,307.85,3534, 82464, 47.63
2023-02-03,SCHNEIDER, EQ,176.8,178.4,179.1,168.1, 171.60,172.35,172.38,378778,652.96,9480, 199452, 52.66
2023-02-06,SCHNEIDER, EQ,172.35,172.35,175.0,164.0, 166.00,165.7,169.23,383892,649.66,8688, 279999, 72.94
2023-02-07,SCHNEIDER, EQ,165.7,166.55,170.3,164.5, 165.00,165.0,167.18,306423,512.28,6357, 171484, 55.96
2023-02-08,SCHNEIDER, EQ,165.0,165.9,170.3,161.2, 168.00,168.8,165.22,508797,840.64,9749, 256518, 50.42
2023-02-09,SCHNEIDER, EQ,168.8,169.6,170.0,163.95, 168.35,167.75,166.42,330081,549.31,7934, 144524, 43.78
2023-02-10,SCHNEIDER, EQ,167.75,167.2,177.6,167.2, 173.90,173.2,173.59,749560,1301.18,11379, 294140, 39.24
2023-02-13,SCHNEIDER, EQ,173.2,174.1,178.65,170.95,171.1,172.4,174.43,459310,801.17,7966, 197984, 43.10
2023-02-14,SCHNEIDER, EQ,172.4,169.8,171.0,162.0,162.8,162.65,164.4,762335,1253.28,10485, 349889, 45.90
2023-02-15,SCHNEIDER, EQ,162.65,163.25,167.85,163.0, 167.00,167.1,165.82,505446,838.13,7929, 185431, 36.69
2023-02-16,SCHNEIDER, EQ,167.1,168.0,175.9,168.0, 169.35,169.05,171.51,582100,998.38,9409, 184569, 31.71
2023-02-17,SCHNEIDER, EQ,169.05,168.45,170.15,166.0, 167.70,167.05,167.73,233547,391.74,4980, 96690, 41.40
2023-02-20,SCHNEIDER, EQ,167.05,167.7,169.0,164.35, 167.45,167.6,166.41,286061,476.03,6629, 89208, 31.18
2023-02-21,SCHNEIDER, EQ,167.6,168.25,174.6,167.5, 171.40,171.55,171.98,525325,903.44,8474, 169069, 32.18
2023-02-22,SCHNEIDER, EQ,171.55,170.6,170.65,163.75, 165.00,164.95,165.9,453653,752.6,9574, 230602, 50.83
2023-02-23,SCHNEIDER, EQ,164.95,165.65,170.8,161.15,168.4,168.2,167.09,777481,1299.11,14659, 256673, 33.01
2023-02-24,SCHNEIDER, EQ,168.2,168.8,170.65,167.4, 168.50,168.8,168.66,319685,539.17,8498, 139584, 43.66
2023-02-27,SCHNEIDER, EQ,168.8,168.1,168.55,161.8, 163.60,164.1,163.84,480333,786.96,10187, 248938, 51.83
2023-02-28,SCHNEIDER, EQ,164.1,163.25,165.35,161.5, 162.00,161.95,162.55,261700,425.39,8750, 106483, 40.69
2023-03-01,SCHNEIDER, EQ,161.95,162.2,166.05,162.15, 164.15,164.1,164.14,376846,618.57,8607, 159945, 42.44
2023-03-02,SCHNEIDER, EQ,164.1,164.35,165.6,161.85, 162.95,162.6,163.44,239031,390.66,5106, 115219, 48.20
2023-03-03,SCHNEIDER, EQ,162.6,163.95,165.0,161.5, 162.85,162.3,163.32,603640,985.88,11370, 300675, 49.81
2023-03-06,SCHNEIDER, EQ,162.3,163.0,166.85,161.95, 163.00,162.95,163.92,435421,713.73,9841, 177183, 40.69
2023-03-08,SCHNEIDER, EQ,162.95,161.8,163.9,161.65, 163.40,163.35,162.99,432524,704.95,6192, 252196, 58.31
2023-03-09,SCHNEIDER, EQ,163.35,164.2,164.4,161.5, 162.30,162.3,162.6,237912,386.84,5042, 118830, 49.95
2023-03-10,SCHNEIDER, EQ,162.3,162.0,162.05,156.2, 159.10,159.3,158.54,441570,700.07,9538, 174113, 39.43
2023-03-13,SCHNEIDER, EQ,159.3,156.25,157.1,152.6, 153.95,153.7,154.51,560592,866.17,8352, 225317, 40.19
2023-03-14,SCHNEIDER, EQ,153.7,154.9,155.45,151.25, 154.80,154.3,153.17,203139,311.15,4743, 83715, 41.21
2023-03-15,SCHNEIDER, EQ,154.3,155.1,157.55,153.2, 153.60,154.4,155.75,203029,316.22,4129, 76101, 37.48
2023-03-16,SCHNEIDER, EQ,154.4,154.4,157.0,150.8, 154.35,154.7,154.49,325017,502.13,6023, 114015, 35.08
2023-03-17,SCHNEIDER, EQ,154.7,156.0,157.4,154.5, 156.40,156.55,156.0,159020,248.07,3097, 66192, 41.62
2023-03-20,SCHNEIDER, EQ,156.55,157.5,157.5,151.6,154.05,154.25,153.54,164076,251.92,4057, 61188, 37.29
2023-03-21,SCHNEIDER, EQ,154.25,155.05,156.3,153.5, 154.25,154.5,154.52,153651,237.41,3494, 64459, 41.95
2023-03-22,SCHNEIDER, EQ,154.5,155.3,159.3,154.75, 156.65,156.0,157.21,226604,356.25,4815, 84674, 37.37
2023-03-23,SCHNEIDER, EQ,156.0,156.5,158.1,154.7, 155.90,155.95,156.46,137357,214.91,3594, 47506, 34.59
2023-03-24,SCHNEIDER, EQ,155.95,156.75,156.95,151.55, 151.85,152.15,153.65,165630,254.49,3931, 69072, 41.70
2023-03-27,SCHNEIDER, EQ,152.15,151.2,152.9,145.65, 149.50,149.35,148.22,410875,608.99,7830, 196584, 47.85
2023-03-28,SCHNEIDER, EQ,149.35,149.95,153.35,147.45, 152.00,152.2,150.75,341320,514.56,7102, 144235, 42.26
2023-03-29,SCHNEIDER, EQ,152.2,151.2,157.0,150.0, 154.35,156.05,153.68,274688,422.14,5774, 146637, 53.38
2023-03-31,SCHNEIDER, EQ,156.05,156.85,159.9,154.95, 155.20,155.7,157.75,270254,426.31,6089, 113676, 42.06
2023-04-03,SCHNEIDER, EQ,155.7,157.2,163.5,155.9, 162.65,162.7,160.34,350215,561.53,6949, 155564, 44.42
2023-04-05,SCHNEIDER, EQ,162.7,164.7,166.45,161.55, 163.25,162.9,163.94,298996,490.17,5341, 141126, 47.20
2023-04-06,SCHNEIDER, EQ,162.9,163.7,167.6,161.8, 164.50,165.0,164.81,317551,523.35,6025, 142795, 44.97
2023-04-10,SCHNEIDER, EQ,165.0,165.5,166.25,162.5, 162.60,162.9,164.14,140072,229.91,3108, 71193, 50.83
2023-04-11,SCHNEIDER, EQ,162.9,163.8,164.6,160.85, 163.20,163.05,162.77,164536,267.81,3672, 69271, 42.10
2023-04-12,SCHNEIDER, EQ,163.05,163.9,165.55,161.05, 162.00,161.95,162.76,218319,355.33,4478, 106293, 48.69
