DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SDL26BEES, EQ,109.8,109.85,109.85,109.65, 109.81,109.81,109.71,1317,1.44,27, 1206, 91.57
2023-01-03,SDL26BEES, EQ,109.81,109.9,109.95,109.61, 109.89,109.89,109.7,601,0.66,20, 510, 84.86
2023-01-04,SDL26BEES, EQ,109.89,110.05,110.1,109.65, 110.00,110.0,110.05,72055,79.29,27, 71936, 99.83
2023-01-05,SDL26BEES, EQ,110.0,109.99,110.25,109.99,110.0,110.0,110.16,19336,21.3,36, 19108, 98.82
2023-01-06,SDL26BEES, EQ,110.0,110.04,110.5,109.9,109.99,109.99,110.27,123560,136.25,37, 90677, 73.39
2023-01-09,SDL26BEES, EQ,109.99,110.09,110.24,109.99,110.2,110.19,110.14,483,0.53,23, 241, 49.90
2023-01-10,SDL26BEES, EQ,110.19,110.09,110.1,109.9,110.1,110.1,110.09,661,0.73,12, 603, 91.23
2023-01-11,SDL26BEES, EQ,110.1,113.4,113.4,109.9, 110.20,110.02,110.11,1339,1.47,18, 531, 39.66
2023-01-12,SDL26BEES, EQ,110.02,110.2,110.2,109.9, 110.10,109.9,110.17,10905,12.01,21, 9989, 91.60
2023-01-13,SDL26BEES, EQ,109.9,113.4,113.4,110.01,110.25,110.21,110.26,177,0.2,14, 90, 50.85
2023-01-16,SDL26BEES, EQ,110.21,113.55,113.55,110.05, 110.25,110.21,110.2,3544,3.91,34, 3294, 92.95
2023-01-17,SDL26BEES, EQ,110.21,110.05,110.12,109.9,110.06,110.06,109.91,308181,338.71,58, 297859, 96.65
2023-01-18,SDL26BEES, EQ,110.06,113.35,113.35,110.07,110.13,110.13,110.14,90997,100.22,23, 90690, 99.66
2023-01-19,SDL26BEES, EQ,110.13,113.45,113.45,110.1, 110.20,110.2,110.25,175070,193.02,33, 174613, 99.74
2023-01-20,SDL26BEES, EQ,110.2,113.5,113.5,110.3,110.4,110.4,110.5,341,0.38,17, 176, 51.61
2023-01-23,SDL26BEES, EQ,110.4,110.2,110.45,110.2,110.4,110.31,110.45,8057,8.9,29, 8031, 99.68
2023-01-24,SDL26BEES, EQ,110.31,110.34,110.59,110.34,110.34,110.35,110.54,208895,230.9,46, 180214, 86.27
2023-01-25,SDL26BEES, EQ,110.35,110.49,110.5,110.31, 110.50,110.49,110.46,604,0.67,28, 341, 56.46
2023-01-27,SDL26BEES, EQ,110.49,110.45,110.5,110.3, 110.50,110.5,110.47,2947,3.26,29, 2908, 98.68
