DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SELAN, EQ,241.65,243.45,246.7,239.0, 240.10,241.3,242.99,26378,64.1,1400, 13065, 49.53
2023-01-03,SELAN, EQ,241.3,242.9,243.15,236.05, 239.15,238.85,239.74,15440,37.02,610, 9156, 59.30
2023-01-04,SELAN, EQ,238.85,238.5,239.25,232.25, 234.80,233.8,235.25,33033,77.71,984, 20943, 63.40
2023-01-05,SELAN, EQ,233.8,234.0,235.95,230.05,232.6,232.45,232.45,16612,38.62,652, 7052, 42.45
2023-01-06,SELAN, EQ,232.45,232.6,234.7,228.2,228.5,228.75,230.87,8150,18.82,499, 3780, 46.38
2023-01-09,SELAN, EQ,228.75,232.4,232.4,227.0,229.45,229.55,229.51,21736,49.89,574, 14405, 66.27
2023-01-10,SELAN, EQ,229.55,230.0,231.3,224.2,226.75,225.15,227.99,13026,29.7,563, 7933, 60.90
2023-01-11,SELAN, EQ,225.15,227.4,233.9,226.1, 232.00,228.2,230.06,20468,47.09,603, 10696, 52.26
2023-01-12,SELAN, EQ,228.2,234.9,242.0,231.65, 237.25,239.25,238.07,104113,247.86,3160, 30364, 29.16
2023-01-13,SELAN, EQ,239.25,239.8,239.8,229.1,230.35,231.05,233.4,31579,73.7,1314, 13594, 43.05
2023-01-16,SELAN, EQ,231.05,231.0,233.95,230.0, 230.25,230.9,231.76,13045,30.23,664, 6969, 53.42
2023-01-17,SELAN, EQ,230.9,232.0,235.35,228.05,228.8,229.6,231.22,20726,47.92,651, 12137, 58.56
2023-01-18,SELAN, EQ,229.6,234.4,234.4,230.0,230.7,232.0,232.02,20951,48.61,1109, 6031, 28.79
2023-01-19,SELAN, EQ,232.0,228.3,233.15,222.1, 224.70,223.0,226.64,36891,83.61,1318, 19468, 52.77
2023-01-20,SELAN, EQ,223.0,226.4,233.0,224.15,230.9,230.0,227.92,29374,66.95,827, 18697, 63.65
2023-01-23,SELAN, EQ,230.0,229.8,233.5,226.0,233.5,231.65,229.68,26398,60.63,933, 13731, 52.02
2023-01-24,SELAN, EQ,231.65,239.0,277.95,235.25,276.2,275.95,267.31,1176871,3145.95,25643, 265771, 22.58
2023-01-25,SELAN, EQ,275.95,280.4,302.0,272.0, 283.25,285.35,287.31,1183725,3400.95,27853, 199549, 16.86
2023-01-27,SELAN, EQ,285.35,284.9,287.8,271.1, 281.00,278.75,278.61,148599,414.02,3930, 48761, 32.81
2023-01-30,SELAN, EQ,278.75,278.0,287.35,269.95, 279.00,280.65,279.58,88892,248.53,3396, 30952, 34.82
2023-01-31,SELAN, EQ,280.65,280.65,298.0,276.55,286.6,284.7,287.34,89230,256.39,1643, 49613, 55.60
2023-02-01,SELAN, EQ,284.7,295.0,295.0,274.6, 275.50,278.4,283.09,77160,218.43,1726, 47424, 61.46
2023-02-02,SELAN, EQ,278.4,278.3,283.95,275.0, 277.00,278.05,279.03,30691,85.64,870, 17351, 56.53
2023-02-03,SELAN, EQ,278.05,277.85,283.8,259.0, 270.00,267.9,270.83,41320,111.91,1266, 22727, 55.00
2023-02-06,SELAN, EQ,267.9,269.45,279.0,265.75, 271.65,273.2,272.56,29208,79.61,670, 18220, 62.38
2023-02-07,SELAN, EQ,273.2,272.9,274.85,266.1, 268.95,268.4,269.59,37786,101.87,656, 26949, 71.32
2023-02-08,SELAN, EQ,268.4,269.1,282.7,269.1, 274.00,275.0,276.39,76899,212.54,2065, 45820, 59.58
2023-02-09,SELAN, EQ,275.0,277.85,282.4,273.05, 276.80,275.85,276.3,33547,92.69,1203, 18401, 54.85
2023-02-10,SELAN, EQ,275.85,275.85,281.85,271.25, 275.05,276.65,274.94,36248,99.66,1178, 20112, 55.48
2023-02-13,SELAN, EQ,276.65,276.65,301.5,276.65,293.45,292.8,293.19,321092,941.4,7439, 97052, 30.23
2023-02-14,SELAN, EQ,292.8,300.1,301.95,282.6,284.1,285.85,293.09,79368,232.62,3144, 33004, 41.58
2023-02-15,SELAN, EQ,285.85,289.0,296.95,285.85, 290.80,291.7,291.63,68875,200.86,1642, 33494, 48.63
2023-02-16,SELAN, EQ,291.7,296.95,296.95,291.8, 292.15,293.2,293.72,36881,108.33,1410, 18478, 50.10
2023-02-17,SELAN, EQ,293.2,294.5,316.0,292.5, 303.00,302.35,308.25,421710,1299.91,11357, 145519, 34.51
2023-02-20,SELAN, EQ,302.35,305.5,308.95,287.15, 291.90,291.35,296.87,144543,429.11,5060, 45263, 31.31
2023-02-21,SELAN, EQ,291.35,291.35,295.85,285.55, 285.80,287.1,290.4,42587,123.67,1711, 17758, 41.70
2023-02-22,SELAN, EQ,287.1,288.35,295.0,280.0, 282.00,281.85,285.57,87459,249.76,3562, 48495, 55.45
2023-02-23,SELAN, EQ,281.85,280.9,289.65,280.9,285.0,285.2,284.4,26467,75.27,1135, 11610, 43.87
2023-02-24,SELAN, EQ,285.2,285.4,287.75,274.15, 281.70,280.5,280.55,65789,184.57,3506, 26292, 39.96
2023-02-27,SELAN, EQ,280.5,282.6,282.6,265.35, 266.15,268.75,272.52,39690,108.16,2313, 19718, 49.68
2023-02-28,SELAN, EQ,268.75,269.0,274.05,267.5, 269.25,268.7,270.43,33436,90.42,1728, 11632, 34.79
2023-03-01,SELAN, EQ,268.7,271.9,285.9,269.8, 281.30,282.85,277.46,36168,100.35,2142, 17724, 49.00
2023-03-02,SELAN, EQ,282.85,283.1,284.0,270.35, 271.55,274.15,277.93,30486,84.73,1562, 12695, 41.64
2023-03-03,SELAN, EQ,274.15,275.5,281.85,272.6, 273.00,275.15,277.28,32431,89.93,1736, 15194, 46.85
2023-03-06,SELAN, EQ,275.15,277.5,283.45,273.25, 275.45,275.05,278.32,43849,122.04,1742, 23095, 52.67
2023-03-08,SELAN, EQ,275.05,275.45,286.2,273.1, 284.80,282.95,281.19,48100,135.25,2050, 25591, 53.20
2023-03-09,SELAN, EQ,282.95,284.3,285.6,278.0, 280.00,279.85,282.29,27213,76.82,3654, 9839, 36.16
2023-03-10,SELAN, EQ,279.85,280.9,283.55,270.05, 279.80,278.9,277.58,41828,116.11,4122, 17594, 42.06
2023-03-13,SELAN, EQ,278.9,279.45,279.85,270.0, 270.30,271.55,275.72,38907,107.27,4817, 16256, 41.78
2023-03-14,SELAN, EQ,271.55,271.55,271.55,251.55, 265.90,262.65,261.08,85163,222.34,3125, 47490, 55.76
2023-03-15,SELAN, EQ,262.65,266.6,267.1,252.5, 253.80,253.2,260.97,81845,213.59,6461, 39118, 47.80
2023-03-16,SELAN, EQ,253.2,256.9,260.35,250.6, 257.50,255.6,255.93,56442,144.45,7248, 12220, 21.65
2023-03-17,SELAN, EQ,255.6,258.1,260.75,254.15, 254.25,256.1,257.6,48174,124.1,3865, 17640, 36.62
2023-03-20,SELAN, EQ,256.1,255.1,255.1,228.65,241.7,239.3,237.76,156451,371.98,8207, 63562, 40.63
2023-03-21,SELAN, EQ,239.3,242.9,245.95,240.15, 240.55,241.8,242.94,33888,82.33,1485, 21540, 63.56
2023-03-22,SELAN, EQ,241.8,243.5,263.0,240.0, 260.00,254.35,254.68,116486,296.66,5911, 33094, 28.41
2023-03-23,SELAN, EQ,254.35,256.9,262.0,254.0, 254.25,256.7,258.85,47852,123.86,1784, 29739, 62.15
2023-03-24,SELAN, EQ,256.7,255.65,260.4,255.35, 257.00,257.5,258.24,28030,72.39,1260, 17893, 63.84
2023-03-27,SELAN, EQ,257.5,260.0,260.65,240.6, 245.50,243.2,252.55,43710,110.39,2322, 29120, 66.62
2023-03-28,SELAN, EQ,243.2,247.45,250.3,242.2, 242.20,245.75,246.28,39060,96.2,2345, 21464, 54.95
2023-03-29,SELAN, EQ,245.75,245.75,253.2,230.15, 237.00,236.95,239.47,88697,212.4,2098, 56004, 63.14
2023-03-31,SELAN, EQ,236.95,244.0,250.9,240.0, 241.30,243.4,245.15,56229,137.85,3040, 32546, 57.88
2023-04-03,SELAN, EQ,243.4,254.0,275.55,250.75, 266.00,267.15,267.52,253439,677.99,15526, 72991, 28.80
2023-04-05,SELAN, EQ,267.15,270.0,278.2,266.8, 275.50,275.5,272.21,87115,237.13,6364, 27363, 31.41
2023-04-06,SELAN, EQ,275.5,273.1,277.5,265.05, 266.70,266.45,272.2,54580,148.57,5269, 16391, 30.03
2023-04-10,SELAN, EQ,266.45,279.0,279.0,262.2, 263.55,264.95,269.7,59894,161.54,4604, 23666, 39.51
2023-04-11,SELAN, EQ,264.95,266.4,269.55,260.35, 264.50,265.95,265.34,88196,234.02,9730, 21386, 24.25
2023-04-12,SELAN, EQ,265.95,266.65,274.6,266.55, 267.05,267.35,270.95,37330,101.14,2876, 15966, 42.77
2023-04-13,SELAN, EQ,267.35,269.0,272.5,264.0, 265.80,267.3,268.33,30145,80.89,3038, 11214, 37.20
2023-04-17,SELAN, EQ,267.3,267.3,267.95,258.95, 260.65,261.15,262.87,32621,85.75,2417, 16951, 51.96
2023-04-18,SELAN, EQ,261.15,261.15,265.95,259.1, 260.70,260.95,262.29,27930,73.26,1731, 11002, 39.39
2023-04-19,SELAN, EQ,260.95,258.9,265.0,257.2, 258.85,258.3,260.46,21087,54.92,1900, 9669, 45.85
2023-04-20,SELAN, EQ,258.3,259.0,264.15,259.0, 260.20,259.85,261.46,22572,59.02,1072, 10496, 46.50
2023-04-21,SELAN, EQ,259.85,261.0,261.0,252.2, 253.20,253.75,255.38,28982,74.01,2292, 12714, 43.87
2023-04-24,SELAN, EQ,253.75,255.35,264.0,253.75, 256.90,255.95,258.26,45653,117.9,1456, 24375, 53.39
2023-04-25,SELAN, EQ,255.95,257.65,259.9,252.3,254.65,254.6,255.1,36975,94.32,1298, 24168, 65.36
2023-04-26,SELAN, EQ,254.6,254.6,266.3,254.0, 260.70,261.35,261.42,89044,232.78,1634, 57026, 64.04
2023-04-27,SELAN, EQ,261.35,261.05,262.5,256.8, 257.20,258.7,259.76,14429,37.48,678, 7583, 52.55
2023-04-28,SELAN, EQ,258.7,257.25,269.4,257.25, 267.05,266.8,264.55,103423,273.61,2951, 48375, 46.77
2023-05-02,SELAN, EQ,266.8,267.5,272.95,261.35, 263.50,263.45,267.27,42174,112.72,1267, 26536, 62.92
2023-05-03,SELAN, EQ,263.45,263.1,282.0,263.0,275.0,275.15,274.04,107023,293.28,2856, 54346, 50.78
2023-05-04,SELAN, EQ,275.15,275.15,282.0,275.15, 280.90,279.65,279.05,66753,186.28,2963, 35623, 53.37
2023-05-05,SELAN, EQ,279.65,280.9,280.9,277.05, 277.20,277.85,278.22,38523,107.18,1144, 28390, 73.70
2023-05-08,SELAN, EQ,277.85,277.0,299.4,273.8, 286.85,287.4,290.7,295540,859.13,6452, 124615, 42.17
2023-05-09,SELAN, EQ,287.4,289.7,290.0,272.4,275.1,274.35,279.97,87995,246.36,2589, 55496, 63.07
2023-05-10,SELAN, EQ,274.35,275.4,276.45,270.0,272.7,271.1,273.32,41298,112.88,1251, 27880, 67.51
2023-05-11,SELAN, EQ,271.1,272.6,277.5,270.65, 271.85,272.15,274.64,29019,79.7,1018, 15001, 51.69
2023-05-12,SELAN, EQ,272.15,273.0,275.6,272.25, 274.00,273.1,273.97,18896,51.77,746, 10971, 58.06
2023-05-15,SELAN, EQ,273.1,272.15,277.55,269.6, 270.60,270.75,272.88,23924,65.28,738, 12833, 53.64
2023-05-16,SELAN, EQ,270.75,272.1,275.05,268.55,269.5,269.9,272.0,19393,52.75,542, 10613, 54.73
2023-05-17,SELAN, EQ,269.9,271.95,273.95,264.0, 269.80,268.75,269.22,31929,85.96,908, 16075, 50.35
2023-05-18,SELAN, EQ,268.75,270.0,275.9,269.1, 272.95,271.1,273.02,28655,78.23,822, 14381, 50.19
2023-05-19,SELAN, EQ,271.1,272.5,281.7,268.1,274.0,273.35,275.56,49399,136.12,1413, 22504, 45.56
2023-05-22,SELAN, EQ,273.35,275.5,275.5,267.5,269.0,268.55,270.2,31107,84.05,760, 18748, 60.27
2023-05-23,SELAN, EQ,268.55,269.55,273.5,266.35, 268.95,268.35,270.4,15464,41.81,588, 9591, 62.02
2023-05-24,SELAN, EQ,268.35,267.95,274.4,267.75, 269.30,269.45,270.92,26527,71.87,961, 13927, 52.50
2023-05-25,SELAN, EQ,269.45,269.45,272.0,265.85, 267.50,267.1,268.28,29055,77.95,594, 19045, 65.55
2023-05-26,SELAN, EQ,267.1,265.45,269.1,262.0,265.4,264.5,264.22,42092,111.21,1174, 22607, 53.71
2023-05-29,SELAN, EQ,264.5,270.0,270.0,261.55, 263.50,262.35,265.51,29889,79.36,849, 21917, 73.33
2023-05-30,SELAN, EQ,262.35,263.7,267.0,262.0, 266.90,265.5,264.31,40802,107.84,680, 29809, 73.06
2023-05-31,SELAN, EQ,265.5,265.5,270.0,264.15, 267.45,268.05,267.79,16805,45.0,573, 11557, 68.77
2023-06-01,SELAN, EQ,268.05,271.9,271.9,265.0, 265.00,266.5,268.62,18431,49.51,785, 10866, 58.96
2023-06-02,SELAN, EQ,266.5,266.5,269.25,266.05, 268.30,267.65,267.55,18290,48.94,505, 10682, 58.40
2023-06-05,SELAN, EQ,267.65,270.0,274.45,263.25, 267.50,267.05,268.73,54870,147.45,2022, 27865, 50.78
2023-06-06,SELAN, EQ,267.05,268.0,271.5,266.0,270.0,270.55,269.04,27198,73.17,887, 14391, 52.91
2023-06-07,SELAN, EQ,270.55,270.1,271.75,265.0, 267.95,267.2,268.3,27475,73.72,989, 16711, 60.82
2023-06-08,SELAN, EQ,267.2,268.1,282.85,267.25, 282.10,277.8,275.05,111664,307.13,2225, 74125, 66.38
2023-06-09,SELAN, EQ,277.8,280.0,312.8,280.0, 300.00,300.0,302.55,721169,2181.9,20352, 254745, 35.32
2023-06-12,SELAN, EQ,300.0,302.3,311.8,301.0, 304.50,305.8,306.2,222307,680.71,8436, 87725, 39.46
2023-06-13,SELAN, EQ,305.8,307.5,307.5,300.55, 301.80,301.75,302.5,64988,196.59,2595, 42039, 64.69
2023-06-14,SELAN, EQ,301.75,303.45,308.05,296.0, 301.25,301.55,302.68,118711,359.31,4180, 51391, 43.29
2023-06-15,SELAN, EQ,301.55,303.2,325.0,302.2, 318.50,318.5,319.22,452007,1442.88,15958, 170368, 37.69
2023-06-16,SELAN, EQ,318.5,321.0,323.45,310.35, 311.20,313.0,316.49,103171,326.53,4421, 51269, 49.69
2023-06-19,SELAN, EQ,313.0,310.0,325.45,310.0, 320.60,318.3,318.54,95224,303.33,3366, 50426, 52.96
2023-06-20,SELAN, EQ,318.3,321.5,328.1,317.5, 321.00,322.95,322.84,124041,400.45,5091, 66525, 53.63
2023-06-21,SELAN, EQ,322.95,327.0,327.0,310.3, 312.55,311.05,315.79,56096,177.15,3480, 32490, 57.92
2023-06-22,SELAN, EQ,311.05,313.95,316.95,302.55,303.25,304.5,307.13,59325,182.21,2599, 28848, 48.63
2023-06-23,SELAN, EQ,304.5,306.2,310.0,302.55, 308.00,307.45,306.78,30265,92.85,1650, 16474, 54.43
2023-06-26,SELAN, EQ,307.45,309.9,315.0,306.95, 313.00,311.25,311.54,42649,132.87,1803, 26755, 62.73
2023-06-27,SELAN, EQ,311.25,313.0,314.95,309.0, 309.25,312.25,312.58,45377,141.84,2299, 26525, 58.45
2023-06-28,SELAN, EQ,312.25,312.5,313.3,303.0, 304.50,304.55,306.95,34112,104.71,1916, 18654, 54.68
2023-06-30,SELAN, EQ,304.55,304.55,317.95,302.55, 310.00,309.75,311.1,74016,230.26,3918, 34178, 46.18
2023-07-03,SELAN, EQ,309.75,313.0,325.95,312.1, 314.80,315.15,319.1,115915,369.88,4452, 58168, 50.18
2023-07-04,SELAN, EQ,315.15,317.05,318.6,310.35, 313.90,312.45,314.04,39550,124.2,1777, 21913, 55.41
2023-07-05,SELAN, EQ,312.45,316.05,341.95,312.55,338.1,338.3,331.64,522431,1732.58,18015, 189452, 36.26
2023-07-06,SELAN, EQ,338.3,338.8,366.5,330.0,351.9,353.15,354.88,654199,2321.63,22075, 197457, 30.18
2023-07-07,SELAN, EQ,353.15,353.45,360.0,340.35, 355.00,353.2,350.73,230102,807.04,12030, 93655, 40.70
2023-07-10,SELAN, EQ,353.2,355.45,367.4,341.1,343.7,345.3,354.13,218397,773.4,9718, 109082, 49.95
2023-07-11,SELAN, EQ,345.3,342.85,358.5,342.85, 350.00,350.85,351.81,135906,478.13,6993, 59379, 43.69
2023-07-12,SELAN, EQ,350.85,352.3,357.9,345.1, 345.20,349.7,351.49,151946,534.08,7382, 73139, 48.13
2023-07-13,SELAN, EQ,349.7,349.8,351.9,331.0, 336.55,335.15,340.95,121231,413.34,5761, 66526, 54.88
2023-07-14,SELAN, EQ,335.15,338.0,345.6,337.75,341.05,342.45,341.44,69699,237.98,3843, 31908, 45.78
2023-07-17,SELAN, EQ,342.45,338.1,349.1,335.55,338.25,336.9,341.05,75687,258.13,3156, 45726, 60.41
2023-07-18,SELAN, EQ,336.9,343.65,348.0,335.15, 344.00,342.05,341.71,96115,328.43,3703, 48261, 50.21
2023-07-19,SELAN, EQ,342.05,342.05,348.95,338.55, 344.00,344.8,344.34,68858,237.1,3586, 27805, 40.38
