DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SEQUENT, EQ,87.6,88.25,89.3,87.75, 88.50,88.35,88.55,435313,385.46,9861, 151713, 34.85
2023-01-03,SEQUENT, EQ,88.35,88.6,89.4,87.5, 87.90,87.8,88.38,431903,381.74,5826, 203380, 47.09
2023-01-04,SEQUENT, EQ,87.8,88.0,88.15,86.0, 87.40,86.85,86.9,387099,336.39,5460, 159176, 41.12
2023-01-05,SEQUENT, EQ,86.85,87.25,87.8,85.95,86.8,86.5,86.72,272968,236.71,4428, 112537, 41.23
2023-01-06,SEQUENT, EQ,86.5,86.55,87.35,85.3,86.5,86.45,86.5,398191,344.42,7200, 130128, 32.68
2023-01-09,SEQUENT, EQ,86.45,87.1,87.4,85.4,85.85,85.85,86.41,315643,272.74,7657, 147542, 46.74
2023-01-10,SEQUENT, EQ,85.85,85.9,87.4,85.6,86.7,86.45,86.34,409581,353.65,6849, 175918, 42.95
2023-01-11,SEQUENT, EQ,86.45,86.6,87.1,85.5, 85.90,85.75,86.27,321249,277.13,4450, 164771, 51.29
2023-01-12,SEQUENT, EQ,85.75,86.1,86.3,85.15, 85.60,85.4,85.64,216446,185.37,4259, 91635, 42.34
2023-01-13,SEQUENT, EQ,85.4,85.8,86.35,85.1,85.35,85.3,85.64,290766,249.0,3730, 117110, 40.28
2023-01-16,SEQUENT, EQ,85.3,86.0,89.0,85.6, 87.55,87.45,87.7,899748,789.07,10603, 273579, 30.41
2023-01-17,SEQUENT, EQ,87.45,87.7,88.8,87.0,88.0,88.35,87.99,475415,418.34,7590, 177371, 37.31
2023-01-18,SEQUENT, EQ,88.35,88.35,88.9,86.9,86.9,87.05,87.63,403123,353.26,4934, 186879, 46.36
2023-01-19,SEQUENT, EQ,87.05,87.05,87.35,86.35, 86.65,86.6,86.81,203761,176.89,2753, 125628, 61.65
2023-01-20,SEQUENT, EQ,86.6,86.7,87.35,85.1,85.45,85.4,86.02,427441,367.67,4907, 210969, 49.36
2023-01-23,SEQUENT, EQ,85.4,85.6,85.85,84.2,84.7,85.0,85.04,437578,372.1,7351, 189890, 43.40
2023-01-24,SEQUENT, EQ,85.0,85.0,85.6,84.05,84.2,84.3,84.62,225386,190.71,4416, 100548, 44.61
2023-01-25,SEQUENT, EQ,84.3,84.5,84.5,82.3, 82.85,82.8,83.18,341023,283.67,6678, 172046, 50.45
