DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SHREERAMA, EQ,12.45,12.7,12.7,12.3, 12.55,12.5,12.47,22183,2.77,125, 11514, 51.90
2023-01-03,SHREERAMA, EQ,12.5,12.7,13.0,12.4, 13.00,13.0,12.81,24581,3.15,107, 17969, 73.10
2023-01-04,SHREERAMA, EQ,13.0,13.05,13.05,12.6, 12.85,12.8,12.89,11567,1.49,79, 6965, 60.21
2023-01-05,SHREERAMA, EQ,12.8,12.8,13.0,12.7,13.0,12.95,12.83,11945,1.53,84, 9881, 82.72
2023-01-06,SHREERAMA, EQ,12.95,13.0,13.0,12.35,12.45,12.5,12.54,37325,4.68,136, 28175, 75.49
2023-01-09,SHREERAMA, EQ,12.5,12.4,12.6,12.25,12.4,12.45,12.39,26915,3.33,134, 19159, 71.18
2023-01-10,SHREERAMA, EQ,12.45,12.65,12.65,12.2,12.25,12.3,12.33,18964,2.34,137, 10561, 55.69
2023-01-11,SHREERAMA, EQ,12.3,12.5,12.9,12.3, 12.90,12.85,12.76,32944,4.2,159, 26307, 79.85
2023-01-12,SHREERAMA, EQ,12.85,12.9,12.9,12.25, 12.55,12.5,12.46,27796,3.46,138, 18797, 67.62
2023-01-13,SHREERAMA, EQ,12.5,12.5,12.85,12.5,12.8,12.65,12.65,6135,0.78,61, 6033, 98.34
2023-01-16,SHREERAMA, EQ,12.65,12.7,12.85,12.1, 12.40,12.4,12.4,23416,2.9,157, 16010, 68.37
2023-01-17,SHREERAMA, EQ,12.4,12.75,13.0,12.25,12.25,12.4,12.56,37494,4.71,154, 26043, 69.46
2023-01-18,SHREERAMA, EQ,12.4,12.4,12.6,12.05,12.4,12.2,12.23,30464,3.73,151, 23520, 77.21
2023-01-19,SHREERAMA, EQ,12.2,12.2,12.35,12.05, 12.15,12.15,12.18,22512,2.74,98, 19792, 87.92
2023-01-20,SHREERAMA, EQ,12.15,12.15,12.4,11.95,12.0,12.0,12.04,32181,3.88,135, 28184, 87.58
2023-01-23,SHREERAMA, EQ,12.0,12.0,12.0,11.8,12.0,11.9,11.92,10559,1.26,88, 10298, 97.53
2023-01-24,SHREERAMA, EQ,11.9,11.9,12.3,11.8,12.05,12.05,12.02,11938,1.43,98, 8747, 73.27
2023-01-25,SHREERAMA, EQ,12.05,11.85,12.25,11.55, 11.85,11.8,11.67,21849,2.55,102, 17664, 80.85
2023-01-27,SHREERAMA, EQ,11.8,11.45,12.0,11.45, 11.95,11.7,11.79,20751,2.45,105, 14344, 69.12
2023-01-30,SHREERAMA, EQ,11.7,11.3,11.9,11.15, 11.50,11.4,11.32,28127,3.19,128, 23817, 84.68
2023-01-31,SHREERAMA, EQ,11.4,11.85,11.85,10.9,11.1,11.1,11.09,50552,5.6,170, 39073, 77.29
2023-02-01,SHREERAMA, EQ,11.1,11.3,11.5,11.05, 11.35,11.25,11.32,29915,3.39,153, 17505, 58.52
2023-02-02,SHREERAMA, EQ,11.25,11.45,11.45,11.05, 11.20,11.1,11.12,27947,3.11,141, 15147, 54.20
2023-02-03,SHREERAMA, EQ,11.1,11.1,11.35,10.8, 10.85,10.9,10.93,33813,3.7,121, 31586, 93.41
2023-02-06,SHREERAMA, EQ,10.9,10.9,11.3,10.9, 11.15,11.05,11.03,14547,1.61,502, 12919, 88.81
2023-02-07,SHREERAMA, EQ,11.05,11.35,11.75,11.05, 11.20,11.25,11.38,39855,4.54,213, 26072, 65.42
