DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-05-22,SHRIPISTON, EQ,1605.9,1686.0,1686.0,1561.0,1580.0,1579.6,1594.38,1971,31.43,180, 1771, 89.85
2023-05-23,SHRIPISTON, EQ,1579.6,1535.0,1579.95,1510.0, 1540.00,1545.0,1543.52,1724,26.61,179, 1132, 65.66
2023-05-24,SHRIPISTON, EQ,1545.0,1511.0,1610.0,1511.0, 1548.00,1549.75,1569.22,1816,28.5,253, 1263, 69.55
2023-05-25,SHRIPISTON, EQ,1549.75,1519.0,1600.0,1518.1, 1550.00,1552.05,1567.26,2959,46.38,214, 2127, 71.88
2023-05-26,SHRIPISTON, EQ,1552.05,1527.0,1599.0,1527.0,1563.0,1568.3,1577.61,1519,23.96,196, 1071, 70.51
2023-05-29,SHRIPISTON, EQ,1568.3,1641.0,1646.7,1597.0, 1614.90,1619.5,1640.65,6625,108.69,388, 5233, 78.99
2023-05-30,SHRIPISTON, EQ,1619.5,1619.4,1672.9,1539.0, 1570.00,1552.8,1597.33,3483,55.64,316, 2633, 75.60
2023-05-31,SHRIPISTON, EQ,1552.8,1566.7,1600.0,1540.1, 1565.00,1567.65,1575.79,2052,32.34,196, 1431, 69.74
2023-06-01,SHRIPISTON, EQ,1567.65,1570.75,1583.75,1501.0, 1501.00,1509.05,1532.86,4578,70.17,481, 3895, 85.08
2023-06-02,SHRIPISTON, EQ,1509.05,1508.0,1539.2,1481.05, 1488.00,1487.35,1505.42,2670,40.19,283, 1942, 72.73
2023-06-05,SHRIPISTON, EQ,1487.35,1472.0,1515.0,1467.0, 1475.00,1475.35,1486.35,2799,41.6,272, 2029, 72.49
2023-06-06,SHRIPISTON, EQ,1475.35,1465.0,1525.0,1465.0,1495.0,1494.2,1499.5,3190,47.83,195, 2701, 84.67
2023-06-07,SHRIPISTON, EQ,1494.2,1526.1,1526.3,1485.05, 1494.00,1489.65,1497.17,3512,52.58,228, 3056, 87.02
2023-06-08,SHRIPISTON, EQ,1489.65,1500.05,1500.05,1459.0, 1470.05,1478.8,1479.21,2341,34.63,140, 1862, 79.54
2023-06-09,SHRIPISTON, EQ,1478.8,1552.7,1552.7,1511.0, 1552.70,1552.7,1549.61,27916,432.59,507, 19644, 70.37
2023-06-12,SHRIPISTON, EQ,1552.7,1630.3,1630.3,1540.0, 1549.90,1549.85,1602.58,25359,406.4,1110, 20275, 79.95
2023-06-13,SHRIPISTON, EQ,1549.85,1615.0,1625.0,1580.0, 1590.00,1588.9,1601.41,13792,220.87,901, 10470, 75.91
2023-06-14,SHRIPISTON, EQ,1588.9,1660.0,1667.0,1587.05, 1596.00,1596.7,1630.54,26041,424.61,1622, 18152, 69.71
2023-06-15,SHRIPISTON, EQ,1596.7,1630.0,1664.4,1610.0, 1623.95,1622.7,1634.1,10040,164.06,752, 7369, 73.40
2023-06-16,SHRIPISTON, EQ,1622.7,1650.0,1650.5,1611.0, 1620.00,1618.05,1630.34,9239,150.63,450, 7356, 79.62
2023-06-19,SHRIPISTON, EQ,1618.05,1602.0,1676.8,1602.0, 1658.00,1652.7,1658.95,26440,438.63,920, 22538, 85.24
2023-06-20,SHRIPISTON, EQ,1652.7,1676.8,1735.3,1660.0, 1735.30,1734.7,1722.77,34851,600.4,1102, 29140, 83.61
2023-06-21,SHRIPISTON, EQ,1734.7,1821.0,1821.4,1775.05, 1821.40,1804.5,1815.7,43267,785.6,1553, 26356, 60.91
2023-06-22,SHRIPISTON, EQ,1804.5,1857.0,1894.7,1800.0,1845.0,1838.65,1868.13,40034,747.89,1738, 24483, 61.16
2023-06-23,SHRIPISTON, EQ,1838.65,1875.0,1924.0,1802.0, 1900.00,1896.0,1884.65,23825,449.02,2036, 14383, 60.37
2023-06-26,SHRIPISTON, EQ,1896.0,1941.6,1990.8,1924.05, 1990.80,1989.9,1980.89,23028,456.16,1666, 17234, 74.84
2023-06-27,SHRIPISTON, EQ,1989.9,2048.0,2089.35,2000.0, 2089.35,2089.25,2072.92,32126,665.95,1916, 21528, 67.01
2023-06-28,SHRIPISTON, EQ,2089.25,2159.8,2179.0,1984.8, 1984.80,1989.7,2035.37,43701,889.48,2687, 27146, 62.12
2023-06-30,SHRIPISTON, EQ,1989.7,1985.0,1985.0,1890.25, 1890.25,1890.25,1913.34,19244,368.2,1782, 14067, 73.10
2023-07-03,SHRIPISTON, EQ,1890.25,1915.0,1984.75,1893.0, 1984.75,1984.75,1972.47,7785,153.56,599, 6554, 84.19
2023-07-04,SHRIPISTON, EQ,1984.75,2083.95,2083.95,2016.05, 2057.00,2073.4,2076.6,39998,830.6,1755, 18047, 45.12
2023-07-05,SHRIPISTON, EQ,2073.4,2048.0,2165.0,2025.0,2068.0,2063.2,2100.4,19258,404.5,1775, 13824, 71.78
2023-07-06,SHRIPISTON, EQ,2063.2,2075.0,2166.35,2075.0,2157.0,2162.2,2146.5,24622,528.51,1466, 19001, 77.17
2023-07-07,SHRIPISTON, EQ,2162.2,2169.0,2228.9,2110.1, 2140.00,2133.1,2168.53,21635,469.16,1847, 14826, 68.53
2023-07-10,SHRIPISTON, EQ,2133.1,2133.1,2239.75,2132.0,2135.0,2144.65,2205.45,29038,640.42,1274, 21019, 72.38
2023-07-11,SHRIPISTON, EQ,2144.65,2180.0,2251.0,2168.9, 2200.00,2200.9,2208.1,14895,328.9,1213, 10114, 67.90
2023-07-12,SHRIPISTON, EQ,2200.9,2274.95,2310.0,2235.6, 2265.00,2277.95,2286.84,20785,475.32,1382, 14684, 70.65
2023-07-13,SHRIPISTON, EQ,2277.95,2391.8,2391.8,2326.0, 2335.00,2353.35,2372.61,25972,616.21,1276, 19061, 73.39
2023-07-14,SHRIPISTON, EQ,2353.35,2354.7,2378.0,2235.7,2235.7,2235.7,2263.12,9847,222.85,1018, 7874, 79.96
2023-07-17,SHRIPISTON, EQ,2235.7,2155.0,2278.0,2123.95,2208.0,2251.3,2185.35,17491,382.24,1715, 9796, 56.01
2023-07-18,SHRIPISTON, EQ,2251.3,2325.0,2325.0,2154.0, 2166.20,2167.85,2212.31,9320,206.19,1427, 5992, 64.29
2023-07-19,SHRIPISTON, EQ,2167.85,2190.0,2249.0,2178.1, 2226.05,2221.1,2218.85,8854,196.46,948, 6494, 73.35
