DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SHRIRAMFIN, EQ,1376.9,1381.0,1390.0,1362.0, 1387.05,1385.8,1379.17,436989,6026.8,18891, 163348, 37.38
2023-01-03,SHRIRAMFIN, EQ,1385.8,1368.8,1376.95,1335.6, 1340.00,1349.65,1358.48,535645,7276.65,26822, 196315, 36.65
2023-01-04,SHRIRAMFIN, EQ,1349.65,1348.0,1352.9,1317.85, 1325.10,1328.35,1334.91,541935,7234.33,24534, 228646, 42.19
2023-01-05,SHRIRAMFIN, EQ,1328.35,1335.95,1340.0,1311.25,1318.55,1319.9,1324.07,461987,6117.02,20972, 225597, 48.83
2023-01-06,SHRIRAMFIN, EQ,1319.9,1324.9,1325.75,1287.0,1293.7,1294.65,1304.07,319983,4172.81,18463, 131530, 41.11
2023-01-09,SHRIRAMFIN, EQ,1294.65,1300.0,1324.7,1299.5,1323.5,1318.6,1315.92,469651,6180.22,41318, 268008, 57.07
2023-01-10,SHRIRAMFIN, EQ,1318.6,1322.65,1337.6,1318.6,1335.0,1333.9,1328.34,569860,7569.67,34667, 367818, 64.55
2023-01-11,SHRIRAMFIN, EQ,1333.9,1334.0,1343.85,1319.1, 1331.50,1334.5,1334.37,289049,3856.98,17242, 155670, 53.86
2023-01-12,SHRIRAMFIN, EQ,1334.5,1341.5,1342.25,1305.2, 1313.00,1312.65,1321.86,451870,5973.09,19840, 220808, 48.87
2023-01-13,SHRIRAMFIN, EQ,1312.65,1310.0,1313.0,1267.6,1284.9,1283.2,1287.11,919496,11834.91,37236, 285279, 31.03
2023-01-16,SHRIRAMFIN, EQ,1283.2,1289.0,1301.55,1269.0, 1272.90,1272.7,1283.35,509856,6543.25,22729, 246405, 48.33
2023-01-17,SHRIRAMFIN, EQ,1272.7,1277.75,1280.65,1262.9,1275.1,1271.65,1271.53,633527,8055.48,45297, 399636, 63.08
2023-01-18,SHRIRAMFIN, EQ,1271.65,1278.0,1291.75,1256.15,1281.3,1284.0,1273.68,475166,6052.08,22463, 235270, 49.51
2023-01-19,SHRIRAMFIN, EQ,1284.0,1284.0,1297.35,1272.3, 1291.00,1294.8,1292.07,497959,6433.95,35934, 351289, 70.55
2023-01-20,SHRIRAMFIN, EQ,1294.8,1294.0,1294.0,1266.4,1277.95,1277.3,1277.77,396914,5071.63,39011, 252229, 63.55
2023-01-23,SHRIRAMFIN, EQ,1277.3,1282.1,1296.95,1274.9,1280.45,1284.6,1287.81,253966,3270.61,17180, 99727, 39.27
2023-01-24,SHRIRAMFIN, EQ,1284.6,1287.9,1292.8,1263.0,1264.0,1265.3,1273.86,212299,2704.4,13559, 79831, 37.60
2023-01-25,SHRIRAMFIN, EQ,1265.3,1268.55,1270.65,1230.0, 1255.05,1254.2,1250.91,426186,5331.21,21709, 152575, 35.80
2023-01-27,SHRIRAMFIN, EQ,1254.2,1255.0,1284.0,1230.05, 1238.75,1241.05,1254.04,482105,6045.79,21594, 209599, 43.48
2023-01-30,SHRIRAMFIN, EQ,1241.05,1239.0,1264.9,1227.4, 1248.40,1243.85,1238.5,1181135,14628.34,20913, 973369, 82.41
