DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SHYAMTEL, EQ,10.15,10.6,10.65,10.4, 10.65,10.65,10.64,4647,0.49,47, 4255, 91.56
2023-01-03,SHYAMTEL, EQ,10.65,11.15,11.15,10.25, 11.00,10.95,10.9,13675,1.49,100, 6606, 48.31
2023-01-04,SHYAMTEL, EQ,10.95,11.35,11.4,10.5, 11.30,11.0,10.97,11150,1.22,91, 5025, 45.07
2023-01-05,SHYAMTEL, EQ,11.0,10.5,11.4,10.45,10.85,10.7,10.79,10967,1.18,93, 3816, 34.80
2023-01-06,SHYAMTEL, EQ,10.7,11.1,11.1,10.25,10.8,10.6,10.58,7794,0.82,59, 2571, 32.99
2023-01-09,SHYAMTEL, EQ,10.6,10.85,11.05,10.25,11.0,10.95,10.86,7106,0.77,50, 5632, 79.26
2023-01-10,SHYAMTEL, EQ,10.95,11.0,11.4,10.75,11.1,11.1,11.2,6652,0.75,59, 3759, 56.51
2023-01-11,SHYAMTEL, EQ,11.1,11.15,11.5,10.55, 11.20,11.2,11.01,7699,0.85,67, 3571, 46.38
2023-01-12,SHYAMTEL, EQ,11.2,11.45,11.45,10.7, 10.95,10.95,10.88,2403,0.26,32, 1615, 67.21
2023-01-13,SHYAMTEL, EQ,10.95,11.35,11.35,10.55,11.1,10.9,11.02,3737,0.41,49, 1837, 49.16
2023-01-16,SHYAMTEL, EQ,10.9,11.15,11.3,10.55, 11.30,11.0,10.93,6810,0.74,55, 2412, 35.42
2023-01-17,SHYAMTEL, EQ,11.0,11.25,11.35,10.55,10.6,10.7,10.71,5983,0.64,47, 4354, 72.77
2023-01-18,SHYAMTEL, EQ,10.7,10.7,11.1,10.35,10.95,10.95,10.8,4363,0.47,30, 2540, 58.22
2023-01-19,SHYAMTEL, EQ,10.95,10.95,10.95,10.45, 10.80,10.5,10.6,6976,0.74,47, 4078, 58.46
2023-01-20,SHYAMTEL, EQ,10.5,10.9,10.9,10.5,10.6,10.5,10.62,5037,0.54,36, 3709, 73.64
2023-01-23,SHYAMTEL, EQ,10.5,10.9,10.9,10.05,10.3,10.3,10.3,1932,0.2,20, 1682, 87.06
2023-01-24,SHYAMTEL, EQ,10.3,10.75,10.75,9.8,10.2,10.2,10.15,12435,1.26,53, 6149, 49.45
2023-01-25,SHYAMTEL, EQ,10.2,10.4,10.4,9.8, 10.15,9.9,9.99,5202,0.52,48, 3803, 73.11
2023-01-27,SHYAMTEL, EQ,9.9,9.9,10.1,9.5, 9.85,9.85,9.65,335,0.03,25, 306, 91.34
2023-01-30,SHYAMTEL, EQ,9.85,9.85,9.9,9.35, 9.55,9.55,9.58,2926,0.28,26, 1386, 47.37
2023-01-31,SHYAMTEL, EQ,9.55,9.95,9.95,9.1,9.5,9.5,9.23,2443,0.23,34, 1907, 78.06
2023-02-01,SHYAMTEL, EQ,9.5,9.5,9.85,9.05, 9.05,9.05,9.24,7633,0.71,35, 6380, 83.58
2023-02-02,SHYAMTEL, EQ,9.05,9.3,9.3,8.6, 9.30,8.75,8.74,990,0.09,25, 589, 59.49
2023-02-03,SHYAMTEL, EQ,8.75,8.9,9.1,8.45, 8.75,8.75,8.64,1614,0.14,20, 1212, 75.09
2023-02-06,SHYAMTEL, EQ,8.75,8.95,9.15,8.4, 9.15,9.15,8.94,5722,0.51,36, 3636, 63.54
2023-02-07,SHYAMTEL, EQ,9.15,9.55,9.55,8.8, 9.25,9.25,9.07,2646,0.24,36, 491, 18.56
2023-02-08,SHYAMTEL, EQ,9.25,9.6,9.6,8.8, 9.00,8.85,9.04,2858,0.26,24, 1956, 68.44
2023-02-09,SHYAMTEL, EQ,8.85,9.2,9.2,8.4, 8.80,8.8,8.53,1660,0.14,33, 1508, 90.84
2023-02-10,SHYAMTEL, EQ,8.8,8.8,8.8,8.5, 8.80,8.75,8.64,1556,0.13,69, 951, 61.12
2023-02-13,SHYAMTEL, EQ,8.75,8.5,8.8,8.5,8.75,8.5,8.53,1623,0.14,66, 1623, 100.00
2023-02-14,SHYAMTEL, EQ,8.5,8.9,8.9,8.1,8.6,8.7,8.65,1894,0.16,24, 1310, 69.17
2023-02-15,SHYAMTEL, EQ,8.7,9.05,9.05,8.3, 8.65,8.7,8.54,4895,0.42,23, 2581, 52.73
2023-02-16,SHYAMTEL, EQ,8.7,8.7,9.1,8.35, 9.05,8.75,8.71,4969,0.43,37, 2716, 54.66
2023-02-17,SHYAMTEL, EQ,8.75,9.05,9.1,8.4, 8.40,8.75,8.83,1812,0.16,24, 886, 48.90
