DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SIMPLEXINF, EQ,57.5,57.5,62.45,57.1, 61.00,61.3,60.95,87205,53.15,1020, 47764, 54.77
2023-01-03,SIMPLEXINF, EQ,61.3,61.9,61.9,59.35, 59.80,60.05,60.31,49005,29.55,627, 33444, 68.25
2023-01-04,SIMPLEXINF, EQ,60.05,60.05,60.3,57.5, 58.80,58.0,58.71,35928,21.09,502, 21466, 59.75
2023-01-05,SIMPLEXINF, EQ,58.0,59.0,59.0,57.1,59.0,58.85,58.1,28147,16.35,310, 18466, 65.61
2023-01-06,SIMPLEXINF, EQ,58.85,58.35,58.95,57.4,58.0,57.95,57.81,64952,37.55,370, 57501, 88.53
2023-01-09,SIMPLEXINF, EQ,57.95,59.0,59.55,56.3,57.9,57.3,58.13,27243,15.84,374, 15187, 55.75
2023-01-10,SIMPLEXINF, EQ,57.3,58.15,58.75,57.3,58.75,57.8,57.57,16189,9.32,201, 8699, 53.73
2023-01-11,SIMPLEXINF, EQ,57.8,58.95,58.95,57.25, 58.45,58.05,57.94,16663,9.65,233, 11869, 71.23
2023-01-12,SIMPLEXINF, EQ,58.05,57.6,57.6,53.0, 55.00,54.65,54.61,181179,98.94,1955, 96506, 53.27
2023-01-13,SIMPLEXINF, EQ,54.65,55.1,56.65,54.8,54.8,55.2,55.38,38411,21.27,363, 30868, 80.36
2023-01-16,SIMPLEXINF, EQ,55.2,56.0,56.0,50.7, 51.95,51.7,52.22,214780,112.15,1146, 139896, 65.13
2023-01-17,SIMPLEXINF, EQ,51.7,51.85,54.05,51.85,53.0,53.0,53.44,35584,19.01,541, 23464, 65.94
2023-01-18,SIMPLEXINF, EQ,53.0,53.0,53.3,51.7,52.45,52.2,52.51,60504,31.77,603, 42664, 70.51
2023-01-19,SIMPLEXINF, EQ,52.2,52.0,59.85,52.0, 56.05,56.2,57.3,240684,137.92,2444, 88673, 36.84
2023-01-20,SIMPLEXINF, EQ,56.2,56.0,56.75,54.8,56.4,56.4,55.93,44332,24.8,538, 32302, 72.86
2023-01-23,SIMPLEXINF, EQ,56.4,57.8,57.8,54.65,55.0,55.25,55.79,39784,22.2,533, 25382, 63.80
2023-01-24,SIMPLEXINF, EQ,55.25,55.1,56.0,54.8,55.0,55.1,55.42,33062,18.32,316, 25056, 75.78
2023-01-25,SIMPLEXINF, EQ,55.1,55.8,56.0,53.6, 53.60,54.15,55.01,24678,13.58,342, 17311, 70.15
2023-01-27,SIMPLEXINF, EQ,54.15,56.35,56.35,49.85, 53.60,54.0,52.35,78553,41.12,941, 40511, 51.57
2023-01-30,SIMPLEXINF, EQ,54.0,53.4,54.95,53.05, 53.60,53.5,54.09,19277,10.43,247, 12434, 64.50
2023-01-31,SIMPLEXINF, EQ,53.5,54.55,54.85,51.8,54.5,54.4,53.57,35340,18.93,470, 21079, 59.65
2023-02-01,SIMPLEXINF, EQ,54.4,54.2,55.3,53.1, 53.15,53.3,54.49,36518,19.9,329, 25123, 68.80
2023-02-02,SIMPLEXINF, EQ,53.3,52.25,54.35,52.25, 53.50,53.0,53.26,11550,6.15,238, 7626, 66.03
2023-02-03,SIMPLEXINF, EQ,53.0,53.8,53.95,50.35, 50.35,51.85,52.08,68074,35.45,661, 48106, 70.67
2023-02-06,SIMPLEXINF, EQ,51.85,51.35,52.95,51.1, 51.60,51.45,51.6,11605,5.99,225, 8731, 75.23
2023-02-07,SIMPLEXINF, EQ,51.45,52.35,52.35,50.0, 51.30,50.8,51.43,36941,19.0,422, 29785, 80.63
2023-02-08,SIMPLEXINF, EQ,50.8,50.3,50.8,48.0, 48.95,48.95,48.97,77788,38.1,920, 51011, 65.58
2023-02-09,SIMPLEXINF, EQ,48.95,48.2,48.95,48.0, 48.80,48.5,48.42,22074,10.69,350, 13905, 62.99
2023-02-10,SIMPLEXINF, EQ,48.5,48.0,54.15,48.0, 51.60,51.85,51.46,64565,33.23,671, 35149, 54.44
2023-02-13,SIMPLEXINF, EQ,51.85,51.85,52.45,49.15,50.8,50.3,50.29,36564,18.39,441, 23666, 64.72
2023-02-14,SIMPLEXINF, EQ,50.3,50.8,50.8,47.3,47.3,47.55,48.45,59152,28.66,521, 45520, 76.95
2023-02-15,SIMPLEXINF, EQ,47.55,48.0,48.0,47.15, 48.00,47.9,47.79,28817,13.77,221, 18985, 65.88
2023-02-16,SIMPLEXINF, EQ,47.9,47.8,48.0,46.4, 46.80,47.05,47.44,41071,19.48,416, 23737, 57.80
2023-02-17,SIMPLEXINF, EQ,47.05,47.75,47.75,41.85, 46.30,45.1,45.85,46037,21.11,538, 30028, 65.23
2023-02-20,SIMPLEXINF, EQ,45.1,44.1,45.2,41.45, 43.00,42.95,42.88,92476,39.66,1169, 61611, 66.62
2023-02-21,SIMPLEXINF, EQ,42.95,42.95,43.0,41.5, 42.10,42.2,42.62,113640,48.44,732, 71691, 63.09
2023-02-22,SIMPLEXINF, EQ,42.2,42.2,42.2,36.8, 38.90,38.15,38.64,169775,65.6,1511, 99305, 58.49
2023-02-23,SIMPLEXINF, EQ,38.15,38.9,45.4,38.9,43.05,43.0,43.41,175935,76.37,2844, 54424, 30.93
