DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SIS, EQ,392.8,392.8,404.55,392.3, 394.75,394.55,398.39,80609,321.14,4623, 38878, 48.23
2023-01-03,SIS, EQ,394.55,394.55,397.4,388.9, 389.20,389.8,391.5,41640,163.02,3769, 25787, 61.93
2023-01-04,SIS, EQ,389.8,389.2,391.95,383.15, 385.00,384.8,385.54,59499,229.39,5468, 31852, 53.53
2023-01-05,SIS, EQ,384.8,386.7,388.0,381.25,382.1,383.3,385.06,27127,104.46,3307, 15596, 57.49
2023-01-06,SIS, EQ,383.3,383.3,388.45,382.6,385.5,384.25,385.05,32167,123.86,2139, 16468, 51.20
2023-01-09,SIS, EQ,384.25,386.2,386.2,378.0,379.9,379.25,381.76,55240,210.88,3605, 32560, 58.94
2023-01-10,SIS, EQ,379.25,380.0,383.95,376.65,378.8,379.05,379.46,30700,116.49,2739, 15017, 48.92
2023-01-11,SIS, EQ,379.05,380.15,382.95,378.65, 382.95,382.1,381.07,11458,43.66,1335, 6802, 59.36
2023-01-12,SIS, EQ,382.1,384.05,384.6,379.1, 383.90,381.4,381.86,13813,52.75,1335, 7571, 54.81
2023-01-13,SIS, EQ,381.4,383.35,385.15,381.35,384.45,384.4,383.23,12193,46.73,1079, 7026, 57.62
2023-01-16,SIS, EQ,384.4,386.3,391.0,383.2, 384.50,385.05,386.19,37142,143.44,2693, 22534, 60.67
2023-01-17,SIS, EQ,385.05,386.15,388.0,383.5,385.25,386.25,385.87,15413,59.47,1976, 9397, 60.97
2023-01-18,SIS, EQ,386.25,386.25,387.0,382.5,383.0,384.05,384.62,20340,78.23,1424, 15021, 73.85
2023-01-19,SIS, EQ,384.05,385.0,385.7,381.55, 382.50,382.2,383.68,8013,30.74,933, 5765, 71.95
2023-01-20,SIS, EQ,382.2,382.2,386.0,371.0,373.3,374.25,375.49,55158,207.11,3929, 32206, 58.39
2023-01-23,SIS, EQ,374.25,376.1,376.75,368.05,374.0,373.0,372.85,42316,157.78,3068, 24239, 57.28
2023-01-24,SIS, EQ,373.0,374.6,381.9,373.05,379.75,379.45,378.74,51737,195.95,3645, 21082, 40.75
2023-01-25,SIS, EQ,379.45,381.3,381.9,375.9, 378.00,377.7,379.27,29225,110.84,2577, 11876, 40.64
2023-01-27,SIS, EQ,377.7,375.0,377.65,365.55, 371.00,370.75,374.11,420642,1573.67,6926, 391404, 93.05
2023-01-30,SIS, EQ,370.75,370.75,377.55,370.75, 372.00,372.25,373.0,530670,1979.42,1776, 518429, 97.69
2023-01-31,SIS, EQ,372.25,374.15,376.4,372.45,372.5,373.85,374.09,22595,84.53,2052, 14657, 64.87
2023-02-01,SIS, EQ,373.85,373.85,381.1,366.1, 366.15,368.45,376.05,47267,177.75,3748, 23736, 50.22
2023-02-02,SIS, EQ,368.45,370.3,375.0,356.1, 363.00,363.55,365.94,43983,160.95,3337, 31076, 70.65
2023-02-03,SIS, EQ,363.55,357.0,359.9,342.0, 347.00,345.65,346.57,306432,1061.99,35314, 138346, 45.15
