DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SMSLIFE, EQ,625.5,626.35,626.55,618.25, 618.25,619.1,620.09,632,3.92,61, 394, 62.34
2023-01-03,SMSLIFE, EQ,619.1,624.0,634.0,618.95, 634.00,629.55,624.85,1007,6.29,120, 645, 64.05
2023-01-04,SMSLIFE, EQ,629.55,634.0,634.0,622.0, 628.70,627.65,627.64,743,4.66,79, 583, 78.47
2023-01-05,SMSLIFE, EQ,627.65,627.65,636.5,619.25,635.0,625.8,627.79,1863,11.7,157, 1357, 72.84
2023-01-06,SMSLIFE, EQ,625.8,619.25,637.95,619.25,634.0,633.25,627.64,922,5.79,74, 805, 87.31
2023-01-09,SMSLIFE, EQ,633.25,627.0,636.95,621.1,625.5,625.5,630.15,1287,8.11,128, 888, 69.00
2023-01-10,SMSLIFE, EQ,625.5,620.85,632.0,613.8,625.0,624.75,624.6,1147,7.16,131, 821, 71.58
2023-01-11,SMSLIFE, EQ,624.75,617.5,629.95,615.7, 629.35,628.3,626.48,885,5.54,128, 611, 69.04
2023-01-12,SMSLIFE, EQ,628.3,625.0,634.75,617.2, 628.90,626.0,625.23,964,6.03,157, 472, 48.96
2023-01-13,SMSLIFE, EQ,626.0,619.25,623.95,610.0,610.0,616.75,618.64,440,2.72,76, 225, 51.14
2023-01-16,SMSLIFE, EQ,616.75,616.75,630.0,612.0, 629.25,628.95,623.06,1205,7.51,107, 814, 67.55
2023-01-17,SMSLIFE, EQ,628.95,623.0,640.0,622.0,638.95,637.05,636.21,3510,22.33,295, 2100, 59.83
2023-01-18,SMSLIFE, EQ,637.05,630.05,636.0,621.05,621.6,624.65,629.1,98,0.62,25, 56, 57.14
2023-01-19,SMSLIFE, EQ,624.65,624.7,635.0,622.0, 634.00,633.6,629.94,636,4.01,97, 380, 59.75
2023-01-20,SMSLIFE, EQ,633.6,634.8,638.0,619.6,619.6,620.4,628.48,1153,7.25,149, 905, 78.49
2023-01-23,SMSLIFE, EQ,620.4,620.1,630.0,620.1,620.1,620.1,625.62,2187,13.68,93, 1530, 69.96
2023-01-24,SMSLIFE, EQ,620.1,620.2,630.1,614.85,630.1,625.35,620.79,718,4.46,114, 432, 60.17
2023-01-25,SMSLIFE, EQ,625.35,615.35,635.0,610.1, 635.00,631.6,622.53,1977,12.31,199, 1477, 74.71
2023-01-27,SMSLIFE, EQ,631.6,620.2,635.0,620.0, 634.95,633.0,629.15,268,1.69,110, 128, 47.76
2023-01-30,SMSLIFE, EQ,633.0,623.8,633.45,612.6, 626.00,625.9,621.95,538,3.35,98, 392, 72.86
2023-01-31,SMSLIFE, EQ,625.9,623.5,632.95,615.2,615.2,627.35,626.38,548,3.43,81, 472, 86.13
2023-02-01,SMSLIFE, EQ,627.35,621.0,628.8,586.75, 594.10,600.05,611.75,1591,9.73,157, 852, 53.55
2023-02-02,SMSLIFE, EQ,600.05,603.55,605.0,575.2, 575.20,583.8,594.19,347,2.06,68, 121, 34.87
2023-02-03,SMSLIFE, EQ,583.8,584.5,600.0,575.35, 595.00,599.05,586.11,895,5.25,124, 699, 78.10
2023-02-06,SMSLIFE, EQ,599.05,590.25,598.9,585.0, 590.00,590.4,592.1,1380,8.17,96, 1224, 88.70
2023-02-07,SMSLIFE, EQ,590.4,581.8,581.8,555.0, 560.50,563.25,565.24,4237,23.95,517, 3085, 72.81
2023-02-08,SMSLIFE, EQ,563.25,560.0,597.9,556.05, 562.15,570.0,578.42,4236,24.5,449, 2148, 50.71
2023-02-09,SMSLIFE, EQ,570.0,579.95,582.0,571.0, 571.00,573.35,576.43,170,0.98,33, 107, 62.94
2023-02-10,SMSLIFE, EQ,573.35,571.55,581.9,557.0, 561.00,562.05,569.78,6783,38.65,222, 6057, 89.30
2023-02-13,SMSLIFE, EQ,562.05,574.95,592.0,570.0,591.95,590.6,586.17,3605,21.13,269, 2762, 76.62
2023-02-14,SMSLIFE, EQ,590.6,582.15,593.95,570.3,571.0,573.15,576.95,650,3.75,178, 396, 60.92
2023-02-15,SMSLIFE, EQ,573.15,585.0,585.0,570.0, 570.00,570.8,572.79,128,0.73,28, 71, 55.47
2023-02-16,SMSLIFE, EQ,570.8,579.75,585.0,564.05, 585.00,584.3,576.84,778,4.49,168, 473, 60.80
2023-02-17,SMSLIFE, EQ,584.3,585.0,585.0,572.25, 585.00,581.25,581.39,201,1.17,43, 78, 38.81
2023-02-20,SMSLIFE, EQ,581.25,575.45,579.95,563.0, 570.00,569.1,570.44,497,2.84,92, 336, 67.61
2023-02-21,SMSLIFE, EQ,569.1,558.0,569.9,558.0, 569.85,566.7,563.57,231,1.3,62, 129, 55.84
2023-02-22,SMSLIFE, EQ,566.7,572.0,572.0,555.0, 563.00,562.55,560.2,535,3.0,70, 416, 77.76
