DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SNOWMAN, EQ,37.9,37.9,39.8,37.9, 39.50,39.35,39.0,751058,292.89,2967, 336877, 44.85
2023-01-03,SNOWMAN, EQ,39.35,39.5,41.7,39.45, 39.70,39.9,40.64,1849667,751.68,5608, 774854, 41.89
2023-01-04,SNOWMAN, EQ,39.9,40.0,40.05,38.45, 38.45,38.6,39.09,418964,163.78,2297, 215004, 51.32
2023-01-05,SNOWMAN, EQ,38.6,38.7,39.1,38.35,38.85,38.75,38.66,333352,128.87,1134, 191101, 57.33
2023-01-06,SNOWMAN, EQ,38.75,39.0,39.5,38.2,38.65,38.55,38.73,875595,339.15,2998, 195535, 22.33
2023-01-09,SNOWMAN, EQ,38.55,39.1,40.05,38.5,38.7,38.95,39.14,768801,300.89,3064, 271021, 35.25
2023-01-10,SNOWMAN, EQ,38.95,39.0,39.05,37.5,38.1,37.95,38.3,383590,146.92,1631, 209800, 54.69
2023-01-11,SNOWMAN, EQ,37.95,38.0,39.2,37.9, 37.90,38.0,38.41,287185,110.32,1728, 84016, 29.26
2023-01-12,SNOWMAN, EQ,38.0,38.4,38.6,37.6, 37.80,37.7,37.95,228423,86.7,1481, 84918, 37.18
2023-01-13,SNOWMAN, EQ,37.7,38.0,38.55,37.0,37.6,37.7,37.93,353211,133.98,2287, 70014, 19.82
2023-01-16,SNOWMAN, EQ,37.7,37.75,38.5,37.4, 37.85,37.95,37.88,378181,143.26,2260, 149510, 39.53
2023-01-17,SNOWMAN, EQ,37.95,38.0,38.95,37.4,37.65,37.7,37.89,508365,192.61,2554, 147063, 28.93
2023-01-18,SNOWMAN, EQ,37.7,38.0,38.7,37.45,37.7,37.6,37.91,534164,202.53,2870, 138161, 25.86
2023-01-19,SNOWMAN, EQ,37.6,37.55,38.2,37.1, 37.60,37.75,37.61,428658,161.2,2447, 119554, 27.89
