DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SOUTHWEST, EQ,118.2,116.0,121.7,115.85, 121.50,121.1,119.25,41265,49.21,260, 13396, 32.46
2023-01-03,SOUTHWEST, EQ,121.1,123.55,123.6,120.45, 123.25,122.35,121.48,35534,43.17,270, 3189, 8.97
2023-01-04,SOUTHWEST, EQ,122.35,123.25,124.45,122.4, 122.40,122.65,123.61,40080,49.54,451, 5048, 12.59
2023-01-05,SOUTHWEST, EQ,122.65,122.5,124.9,116.6,117.0,119.25,122.17,41257,50.41,447, 7754, 18.79
2023-01-06,SOUTHWEST, EQ,119.25,121.7,121.7,118.45,119.55,119.35,119.18,31492,37.53,232, 802, 2.55
2023-01-09,SOUTHWEST, EQ,119.35,121.9,122.35,116.05,116.05,116.6,119.97,46004,55.19,376, 7861, 17.09
2023-01-10,SOUTHWEST, EQ,116.6,118.25,118.95,114.25,114.35,115.6,117.62,34178,40.2,285, 2871, 8.40
2023-01-11,SOUTHWEST, EQ,115.6,116.4,117.3,114.8, 115.60,116.25,116.73,30728,35.87,241, 1219, 3.97
2023-01-12,SOUTHWEST, EQ,116.25,120.85,120.85,116.65, 119.95,118.85,117.31,38699,45.4,241, 2931, 7.57
2023-01-13,SOUTHWEST, EQ,118.85,119.9,119.9,115.6,117.85,116.25,117.11,45114,52.83,434, 6066, 13.45
2023-01-16,SOUTHWEST, EQ,116.25,116.6,116.95,114.35, 114.35,115.0,115.98,34506,40.02,290, 3070, 8.90
2023-01-17,SOUTHWEST, EQ,115.0,115.0,119.15,115.0,115.5,115.8,117.39,33744,39.61,272, 2047, 6.07
2023-01-18,SOUTHWEST, EQ,115.8,115.5,118.55,114.55,115.1,115.15,117.14,32892,38.53,313, 1781, 5.41
2023-01-19,SOUTHWEST, EQ,115.15,115.15,120.0,113.15, 114.00,114.55,116.93,55941,65.41,632, 11725, 20.96
2023-01-20,SOUTHWEST, EQ,114.55,114.6,118.55,114.55,116.6,116.35,117.0,38721,45.3,359, 5383, 13.90
