DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SPLIL, EQ,75.05,77.95,78.95,76.2, 76.80,76.65,77.4,182343,141.14,3013, 100665, 55.21
2023-01-03,SPLIL, EQ,76.65,77.4,77.4,74.1, 75.50,74.85,75.11,96092,72.18,1238, 56770, 59.08
2023-01-04,SPLIL, EQ,74.85,75.95,75.95,72.85, 74.10,74.25,74.29,86989,64.62,1309, 41287, 47.46
2023-01-05,SPLIL, EQ,74.25,74.95,81.7,74.15,77.1,76.75,79.0,612471,483.88,8942, 165945, 27.09
2023-01-06,SPLIL, EQ,76.75,77.3,77.8,75.1,76.0,75.8,76.57,96541,73.92,1479, 42923, 44.46
2023-01-09,SPLIL, EQ,75.8,76.9,78.3,75.4,75.4,75.7,76.55,82340,63.03,1387, 40266, 48.90
2023-01-10,SPLIL, EQ,75.7,75.6,76.9,73.2,75.8,74.8,75.32,73110,55.07,1273, 41451, 56.70
2023-01-11,SPLIL, EQ,74.8,75.0,76.95,74.75, 76.30,75.7,75.87,50409,38.24,761, 26698, 52.96
2023-01-12,SPLIL, EQ,75.7,76.7,76.7,74.0, 74.90,74.3,75.09,41370,31.07,882, 21358, 51.63
2023-01-13,SPLIL, EQ,74.3,74.95,77.0,74.1,76.0,75.9,75.29,61751,46.49,1049, 23386, 37.87
2023-01-16,SPLIL, EQ,75.9,75.1,77.0,74.2, 74.40,74.75,75.22,44694,33.62,779, 25784, 57.69
2023-01-17,SPLIL, EQ,74.75,74.85,76.0,74.45,75.15,75.1,75.05,28346,21.27,422, 16503, 58.22
2023-01-18,SPLIL, EQ,75.1,74.15,77.0,74.05,77.0,75.75,75.52,49102,37.08,636, 30742, 62.61
2023-01-19,SPLIL, EQ,75.75,76.0,76.05,74.0, 74.00,74.5,74.91,39052,29.25,495, 22906, 58.66
