DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SPMLINFRA, EQ,26.75,26.95,27.95,26.25, 27.35,27.55,27.25,46905,12.78,440, 19424, 41.41
2023-01-03,SPMLINFRA, EQ,27.55,27.6,28.2,27.1, 27.55,27.75,27.69,30155,8.35,449, 10004, 33.18
2023-01-04,SPMLINFRA, EQ,27.75,26.8,27.6,26.5, 27.15,26.9,26.95,41658,11.23,422, 18371, 44.10
2023-01-05,SPMLINFRA, EQ,26.9,27.35,27.45,26.05,26.9,26.4,26.69,31317,8.36,340, 17625, 56.28
2023-01-06,SPMLINFRA, EQ,26.4,25.7,26.85,25.25,25.35,25.4,25.87,36918,9.55,480, 15368, 41.63
2023-01-09,SPMLINFRA, EQ,25.4,25.65,25.65,25.05,25.5,25.25,25.32,23597,5.98,230, 14173, 60.06
2023-01-10,SPMLINFRA, EQ,25.25,25.25,25.25,24.0,24.0,24.0,24.24,118868,28.82,561, 77648, 65.32
2023-01-11,SPMLINFRA, EQ,24.0,24.65,24.9,23.65, 24.75,24.65,24.46,31860,7.79,255, 20257, 63.58
2023-01-12,SPMLINFRA, EQ,24.65,25.5,25.5,24.25, 24.70,24.75,24.66,28306,6.98,185, 15655, 55.31
2023-01-13,SPMLINFRA, EQ,24.75,24.75,25.45,24.5,24.7,24.7,24.79,10063,2.49,118, 5557, 55.22
2023-01-16,SPMLINFRA, EQ,24.7,24.55,25.9,24.55, 25.90,25.9,25.71,77921,20.04,224, 53882, 69.15
2023-01-17,SPMLINFRA, EQ,25.9,26.6,26.6,24.8,25.2,25.05,25.43,44544,11.33,412, 22606, 50.75
2023-01-18,SPMLINFRA, EQ,25.05,24.75,25.0,24.1,24.75,24.45,24.56,29077,7.14,167, 21505, 73.96
2023-01-19,SPMLINFRA, EQ,24.45,24.75,25.65,24.7, 25.65,25.65,25.63,292874,75.05,232, 261580, 89.31
2023-01-20,SPMLINFRA, EQ,25.65,26.6,26.9,26.45,26.9,26.9,26.69,56842,15.17,86, 50480, 88.81
2023-01-23,SPMLINFRA, EQ,26.9,28.2,28.2,28.2,28.2,28.2,28.2,36974,10.43,62, 36973, 100.00
2023-01-24,SPMLINFRA, EQ,28.2,28.25,29.6,28.1,29.6,29.6,29.02,92894,26.96,267, 63643, 68.51
2023-01-25,SPMLINFRA, EQ,29.6,30.5,31.05,30.1, 31.05,31.05,30.95,211401,65.42,555, 163536, 77.36
2023-01-27,SPMLINFRA, EQ,31.05,31.4,31.85,29.5, 29.50,29.5,29.97,61214,18.34,431, 44532, 72.75
2023-01-30,SPMLINFRA, EQ,29.5,28.1,29.25,28.05, 28.05,28.05,28.28,55842,15.79,211, 37894, 67.86
2023-01-31,SPMLINFRA, EQ,28.05,28.9,28.9,26.8,27.6,27.35,27.06,75586,20.45,258, 38723, 51.23
