DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SPORTKING, EQ,708.6,719.25,720.0,702.0, 710.50,711.25,712.72,9932,70.79,1286, 5547, 55.85
2023-01-03,SPORTKING, EQ,711.25,711.15,744.05,704.05, 722.15,726.4,725.32,14889,107.99,1441, 8429, 56.61
2023-01-04,SPORTKING, EQ,726.4,725.95,740.0,713.1, 725.00,723.45,723.89,7716,55.86,970, 4349, 56.36
2023-01-05,SPORTKING, EQ,723.45,722.35,723.95,714.05,721.3,721.0,719.9,5794,41.71,635, 3821, 65.95
2023-01-06,SPORTKING, EQ,721.0,731.8,731.8,699.6,710.05,714.0,715.15,9480,67.8,1118, 4367, 46.07
2023-01-09,SPORTKING, EQ,714.0,724.65,731.9,697.0,700.1,701.8,710.11,22268,158.13,2237, 11916, 53.51
2023-01-10,SPORTKING, EQ,701.8,701.8,706.5,682.35,688.7,692.5,696.45,7786,54.23,892, 5244, 67.35
2023-01-11,SPORTKING, EQ,692.5,690.4,705.0,680.2, 691.00,685.5,691.84,10541,72.93,1264, 6125, 58.11
2023-01-12,SPORTKING, EQ,685.5,688.9,705.0,688.9, 695.00,697.45,698.4,6988,48.8,732, 4068, 58.21
2023-01-13,SPORTKING, EQ,697.45,702.05,710.0,692.5,710.0,704.6,700.57,3773,26.43,611, 2343, 62.10
2023-01-16,SPORTKING, EQ,704.6,710.0,728.75,682.35, 693.00,688.85,698.27,12181,85.06,1227, 6367, 52.27
2023-01-17,SPORTKING, EQ,688.85,699.2,699.2,675.0,677.2,678.8,683.27,12314,84.14,1208, 8164, 66.30
2023-01-18,SPORTKING, EQ,678.8,685.6,687.55,670.0,679.95,676.15,678.95,7557,51.31,1262, 3639, 48.15
2023-01-19,SPORTKING, EQ,676.15,680.9,686.25,672.05, 680.10,677.0,678.98,4534,30.79,751, 2628, 57.96
2023-01-20,SPORTKING, EQ,677.0,676.95,681.75,662.5,670.0,667.75,671.42,7333,49.24,1082, 3990, 54.41
2023-01-23,SPORTKING, EQ,667.75,691.1,801.3,690.05,764.0,787.95,762.21,757708,5775.36,30807, 86082, 11.36
2023-01-24,SPORTKING, EQ,787.95,774.4,782.0,744.6,745.25,749.2,761.78,75238,573.15,5665, 23435, 31.15
2023-01-25,SPORTKING, EQ,749.2,749.0,752.05,705.0, 708.95,710.2,720.04,53052,382.0,4626, 28415, 53.56
2023-01-27,SPORTKING, EQ,710.2,712.0,718.95,685.7, 709.45,706.4,698.64,37391,261.23,4061, 15770, 42.18
2023-01-30,SPORTKING, EQ,706.4,710.0,715.0,669.95, 695.00,692.6,693.3,37213,258.0,4410, 19000, 51.06
2023-01-31,SPORTKING, EQ,692.6,692.65,717.9,692.65,712.0,709.4,708.5,24256,171.85,3177, 8040, 33.15
2023-02-01,SPORTKING, EQ,709.4,711.0,721.0,684.95, 694.00,689.45,702.49,23704,166.52,3318, 14314, 60.39
2023-02-02,SPORTKING, EQ,689.45,695.9,704.75,687.55, 694.60,693.1,695.21,8852,61.54,2290, 5249, 59.30
2023-02-03,SPORTKING, EQ,693.1,691.25,709.75,691.25, 702.85,698.75,698.88,21594,150.92,3944, 13517, 62.60
2023-02-06,SPORTKING, EQ,698.75,707.0,740.0,701.5, 723.90,726.1,722.96,43058,311.29,7947, 21555, 50.06
2023-02-07,SPORTKING, EQ,726.1,727.1,732.0,719.25, 726.00,726.15,724.12,20428,147.92,5039, 13642, 66.78
2023-02-08,SPORTKING, EQ,726.15,732.9,748.55,731.5, 745.05,746.05,743.4,29228,217.28,9342, 17354, 59.37
