DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,STARCEMENT, EQ,112.45,114.0,115.6,112.65, 113.30,113.25,113.81,130625,148.67,2463, 50567, 38.71
2023-01-03,STARCEMENT, EQ,113.25,114.0,114.7,112.0, 114.00,113.75,113.2,127118,143.89,2416, 56498, 44.45
2023-01-04,STARCEMENT, EQ,113.75,114.75,115.65,112.0, 113.40,112.9,113.71,273142,310.59,4483, 83544, 30.59
2023-01-05,STARCEMENT, EQ,112.9,114.0,114.2,112.45,113.1,113.25,113.16,130755,147.96,2601, 50832, 38.88
2023-01-06,STARCEMENT, EQ,113.25,114.0,118.3,112.5,114.0,115.1,115.1,699040,804.62,9447, 292344, 41.82
2023-01-09,STARCEMENT, EQ,115.1,115.4,119.0,114.7,116.0,115.8,116.33,241461,280.88,3614, 106868, 44.26
2023-01-10,STARCEMENT, EQ,115.8,116.05,116.75,113.3,115.1,115.6,115.58,254918,294.64,3682, 128668, 50.47
2023-01-11,STARCEMENT, EQ,115.6,115.6,115.6,113.5, 114.00,114.3,114.62,99901,114.5,2107, 43984, 44.03
2023-01-12,STARCEMENT, EQ,114.3,115.0,117.55,114.5, 117.05,117.25,116.55,278492,324.59,4400, 135416, 48.62
2023-01-13,STARCEMENT, EQ,117.25,118.35,118.35,115.15,115.2,115.75,116.72,135387,158.03,3034, 59604, 44.02
2023-01-16,STARCEMENT, EQ,115.75,115.75,116.25,114.0, 114.80,115.4,115.14,116918,134.62,2090, 68329, 58.44
2023-01-17,STARCEMENT, EQ,115.4,115.4,119.7,114.05,118.4,118.45,117.8,433537,510.7,6871, 207394, 47.84
2023-01-18,STARCEMENT, EQ,118.45,118.95,119.5,114.25,115.2,115.9,117.42,203895,239.42,3886, 108059, 53.00
2023-01-19,STARCEMENT, EQ,115.9,115.0,118.9,113.55, 114.70,115.95,116.04,333144,386.58,5005, 137951, 41.41
2023-01-20,STARCEMENT, EQ,115.95,115.95,118.15,114.15,114.5,114.65,115.68,211191,244.31,3747, 102602, 48.58
2023-01-23,STARCEMENT, EQ,114.65,114.75,115.4,113.0,113.0,113.55,114.05,134423,153.31,2365, 70635, 52.55
2023-01-24,STARCEMENT, EQ,113.55,114.2,114.35,112.5,112.85,112.8,113.27,128359,145.39,1713, 82867, 64.56
2023-01-25,STARCEMENT, EQ,112.8,112.9,114.0,110.5, 112.15,112.1,111.84,152321,170.36,2454, 89153, 58.53
2023-01-27,STARCEMENT, EQ,112.1,111.15,113.25,101.0, 104.00,104.15,106.88,338714,362.01,4893, 181375, 53.55
2023-01-30,STARCEMENT, EQ,104.15,104.5,109.4,101.65, 106.55,106.05,105.85,395958,419.13,7829, 153539, 38.78
2023-01-31,STARCEMENT, EQ,106.05,107.55,110.7,106.55,107.9,108.6,108.83,189698,206.44,2803, 92852, 48.95
2023-02-01,STARCEMENT, EQ,108.6,108.85,112.75,105.8, 107.65,107.5,109.34,185172,202.46,3592, 86332, 46.62
2023-02-02,STARCEMENT, EQ,107.5,108.25,111.15,106.25, 109.00,109.6,109.38,168787,184.62,3184, 49860, 29.54
2023-02-03,STARCEMENT, EQ,109.6,110.0,114.0,105.5, 112.50,111.65,111.06,698094,775.33,11167, 181758, 26.04
2023-02-06,STARCEMENT, EQ,111.65,110.7,115.0,110.25, 114.00,114.3,113.89,295262,336.26,5097, 141577, 47.95
2023-02-07,STARCEMENT, EQ,114.3,115.0,115.15,110.85, 112.85,112.5,113.09,128338,145.14,3467, 56792, 44.25
2023-02-08,STARCEMENT, EQ,112.5,114.2,115.3,113.15, 114.00,114.1,114.18,138464,158.09,2676, 59117, 42.69
2023-02-09,STARCEMENT, EQ,114.1,114.05,114.4,113.25, 113.50,113.5,113.73,98250,111.74,1640, 57553, 58.58
2023-02-10,STARCEMENT, EQ,113.5,113.8,114.5,112.1, 113.95,112.85,113.0,79726,90.09,2272, 51230, 64.26
2023-02-13,STARCEMENT, EQ,112.85,112.85,112.85,109.75,110.35,110.25,111.27,96881,107.8,2074, 59072, 60.97
2023-02-14,STARCEMENT, EQ,110.25,110.55,111.1,108.5,110.2,110.2,110.27,72070,79.47,1789, 30712, 42.61
2023-02-15,STARCEMENT, EQ,110.2,109.9,111.1,109.0, 110.05,109.8,109.94,84164,92.53,2202, 44710, 53.12
2023-02-16,STARCEMENT, EQ,109.8,111.45,111.9,108.1, 110.75,110.0,110.03,94441,103.91,2092, 41471, 43.91
2023-02-17,STARCEMENT, EQ,110.0,110.0,114.7,109.0, 113.80,113.6,113.17,415502,470.22,6842, 126979, 30.56
2023-02-20,STARCEMENT, EQ,113.6,114.25,115.15,110.1, 110.40,110.8,112.93,274523,310.02,3937, 116250, 42.35
2023-02-21,STARCEMENT, EQ,110.8,110.8,112.8,110.05, 110.25,110.65,111.33,88293,98.3,2781, 30978, 35.09
2023-02-22,STARCEMENT, EQ,110.65,110.4,110.7,107.7, 108.95,108.95,109.29,78084,85.34,2105, 45559, 58.35
2023-02-23,STARCEMENT, EQ,108.95,108.9,110.4,107.65,110.4,109.75,109.3,93264,101.94,2217, 47696, 51.14
2023-02-24,STARCEMENT, EQ,109.75,110.15,114.6,109.7, 113.45,113.3,113.06,297322,336.15,5520, 102260, 34.39
2023-02-27,STARCEMENT, EQ,113.3,113.95,113.95,109.05, 109.50,109.95,110.51,112502,124.33,2976, 49657, 44.14
2023-02-28,STARCEMENT, EQ,109.95,109.0,111.0,109.0, 109.20,109.65,109.65,69620,76.34,1820, 40513, 58.19
2023-03-01,STARCEMENT, EQ,109.65,109.95,111.35,109.5, 110.10,110.25,110.44,64210,70.91,2187, 31273, 48.70
2023-03-02,STARCEMENT, EQ,110.25,110.5,115.8,110.45, 113.95,113.4,113.95,392340,447.08,12592, 138703, 35.35
2023-03-03,STARCEMENT, EQ,113.4,114.45,115.0,112.5, 113.30,113.75,114.4,183956,210.45,2726, 108091, 58.76
2023-03-06,STARCEMENT, EQ,113.75,115.0,115.0,113.0, 113.05,113.5,114.07,186404,212.63,6291, 109209, 58.59
2023-03-08,STARCEMENT, EQ,113.5,113.8,113.95,111.65, 112.80,112.05,112.68,134397,151.44,4369, 75934, 56.50
