DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,STARHEALTH, EQ,566.3,569.15,593.25,567.05, 584.00,584.3,586.08,183864,1077.6,8874, 71997, 39.16
2023-01-03,STARHEALTH, EQ,584.3,593.05,593.05,578.0, 585.05,583.5,585.24,141515,828.2,7244, 86574, 61.18
2023-01-04,STARHEALTH, EQ,583.5,583.05,594.7,580.7, 585.60,586.2,587.35,115564,678.77,6737, 62366, 53.97
2023-01-05,STARHEALTH, EQ,586.2,586.0,586.2,580.0,584.0,584.5,584.69,85054,497.3,7095, 60179, 70.75
2023-01-06,STARHEALTH, EQ,584.5,583.9,590.0,578.85,588.0,585.75,585.47,68955,403.71,5843, 34730, 50.37
2023-01-09,STARHEALTH, EQ,585.75,586.95,596.4,585.95,587.8,589.15,590.6,74139,437.86,9549, 37531, 50.62
2023-01-10,STARHEALTH, EQ,589.15,604.0,604.0,589.15,590.6,592.0,593.78,166137,986.49,9157, 50425, 30.35
2023-01-11,STARHEALTH, EQ,592.0,592.0,596.65,586.55, 594.00,590.35,591.0,93082,550.12,7082, 44369, 47.67
2023-01-12,STARHEALTH, EQ,590.35,593.0,593.0,572.0, 574.05,574.65,580.55,221678,1286.96,11672, 97860, 44.15
2023-01-13,STARHEALTH, EQ,574.65,577.4,579.8,572.65,573.65,574.65,574.98,93001,534.73,6124, 58048, 62.42
2023-01-16,STARHEALTH, EQ,574.65,579.85,579.85,563.75, 570.05,569.4,571.0,136623,780.12,11305, 65156, 47.69
2023-01-17,STARHEALTH, EQ,569.4,571.75,574.3,562.75,569.5,565.7,565.11,101881,575.74,4155, 43866, 43.06
2023-01-18,STARHEALTH, EQ,565.7,570.7,570.7,536.5,537.0,539.15,547.49,458604,2510.8,18898, 295540, 64.44
2023-01-19,STARHEALTH, EQ,539.15,539.0,539.0,527.0, 531.40,529.45,532.92,166807,888.95,9937, 93962, 56.33
2023-01-20,STARHEALTH, EQ,529.45,530.0,539.0,526.75,530.95,530.95,533.45,553905,2954.83,16722, 431524, 77.91
2023-01-23,STARHEALTH, EQ,530.95,539.0,539.0,520.0,524.0,523.85,527.33,138059,728.03,9315, 90651, 65.66
2023-01-24,STARHEALTH, EQ,523.85,525.0,525.05,501.0,511.9,513.4,515.32,185977,958.38,11347, 122050, 65.63
2023-01-25,STARHEALTH, EQ,513.4,513.4,516.55,498.0, 504.95,503.6,505.06,386322,1951.17,18931, 293567, 75.99
2023-01-27,STARHEALTH, EQ,503.6,512.0,512.0,498.5, 503.00,501.5,502.66,182753,918.62,18412, 116505, 63.75
2023-01-30,STARHEALTH, EQ,501.5,502.0,502.75,481.55, 489.85,489.6,491.66,198668,976.77,14815, 106784, 53.75
2023-01-31,STARHEALTH, EQ,489.6,490.0,509.0,490.0,501.0,500.45,500.91,281498,1410.04,15634, 145201, 51.58
2023-02-01,STARHEALTH, EQ,500.45,525.0,529.0,496.85, 500.05,501.7,509.3,1639286,8348.92,48190, 891211, 54.37
2023-02-02,STARHEALTH, EQ,501.7,501.7,531.85,501.7, 515.00,516.75,524.19,1130616,5926.57,50425, 680629, 60.20
2023-02-03,STARHEALTH, EQ,516.75,518.3,519.95,505.15, 513.00,511.95,513.02,363159,1863.08,13720, 283578, 78.09
2023-02-06,STARHEALTH, EQ,511.95,514.5,534.5,512.4, 525.70,523.2,526.18,344119,1810.67,31821, 177414, 51.56
2023-02-07,STARHEALTH, EQ,523.2,525.7,535.0,525.7, 531.60,530.95,529.65,197614,1046.66,12996, 113214, 57.29
2023-02-08,STARHEALTH, EQ,530.95,529.85,534.75,527.5, 529.55,530.95,531.29,153098,813.4,6858, 88770, 57.98
2023-02-09,STARHEALTH, EQ,530.95,530.95,545.0,529.5, 544.00,540.85,537.89,376354,2024.35,12680, 199524, 53.01
2023-02-10,STARHEALTH, EQ,540.85,540.85,543.4,532.55, 534.05,535.65,536.93,302634,1624.94,13951, 235328, 77.76
2023-02-13,STARHEALTH, EQ,535.65,533.65,545.0,520.5,533.0,535.85,531.08,171847,912.64,10918, 81819, 47.61
2023-02-14,STARHEALTH, EQ,535.85,530.0,535.0,500.0,508.5,506.15,512.03,517122,2647.81,29260, 223950, 43.31
2023-02-15,STARHEALTH, EQ,506.15,508.7,514.6,489.0, 503.10,500.95,498.8,462256,2305.74,23180, 250111, 54.11
2023-02-16,STARHEALTH, EQ,500.95,504.45,532.9,503.0, 510.80,509.9,517.8,703705,3643.8,32718, 234780, 33.36
2023-02-17,STARHEALTH, EQ,509.9,510.55,520.8,506.1, 508.95,509.05,509.76,250078,1274.8,8244, 156418, 62.55
2023-02-20,STARHEALTH, EQ,509.05,517.0,577.6,512.0, 554.00,566.2,546.34,3534907,19312.57,92938, 1173768, 33.21
2023-02-21,STARHEALTH, EQ,566.2,559.8,564.7,546.4, 549.90,552.55,558.98,1274774,7125.79,33165, 409736, 32.14
2023-02-22,STARHEALTH, EQ,552.55,548.0,565.0,546.3, 555.00,558.3,554.05,583836,3234.74,34298, 218255, 37.38
2023-02-23,STARHEALTH, EQ,558.3,564.0,565.4,555.7,564.2,562.3,562.96,1089283,6132.22,32667, 366687, 33.66
2023-02-24,STARHEALTH, EQ,562.3,562.0,570.7,558.0, 562.00,564.7,564.06,645465,3640.8,32126, 302057, 46.80
2023-02-27,STARHEALTH, EQ,564.7,566.9,568.0,558.1, 567.50,564.0,564.13,509182,2872.44,26671, 269240, 52.88
2023-02-28,STARHEALTH, EQ,564.0,567.0,567.5,558.1, 563.00,564.1,564.2,357814,2018.78,18206, 174317, 48.72
2023-03-01,STARHEALTH, EQ,564.1,565.5,580.0,557.25, 562.90,561.15,565.94,694861,3932.51,20618, 277981, 40.01
2023-03-02,STARHEALTH, EQ,561.15,557.7,568.3,547.85, 562.00,563.8,560.67,515923,2892.63,17791, 218687, 42.39
2023-03-03,STARHEALTH, EQ,563.8,563.8,576.0,560.0, 564.00,563.5,567.04,422285,2394.53,29283, 185488, 43.92
2023-03-06,STARHEALTH, EQ,563.5,569.95,593.5,564.4, 578.05,581.95,580.18,815098,4729.0,33496, 250914, 30.78
2023-03-08,STARHEALTH, EQ,581.95,581.95,591.0,567.0, 583.60,584.95,584.31,428909,2506.17,17944, 196907, 45.91
2023-03-09,STARHEALTH, EQ,584.95,580.25,586.0,571.0, 579.00,579.6,581.13,427218,2482.68,19045, 239119, 55.97
2023-03-10,STARHEALTH, EQ,579.6,573.8,584.95,570.0, 581.70,578.45,578.31,375422,2171.11,22441, 146418, 39.00
2023-03-13,STARHEALTH, EQ,578.45,581.35,584.65,558.0, 564.60,563.2,571.48,501182,2864.13,20844, 180685, 36.05
2023-03-14,STARHEALTH, EQ,563.2,564.65,578.05,535.0, 539.00,540.4,556.52,521956,2904.81,30864, 250857, 48.06
2023-03-15,STARHEALTH, EQ,540.4,547.95,549.95,522.65, 529.75,527.05,532.05,641911,3415.28,40932, 312094, 48.62
2023-03-16,STARHEALTH, EQ,527.05,526.5,550.4,524.2, 548.00,542.7,531.73,1721383,9153.09,40363, 1291435, 75.02
2023-03-17,STARHEALTH, EQ,542.7,545.45,561.0,515.85, 550.00,535.05,535.4,6041836,32347.83,58678, 3930301, 65.05
2023-03-20,STARHEALTH, EQ,535.05,549.95,549.95,536.85,544.15,544.1,544.12,225069,1224.64,9183, 77967, 34.64
2023-03-21,STARHEALTH, EQ,544.1,544.15,556.8,543.0, 556.00,553.7,552.15,201404,1112.06,8417, 107032, 53.14
2023-03-22,STARHEALTH, EQ,553.7,554.9,557.8,547.1, 553.95,552.9,553.83,83148,460.5,5179, 44075, 53.01
2023-03-23,STARHEALTH, EQ,552.9,552.1,557.35,550.0, 550.05,552.9,553.76,224425,1242.77,12845, 141572, 63.08
2023-03-24,STARHEALTH, EQ,552.9,551.95,557.5,545.2, 550.00,550.05,550.38,183288,1008.79,8762, 119768, 65.34
2023-03-27,STARHEALTH, EQ,550.05,545.0,552.0,537.0, 542.00,541.55,544.6,731434,3983.41,17788, 609014, 83.26
2023-03-28,STARHEALTH, EQ,541.55,541.6,542.5,510.55, 517.50,517.5,526.36,442136,2327.23,15717, 301996, 68.30
2023-03-29,STARHEALTH, EQ,517.5,517.5,531.2,517.5, 522.00,527.0,525.47,275444,1447.37,15773, 174071, 63.20
2023-03-31,STARHEALTH, EQ,527.0,526.95,539.2,515.05, 517.90,518.3,528.24,196754,1039.34,12741, 96104, 48.84
2023-04-03,STARHEALTH, EQ,518.3,525.2,529.95,522.0, 529.30,527.1,526.59,120880,636.55,5414, 59549, 49.26
2023-04-05,STARHEALTH, EQ,527.1,530.75,559.0,530.7, 552.30,553.55,550.9,440164,2424.88,18709, 121326, 27.56
2023-04-06,STARHEALTH, EQ,553.55,552.55,574.4,548.65, 569.35,568.3,561.54,152761,857.82,7287, 63320, 41.45
2023-04-10,STARHEALTH, EQ,568.3,575.35,575.95,556.3, 564.00,566.0,562.79,143294,806.45,6729, 61703, 43.06
2023-04-11,STARHEALTH, EQ,566.0,577.0,598.0,570.1, 591.35,590.9,587.96,600200,3528.92,23242, 257441, 42.89
2023-04-12,STARHEALTH, EQ,590.9,595.0,603.0,592.0, 602.00,599.95,599.62,1059550,6353.24,11859, 882022, 83.24
2023-04-13,STARHEALTH, EQ,599.95,604.7,606.75,590.1, 596.00,601.4,604.17,648936,3920.65,15621, 534177, 82.32
2023-04-17,STARHEALTH, EQ,601.4,598.85,599.0,582.45, 598.00,596.05,592.56,240337,1424.14,9386, 134664, 56.03
2023-04-18,STARHEALTH, EQ,596.05,597.1,606.1,590.25, 591.60,595.4,600.03,242568,1455.47,10733, 133556, 55.06
2023-04-19,STARHEALTH, EQ,595.4,589.85,599.95,588.9, 590.30,594.55,594.94,139522,830.07,5199, 86950, 62.32
2023-04-20,STARHEALTH, EQ,594.55,595.0,602.0,582.35, 598.00,595.3,592.31,157210,931.16,5342, 92346, 58.74
2023-04-21,STARHEALTH, EQ,595.3,598.4,601.0,593.15, 593.65,594.85,595.57,108402,645.61,5664, 60440, 55.76
2023-04-24,STARHEALTH, EQ,594.85,595.05,604.0,588.0, 604.00,602.55,599.54,115115,690.16,5743, 55584, 48.29
2023-04-25,STARHEALTH, EQ,602.55,602.55,604.0,589.0,591.75,594.65,599.45,101038,605.67,4215, 63214, 62.56
2023-04-26,STARHEALTH, EQ,594.65,589.25,600.0,578.55, 586.90,593.0,587.87,245479,1443.1,13652, 130560, 53.19
2023-04-27,STARHEALTH, EQ,593.0,587.6,594.0,583.25, 586.65,587.7,588.78,100312,590.61,4861, 55014, 54.84
2023-04-28,STARHEALTH, EQ,587.7,587.7,609.0,578.4, 591.40,591.2,595.39,748470,4456.32,21689, 210471, 28.12
2023-05-02,STARHEALTH, EQ,591.2,599.0,609.9,589.0, 606.00,606.65,603.66,682750,4121.5,12810, 458045, 67.09
2023-05-03,STARHEALTH, EQ,606.65,610.0,617.0,594.0,605.0,604.9,609.62,231189,1409.38,8747, 97955, 42.37
2023-05-04,STARHEALTH, EQ,604.9,610.0,613.65,605.15, 606.20,608.45,609.04,92608,564.02,4414, 49406, 53.35
2023-05-05,STARHEALTH, EQ,608.45,609.0,609.0,595.0, 599.90,596.25,599.56,88374,529.85,4391, 40260, 45.56
2023-05-08,STARHEALTH, EQ,596.25,600.35,612.95,596.5, 599.00,598.85,604.44,252303,1525.02,10721, 79874, 31.66
2023-05-09,STARHEALTH, EQ,598.85,604.0,604.0,593.15,596.1,598.4,598.71,225776,1351.74,15139, 155544, 68.89
2023-05-10,STARHEALTH, EQ,598.4,598.4,600.1,588.1,593.95,590.95,593.05,102368,607.09,4880, 50841, 49.66
2023-05-11,STARHEALTH, EQ,590.95,593.05,593.75,582.5, 592.05,590.75,587.22,305123,1791.73,8686, 210323, 68.93
2023-05-12,STARHEALTH, EQ,590.75,591.9,593.0,581.0, 581.80,583.5,585.12,531172,3108.01,8681, 460296, 86.66
2023-05-15,STARHEALTH, EQ,583.5,578.0,588.5,571.2, 572.25,573.6,578.38,226854,1312.08,17297, 127073, 56.02
2023-05-16,STARHEALTH, EQ,573.6,574.45,603.6,574.45,593.0,593.35,595.4,344855,2053.25,15996, 113213, 32.83
2023-05-17,STARHEALTH, EQ,593.35,597.95,598.0,581.0, 584.00,583.45,585.37,101034,591.43,9199, 48155, 47.66
2023-05-18,STARHEALTH, EQ,583.45,584.0,597.95,584.0, 592.20,593.7,593.5,107224,636.38,6815, 52003, 48.50
2023-05-19,STARHEALTH, EQ,593.7,594.3,594.3,583.05,587.0,586.45,587.63,105443,619.62,6278, 54650, 51.83
2023-05-22,STARHEALTH, EQ,586.45,585.5,595.0,582.8,584.45,587.2,587.98,157189,924.24,10857, 54181, 34.47
2023-05-23,STARHEALTH, EQ,587.2,596.0,601.1,589.3, 593.05,594.6,595.29,182565,1086.8,8009, 93582, 51.26
2023-05-24,STARHEALTH, EQ,594.6,590.0,593.75,583.2, 585.95,585.6,586.93,86185,505.84,3866, 36411, 42.25
2023-05-25,STARHEALTH, EQ,585.6,585.6,590.15,578.85, 582.00,583.75,584.96,224083,1310.79,19814, 160899, 71.80
2023-05-26,STARHEALTH, EQ,583.75,572.25,572.25,531.35,534.95,534.85,547.24,10461029,57246.62,87679, 6187270, 59.15
2023-05-29,STARHEALTH, EQ,534.85,540.0,547.4,532.7, 540.00,539.25,541.1,1037119,5611.84,21773, 595618, 57.43
2023-05-30,STARHEALTH, EQ,539.25,541.5,546.7,540.65, 544.00,544.45,544.56,647620,3526.71,23711, 482335, 74.48
2023-05-31,STARHEALTH, EQ,544.45,544.95,546.5,535.65, 538.90,538.5,539.58,327284,1765.95,9846, 236581, 72.29
2023-06-01,STARHEALTH, EQ,538.5,539.45,545.25,533.0, 534.00,534.7,538.6,413112,2225.01,18721, 271581, 65.74
2023-06-02,STARHEALTH, EQ,534.7,537.0,539.45,533.05, 537.00,537.15,536.56,403701,2166.1,16796, 276904, 68.59
2023-06-05,STARHEALTH, EQ,537.15,539.9,544.8,538.25, 540.95,540.35,542.24,512427,2778.61,22608, 380257, 74.21
2023-06-06,STARHEALTH, EQ,540.35,540.35,545.05,536.2,540.0,539.5,540.27,292334,1579.39,7328, 150766, 51.57
2023-06-07,STARHEALTH, EQ,539.5,545.0,545.0,538.0, 538.70,538.65,540.28,779612,4212.11,13930, 550852, 70.66
2023-06-08,STARHEALTH, EQ,538.65,540.0,542.0,525.0, 527.60,527.05,531.2,1193678,6340.85,35069, 567704, 47.56
2023-06-09,STARHEALTH, EQ,527.05,528.1,529.4,515.5, 518.00,517.15,522.61,1211608,6332.0,28508, 978525, 80.76
2023-06-12,STARHEALTH, EQ,517.15,517.8,518.35,507.5, 508.95,509.1,511.55,1168323,5976.58,33499, 892792, 76.42
2023-06-13,STARHEALTH, EQ,509.1,509.95,521.0,509.5, 517.10,519.5,516.98,510215,2637.71,14469, 332633, 65.19
2023-06-14,STARHEALTH, EQ,519.5,522.9,528.8,520.2, 526.50,525.4,524.88,711715,3735.62,14534, 496028, 69.69
2023-06-15,STARHEALTH, EQ,525.4,527.5,527.9,519.0, 525.80,525.15,521.49,2559457,13347.34,13971, 2283368, 89.21
2023-06-16,STARHEALTH, EQ,525.15,528.4,537.5,526.5, 530.10,530.45,530.95,707286,3755.34,16425, 443417, 62.69
2023-06-19,STARHEALTH, EQ,530.45,533.55,546.25,532.95, 541.50,541.15,541.99,1218547,6604.39,19613, 786426, 64.54
2023-06-20,STARHEALTH, EQ,541.15,541.95,545.4,532.0, 533.95,534.9,535.38,361717,1936.57,14612, 197686, 54.65
2023-06-21,STARHEALTH, EQ,534.9,537.3,555.0,536.0, 550.10,550.25,547.83,1178536,6456.38,22398, 652620, 55.38
2023-06-22,STARHEALTH, EQ,550.25,551.3,560.0,538.1,545.0,543.15,551.85,958850,5291.46,22473, 394051, 41.10
2023-06-23,STARHEALTH, EQ,543.15,543.2,555.0,539.25, 551.65,550.5,548.45,1191311,6533.7,29318, 763148, 64.06
2023-06-26,STARHEALTH, EQ,550.5,548.0,549.2,535.2, 539.70,537.1,543.26,390546,2121.7,11493, 251282, 64.34
