DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,STEELXIND, EQ,13.8,13.95,14.1,13.6, 13.80,13.8,13.84,1257530,174.09,1580, 891213, 70.87
2023-01-03,STEELXIND, EQ,13.8,13.85,14.45,13.8, 14.45,14.45,14.36,3402672,488.78,1986, 1961656, 57.65
2023-01-04,STEELXIND, EQ,14.45,14.7,15.1,14.6, 14.80,14.9,14.9,3420696,509.71,6277, 1937528, 56.64
2023-01-05,STEELXIND, EQ,14.9,15.0,15.05,14.4,14.75,14.8,14.7,2075170,305.06,3336, 1424415, 68.64
2023-01-06,STEELXIND, EQ,14.8,14.8,14.8,14.25,14.6,14.55,14.51,1527131,221.59,1347, 969271, 63.47
2023-01-09,STEELXIND, EQ,14.55,14.65,15.25,14.4,15.25,15.25,15.19,4063025,617.26,2402, 2678152, 65.92
2023-01-10,STEELXIND, EQ,15.25,15.75,15.95,14.8,15.2,15.0,15.37,2020202,310.6,1962, 1272690, 63.00
2023-01-11,STEELXIND, EQ,15.0,15.5,15.5,14.45, 14.55,14.6,14.7,1625670,238.92,2090, 984752, 60.58
2023-01-12,STEELXIND, EQ,14.6,14.6,14.85,14.4, 14.45,14.5,14.61,815551,119.17,965, 527171, 64.64
2023-01-13,STEELXIND, EQ,14.5,14.8,15.2,14.5,15.2,15.1,14.99,2523307,378.21,1937, 1838262, 72.85
2023-01-16,STEELXIND, EQ,15.1,15.1,15.35,14.6, 15.05,15.0,14.91,819127,122.09,1394, 514903, 62.86
2023-01-17,STEELXIND, EQ,15.0,15.05,15.2,14.35,14.65,14.6,14.65,767680,112.47,1256, 534518, 69.63
2023-01-18,STEELXIND, EQ,14.6,14.65,15.25,13.95,15.25,14.7,14.5,3496722,507.08,2180, 1883976, 53.88
2023-01-19,STEELXIND, EQ,14.7,15.05,15.35,14.35, 15.30,15.25,15.01,3923656,588.89,3042, 2416625, 61.59
2023-01-20,STEELXIND, EQ,15.25,15.4,15.4,14.9,15.15,15.2,15.15,2351636,356.31,1813, 1736747, 73.85
2023-01-23,STEELXIND, EQ,15.2,15.5,15.6,14.8,15.0,15.05,15.08,2687035,405.31,1744, 2063264, 76.79
2023-01-24,STEELXIND, EQ,15.05,15.35,15.65,15.15,15.15,15.35,15.4,3415450,525.88,2876, 2075170, 60.76
2023-01-25,STEELXIND, EQ,15.35,15.55,15.65,14.65, 15.25,15.1,15.05,2626498,395.19,2898, 1691980, 64.42
2023-01-27,STEELXIND, EQ,15.1,15.35,15.35,14.35, 14.35,14.35,14.63,1669613,244.32,2066, 1096815, 65.69
2023-01-30,STEELXIND, EQ,14.35,14.3,14.6,13.65, 13.65,13.7,13.91,3494488,486.1,2915, 1409867, 40.35
2023-01-31,STEELXIND, EQ,13.7,13.55,13.75,13.05,13.05,13.05,13.11,5851027,766.87,3153, 3132720, 53.54
2023-02-01,STEELXIND, EQ,13.05,13.2,13.7,12.45, 13.40,13.3,13.26,4837736,641.68,3479, 1880461, 38.87
2023-02-02,STEELXIND, EQ,13.3,13.0,13.4,12.8, 12.95,12.95,13.05,1513213,197.47,1829, 895235, 59.16
2023-02-03,STEELXIND, EQ,12.95,13.15,13.15,12.3, 12.30,12.3,12.36,4247972,524.95,2848, 1988518, 46.81
2023-02-06,STEELXIND, EQ,12.3,12.9,12.9,12.2, 12.90,12.85,12.7,2309324,293.18,2021, 1373361, 59.47
2023-02-07,STEELXIND, EQ,12.85,12.9,13.4,12.75, 13.35,13.2,13.01,1389279,180.77,1398, 919440, 66.18
2023-02-08,STEELXIND, EQ,13.2,13.45,13.45,12.55, 13.30,13.2,12.88,3321628,427.85,2438, 1614368, 48.60
2023-02-09,STEELXIND, EQ,13.2,13.3,13.3,12.8, 13.15,13.1,13.09,359474,47.06,932, 240059, 66.78
2023-02-10,STEELXIND, EQ,13.1,13.1,13.2,12.5, 12.85,12.8,12.81,770082,98.63,1224, 491299, 63.80
2023-02-13,STEELXIND, EQ,12.8,13.05,13.4,12.95,13.4,13.4,13.15,2877917,378.55,1477, 2151314, 74.75
2023-02-14,STEELXIND, EQ,13.4,13.5,14.05,13.4,14.05,14.05,13.96,3516487,490.85,1973, 2860515, 81.35
2023-02-15,STEELXIND, EQ,14.05,13.95,14.4,13.35, 13.95,14.0,13.73,2831212,388.68,2158, 1506407, 53.21
2023-02-16,STEELXIND, EQ,14.0,14.1,14.7,14.1, 14.70,14.65,14.58,4085695,595.61,2101, 2862958, 70.07
2023-02-17,STEELXIND, EQ,14.65,14.7,15.3,14.6, 14.60,14.65,14.86,1507063,223.92,1599, 1200939, 79.69
2023-02-20,STEELXIND, EQ,14.65,14.75,15.05,14.25, 14.95,14.9,14.79,1514037,223.9,1331, 1166796, 77.07
